,Electricity,Income,Water,e_Cooking,e_Lighting,e_Refrigeration,e_TV,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
26,89.55857614032931,226699.56522500466,168.39937875183782,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_6,age_36_45,sex_female,26.0,51.0,1,9.997038949310445
27,66.89926698730888,104331.41116725668,66.64855301591466,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_6,age_36_45,sex_male,27.0,31.0,1,41.33199789990514
28,81.12157661246938,175450.96146752452,126.4544973687996,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_5,age_46_55,sex_male,28.0,31.0,1,54.98181242197082
29,64.57464011503015,100328.98370535944,77.67130663412864,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_2,age_36_45,sex_male,29.0,1.0,1,118.74283731225617
30,82.6766681588692,194734.3855444334,124.41544984383668,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_3,age_46_55,sex_male,30.0,51.0,1,90.6406659335244
31,98.43682514677973,248755.68358414355,178.85095488917298,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,31.0,81.0,1,43.26103312918798
32,79.0355287985379,154770.38619104488,116.89701791901905,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_2,age_46_55,sex_female,32.0,31.0,1,105.54341650058213
33,64.31779750935004,86903.89609699849,57.239531271649476,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_46_55,sex_male,33.0,31.0,1,56.958987445725214
34,85.13100949956274,196652.1813626529,131.9239652115705,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,34.0,81.0,1,94.70881463302916
35,71.01990475570838,149241.3208426308,106.07686222525084,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_4,age_26_35,sex_male,35.0,31.0,1,0.4843141802504528
36,86.36308254025217,202737.87996308855,149.35412751863018,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_46_55,sex_male,36.0,51.0,1,32.83459383173439
37,71.00588756561345,121377.65358437465,80.9409473837333,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_36_45,sex_male,37.0,51.0,1,44.408988743621734
38,84.08381975074299,216651.21530761124,153.60654824292655,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_2,age_26_35,sex_male,38.0,51.0,1,42.644436653204174
39,81.61126032290994,162817.20267729653,106.27764372614685,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,39.0,51.0,1,39.69217719463523
40,88.15020391235814,200306.5959954713,150.3200612343789,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,40.0,81.0,1,44.854216581636294
41,64.06041777492821,112251.64759763038,89.28166245993542,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_26_35,sex_female,41.0,1.0,1,62.83874092298114
43,87.0746418082355,192344.18659764517,142.4203328790825,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_56_65,sex_female,43.0,81.0,1,23.152690472976364
44,99.20023457755887,264564.81795292447,184.9697619126916,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_76_85,sex_male,44.0,81.0,1,9.027441199887868
46,77.38258169420844,172628.35035253686,115.23360581184286,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_5,age_46_55,sex_male,46.0,21.0,1,37.96294893215767
49,85.6495577063387,213523.7977251869,152.13937849533872,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_2,age_26_35,sex_male,49.0,51.0,1,35.644436653204174
51,96.32869207085356,240323.4230874407,175.10058235793372,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_56_65,sex_male,51.0,81.0,1,20.050769248473173
52,75.15115058633309,119844.46220949787,92.59895294166252,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_26_35,sex_male,52.0,31.0,1,9.58984430442812
53,84.3281187172934,191616.0378753536,135.20322769678594,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_56_65,sex_male,53.0,81.0,1,18.14522166232161
54,95.43499591639946,233086.3013643261,167.43978522596188,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_female,54.0,81.0,1,78.87116315740212
55,78.38287363589541,141031.70956191572,108.74424574808901,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_46_55,sex_male,55.0,31.0,1,58.087342546148506
56,98.85698851771576,252011.61148635886,183.40699776605786,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_female,56.0,81.0,1,39.97063864176364
57,85.57045888231224,200020.77988787642,144.16249012549358,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,57.0,81.0,1,40.854216581636294
59,90.53040456605288,192156.60627670508,137.51088039986575,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,59.0,81.0,1,92.43035318590071
60,85.56076395518376,203377.8347246825,158.53558993626982,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Graduate,Size_1,age_46_55,sex_male,60.0,51.0,1,23.98031400195533
61,69.81144651935527,133694.3285712547,103.23868462629068,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_46_55,sex_male,61.0,31.0,1,56.958987445725214
62,73.06928086369307,131111.98182420706,97.76915588252821,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_1,age_36_45,sex_female,62.0,31.0,1,42.149138197326316
64,90.99999859749191,215725.10089807253,160.16834465463654,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,64.0,81.0,1,83.03320254440314
65,89.43391223748361,209809.3828147916,158.69459059098628,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_1,age_36_45,sex_female,65.0,81.0,1,38.4768848541463
66,101.9397264016844,253701.52077708158,182.8789915883131,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_female,66.0,81.0,1,42.0504677925841
67,100.26489032178637,254970.43235338657,184.55986772928196,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_female,67.0,81.0,1,39.0504677925841
68,91.07163317287683,216794.28269240065,160.16458460410016,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_female,68.0,81.0,1,38.82053229505853
69,81.12375398728564,174950.84621805255,126.45489426785002,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_19_25,sex_male,69.0,51.0,1,5.802294274273761
71,62.09742079693945,101905.82036459133,75.02577563645639,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_19_25,sex_male,71.0,31.0,1,11.858539188759872
72,64.482200223554,107632.0915860445,69.00527532141096,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_36_45,sex_male,72.0,31.0,1,125.33254202660638
73,80.22672624684945,185377.5913424312,138.32395817834092,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,73.0,81.0,1,94.38182723629791
74,85.93332238764927,188284.35821323094,135.64306154776048,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_36_45,sex_male,74.0,51.0,1,93.31367853679319
75,87.5458396464949,198546.58094297518,143.89127767162927,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,75.0,81.0,1,85.43035318590071
76,81.67845279072925,148223.60817187556,105.83694215135776,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_2,age_46_55,sex_male,76.0,31.0,1,115.75398183718602
77,93.9919500538203,227441.75909078945,176.93578820138373,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_46_55,sex_male,77.0,81.0,1,94.02130119413624
78,84.8867273334768,186527.97257248106,136.1006235362091,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,78.0,81.0,1,94.38182723629791
79,66.13052807504867,97753.49270095762,73.70094577107137,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_0_18,sex_male,79.0,31.0,1,0.00017278358750216823
81,96.23088296744233,215779.68081894208,159.85125854607287,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,81.0,81.0,1,43.03109763166238
82,78.13545773205158,131025.19749482226,100.72905742541694,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_46_55,sex_male,82.0,31.0,1,56.958987445725214
84,78.11727601406167,134448.30732704353,103.84948692862943,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_46_55,sex_female,84.0,31.0,1,58.748422109121364
86,64.71162311541882,107745.64181966113,70.280163403097,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_4,age_26_35,sex_male,86.0,31.0,1,0.4843141802504528
87,88.00424876246738,237248.4693081852,168.92400605596805,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,87.0,81.0,1,101.44972334682242
88,88.57296949155199,204220.0051106904,140.14988139109232,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_1,age_36_45,sex_male,88.0,81.0,1,36.68745019075016
89,80.8657008558774,177752.31331026304,115.3065408215997,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_female,89.0,51.0,1,99.82263720779929
90,97.15648024203631,247341.71638165644,175.49141025607796,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,90.0,81.0,1,38.18120397836754
91,94.49493233606935,232584.83968148785,165.14063218927257,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_female,91.0,81.0,1,78.87116315740212
92,65.23547995578254,135191.3775338424,87.43099238643272,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_36_45,sex_male,92.0,21.0,1,96.68659239777004
93,80.75139309278734,156762.30346793088,102.5773981295438,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_56_65,sex_male,93.0,51.0,1,28.772307801344773
94,91.10635409284868,233734.45671402122,169.00598218100842,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_2,age_56_65,sex_male,94.0,51.0,1,1.355534409945308
95,56.668664341373365,77917.07511640083,51.18536323565907,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_4,age_36_45,sex_male,95.0,1.0,1,49.842312796617676
96,97.26577519249703,251634.64887760114,180.12953531434846,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_male,96.0,81.0,1,33.13789494512558
97,81.0630243001708,169471.57765502678,107.34080155625163,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_26_35,sex_male,97.0,51.0,1,58.7125853527089
98,85.09051998698102,174314.00668130774,130.6044948907563,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_female,98.0,51.0,1,44.2235585689766
99,86.49266171497948,206607.55064584245,143.34604810087774,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_26_35,sex_female,99.0,81.0,1,2.729850600889832
102,84.2647445008677,188416.96626423707,132.95059161833333,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_26_35,sex_male,102.0,81.0,1,1.53359938994201
103,83.18801309059876,204664.3284420203,148.49162013066666,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_46_55,sex_male,103.0,51.0,1,22.834593831734388
104,91.2522241644578,231164.1127022995,169.73137979044918,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,104.0,81.0,1,80.08172849400592
105,93.11417810521931,239043.61351451575,174.34949203172894,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_56_65,sex_male,105.0,81.0,1,25.050769248473173
106,78.64835932032227,166116.0893820057,126.06853753995665,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_56_65,sex_male,106.0,31.0,1,27.723022591653205
107,86.0140921041629,184495.7400311149,137.57607902387363,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_46_55,sex_male,107.0,51.0,1,73.73511834737283
108,93.86477054203851,217864.82734296293,158.86163549121002,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_1,age_46_55,sex_male,108.0,81.0,1,35.73597614035297
111,71.58528492553036,128126.05396906107,99.06596502462692,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_36_45,sex_male,111.0,31.0,1,61.038816596545686
112,79.72082026279186,159586.39531729938,118.66898073040369,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_6,age_46_55,sex_female,112.0,31.0,1,37.169958512904095
113,86.4301202661083,196584.554098462,145.98091796839196,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,113.0,81.0,1,41.854216581636294
114,93.03158954587043,216923.27431671572,155.52118671398742,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_female,114.0,81.0,1,40.82053229505853
115,99.54687304306896,241080.67575802602,182.2825448832724,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_56_65,sex_female,115.0,81.0,1,20.152690472976364
117,59.37357059586048,83317.88958348906,54.73353654014464,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_26_35,sex_male,117.0,31.0,1,10.718199404851386
118,77.82900992065801,167680.72406401474,122.4200246372303,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_56_65,sex_male,118.0,31.0,1,23.723022591653205
120,82.22876556314827,184200.6718241346,129.6261160831629,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,120.0,81.0,1,80.80326704687752
121,63.697695349390294,104098.96052698973,80.98846785989865,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_2,age_36_45,sex_male,121.0,1.0,1,117.74283731225617
122,84.14334377442843,197483.26655845816,145.7721330523236,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_26_35,sex_female,122.0,81.0,1,0.32303405333813623
123,89.54212836141011,232091.01285021155,162.21455243743998,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_3,age_36_45,sex_female,123.0,51.0,1,97.38157464731772
125,70.93781537177267,137056.41202909366,86.25572741968227,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,125.0,51.0,1,63.06121004460361
126,91.03785737073468,224790.92756597782,167.8139284331782,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_6,age_46_55,sex_male,126.0,51.0,1,10.256130235517142
128,91.62479386732971,204908.59196957227,143.4361262984299,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,128.0,81.0,1,36.90274253123913
129,91.8272606602273,198451.40255226198,129.92023885463794,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,129.0,81.0,1,50.132678028764715
130,78.84043201163325,164831.2180259747,107.40638658130341,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_66_75,sex_male,130.0,51.0,1,31.859433497997166
131,87.09068483363588,220476.7007371968,156.4640438733677,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_2,age_36_45,sex_male,131.0,51.0,1,81.96505384489843
132,92.30121383115964,200814.8047172395,132.35681303609462,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_56_65,sex_male,132.0,81.0,1,19.050769248473173
133,99.4350306884586,251495.01018332265,178.2610755506161,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_3,age_66_75,sex_male,133.0,51.0,1,12.069746245620863
137,68.29116032442258,106019.60847608233,68.00562157257869,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_26_35,sex_female,137.0,31.0,1,59.80135949830817
141,94.77761714309008,195425.02043072146,136.2672973831208,Cooking_yes,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_female,141.0,81.0,1,86.3909045523545
142,93.03902923428257,240963.50935261426,169.86235571897413,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_56_65,sex_male,142.0,81.0,1,24.050769248473173
143,99.53794420051884,258442.71209262128,187.41917435891446,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_8,age_66_75,sex_male,143.0,81.0,1,46.61022346354012
144,74.09604983447458,141937.59558938822,93.22577785092304,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,144.0,51.0,1,110.38182723629791
147,70.85122469727307,157477.59764328186,117.75446707730451,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_High_School,Size_3,age_46_55,sex_male,147.0,1.0,1,113.31291927670445
148,84.96975323523934,169077.05825022582,121.8995397461776,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_male,148.0,51.0,1,54.43412390558048
149,67.62625433909547,122611.87144118195,92.97604543493068,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_56_65,sex_male,149.0,1.0,1,17.760404016326156
150,81.44730940183139,180152.3374912204,133.84558876140036,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_5,age_36_45,sex_female,150.0,61.0,1,51.72272113576414
151,87.320125737113,226263.7372687611,153.39223306231943,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_5,age_46_55,sex_female,151.0,51.0,1,28.03084504268221
152,68.06804692447847,102526.7800922346,64.06741029924576,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_26_35,sex_female,152.0,31.0,1,61.80135949830817
154,86.68503181465574,183726.36630563324,131.3619592015055,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_4,age_36_45,sex_male,154.0,81.0,1,47.445164589871766
155,85.3836740179383,191032.68143256716,125.62546135988985,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_66_75,sex_male,155.0,81.0,1,23.510808806102446
156,94.09021838952054,235212.59683450602,169.5454834069634,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,156.0,81.0,1,90.66028868342639
157,69.90041688216553,127037.39048832365,83.07312814325279,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_male,157.0,51.0,1,51.43412390558048
158,86.66158631097215,206134.51005809972,146.13370343091788,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_56_65,sex_female,158.0,81.0,1,21.56174246474089
160,95.42912495022176,225609.970117716,163.87922554503538,Cooking_no,Lighting_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_46_55,sex_male,160.0,81.0,1,22.324278935021866
