,Electricity,Income,Water,e_Cooking,e_Lighting,e_Refrigeration,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
30,94.9480539064653,217542.72490205488,153.63736911116845,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,30.0,81.0,1,2.6490642874692067
34,88.57640241409806,181329.33677030297,131.84442551676435,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,34.0,81.0,1,45.390133308575074
36,99.49929084107669,269266.1574827907,190.38770992236684,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_76_85,sex_female,36.0,81.0,1,0.9487029174948249
37,97.20675143540072,231617.40679765336,164.7271230717071,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_female,37.0,81.0,1,33.52512065181051
38,95.58611945584668,227227.54566339398,163.38662956533477,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,38.0,81.0,1,16.654999346204065
39,80.65220480066668,173416.13461934612,126.70245776669762,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,39.0,51.0,1,5.922214959868237
40,92.3237612122971,209167.8828597229,155.0041171825512,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_36_45,sex_male,40.0,81.0,1,44.59919704256944
41,93.225290723138,219619.14170142892,166.81167920727918,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_46_55,sex_female,41.0,81.0,1,72.01327011693871
42,101.19724766858243,236107.90499227395,172.73969651300104,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,42.0,81.0,1,166.57461173299657
46,80.52281662320641,197002.83284477555,137.18949849315516,Cooking_yes,Lighting_yes,Refrigeration_no,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_female,46.0,81.0,1,20.369598637569332
47,82.19253209653742,142761.8936944082,104.24562542642715,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_2,age_36_45,sex_male,47.0,31.0,1,132.23963754572452
48,99.43172424779844,238844.1274653525,173.48839278184994,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,48.0,81.0,1,172.17240877609703
49,95.41689291421194,224950.26129728238,161.50981768692816,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,49.0,81.0,1,157.16647371736207
58,88.81662872492458,179964.83471652298,130.8073242414336,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,58.0,51.0,1,52.390133308575074
62,87.95406564392401,185298.45490195157,137.40668788964035,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,62.0,81.0,1,21.928150018603098
64,88.48419061018444,176349.9259618148,124.81917251513646,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,64.0,51.0,1,2.9222149598682368
68,90.93605796932437,225809.61402146984,172.8220199173273,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_46_55,sex_male,68.0,81.0,1,213.12254153119727
69,94.07090999168936,189522.6873584412,138.0838950109835,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,69.0,81.0,1,159.4396243897612
73,95.05147527962805,218530.6551506046,154.25837303430487,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,73.0,81.0,1,39.11698263617609
79,99.72307792277313,229643.105602297,164.30031893637062,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,79.0,81.0,1,18.654999346204065
81,66.6949651662233,97475.97282817493,73.99159289634837,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_19_25,sex_male,81.0,31.0,1,17.776353892330288
83,99.11781103519691,219142.86539458964,157.69202288911742,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,83.0,81.0,1,2.6490642874692067
84,87.24936888028914,172794.66998521614,124.39839333887484,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,84.0,51.0,1,6.922214959868237
85,94.95465588938845,232752.1292578603,167.95358661168046,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_female,85.0,81.0,1,21.063137361838457
87,89.36680181338538,182745.7417455196,129.52345656225958,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_female,87.0,81.0,1,16.330352975502635
88,88.0146754289847,182788.04017757927,127.57734422487655,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,88.0,81.0,1,37.390133308575074
89,95.11444377711477,196005.57094710084,146.49606781899504,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,89.0,81.0,1,184.445559448496
91,88.36095404772198,197584.2004546561,143.38981616480913,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,91.0,81.0,1,187.445559448496
92,90.40599855879609,190186.28516706923,139.0499605529611,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,92.0,81.0,1,164.4396243897612
94,101.61676501663734,226458.3602730905,161.76808320096853,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,94.0,81.0,1,156.16647371736207
97,96.61190086012131,234419.113507172,169.5611985290637,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,97.0,81.0,1,164.57461173299657
102,87.95581399943669,181188.3540875972,133.37329890463988,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_female,102.0,81.0,1,12.330352975502635
103,94.29820303979841,225267.7793886089,157.4708656650909,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,103.0,81.0,1,36.11698263617609
104,97.38751028001732,221734.54409591254,159.06746522090202,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_female,104.0,81.0,1,25.63407120381501
105,92.35255731951318,200884.22921759143,148.29904897012128,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,105.0,81.0,1,180.8536974641304
110,85.60358565693426,177211.93507787157,130.27534678193916,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,110.0,51.0,1,59.390133308575074
113,95.23948074748176,250916.58675103547,175.82824980018196,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,113.0,81.0,1,6.102247395861763
114,97.76253932998495,227023.27521583065,161.6522493357883,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,114.0,81.0,1,169.16647371736207
117,96.45994638262331,230906.6708983245,168.96136561782876,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_46_55,sex_female,117.0,81.0,1,17.279231461958297
118,99.59946430800085,235586.38521027644,170.10427950623972,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_46_55,sex_female,118.0,81.0,1,21.279231461958297
123,96.35878655919252,230688.94412989586,175.53976587989322,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_56_65,sex_male,123.0,81.0,1,6.098071636405319
126,89.23007270941919,192089.34326011353,139.58110889712086,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,126.0,81.0,1,182.445559448496
134,91.84081521366578,203831.42782006148,147.92079291693057,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,134.0,81.0,1,7.3753980682607825
135,99.7454140044703,235296.4295738313,166.94676691997685,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,135.0,81.0,1,170.57461173299657
136,97.23363409660816,222177.2470207165,161.3052560040434,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_female,136.0,81.0,1,2.273296403223502
137,96.43803107914005,223481.74726871052,162.6994821137381,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_female,137.0,81.0,1,2.273296403223502
143,89.10210932246153,197345.99905652332,140.5991360713926,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,143.0,81.0,1,180.445559448496
144,91.3649670599417,210826.74400419614,152.79885898411013,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,144.0,81.0,1,1.2199981294457642
145,89.57209857628574,210933.87549494227,158.2230743712159,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,145.0,81.0,1,0.21999812944576425
146,82.78861903910739,187066.69438132428,139.14862967995722,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,146.0,81.0,1,148.4396243897612
147,94.26335845027849,186219.82227731813,132.26231710707597,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,147.0,81.0,1,19.928150018603098
149,88.44688310937444,184884.61635563328,132.4212219591495,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,149.0,81.0,1,158.4396243897612
150,98.90152622413076,237240.1048775212,169.8443957651516,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,150.0,81.0,1,174.17240877609703
151,93.1161396758748,207371.75307184868,146.648102971021,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,151.0,81.0,1,9.375398068260782
154,104.7511654753773,270165.1448117861,196.0322689981343,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_6,age_46_55,sex_female,154.0,81.0,1,14.006080789559327
162,98.0981078610932,226426.36036517785,160.90482062682787,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_female,162.0,81.0,1,45.52512065181051
166,109.34283113603195,276374.1243854492,200.47274046453396,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_7,age_46_55,sex_male,166.0,81.0,1,35.12924186777889
167,101.10318562937574,256606.9448507804,187.43010193418385,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_female,167.0,81.0,1,12.354985472681125
168,91.76085131263157,197211.78560668376,140.17400903724752,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,168.0,81.0,1,174.445559448496
169,87.2731523495063,178253.3195460114,128.55296244137952,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,169.0,51.0,1,50.390133308575074
178,99.29156083468382,235056.0508344808,169.20768866454827,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,178.0,81.0,1,178.17240877609703
179,104.67842382502205,258126.2634972771,187.04416464713262,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_male,179.0,81.0,1,12.952782515781593
180,85.78756309116571,196071.1768000536,140.69966677085793,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_female,180.0,81.0,1,30.33628803423754
181,90.87412581649285,189118.47924984028,136.9240934145817,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,181.0,81.0,1,15.928150018603098
183,89.06692726502138,187989.37675323014,136.27072274210957,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,183.0,81.0,1,21.928150018603098
185,91.91691928527277,182852.5502694473,132.0144072818776,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,185.0,81.0,1,37.390133308575074
186,89.11152371535513,203699.6806214512,147.892080543699,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,186.0,81.0,1,195.8536974641304
187,99.08385459677788,235420.77469006227,172.44667508646918,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,187.0,81.0,1,177.57461173299657
188,91.63189722005079,187979.55831762718,138.62081987828822,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,188.0,81.0,1,163.4396243897612
189,97.83638284692732,220920.2493806363,159.95135934161948,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,189.0,81.0,1,2.6490642874692067
190,97.50660840507577,216111.73978524274,153.663339423481,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,190.0,81.0,1,0.6490642874692067
191,91.70955488426527,182652.3616821928,132.55482494046555,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_female,191.0,81.0,1,15.330352975502635
192,101.76970570064364,222507.81009685036,158.02267409422214,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_female,192.0,81.0,1,1.273296403223502
196,86.739604772719,184308.86461746765,132.01064345515647,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,196.0,81.0,1,14.928150018603098
198,101.43574508761421,249815.70376080906,180.896792662188,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,198.0,81.0,1,9.102247395861763
199,88.32457565976566,181252.35569729973,133.26824831187358,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_female,199.0,81.0,1,14.330352975502635
200,87.4000853184275,184437.74570717211,132.4965046510373,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,200.0,81.0,1,20.928150018603098
203,95.70562108994824,199448.20979560268,148.10267304930784,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,203.0,81.0,1,186.445559448496
204,92.69358015354842,224221.49680746763,165.79963547604797,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_46_55,sex_male,204.0,81.0,1,7.871093446323897
205,99.31480898851791,244450.09106843124,178.26688738296494,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_7,age_46_55,sex_female,205.0,81.0,1,46.81053055581238
208,100.31132156083599,222795.1707311193,159.85706378309825,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_female,208.0,81.0,1,1.273296403223502
210,82.23409471746673,172403.11099569788,126.50752386702132,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,210.0,51.0,1,3.9222149598682368
211,91.10534873840409,189646.864145758,137.35984083270304,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,211.0,81.0,1,157.4396243897612
212,100.36177225564212,221125.1654697066,158.0316932081606,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,212.0,81.0,1,1.6490642874692067
214,91.25468757402159,187216.16564385567,138.37793349274057,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_female,214.0,81.0,1,29.33628803423754
216,102.898609757542,244105.0309351929,175.45192995537275,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_female,216.0,81.0,1,5.5044503527613
217,102.16986081507898,234654.4967358041,181.03109729427487,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_4,age_46_55,sex_male,217.0,81.0,1,55.05238015096201
218,101.58812489097087,240574.901990374,182.66622348279702,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_66_75,sex_female,218.0,81.0,1,14.549481933520767
224,94.14972671488917,211072.4709210113,165.01879760650908,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_1,age_46_55,sex_female,224.0,81.0,1,5.610798184736332
227,103.84236950813283,255301.2244751665,179.80678429867652,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_male,227.0,81.0,1,14.952782515781593
229,85.41850043403849,188243.99202598695,137.40749826486743,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_female,229.0,81.0,1,34.79827132420948
230,97.08947591597773,218426.231322518,154.2579781741979,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,230.0,81.0,1,40.11698263617609
232,100.96158204607413,256000.62762549284,189.9164581677913,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_female,232.0,81.0,1,25.510385411496223
233,96.60700951062191,218061.1319608332,151.7728498710214,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,233.0,81.0,1,1.6490642874692067
236,100.98390100472828,236043.5869672905,167.58449953241978,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,236.0,81.0,1,178.17240877609703
239,85.99147557030062,185456.07841661462,136.3788815584598,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,239.0,81.0,1,20.928150018603098
244,88.38957632597275,183635.5672852313,138.68224737164354,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_female,244.0,81.0,1,15.330352975502635
245,87.50092842404196,178166.2277352194,128.21813873456983,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,245.0,51.0,1,3.9222149598682368
248,95.35599839081394,231131.15246364128,165.4941015336709,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_female,248.0,81.0,1,42.52512065181051
250,96.08724930889795,218882.2147425278,158.18919009373957,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,250.0,81.0,1,15.225933188180562
253,94.83338990756219,235097.98324029054,165.84067409389127,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,253.0,81.0,1,179.57461173299657
254,85.5539942369078,185508.4736080016,133.78795220622743,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,254.0,81.0,1,155.4396243897612
255,98.57952559591293,206282.93937965628,146.68511187166217,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,255.0,81.0,1,15.375398068260782
256,106.12893544704748,237574.72033458282,164.29725899337663,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,256.0,81.0,1,190.17240877609703
262,94.36243393319008,195357.9428732628,140.38184507447951,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_female,262.0,81.0,1,180.84776240539566
263,93.72727769642336,210319.5794045665,158.52213288504984,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_female,263.0,81.0,1,8.628136145080166
265,85.82527897951184,185648.34490774453,134.16106226175276,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_female,265.0,81.0,1,37.33628803423754
267,94.3238956468726,219151.49158901017,151.73741468448875,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,267.0,81.0,1,1.6490642874692067
270,105.32056289633951,245887.3528934705,168.78123793029462,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,270.0,81.0,1,11.102247395861763
273,93.22663324003668,207715.76819523558,152.3131456578391,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,273.0,81.0,1,1.2199981294457642
274,80.96255347013363,133662.91127829134,98.56273082321249,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_1,age_46_55,sex_male,274.0,31.0,1,46.84310067225693
279,98.06057393352349,234299.24616620003,170.50700178443208,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,279.0,81.0,1,161.57461173299657
280,101.36742735407988,255627.54700214954,187.63552671655845,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_female,280.0,81.0,1,8.354985472681125
281,96.83318920752147,235644.63256548552,166.47862253029618,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_7,age_46_55,sex_male,281.0,81.0,1,41.40239254017796
284,101.54271022707705,226739.79323147077,166.60554374279837,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_46_55,sex_female,284.0,81.0,1,17.279231461958297
285,94.24763635186176,221811.18440055352,159.72274102211358,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_46_55,sex_male,285.0,81.0,1,8.871093446323897
286,103.43549338581406,269622.8590614618,187.5478256702148,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_6,age_46_55,sex_male,286.0,81.0,1,2.597942773924869
287,96.69281954380098,222908.60628161204,157.6493288218813,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,287.0,81.0,1,0.6490642874692067
288,91.7066648614852,202449.036533756,148.85161933000657,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,288.0,81.0,1,173.8536974641304
289,98.0256870210758,230357.5921996141,165.42871007622068,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,289.0,81.0,1,170.57461173299657
292,97.97163350351354,202209.75752897246,153.67493823502818,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,292.0,81.0,1,155.8536974641304
