,Electricity,Income,Water,e_Cooking,e_Refrigeration,e_TV,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
18,88.60230878564535,185427.22216497612,139.98906096734248,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,18.0,81.0,1,52.60667994361988
19,83.89092034316367,193344.90829434863,135.3842256552217,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_female,19.0,81.0,1,116.32350466014589
21,86.2093022038344,181485.19108722173,129.43401369045066,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,21.0,81.0,1,36.25509801638677
23,91.99919938837448,223681.7241586768,173.91584203711903,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_46_55,sex_male,23.0,81.0,1,147.319216953257
25,104.05828436576155,257933.2063108421,180.42367781739625,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_male,25.0,81.0,1,20.817494604123503
28,96.0289412857457,220399.01735395566,153.62767615538255,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,28.0,81.0,1,38.47186008805191
30,93.87449989364046,213368.41486484586,165.3106519276874,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_46_55,sex_male,30.0,81.0,1,70.48010512652479
31,77.90481230374692,136066.74235991205,97.91262597330449,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_1,age_46_55,sex_male,31.0,31.0,1,42.91501470855515
33,82.15888929252655,150797.21016168073,95.8732377559566,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,33.0,51.0,1,10.549546902664538
34,87.26151358386329,197856.98330230932,148.58014810903998,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_female,34.0,81.0,1,141.3664433547026
37,89.92644243304944,198319.98692793038,143.14595495191875,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,37.0,81.0,1,-0.4933917918922661
38,92.65535115473062,224367.64400864556,160.8668021693129,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_2,age_36_45,sex_male,38.0,51.0,1,52.68247146070141
40,80.53127450804901,172645.29925415732,126.24203596313576,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_36_45,sex_male,40.0,21.0,1,54.46570938903628
41,87.48239932736065,217603.4468050859,161.9157307976973,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,41.0,81.0,1,12.557793837901567
43,77.41234815545151,132135.52606676493,84.84356555781498,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,43.0,51.0,1,110.90927073348533
45,90.98423513636207,196337.10373366048,142.2750385106534,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,45.0,81.0,1,5.549546902664538
46,94.45920981659121,210857.91324472503,153.53670536567327,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_female,46.0,81.0,1,20.478445422252094
47,81.60273780991551,196268.58311483942,141.43172730709432,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,47.0,81.0,1,145.63214789282222
48,93.59547216303051,250909.0511887996,178.94592112966927,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_male,48.0,81.0,1,23.774555909566708
51,99.60883569653849,222459.2120209294,163.34419706401212,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_female,51.0,81.0,1,18.066679023651368
52,85.34131065568809,176351.17716201296,114.40033609906729,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,52.0,51.0,1,54.47186008805191
53,72.64697548894503,118191.87339449339,90.07636224873886,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,53.0,31.0,1,188.61685812568714
54,81.49595495006484,174206.27201081306,122.18627205424289,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,54.0,51.0,1,43.25509801638677
55,96.54479176722526,222183.71732379,156.1958546511841,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,55.0,81.0,1,81.12603280515046
59,78.45801631170676,149702.94659385446,96.0544102807417,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,59.0,51.0,1,183.48873046490888
64,97.40024556242874,237267.264831628,174.7213902541813,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,64.0,81.0,1,138.70549253657407
65,89.88045755335547,224583.5154792821,160.30873617036792,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_3,age_26_35,sex_male,65.0,51.0,1,106.3366441778
66,98.7818727157828,240843.1099653088,169.24949815829115,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,66.0,81.0,1,13.766308974329672
68,95.63490966025331,215834.1681766844,159.0817007901098,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,68.0,81.0,1,23.600732532458366
71,96.4921292897798,245632.77010493266,195.9400867191809,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_66_75,sex_female,71.0,81.0,1,20.772286100174654
72,93.10933654058887,220813.36934800172,154.53757101647855,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_19_25,sex_female,72.0,81.0,1,3.1484671444034156
73,100.52166537917195,228041.17545514303,161.9152447212442,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_female,73.0,81.0,1,95.31238892762053
74,82.5953425763232,177201.2430094646,128.2299092886843,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,74.0,51.0,1,93.86633203892856
77,94.62489139164481,224127.3422672829,160.5186554193094,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,77.0,81.0,1,61.78050332072823
78,87.27723246353146,201013.87330390894,147.08656375537166,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,78.0,81.0,1,131.63214789282222
79,87.49510550169363,174040.93674094597,124.90524751721512,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_46_55,sex_female,79.0,51.0,1,13.878399614160706
80,74.20157886385046,126198.5844654157,79.72811551995994,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,80.0,51.0,1,45.25509801638677
81,102.76032763505332,237387.54317427185,175.1379780824198,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_4,age_46_55,sex_male,81.0,81.0,1,34.731615318245716
83,94.76963274172182,242549.874722872,167.93934822358528,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,83.0,81.0,1,5.7233702797728725
85,69.37222792399221,141648.78582857002,91.89278802598774,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,85.0,51.0,1,143.1371485376758
87,114.71356153902477,308063.1954609999,213.416899894432,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_9,age_46_55,sex_female,87.0,51.0,1,46.82767397418877
88,86.48675514947712,215861.09692839815,151.81039857736383,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,88.0,81.0,1,6.557793837901567
89,97.29608995303437,253671.42385536712,179.11166061942745,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,89.0,81.0,1,12.465912676890397
90,87.71121383738556,205352.1811132154,136.78470799619342,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,90.0,81.0,1,8.465912676890397
93,91.98709606921257,211249.15988494272,147.96079238936338,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,93.0,81.0,1,9.292089299782067
94,100.28819330249395,264970.67092731374,193.26757080272947,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_6,age_36_45,sex_male,94.0,81.0,1,12.054146278289682
95,83.65186691261886,199415.4783002761,149.07720086314185,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,95.0,81.0,1,-0.4933917918922661
97,100.98110472213129,228568.37874805488,166.5089312650916,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,97.0,81.0,1,56.82344201528501
98,82.95627946874257,186832.78456691536,136.7426848426946,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,98.0,81.0,1,121.13714853767581
99,105.56922262716171,269943.5956132559,194.81231117356762,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_7,age_36_45,sex_male,99.0,81.0,1,38.22128784250697
100,83.57423330217216,163739.77940994818,120.49294286426549,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_4,age_36_45,sex_male,100.0,31.0,1,54.772518119528996
102,92.22400991487791,235214.31723585684,168.5667384715344,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,102.0,81.0,1,124.70549253657407
106,78.47423690775824,137915.89450834345,86.04700483254317,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,106.0,51.0,1,61.56374124906307
108,93.0100150314328,227106.01433241565,162.0865013397031,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,108.0,81.0,1,140.39684930389774
109,98.82556998808953,259601.67066677022,186.63620811342528,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_6,age_36_45,sex_male,109.0,81.0,1,16.097084972846474
110,94.06217443116829,202539.08371433394,145.35026886370838,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,110.0,81.0,1,5.549546902664538
111,86.130976974056,186592.13898190987,137.07291737970723,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,111.0,81.0,1,138.1800872322326
112,91.13389105370943,208205.84687730472,154.47746642350012,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,112.0,81.0,1,22.85819013534084
113,92.80632670278005,235596.49560076065,184.6095290888213,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_4,age_46_55,sex_male,113.0,81.0,1,28.68867662368892
114,90.49695164198576,226190.01718371734,172.68297746656958,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_56_65,sex_male,114.0,81.0,1,10.820484977030343
116,85.11582103769817,187788.530416362,140.34432331962873,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_female,116.0,81.0,1,58.79303606608991
122,84.80053526203156,221933.55259561675,158.78736004665006,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_male,122.0,81.0,1,2.8373842066245425
124,80.55316380580544,184670.03697616715,133.62138709358672,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,124.0,81.0,1,43.56374124906307
126,105.67313117595123,289331.0320642794,210.04525210801742,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_7,age_46_55,sex_female,126.0,81.0,1,52.67334850309649
127,102.92406182210912,274200.27780421893,197.33712512694882,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_7,age_46_55,sex_male,127.0,81.0,1,40.48699238062649
128,82.9021665558433,192290.27214438605,143.04877401410175,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,128.0,81.0,1,126.44579177035217
129,85.81245360320642,209373.40225907293,154.1871455747883,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,129.0,81.0,1,3.2491506052252657
130,95.82389864864678,247174.54954635692,191.69919116242485,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_6,age_36_45,sex_male,130.0,81.0,1,18.710809389529416
133,94.8401177905986,211761.36619329482,160.56098827108005,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_26_35,sex_male,133.0,81.0,1,78.73975722183343
135,70.63620438477042,135419.4394227125,97.00312769575791,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_2,age_26_35,sex_male,135.0,31.0,1,12.207252734503946
136,84.2581543689017,132877.34577787426,97.15579267758586,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_2,age_26_35,sex_male,136.0,31.0,1,28.25019142906075
137,82.92132210255456,139708.9118578409,103.2060864055805,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_2,age_26_35,sex_female,137.0,31.0,1,38.43654755153078
140,88.22883545155554,197153.16195542272,146.73694714854017,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,140.0,81.0,1,138.44579177035217
141,84.46622343212286,173797.3157137665,123.2155191897564,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,141.0,51.0,1,55.29803671094358
144,89.64239571605461,197544.07416900696,141.03468704639613,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,144.0,81.0,1,141.48873046490888
145,99.77637810038222,205399.98289886603,150.65492813318605,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,145.0,81.0,1,12.292089299782067
150,101.9591122070278,234301.57773662664,171.5406517885821,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_female,150.0,81.0,1,76.0097981377551
151,101.5188846095397,240977.55921608664,173.02535979452145,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_56_65,sex_male,151.0,81.0,1,2.163821865790575
152,90.34427356528043,220849.7761514349,156.37433132984,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_2,age_36_45,sex_male,152.0,51.0,1,50.68247146070141
153,96.50463817393738,227929.9514973279,159.92568260778862,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_female,153.0,81.0,1,92.26945023306371
154,98.54980169930501,254155.07645616774,186.02394978737232,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_male,154.0,81.0,1,-0.07073313353513377
156,88.62447120434025,227117.4227205002,173.81756078473208,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_4,age_36_45,sex_male,156.0,81.0,1,15.38003339101261
157,85.23833108355926,173804.52426976615,123.64942984343449,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,157.0,51.0,1,38.25509801638677
163,89.08997343408394,212890.4707152037,152.48657959857337,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_1,age_46_55,sex_male,163.0,81.0,1,0.8658668687990092
167,79.49289351174318,188283.87354687415,122.00522293982931,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,167.0,81.0,1,119.35391060934097
168,90.74938693152971,187097.99831905344,136.66989377055296,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,168.0,81.0,1,129.1800872322326
170,84.29851033231225,197071.28338222086,142.9583299395098,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,170.0,81.0,1,130.44579177035217
175,107.57320857305872,283213.37037173373,201.41632363138672,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_8,age_46_55,sex_male,175.0,81.0,1,55.44626381673308
176,93.10921537139107,219578.5305638763,157.01944425894112,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,176.0,81.0,1,39.47186008805191
177,99.9229145998043,244815.6324978295,180.75739144097375,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_56_65,sex_male,177.0,81.0,1,2.163821865790575
178,92.94793560911707,239319.86851764782,174.13530623454494,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,178.0,81.0,1,129.6625538420173
180,86.05928815528378,188978.85670137755,137.05577329037206,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_female,180.0,81.0,1,127.32350466014589
181,84.00176951220989,185484.67167088093,134.81966840484992,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_female,181.0,81.0,1,83.0526881613986
182,88.90686502781082,185319.7150000381,136.51546872012128,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,182.0,81.0,1,127.18008723223261
183,96.82696680254969,254649.47793860035,184.6212858992165,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_College,Size_5,age_46_55,sex_male,183.0,51.0,1,26.985167282216217
184,92.627018202223,225524.2505340513,161.39240073582016,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_46_55,sex_male,184.0,81.0,1,13.146027439300841
186,66.94349221204163,99115.96211573768,63.568152136112225,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_26_35,sex_male,186.0,31.0,1,148.08930325579303
189,92.87595674485571,223696.73648487226,157.76332100882718,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_female,189.0,81.0,1,41.65821621052194
190,92.81887344749157,228120.49442400553,165.35227515064085,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,190.0,81.0,1,47.78050332072823
191,91.93065290070484,222106.9035152229,162.84051896438248,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_1,age_46_55,sex_female,191.0,81.0,1,9.052222991269037
192,84.29630143553152,208391.95415244132,149.59587645880174,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_5,age_36_45,sex_male,192.0,51.0,1,6.459761977874768
193,96.9937673478269,247484.7572018513,176.02933667091443,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,193.0,81.0,1,18.032013512449176
194,87.03026534385941,183581.8938166645,133.99952573607771,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_female,194.0,81.0,1,51.4414541388568
195,98.89405968811764,248246.2319238364,183.0374246872149,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_female,195.0,81.0,1,12.909726402242896
196,87.88799511218589,215895.58565565996,154.45462459289996,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_male,196.0,81.0,1,2.8373842066245425
197,98.78496916207844,269455.19622753805,189.9582721813214,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_7,age_36_45,sex_male,197.0,81.0,1,31.178349147950158
198,87.59155976902154,180960.11164656226,128.71406979742372,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_46_55,sex_female,198.0,81.0,1,10.878399614160706
201,82.69465572207898,177273.01903895926,123.53874972932842,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_36_45,sex_female,201.0,51.0,1,6.5697563814843924
202,90.85787451626715,183622.31450057038,137.43959993072394,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,202.0,81.0,1,43.60667994361988
204,84.79898044228567,204237.27429490897,145.90886576734997,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_46_55,sex_female,204.0,51.0,1,174.84275926547167
205,97.26293086020006,230454.37975704824,168.6763570570043,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,205.0,81.0,1,130.35391060934097
209,88.02396139469938,179841.93235317388,128.95307618266418,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,209.0,51.0,1,50.29803671094358
212,77.02365146661153,163169.04265648418,123.71991566653404,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_46_55,sex_female,212.0,31.0,1,261.85511910968665
214,92.67821388199481,227080.0241204785,166.93499680583392,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,214.0,81.0,1,45.78050332072823
215,94.27441555887556,211929.82256536672,151.8002767128855,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_1,age_46_55,sex_male,215.0,81.0,1,1.8658668687990092
216,83.34005321451886,178880.74740545914,130.591542766185,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,216.0,51.0,1,43.25509801638677
217,96.42720151329254,217705.48607133387,157.7350959662344,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,217.0,81.0,1,21.600732532458366
221,84.86475296625656,185425.463726546,137.17576049455369,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,221.0,81.0,1,42.56374124906307
222,100.46438659230604,232699.87649402965,164.46109984923496,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,222.0,81.0,1,139.35391060934097
223,94.84609479564979,242084.53660406193,178.27291218532815,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_female,223.0,81.0,1,154.89184865904406
228,72.50951755172524,145253.88425139998,106.20510918212256,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_46_55,sex_female,228.0,31.0,1,11.872277621149776
229,95.64209717177995,238239.3966705235,186.8602487837088,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_5,age_36_45,sex_male,229.0,81.0,1,25.122575788130142
230,89.1741940745768,204214.67073731453,147.2722931111521,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,230.0,81.0,1,14.735903025134569
231,90.55271670809928,199944.6759568598,131.94415927515215,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,231.0,81.0,1,7.7233702797728725
232,63.93509869998492,100393.42840903015,65.31931190725864,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_2,age_46_55,sex_male,232.0,31.0,1,109.78671246592756
