,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_Cooking,e_Refrigeration,e_TV,e_Urban,Income,Electricity,Water,w,wf
23,40,sex_male,Size_3,age_46_55,Education_Post_Graduate,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,223681.7241586768,91.99919938837449,173.91584203711903,64.42681258549932,306.319216953257
24,42,sex_female,Size_6,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,241611.11720159158,104.17707348267089,178.62599296308767,64.42681258549932,0.0
25,43,sex_male,Size_5,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,257933.2063108421,104.05828436576154,180.42367781739625,64.42681258549932,60.81749460412351
26,44,sex_male,Size_6,age_26_35,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,211464.24737801688,88.41660257618845,155.4610074670545,64.42681258549932,0.0
27,47,sex_male,Size_1,age_36_45,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,212714.86171275313,89.9217407106783,150.4366726109279,64.42681258549932,0.0
28,49,sex_male,Size_2,age_36_45,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,220399.01735395563,96.0289412857457,153.62767615538257,64.42681258549932,86.47186008805191
29,50,sex_male,Size_3,age_19_25,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,214566.64260501732,90.81377229866321,144.938186765494,64.42681258549932,0.0
30,53,sex_male,Size_2,age_46_55,Education_Post_Graduate,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,213368.41486484584,93.87449989364046,165.31065192768742,64.42681258549932,140.4801051265248
31,54,sex_male,Size_1,age_46_55,Education_High_School,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,136066.74235991205,77.90481230374692,97.91262597330449,64.42681258549932,60.91501470855514
32,55,sex_male,Size_5,age_56_65,Education_Post_Graduate,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,252335.52830945843,96.75449778106423,188.59214120923758,64.42681258549932,0.0
33,56,sex_male,Size_4,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,150797.21016168076,82.15888929252654,95.8732377559566,64.42681258549932,16.54954690266454
34,58,sex_female,Size_3,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,197856.98330230938,87.2615135838633,148.58014810903995,64.42681258549932,290.36644335470265
35,59,sex_male,Size_3,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,203397.8914959989,95.7437833838308,145.8423142053204,64.42681258549932,0.0
36,60,sex_male,Size_2,age_26_35,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,217018.77069542746,97.89919574843083,154.2153754170156,64.42681258549932,0.0
37,61,sex_male,Size_4,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,198319.9869279304,89.92644243304946,143.14595495191875,64.42681258549932,0.5066082081077339
38,62,sex_male,Size_2,age_36_45,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,224367.64400864553,92.65535115473062,160.86680216931293,64.42681258549932,82.68247146070141
39,63,sex_male,Size_2,age_19_25,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,163055.27588605098,86.62175464814943,108.25146691949769,64.42681258549932,0.0
40,64,sex_male,Size_2,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Rural,172645.29925415732,80.53127450804901,126.24203596313576,64.42681258549932,68.46570938903628
41,66,sex_male,Size_5,age_46_55,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,217603.4468050859,87.48239932736064,161.9157307976973,64.42681258549932,30.55779383790157
42,67,sex_male,Size_5,age_26_35,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,242675.51033213592,102.97949712832697,171.83648490816717,64.42681258549932,0.0
43,68,sex_male,Size_3,age_26_35,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,132135.52606676496,77.41234815545151,84.84356555781498,64.42681258549932,164.90927073348533
44,69,sex_female,Size_5,age_26_35,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,203302.28406091355,89.1847763837266,147.2608715410237,64.42681258549932,0.0
45,70,sex_male,Size_4,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,196337.10373366045,90.98423513636209,142.27503851065342,64.42681258549932,16.54954690266454
46,71,sex_female,Size_5,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,210857.91324472506,94.45920981659121,153.53670536567327,64.42681258549932,48.47844542225209
47,72,sex_female,Size_3,age_46_55,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,196268.5831148394,81.60273780991552,141.43172730709432,64.42681258549932,292.6321478928222
48,73,sex_male,Size_5,age_46_55,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,250909.05118879958,93.59547216303051,178.94592112966927,64.42681258549932,44.77455590956671
49,74,sex_female,Size_5,age_19_25,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,198852.737980661,83.10041323674268,142.84966289621744,64.42681258549932,0.0
50,75,sex_female,Size_4,age_66_75,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,231987.31723926234,98.97498985610694,172.2397503210186,64.42681258549932,0.0
51,76,sex_female,Size_6,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,222459.2120209294,99.60883569653848,163.34419706401212,64.42681258549932,44.06667902365137
52,77,sex_male,Size_2,age_36_45,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,176351.17716201296,85.3413106556881,114.40033609906727,64.42681258549932,86.47186008805191
53,80,sex_male,Size_3,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,118191.87339449339,72.64697548894503,90.07636224873886,64.42681258549932,252.61685812568712
54,82,sex_male,Size_2,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,174206.27201081303,81.49595495006484,122.1862720542429,64.42681258549932,72.25509801638677
55,85,sex_male,Size_3,age_26_35,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,222183.71732378996,96.54479176722526,156.19585465118413,64.42681258549932,179.12603280515046
56,88,sex_male,Size_7,age_26_35,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,266236.27492074925,99.77780522875565,191.77479155316541,64.42681258549932,0.0
57,90,sex_male,Size_4,age_26_35,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,193326.33109256078,83.43248913348185,141.92029871170882,64.42681258549932,0.0
58,91,sex_male,Size_4,age_19_25,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,225906.1246962986,96.73836894792713,163.775851304316,64.42681258549932,0.0
59,92,sex_male,Size_3,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,149702.94659385443,78.45801631170677,96.0544102807417,64.42681258549932,288.4887304649089
60,93,sex_female,Size_1,age_66_75,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,200529.9768542564,86.44981396669009,143.18226681164634,64.42681258549932,0.0
61,96,sex_male,Size_2,age_26_35,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,166317.77674064017,85.51583501409058,118.52970996860532,64.42681258549932,0.0
62,97,sex_male,Size_2,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,192609.59178068966,90.13283504916492,138.36786781950684,64.42681258549932,0.0
63,98,sex_male,Size_2,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,194717.06415751314,84.73576352182776,140.41953255557402,64.42681258549932,0.0
64,99,sex_male,Size_3,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,237267.264831628,97.40024556242874,174.72139025418127,64.42681258549932,302.70549253657407
65,100,sex_male,Size_3,age_26_35,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,224583.5154792821,89.88045755335547,160.30873617036792,64.42681258549932,175.33664417779997
66,101,sex_male,Size_4,age_36_45,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,240843.1099653088,98.78187271578281,169.24949815829117,64.42681258549932,30.76630897432967
67,102,sex_male,Size_1,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,168450.5064716763,81.93900586788756,122.11282329949694,64.42681258549932,0.0
68,103,sex_male,Size_5,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,215834.1681766844,95.63490966025331,159.0817007901098,64.42681258549932,46.60073253245837
69,104,sex_male,Size_5,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,226936.46489431424,94.5180246839687,169.36477654790843,64.42681258549932,0.0
70,105,sex_male,Size_2,age_19_25,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,204807.26840965523,92.09309546602427,140.12637614290867,64.42681258549932,0.0
71,106,sex_female,Size_3,age_66_75,Education_Post_Graduate,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,245632.77010493263,96.4921292897798,195.94008671918095,64.42681258549932,42.772286100174654
72,110,sex_female,Size_3,age_19_25,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,220813.3693480017,93.10933654058887,154.53757101647852,64.42681258549932,5.148467144403415
73,111,sex_female,Size_3,age_26_35,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,228041.17545514306,100.52166537917195,161.9152447212442,64.42681258549932,199.31238892762053
74,112,sex_male,Size_3,age_26_35,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,177201.2430094646,82.5953425763232,128.2299092886843,64.42681258549932,148.86633203892856
75,113,sex_male,Size_3,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,197363.19602861427,85.9046426180974,141.9136056464392,64.42681258549932,0.0
76,114,sex_male,Size_4,age_26_35,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,235953.50815086818,94.24591674790645,165.85476500621064,64.42681258549932,0.0
77,115,sex_male,Size_2,age_46_55,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,224127.34226728286,94.6248913916448,160.5186554193094,64.42681258549932,104.78050332072822
78,116,sex_female,Size_3,age_46_55,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,201013.87330390897,87.27723246353145,147.08656375537166,64.42681258549932,292.6321478928222
79,117,sex_female,Size_1,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,174040.93674094597,87.49510550169363,124.90524751721512,64.42681258549932,27.878399614160703
80,118,sex_male,Size_2,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,126198.5844654157,74.20157886385046,79.72811551995994,64.42681258549932,72.25509801638677
81,119,sex_male,Size_4,age_46_55,Education_Post_Graduate,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,237387.54317427185,102.76032763505333,175.1379780824198,64.42681258549932,68.73161531824572
82,120,sex_male,Size_4,age_26_35,Education_Post_Graduate,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,219335.94729448954,95.38520591373914,169.90810718233845,64.42681258549932,0.0
83,122,sex_male,Size_4,age_36_45,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,242549.87472287202,94.76963274172182,167.93934822358528,64.42681258549932,14.723370279772872
84,123,sex_male,Size_5,age_26_35,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,204937.72484957028,84.15843046386915,145.87175344954574,64.42681258549932,0.0
85,124,sex_male,Size_3,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,141648.78582857002,69.37222792399221,91.89278802598774,64.42681258549932,254.1371485376758
86,125,sex_male,Size_8,age_26_35,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,233700.60074188412,96.62714037173812,165.94371430482434,64.42681258549932,0.0
87,127,sex_female,Size_9,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Rural,308063.1954609999,114.71356153902475,213.41689989443196,64.42681258549932,70.82767397418876
88,129,sex_male,Size_5,age_46_55,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,215861.09692839818,86.48675514947713,151.81039857736383,64.42681258549932,30.55779383790157
89,130,sex_male,Size_5,age_36_45,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,253671.4238553671,97.29608995303435,179.11166061942745,64.42681258549932,26.465912676890397
90,131,sex_male,Size_5,age_36_45,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,205352.1811132154,87.71121383738557,136.78470799619342,64.42681258549932,26.465912676890397
91,133,sex_male,Size_2,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,193336.99845007798,89.99648473333716,143.03302398670584,64.42681258549932,0.0
92,134,sex_male,Size_2,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,194603.29228313814,90.23427776172336,142.33005792928188,64.42681258549932,0.0
93,140,sex_male,Size_5,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,211249.15988494275,91.98709606921257,147.96079238936335,64.42681258549932,28.292089299782063
94,141,sex_male,Size_6,age_36_45,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,264970.67092731374,100.28819330249395,193.26757080272944,64.42681258549932,22.054146278289682
95,142,sex_male,Size_4,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,199415.4783002761,83.65186691261886,149.07720086314185,64.42681258549932,0.5066082081077339
96,143,sex_female,Size_2,age_26_35,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,133486.5554989241,71.12594563461133,86.14564261353398,64.42681258549932,0.0
97,144,sex_male,Size_2,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,228568.37874805488,100.98110472213129,166.50893126509158,64.42681258549932,120.82344201528502
98,145,sex_male,Size_3,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,186832.78456691536,82.95627946874257,136.7426848426946,64.42681258549932,254.1371485376758
99,150,sex_male,Size_7,age_36_45,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,269943.5956132559,105.56922262716172,194.81231117356765,64.42681258549932,93.22128784250697
100,151,sex_male,Size_4,age_36_45,Education_High_School,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,163739.77940994818,83.57423330217215,120.49294286426547,64.42681258549932,69.772518119529
101,152,sex_male,Size_1,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,171318.5185608026,82.47333443944868,121.40261997379339,64.42681258549932,0.0
102,153,sex_male,Size_3,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,235214.31723585684,92.2240099148779,168.56673847153442,64.42681258549932,302.70549253657407
103,155,sex_male,Size_2,age_76_85,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,244034.80797147052,103.90755184096685,169.2690115416058,64.42681258549932,0.0
104,157,sex_female,Size_2,age_56_65,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,237800.62962496074,104.93960632375666,177.02095972952733,64.42681258549932,0.0
105,158,sex_female,Size_1,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,181946.0512566323,87.63783258241321,133.99822156173124,64.42681258549932,0.0
106,160,sex_male,Size_2,age_46_55,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,137915.89450834345,78.47423690775825,86.04700483254317,64.42681258549932,90.56374124906307
107,161,sex_male,Size_2,age_26_35,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,215732.02628850148,86.7247468755949,152.09764087860583,64.42681258549932,0.0
108,162,sex_male,Size_3,age_36_45,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,227106.01433241565,93.0100150314328,162.0865013397031,64.42681258549932,284.39684930389774
109,163,sex_male,Size_6,age_36_45,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,259601.67066677022,98.82556998808953,186.63620811342528,64.42681258549932,38.09708497284648
110,164,sex_male,Size_4,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,202539.08371433394,94.06217443116829,145.35026886370835,64.42681258549932,16.54954690266454
111,165,sex_male,Size_3,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,186592.13898190987,86.130976974056,137.07291737970723,64.42681258549932,270.1800872322326
112,166,sex_male,Size_4,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,208205.84687730472,91.13389105370942,154.47746642350012,64.42681258549932,34.85819013534084
113,167,sex_male,Size_4,age_46_55,Education_Post_Graduate,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,235596.49560076065,92.80632670278005,184.60952908882126,64.42681258549932,52.68867662368892
114,168,sex_male,Size_3,age_56_65,Education_Post_Graduate,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,226190.01718371737,90.49695164198577,172.68297746656958,64.42681258549932,23.820484977030343
115,169,sex_male,Size_1,age_26_35,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,155637.9515989046,81.26037511211915,111.36568474155253,64.42681258549932,0.0
116,170,sex_female,Size_2,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,187788.53041636202,85.11582103769817,140.34432331962873,64.42681258549932,126.79303606608991
117,172,sex_male,Size_6,age_66_75,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,234663.9986994678,96.37013973378428,173.34942100926733,64.42681258549932,0.0
118,174,sex_male,Size_7,age_19_25,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,215341.72337639375,91.7376277417717,155.1258057706316,64.42681258549932,0.0
119,175,sex_male,Size_6,age_26_35,Education_High_School,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,132892.27070156918,75.58870355679598,87.33002904466954,64.42681258549932,0.0
120,177,sex_female,Size_6,age_26_35,Education_College,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,261775.94798611588,107.35113527681649,191.41776853431114,64.42681258549932,0.0
121,178,sex_female,Size_6,age_66_75,Education_High_School,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,207687.1464229604,90.59736650850071,158.52245866848196,64.42681258549932,0.0
122,179,sex_male,Size_6,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,221933.55259561673,84.80053526203156,158.78736004665006,64.42681258549932,7.8373842066245425
123,180,sex_male,Size_6,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,232844.52604460553,90.51259440604358,166.0601360808728,64.42681258549932,0.0
124,183,sex_male,Size_2,age_46_55,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,184670.03697616715,80.55316380580544,133.62138709358672,64.42681258549932,90.56374124906307
125,186,sex_female,Size_3,age_19_25,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,180668.86815629769,83.86228414241029,130.5382637545351,64.42681258549932,0.0
126,187,sex_female,Size_7,age_46_55,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,289331.0320642794,105.67313117595124,210.04525210801742,64.42681258549932,115.67334850309648
127,188,sex_male,Size_7,age_46_55,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,274200.27780421893,102.92406182210912,197.33712512694882,64.42681258549932,95.48699238062648
128,189,sex_male,Size_3,age_46_55,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,192290.27214438605,82.9021665558433,143.04877401410175,64.42681258549932,272.4457917703522
129,190,sex_male,Size_5,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,209373.40225907293,85.81245360320642,154.1871455747883,64.42681258549932,12.249150605225266
130,191,sex_male,Size_6,age_36_45,Education_Post_Graduate,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,247174.54954635695,95.82389864864678,191.69919116242485,64.42681258549932,41.710809389529416
131,192,sex_male,Size_7,age_56_65,Education_Elementary_School,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,163933.8885914112,80.61126829956515,120.55784125393764,64.42681258549932,0.0
132,193,sex_female,Size_5,age_56_65,Education_College,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,221151.85857337917,91.64756509851802,145.0300249143464,64.42681258549932,0.0
133,195,sex_male,Size_3,age_26_35,Education_Post_Graduate,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,211761.36619329482,94.84011779059861,160.56098827108002,64.42681258549932,182.73975722183343
134,197,sex_female,Size_1,age_26_35,Education_High_School,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,127272.66847332142,70.06477915346981,96.19951275516173,64.42681258549932,0.0
135,198,sex_male,Size_2,age_26_35,Education_High_School,Cooking_no,Refrigeration_yes,TV_yes,Urbanity_Urban,135419.4394227125,70.63620438477042,97.0031276957579,64.42681258549932,20.207252734503946
136,199,sex_male,Size_2,age_26_35,Education_High_School,Cooking_yes,Refrigeration_yes,TV_yes,Urbanity_Urban,132877.34577787426,84.2581543689017,97.15579267758586,64.42681258549932,36.25019142906075
