,Electricity,Income,Water,e_Cooking,e_Refrigeration,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
20,84.81326808102713,185276.3882572818,132.99779852378072,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_female,20.0,81.0,1,65.7629131953328
22,77.41905880078913,163966.10164433176,116.6671058311272,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_36_45,sex_male,22.0,51.0,1,82.65605793800209
23,72.34093590168722,136906.92070059187,93.17838114583695,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_female,23.0,51.0,1,32.901828703456154
24,67.33798272151513,144408.03479391034,109.35924604169624,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_2,age_46_55,sex_male,24.0,31.0,1,107.63691606750214
25,104.35272804887056,297582.99617382424,214.85283323641602,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_College,Size_8,age_46_55,sex_female,25.0,51.0,1,241.17270924950395
26,109.59026088712179,280252.9310078487,199.59878434854343,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_8,age_36_45,sex_male,26.0,81.0,1,189.82727523999029
28,91.25776155450652,201211.98386315868,147.3722847082577,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,28.0,81.0,1,20.228713767931573
29,74.74459205547348,178133.357293835,128.73265403917796,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_36_45,sex_male,29.0,21.0,1,104.05459786822736
30,100.78328578459595,237472.74070804426,170.61236696192938,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,30.0,81.0,1,96.11086174017868
31,91.05419849774923,214124.3511960864,153.73356316464088,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_26_35,sex_male,31.0,81.0,1,35.11123973642042
32,81.8670071727597,180279.08662217954,132.37181848047678,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,32.0,81.0,1,55.686941990870835
33,74.24565517653414,153095.44737263513,113.65571822202034,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_3,age_36_45,sex_male,33.0,31.0,1,132.4692553547544
35,71.03879089467047,141981.2207753575,104.54453241091741,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_2,age_36_45,sex_male,35.0,31.0,1,96.98381695518749
36,85.07916980265162,228534.513216342,174.8431794347409,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Graduate,Size_4,age_36_45,sex_male,36.0,51.0,1,26.113868295647677
37,78.90146386193327,177381.56682261234,126.74595596630085,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,37.0,51.0,1,67.06258808318054
38,79.40522299110394,142370.69759752258,107.71535067905216,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_46_55,sex_male,38.0,31.0,1,44.20041159962207
39,95.83906605746752,224245.63190893983,163.62521045195578,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,39.0,81.0,1,63.59667813598736
40,79.94792882030504,180754.82940626546,134.02171180319755,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_3,age_76_85,sex_male,40.0,61.0,1,14.32818953431416
41,78.48994172123717,164104.94622586842,109.4157589976162,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_1,age_36_45,sex_male,41.0,51.0,1,14.56407207560769
42,60.20936181386675,74210.10123814261,50.338742772635776,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_46_55,sex_female,42.0,31.0,1,103.28230407126006
43,90.82495896485425,229703.77524436626,160.7072572923566,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_College,Size_3,age_36_45,sex_male,43.0,51.0,1,122.44977241291082
44,84.67060610290827,183293.402414252,119.9453922477798,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,44.0,81.0,1,97.45776262786399
45,83.97892296761981,197073.22924653997,131.90705104421673,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_56_65,sex_male,45.0,81.0,1,24.373940171526172
46,80.29931861982277,195246.5367463964,140.0316484932243,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_36_45,sex_female,46.0,51.0,1,117.24036137994653
47,84.98818300579828,199800.82832971966,142.35623196091709,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,47.0,81.0,1,22.52838865577933
48,83.71597531520831,201832.55506044868,143.95028102342786,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Graduate,Size_6,age_36_45,sex_male,48.0,51.0,1,27.07512620262255
49,83.0585204439896,210799.9898430884,149.50349430889057,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_5,age_36_45,sex_male,49.0,51.0,1,37.67303050874165
50,90.81125473441568,205510.793843388,153.85377216730905,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,50.0,81.0,1,23.681020723694857
52,84.85364595738075,190977.7335034301,138.99681454914415,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_36_45,sex_male,52.0,51.0,1,125.5400362677943
53,90.269752159387,235591.86344647282,167.16344250609956,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_College,Size_3,age_46_55,sex_male,53.0,51.0,1,122.10287152522548
55,86.19155579958169,179373.26303920496,122.43199751340538,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_female,55.0,51.0,1,37.03444494816179
56,90.58840285460859,215454.3659136399,154.75396747071537,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_76_85,sex_male,56.0,51.0,1,15.398970447354031
57,90.46819277953871,203826.6819069361,149.103128112842,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,57.0,81.0,1,26.18148776809401
58,99.98781631112035,278888.72969037143,202.08504920467524,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_7,age_36_45,sex_female,58.0,81.0,1,56.22199851480663
59,90.60493583786241,203742.50363038058,138.48118474773176,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_female,59.0,81.0,1,92.81118685233096
60,93.49061061246805,218200.80922358122,150.54308976418704,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_26_35,sex_female,60.0,81.0,1,30.811564848572644
61,80.5370628228942,157602.35329238445,121.10993417172838,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_7,age_46_55,sex_male,61.0,31.0,1,86.13132813346506
62,70.50169747347886,107856.43719034627,82.26960670231672,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_36_45,sex_female,62.0,31.0,1,88.62920495894531
63,67.71848785093472,122851.37813870306,80.09663687188187,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_36_45,sex_male,63.0,51.0,1,15.6543359304912
64,65.90464189726738,106467.43466718007,79.40547531997579,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_46_55,sex_male,64.0,31.0,1,110.58197895910774
65,80.77444515276906,183308.81070938046,133.22704377343294,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_female,65.0,81.0,1,34.901828703456154
66,71.27834446642032,130028.5142906932,84.67800224606621,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_36_45,sex_male,66.0,21.0,1,103.05459786822736
68,67.3753252579325,103448.51098699568,79.53070984245518,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_26_35,sex_male,68.0,31.0,1,90.55323375448336
69,61.03055652463624,82834.41863495718,54.48446109327625,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_36_45,sex_female,69.0,31.0,1,35.095005531544096
70,72.02508877353912,128986.52735998614,94.7457652352202,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_36_45,sex_female,70.0,31.0,1,32.095005531544096
71,67.70957482718217,125057.79317058965,94.4544735197973,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Elementary_School,Size_4,age_36_45,sex_male,71.0,1.0,1,46.386690204438636
72,78.83256973556318,183221.3204759137,135.54942350115897,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_High_School,Size_5,age_46_55,sex_female,72.0,31.0,1,48.9476836052155
73,85.8251423640827,204904.42851428848,162.40816629474506,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_26_35,sex_female,73.0,81.0,1,36.49529855827768
74,73.35748317186189,170250.3130011441,122.90363576170219,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_male,74.0,51.0,1,35.20150359130389
76,74.26656672189749,140784.61496705288,94.8609163103573,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_5,age_46_55,sex_female,76.0,31.0,1,45.95567382016871
78,84.95386751672301,181577.7715721501,134.35899056226913,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_female,78.0,81.0,1,49.38726710302308
79,94.2926367306635,225474.2758113381,162.8264620548116,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_female,79.0,81.0,1,54.29700324813963
80,75.66693965600211,150789.1840211045,113.50892648322201,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_3,age_36_45,sex_male,80.0,31.0,1,136.9542138984076
81,82.37712944086223,181997.80899195012,130.64724525900562,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,81.0,81.0,1,57.686941990870835
83,65.17469423726847,100939.39789887477,77.39641917052383,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_36_45,sex_male,83.0,31.0,1,90.92887984679308
84,55.54461790423874,64495.08550992741,41.70728192545084,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_36_45,sex_female,84.0,31.0,1,100.62920495894531
85,82.29743082963101,204734.10437232765,139.9871135466096,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_College,Size_4,age_46_55,sex_male,85.0,51.0,1,36.083233698257295
86,92.72560037748228,242648.57812899147,180.8400328146187,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,86.0,81.0,1,23.438124800895828
88,56.060487616080856,94983.26881767152,73.64950311290809,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_0_18,sex_male,88.0,1.0,1,1.9341321845807102e-05
89,79.03830757777972,168080.7220946262,106.84129539566698,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_College,Size_1,age_36_45,sex_male,89.0,21.0,1,22.556081860654487
90,85.2077555660122,183000.60858641024,134.04685141543334,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_46_55,sex_female,90.0,81.0,1,13.007760154958127
91,96.32781879820507,240569.10049624828,173.34330248428384,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_56_65,sex_male,91.0,81.0,1,23.373940171526172
92,89.36430019060317,249032.7641365641,175.46242517355344,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_female,92.0,81.0,1,30.791549025362755
93,80.51259608003892,168395.2269267324,128.05465858482606,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_4,age_36_45,sex_female,93.0,31.0,1,30.149942639938494
94,87.53678029227676,169356.70456011352,125.4709675541448,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_4,age_46_55,sex_male,94.0,31.0,1,39.102716640100915
95,70.62058285644619,122172.51731269606,93.58349262524875,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_36_45,sex_male,95.0,31.0,1,34.394680419391854
96,78.91528447902104,188266.78986107532,133.73660365790946,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,96.0,81.0,1,68.71568719549525
98,98.09372392389722,256214.22864384676,180.3958165634693,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_male,98.0,81.0,1,27.243855981126053
101,75.32925787121921,168326.63942163947,112.85284627082932,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_College,Size_1,age_36_45,sex_male,101.0,21.0,1,19.556081860654487
102,87.11375650174764,198081.7664736433,148.34753322949018,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_1,age_36_45,sex_male,102.0,81.0,1,13.732764328965946
104,88.32991683088464,189256.72314655,141.29207099944182,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,104.0,81.0,1,70.71568719549525
105,82.17593579338177,155786.4227225735,119.28434408589308,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_6,age_46_55,sex_male,105.0,31.0,1,30.009037438681425
106,83.64567413697606,184274.16928160415,135.7912500105476,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_High_School,Size_6,age_46_55,sex_male,106.0,31.0,1,33.055984332122605
107,93.42523485268819,232016.02081268863,171.2677967690578,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Graduate,Size_10,age_19_25,sex_male,107.0,51.0,1,37.999998827308424
108,79.97646291109939,161396.20935833795,108.14949765483836,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,108.0,51.0,1,31.18148776809401
111,92.90819476619836,214795.1116111368,163.6870260303225,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_female,111.0,81.0,1,20.381345835847114
114,86.99517040333647,228333.7210552443,161.3143918876301,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_College,Size_3,age_26_35,sex_female,114.0,51.0,1,74.2890130331864
115,93.41443713769907,252854.34573062602,187.84601050224998,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_College,Size_3,age_56_65,sex_female,115.0,51.0,1,29.06627506872521
116,90.9665676500988,236757.6147808795,180.14308467829068,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_56_65,sex_male,116.0,51.0,1,37.04968366627801
117,76.3223099906661,161415.18456356338,123.23992089362015,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_High_School,Size_3,age_56_65,sex_male,117.0,1.0,1,47.377442683463386
118,96.10297551016663,208887.93111573733,151.84518903961012,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_1,age_36_45,sex_male,118.0,81.0,1,11.56407207560769
119,85.66965949965359,185833.9648301614,134.37452638442542,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_female,119.0,81.0,1,61.7629131953328
120,92.57175422788914,223509.1136997244,160.95395176168725,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,120.0,81.0,1,56.59667813598736
121,101.93578268679495,244433.41056296497,173.00535254033142,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,121.0,81.0,1,23.0912239132105
122,85.54918028761466,215447.67313412923,154.69947785474616,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_1,age_46_55,sex_male,122.0,81.0,1,13.217171187922379
123,88.21521820653062,203745.01974903746,144.815122202274,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,123.0,81.0,1,24.681020723694857
124,98.08172273427584,254531.3454209609,178.6421250739983,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_female,124.0,81.0,1,25.291081980963604
125,87.71169635409046,204599.2628813626,148.51251507553752,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_56_65,sex_male,125.0,81.0,1,20.464204026409675
126,79.81557142620538,165004.4862575489,122.52581974120665,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_1,age_36_45,sex_male,126.0,51.0,1,12.6543359304912
127,81.37364019315605,172136.58148471607,108.73804577541976,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_1,age_46_55,sex_male,127.0,51.0,1,18.21717118792238
129,75.4854371969388,155025.7355218839,119.10367319257915,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_6,age_36_45,sex_female,129.0,31.0,1,18.056263438518986
131,73.0429655245887,126369.31463549932,101.25048464784763,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_46_55,sex_male,131.0,31.0,1,42.04777953170653
132,74.68757489753075,152254.44740476127,112.28132137195676,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_3,age_36_45,sex_female,132.0,31.0,1,128.1695804669067
133,88.3664241158679,186013.90527141767,121.1658390243328,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_female,133.0,81.0,1,64.325748452764
134,97.51184292750422,229291.1767459584,164.37660108550864,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_female,134.0,81.0,1,64.325748452764
135,89.62563116649108,216751.14614738946,154.34232562411736,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_19_25,sex_male,135.0,81.0,1,1.8556483935797203
136,72.90528941983129,159288.12005352598,103.8414897550926,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_46_55,sex_male,136.0,21.0,1,40.17349755314081
137,89.4460428711775,196505.2289509654,148.9491295918762,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,137.0,81.0,1,83.20112559506217
138,53.90015565130753,56780.69500590185,37.171129161536975,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_2,age_36_45,sex_male,138.0,31.0,1,100.92887984679308
142,94.3967627784615,232056.1433700618,164.58846650685186,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,142.0,81.0,1,97.45776262786399
143,96.95226918577193,253066.0539523443,178.5228167077756,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_male,143.0,81.0,1,30.067498125208544
144,88.82818698595275,216192.51858889856,154.96642736998925,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_19_25,sex_male,144.0,81.0,1,2.8556483935797203
145,70.02696283034477,109465.33291507396,85.36054113552134,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_36_45,sex_male,145.0,31.0,1,136.41431824636004
146,84.16504633875297,178825.6799333826,126.17021173171419,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_36_45,sex_female,146.0,21.0,1,149.8338312347681
147,74.51952469638039,130124.02012202845,92.83088708281281,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_High_School,Size_1,age_36_45,sex_male,147.0,1.0,1,27.567574587544907
148,75.0857740338084,122583.89641671932,90.53829637006241,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,148.0,31.0,1,138.06741735867473
149,78.73903170493017,175617.81367058793,126.80164525292143,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,149.0,51.0,1,77.06258808318054
152,100.60321695607632,259555.3654795319,183.37979348127786,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_female,152.0,81.0,1,28.944181093278296
153,80.34911753783393,179364.74762158468,116.97566495760799,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_female,153.0,51.0,1,88.67264934044931
154,88.94851066414263,209831.8075789763,153.44035993662672,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_4,age_46_55,sex_female,154.0,51.0,1,35.87382266529306
155,81.99083733748488,190490.90239966285,137.5088351180056,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,155.0,81.0,1,95.20112559506217
157,72.6686542115214,139463.0251173067,92.3488918841821,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,157.0,51.0,1,90.71568719549525
158,74.5006755819857,155116.53916124778,107.36553062451232,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,158.0,51.0,1,24.52838865577933
159,92.93001197664499,226708.36075933665,155.62612054182404,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,159.0,81.0,1,91.45776262786399
160,88.83369798900151,222763.4650220965,160.1867573806933,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,160.0,81.0,1,55.59667813598736
161,90.97654415941588,199463.01475101226,148.7094876541517,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_56_65,sex_male,161.0,81.0,1,17.464204026409675
164,74.37656884695834,148587.73815700668,97.64501737624386,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_46_55,sex_male,164.0,21.0,1,156.193135380109
165,85.14811634521051,195643.07417969982,141.07740430483318,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,165.0,81.0,1,76.20112559506217
166,84.00850091051393,198939.63929554238,142.4462190053931,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_56_65,sex_male,166.0,81.0,1,18.464204026409675
169,86.44241928099001,214552.32442152087,162.46514432852828,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Post_Graduate,Size_2,age_46_55,sex_male,169.0,51.0,1,88.30116683536355
170,90.20745038228264,212484.7941647191,153.26799762397178,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_College,Size_1,age_46_55,sex_male,170.0,51.0,1,21.20918097296917
172,93.0348537144129,204460.38588804298,150.91469670435131,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_56_65,sex_female,172.0,81.0,1,24.16452913856193
173,91.44539972300232,200404.0147369712,142.26686474033744,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_56_65,sex_male,173.0,81.0,1,30.464204026409675
174,92.60166777292321,238871.4655727007,175.4382090983683,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,174.0,81.0,1,80.1580877400163
175,65.53378132735475,84221.65200713974,57.29369612292772,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_56_65,sex_female,175.0,31.0,1,35.03082090217444
176,85.90671325461237,202446.59612316487,160.98940086555885,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_1,age_36_45,sex_female,176.0,81.0,1,16.948130897465
180,68.98711353944816,130455.38677447123,97.8023798369565,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Elementary_School,Size_4,age_46_55,sex_male,180.0,1.0,1,52.03978931675333
181,75.0485570373522,142892.51688994648,103.98070390249107,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_High_School,Size_3,age_26_35,sex_male,181.0,1.0,1,111.60018064792456
182,79.4240190057095,162675.2028582287,126.17836995480805,Cooking_no,Refrigeration_yes,Urbanity_Rural,Education_Elementary_School,Size_7,age_46_55,sex_male,182.0,1.0,1,109.12333791851185
183,97.13682714909113,266182.7438339666,186.89234852642318,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_6,age_46_55,sex_male,183.0,81.0,1,15.052481820185392
185,93.46870223000342,230829.9175137338,168.5446636515358,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_female,185.0,81.0,1,55.325748452764
187,84.11180810680008,179895.57559461024,131.88706919373078,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_19_25,sex_female,187.0,51.0,1,2.646237360615456
189,75.81398494421731,150155.87462403788,101.4267049075088,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_66_75,sex_male,189.0,51.0,1,9.672323580525102
