,Electricity,Income,Water,e_AC,e_Cooking,e_Refrigeration,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
27,85.34182623593409,178780.75154606477,128.97394182975108,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,27.0,51.0,1,208.11102977881416
28,85.03368961929259,203447.2823512581,151.78113018969836,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,28.0,81.0,1,22.628283864703867
32,105.56935896685944,240682.05148514308,172.26143182357796,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,32.0,81.0,1,13.872421609677012
37,95.21390510246344,204124.89103325907,149.26412128794408,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,37.0,81.0,1,23.628283864703867
38,82.67499792537345,168413.70856640302,122.47729427614284,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,38.0,51.0,1,73.22872668100963
42,91.26674837711563,204196.16345803323,147.0672321697711,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,42.0,81.0,1,14.628283864703867
43,97.11052899019937,214721.21642349323,155.9052579133609,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_male,43.0,81.0,1,7.0976019105181045
46,93.5294795052842,211026.03014769414,154.19120159326394,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_male,46.0,81.0,1,8.097601910518105
48,89.07316877844673,188655.5678604313,137.15288731203992,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,48.0,81.0,1,4.9556606505029155
57,81.81105976682623,167659.49790649975,123.10320635702648,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,57.0,51.0,1,64.22872668100963
60,95.08553158265605,209319.57684392305,148.6452212337577,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_male,60.0,81.0,1,7.0976019105181045
62,89.95401256840753,214432.4143687884,157.33225411366445,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,62.0,81.0,1,61.145487640183745
64,95.89285892840631,240158.6701573953,179.13574968495377,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_5,age_46_55,sex_male,64.0,81.0,1,24.14273497798129
65,89.69359119193098,174555.66336099964,129.54956755139665,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,65.0,51.0,1,200.84815634809945
66,90.9868763999175,217862.30952909516,163.76025114044438,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_46_55,sex_male,66.0,81.0,1,139.52524552995567
68,64.47069771406011,98573.11306128911,76.9145224594851,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_26_35,sex_male,68.0,31.0,1,150.7139979103904
69,100.84228540138643,219890.53089586,154.13338856546216,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_female,69.0,81.0,1,40.60618686076239
75,102.50735942375542,204331.93372737075,146.0834740868194,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_male,75.0,81.0,1,5.0976019105181045
81,96.4664884611418,236791.17464140488,171.67811735187402,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_male,81.0,81.0,1,6.13782471895256
83,97.74092968452213,224800.50116943306,164.03951584370554,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,83.0,81.0,1,145.76491730727366
84,97.93378212110113,225262.30379269712,164.13451646425483,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,84.0,81.0,1,143.76491730727366
85,101.57271500847666,235313.2492823289,172.93659993052484,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_female,85.0,81.0,1,134.2256165278522
86,98.88720454904238,235133.1965630047,167.7042530366941,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,86.0,81.0,1,8.872421609677012
87,80.31307549142092,168238.32466746107,124.10466031614384,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,87.0,51.0,1,87.01453354414969
88,108.56528834506119,265296.86804745195,195.2489664149543,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_7,age_36_45,sex_female,88.0,81.0,1,3.7915653202267485
91,88.15353831078076,186812.8808285452,136.06978083753452,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,91.0,81.0,1,182.11102977881416
93,96.75575932621712,207566.72298004708,151.04793434227756,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_19_25,sex_male,93.0,81.0,1,2.43263842868478
98,92.38187299492705,194395.84149700077,140.91940328932657,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,98.0,81.0,1,21.218534081217612
101,99.43739368883112,229682.70792659983,171.62241304566402,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_4,age_46_55,sex_male,101.0,81.0,1,22.732985194494994
102,90.90681893135742,197009.37608331218,140.54986134456095,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,102.0,81.0,1,23.218534081217612
103,95.18699715225495,222740.4899109189,157.01397506402466,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,103.0,81.0,1,126.50204387655879
104,94.57830369264872,219507.490948292,155.3586854807565,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,104.0,81.0,1,131.5020438765588
110,86.07153217239369,203074.43964624038,145.26446318807527,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,110.0,81.0,1,14.528048502567955
111,94.21952453125273,208003.86403717622,145.6195787313904,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,111.0,81.0,1,41.882614209469125
115,96.02921980637927,207135.30753847875,152.25528060167494,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_male,115.0,81.0,1,11.097601910518105
118,86.78023109541174,209156.57618507007,155.03484699127614,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_female,118.0,81.0,1,18.088983085282493
120,103.53876519283828,228751.6341822318,158.32557546855702,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,120.0,81.0,1,127.96274309713743
121,95.94522029252079,221366.38244534735,152.541476350362,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_female,121.0,81.0,1,36.50595149862647
122,92.20385147580386,236270.4833576977,187.83332445685002,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_5,age_46_55,sex_male,122.0,81.0,1,21.14273497798129
123,98.96067231961412,199332.55355529755,140.9554012238857,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,123.0,81.0,1,17.628283864703867
125,93.7061924312713,208636.0493487691,149.3989338752187,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,125.0,81.0,1,59.668421072609135
132,95.73060275069086,212299.43197534356,153.31281913924525,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,132.0,81.0,1,59.145487640183745
133,98.9394227380714,222509.44972183125,156.41632747568238,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,133.0,81.0,1,153.76491730727366
134,97.31187998383223,238881.1829335232,183.7436933971407,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_5,age_46_55,sex_female,134.0,81.0,1,19.603434198559853
135,103.15761968567492,239271.77570549626,180.12142046712208,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_6,age_36_45,sex_male,135.0,81.0,1,9.6120530237956
137,88.25156558625339,176757.6893522502,129.3743948263958,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_female,137.0,51.0,1,93.57546812686425
139,90.01773000346758,169049.28209065375,124.29889934935329,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,139.0,51.0,1,86.49160011172438
140,96.52761532785743,206471.30043379887,160.78944246059714,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_36_45,sex_male,140.0,81.0,1,131.36260746137685
141,86.07601951439074,188317.7154196776,132.31025791557968,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,141.0,81.0,1,151.5717289993928
142,85.29721292407011,187009.14778494003,132.36545240613495,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,142.0,81.0,1,152.11102977881416
143,80.27449830291238,177886.33767818636,127.1985661456372,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,143.0,51.0,1,180.84815634809945
146,85.72208283262195,170563.94996074788,125.42317989534918,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_female,146.0,51.0,1,56.689425901588294
147,95.63626820253069,226056.09621164808,173.256458576089,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_4,age_46_55,sex_female,147.0,81.0,1,13.193684415073612
148,98.68715927610171,225281.4401211411,162.83882879273594,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,148.0,81.0,1,116.96274309713743
149,100.18469140130536,236237.7474246825,171.6407652910691,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_female,149.0,81.0,1,148.2256165278522
151,107.98720237625263,258425.33872065,184.75148168501397,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_10,age_46_55,sex_female,151.0,81.0,1,39.110220519169516
159,103.77133150998891,231230.66617968946,164.59461082755234,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,159.0,81.0,1,138.76491730727366
166,108.23691276498407,261627.3656917726,184.27997481527584,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_6,age_46_55,sex_male,166.0,81.0,1,17.014362869692214
167,93.29946790542449,189178.280774352,136.24711280285374,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,167.0,81.0,1,3.9556606505029155
168,90.6081434443191,171308.479670314,123.38368415777704,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_male,168.0,51.0,1,94.49160011172438
169,85.81057249495832,183355.42623575366,134.0372711948014,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,169.0,81.0,1,144.11102977881416
170,100.27368813966049,243807.30272530034,174.87128634821025,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_male,170.0,81.0,1,2.13782471895256
172,85.47183357495379,169083.1985708396,123.59553699064743,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_male,172.0,51.0,1,55.12849131887377
175,86.36958589821081,172616.35499291949,123.90133213891964,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,175.0,51.0,1,190.84815634809945
177,83.37219909020209,153460.22712352884,113.94656632760542,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_High_School,Size_4,age_46_55,sex_male,177.0,31.0,1,5.594353155047314
184,104.86700265517824,244704.7712304275,178.56784877640263,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_8,age_46_55,sex_female,184.0,81.0,1,17.203144435310108
189,87.3997352036801,174309.62718261904,114.21695138505936,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_female,189.0,51.0,1,83.22935565532364
190,84.13937512750346,166751.82582811304,121.32601430062631,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,190.0,51.0,1,105.11476890628572
191,84.51685331684297,175890.5883109751,124.34053875147316,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_female,191.0,51.0,1,95.57546812686425
194,104.28372714021656,234923.11763876796,166.90089636539983,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,194.0,81.0,1,11.872421609677012
195,107.17260475200266,259660.25985135173,188.88038383353242,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_6,age_46_55,sex_male,195.0,81.0,1,13.014362869692214
197,88.59602030074038,180575.24319678787,133.68284809052506,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_female,197.0,81.0,1,48.57546812686425
198,91.08658104018039,218778.95248672526,157.39939143260247,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,198.0,81.0,1,66.14548764018375
199,95.71522798878924,197760.52735843905,151.52158501570526,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_36_45,sex_male,199.0,81.0,1,51.74317779428708
202,101.59838602035276,258894.31859845185,186.85593628595,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_7,age_36_45,sex_male,202.0,81.0,1,11.330866099648176
203,95.1449201866071,221417.48329636274,164.55156664861573,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_7,age_46_55,sex_male,203.0,81.0,1,28.939852001903418
204,93.64403095903631,192877.52618583775,142.72757323382052,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,204.0,81.0,1,19.218534081217612
205,104.41372229962113,241748.64551943372,175.93431344395822,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_female,205.0,81.0,1,5.333120830255652
206,102.70779524386809,237945.17063617648,171.15810574923418,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,206.0,81.0,1,10.872421609677012
207,97.56580986411736,230394.61007917387,166.93717848895045,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_7,age_46_55,sex_male,207.0,81.0,1,30.8396166397675
209,98.86917547960958,264660.5172205759,203.6490262404976,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_7,age_46_55,sex_female,209.0,81.0,1,29.915002335759482
210,88.90983297789403,186172.22716681808,136.05898428797755,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,210.0,81.0,1,5.9556606505029155
214,73.68363355681556,225775.0740301171,162.38700104103387,AC_no,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_7,age_46_55,sex_male,214.0,81.0,1,18.768283675511782
216,90.0680031287298,177054.8072878289,128.74061261493887,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_46_55,sex_female,216.0,51.0,1,86.952299332303
217,99.75866128384727,198649.6802721401,150.53507072379284,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_36_45,sex_female,217.0,81.0,1,52.20387701486574
219,102.5727313299168,234559.9777596392,164.80139279296785,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,219.0,81.0,1,14.872421609677012
220,87.15126795768657,172992.67058345675,116.48768586763477,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,220.0,51.0,1,78.14548764018375
221,94.22355047585569,218309.49647024059,153.72283649778652,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,221.0,81.0,1,118.50204387655879
222,98.72806383302047,229004.98689422914,166.058152874718,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,222.0,81.0,1,143.76491730727366
223,87.37597973804752,185813.875327415,136.90378612165472,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,223.0,81.0,1,137.11102977881416
224,88.81918380971445,180160.84553765308,129.40915623105948,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,224.0,81.0,1,131.84815634809945
225,91.69562494910222,204991.55553209726,153.7034297604319,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,225.0,81.0,1,12.679233301796245
227,96.19887828542736,224983.49061522266,160.63249218395862,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,227.0,81.0,1,107.50204387655879
228,92.79772229575165,213330.3945292474,168.0193955773094,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_36_45,sex_male,228.0,81.0,1,135.36260746137685
229,97.40454350273964,231202.92624423144,182.2411816008208,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_5,age_36_45,sex_male,229.0,81.0,1,11.879861547266593
230,86.90455532088001,181108.73258824763,135.6706157392643,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,230.0,81.0,1,161.11102977881416
232,95.21271201897508,216162.71238040886,155.68626799691367,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,232.0,81.0,1,50.145487640183745
233,90.19989141643677,209596.146511328,151.23440459190158,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_36_45,sex_male,233.0,81.0,1,6.0976019105181045
234,98.3424191788184,220585.59899686684,161.90383898267706,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_6,age_46_55,sex_female,234.0,81.0,1,14.82117456181144
235,90.63028073517548,205943.14567015923,148.95196172458392,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,235.0,81.0,1,17.628283864703867
240,95.32106331732128,193407.33416965944,141.57612400254774,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,240.0,81.0,1,21.218534081217612
241,93.20865142532456,217904.99439314022,153.40320607941848,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,241.0,81.0,1,132.5020438765588
242,96.67706826141035,215483.75899378452,154.56227194433043,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,242.0,81.0,1,146.5020438765588
244,103.91898596378158,227718.66485969862,167.0357908402684,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,244.0,81.0,1,148.76491730727366
245,90.84261911642105,226355.22243329353,160.94392536933108,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,245.0,81.0,1,116.96274309713743
246,94.80776782992477,222350.810939816,157.93611622899084,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,246.0,81.0,1,131.5020438765588
248,108.15827096544119,265366.89430958906,190.0737100338312,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_6,age_46_55,sex_female,248.0,81.0,1,9.47506209027084
250,98.83627314220091,204948.6416871036,148.88836868159686,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_male,250.0,81.0,1,20.628283864703867
253,67.02293540163863,116723.71285996305,89.5490945655456,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_56_65,sex_female,253.0,1.0,1,172.20435287592514
256,81.62336024802762,185033.86913577814,136.1275174347721,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,256.0,81.0,1,6.9556606505029155
259,99.747162049436,218685.99146129307,155.04339107306342,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_female,259.0,81.0,1,30.3433134300477
260,95.98718603216852,221740.69685075406,156.00814827367188,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_female,260.0,81.0,1,49.60618686076239
261,90.17659996813431,222939.07251590508,159.77637783688797,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,261.0,81.0,1,117.86250773500154
262,90.1317136431183,207763.04185857414,165.26918108089788,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_36_45,sex_female,262.0,81.0,1,127.8233066819555
263,88.30279141796728,219323.43974056552,156.883250910009,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,263.0,81.0,1,125.40180851442295
264,96.24420142129921,216586.39779971077,153.85387415324644,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,264.0,81.0,1,143.5020438765588
265,79.97013077311526,190339.4447024829,138.39920605220377,AC_yes,Cooking_no,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,265.0,81.0,1,144.4714936372569
266,79.22168850711434,183085.2682901664,132.69064783583698,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_female,266.0,81.0,1,131.30885556867804
267,95.50022017725195,178006.22570337733,131.0711768049643,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,267.0,51.0,1,200.84815634809945
268,79.77911927895354,186790.82149667,132.86109112024064,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,268.0,81.0,1,5.9556606505029155
269,85.38810174672186,184367.60883570448,134.10587738457926,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,269.0,81.0,1,145.11102977881416
270,95.27209545457242,231392.32582340532,164.3633887812966,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_female,270.0,81.0,1,135.2256165278522
271,94.60338496653117,207910.02879915386,151.60723839629603,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,271.0,81.0,1,54.76865643474511
272,87.27880848278345,185928.4171828166,136.95738011614554,AC_yes,Cooking_yes,Refrigeration_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_female,272.0,81.0,1,154.5717289993928
