,Electricity,Income,Water,e_Cooking,e_Lighting,e_TV,e_Urban,i_Education_cat,i_Family_Size,i_HH_head_Age,i_HH_head_Sex,real_index,sw,w,wf
20,69.44189059473335,119702.44358182064,87.67957406476678,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_46_55,sex_male,20.0,31.0,1,30.497115972866418
22,68.92665903014328,100330.39389142334,73.91859529441834,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_36_45,sex_male,22.0,31.0,1,146.06952088511113
24,78.86967271460504,149817.24244839975,97.24237769008828,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,24.0,51.0,1,38.963822931834905
26,79.20218090393533,186831.37511747028,136.57353900028568,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,26.0,81.0,1,23.067421709704114
31,77.05645611936792,191678.4496788077,142.79948332862043,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,31.0,81.0,1,22.28760205640861
34,88.6187244094465,200201.0907841137,146.36311354712626,Cooking_yes,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_female,34.0,81.0,1,10.817565087159537
35,63.99783845378194,105702.42476355161,78.9151060926365,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_3,age_46_55,sex_male,35.0,1.0,1,178.96825545884553
36,89.8139065299908,203130.05229646052,143.9870259250102,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_female,36.0,81.0,1,30.770403591150952
37,83.4709447776362,220809.9199566948,157.75062499529088,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_2,age_46_55,sex_male,37.0,51.0,1,154.77015144899946
39,85.64617290430745,187780.29233772238,122.46270316209585,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,39.0,81.0,1,14.065565042553004
43,85.09614128333072,195353.31836232945,142.65664659654664,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,43.0,81.0,1,24.874002369020147
47,84.5976282898483,187278.85949417422,123.0866780912493,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,47.0,81.0,1,28.2857453892575
48,86.794978296427,209696.7222849421,133.30849041071102,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_7,age_26_35,sex_male,48.0,81.0,1,2.197340665602631
49,103.80714701367909,252814.8408336313,173.2701533923856,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_9,age_46_55,sex_female,49.0,81.0,1,40.63279777744242
52,72.29366205942658,140751.1895145129,104.66247978830731,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_26_35,sex_female,52.0,31.0,1,100.51587962617874
53,66.1811384849157,111660.22038009873,87.04964668561642,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,53.0,31.0,1,138.28970123181517
54,59.077519963497714,80228.3727052922,53.61341938144653,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_4,age_46_55,sex_female,54.0,1.0,1,56.07207142202755
55,89.55695383396173,241775.49334339355,172.5195543895154,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_4,age_46_55,sex_male,55.0,51.0,1,24.964299616287825
56,97.79181101909262,259329.9096935218,183.57095112046036,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_6,age_46_55,sex_male,56.0,81.0,1,22.782839258277995
57,80.9965053918855,161982.66702349446,122.8731256548262,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_5,age_36_45,sex_male,57.0,31.0,1,24.406995401651105
58,92.48377860211586,224092.68492990677,163.5546050159475,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,58.0,81.0,1,121.0783306482063
59,90.66334114560772,200171.68500778422,145.10637937746057,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,59.0,81.0,1,19.874002369020147
60,98.35310094300495,250943.89459368444,175.44249153427305,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_6,age_36_45,sex_male,60.0,81.0,1,17.5626589115735
62,86.10205278822657,196015.48591244628,143.37939391581443,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_male,62.0,81.0,1,25.874002369020147
65,83.39639979125383,191305.65175590746,139.64599759678129,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,65.0,81.0,1,31.963822931834905
68,55.72899528096354,62984.6744769016,40.0769166206593,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,68.0,31.0,1,141.28970123181517
70,75.47965224903831,134652.68942445322,101.08796179545806,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_46_55,sex_female,70.0,31.0,1,42.20009785431325
71,74.12113268278895,120316.90616490225,79.83618465677344,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_26_35,sex_female,71.0,51.0,1,107.99615316731087
75,91.74319238956473,239692.0846418605,170.93258559010306,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_male,75.0,81.0,1,27.2857453892575
76,96.39081489566333,237051.3503530965,167.76134713621573,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,76.0,81.0,1,12.872145701869034
78,79.18650705129616,175438.73034895211,125.71523593548456,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_male,78.0,51.0,1,127.86000696865293
79,80.60218359369043,170889.23116659827,112.54544826500452,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_2,age_46_55,sex_male,79.0,21.0,1,180.77015144899946
81,79.28687418903898,188677.13044071716,127.9611762044862,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_7,age_46_55,sex_female,81.0,81.0,1,72.08930049882409
82,96.58066235091542,252760.76090371655,184.0621101940636,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_female,82.0,81.0,1,40.9887272707039
83,76.27281802109323,144319.7921365073,109.2168345551925,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_36_45,sex_female,83.0,31.0,1,157.28940122341461
84,92.19916913010813,222988.23744396804,173.04112635070987,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_3,age_46_55,sex_female,84.0,81.0,1,69.7504139925982
85,56.79604570723959,79092.50689323651,51.183172367268725,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_46_55,sex_female,85.0,31.0,1,40.393517194997216
86,94.3244338195129,230519.38259896828,161.86183565669884,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,86.0,81.0,1,119.0783306482063
87,97.01538123493377,230867.34590879804,159.31706810121946,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,87.0,81.0,1,15.065565042553004
88,86.24451024265831,209439.22921838518,148.4690179362104,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_male,88.0,81.0,1,66.0846287042663
93,69.63731485783306,130279.48989106086,93.56019293745341,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_26_35,sex_male,93.0,31.0,1,82.61947840404837
94,67.36278850680239,106775.03266482633,67.20487639653958,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_46_55,sex_male,94.0,31.0,1,151.61318034798833
95,84.5545463804795,185456.85398396954,135.03378996655715,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_female,95.0,81.0,1,118.7564081907837
96,91.33046604465416,213389.59248504168,167.35429982847612,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Graduate,Size_3,age_46_55,sex_male,96.0,51.0,1,65.53256699749771
98,67.0722852063543,111460.70443591752,83.01275657672237,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_4,age_36_45,sex_male,98.0,1.0,1,24.95548985319268
99,68.73674647056643,114511.90438258286,85.28399741064392,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_4,age_36_45,sex_male,99.0,31.0,1,20.276935626162352
101,67.48249182797252,137280.71025640436,92.50295662402588,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_46_55,sex_male,101.0,21.0,1,172.7587415423877
102,68.38112892271145,105336.63195326817,81.89334202798881,Cooking_yes,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_46_55,sex_male,102.0,31.0,1,114.92326304043618
104,93.20657175519695,226629.16629084968,155.2956265351701,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_female,104.0,81.0,1,124.9747318703366
105,89.9071852958568,203489.5262444321,141.7986941029993,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_36_45,sex_female,105.0,81.0,1,36.77040359115095
106,83.47406867530336,188970.61595672183,144.1142971249534,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_36_45,sex_female,106.0,81.0,1,127.7564081907837
107,65.64406970513761,137228.42615727734,86.56340076409019,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_46_55,sex_male,107.0,21.0,1,163.7587415423877
108,86.25733715585066,221263.67896531124,156.54556574463632,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_26_35,sex_female,108.0,81.0,1,78.9810299263967
109,66.92786199326997,104274.85897787752,78.02804003753455,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_2,age_46_55,sex_male,109.0,1.0,1,197.9815220326086
110,82.78605423709475,174992.19707730642,126.91312980972592,Cooking_yes,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_female,110.0,51.0,1,116.40323657316728
111,76.63018090773649,154548.73092481747,109.02146062017208,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_19_25,sex_male,111.0,51.0,1,18.820524226842675
114,89.24838300820421,221238.68716809942,160.21933171002232,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_3,age_46_55,sex_male,114.0,51.0,1,135.75688487523658
115,83.89998629931002,211656.01897361391,154.66454581817462,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_3,age_26_35,sex_male,115.0,51.0,1,78.76318293129664
116,80.4064257595698,153755.97860980546,114.8266451915551,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_7,age_46_55,sex_male,116.0,31.0,1,63.40241319315153
117,97.85780547860399,262474.6898808709,186.70363759705026,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_7,age_36_45,sex_male,117.0,81.0,1,38.97086226283811
118,82.6174212722163,174867.50592435824,117.93387114425192,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,118.0,51.0,1,130.85815030150175
120,82.72664813356916,190700.0079013024,141.35419095531563,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_male,120.0,81.0,1,24.067421709704114
121,66.93215012066696,103579.78603543033,80.52632573205639,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_36_45,sex_male,121.0,31.0,1,134.06952088511113
122,88.56283601494584,184927.15400058625,139.1523054329202,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_66_75,sex_male,122.0,81.0,1,40.77917134788221
123,81.65286114782344,175238.95934559172,116.50297275995676,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,123.0,51.0,1,144.09159722196893
125,95.3280702497172,241527.1709106621,171.33968514620662,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_36_45,sex_male,125.0,81.0,1,13.872145701869034
128,78.28844677125731,157284.59367398388,116.15042064047616,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_4,age_36_45,sex_female,128.0,31.0,1,30.496815964465448
133,83.48264352014459,214825.45937304661,156.07333626389288,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_3,age_26_35,sex_male,133.0,51.0,1,80.76318293129664
134,79.65803768695801,163634.82618712366,109.50406773984831,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_5,age_46_55,sex_female,134.0,51.0,1,56.99058393785502
135,56.104189803210176,55101.27409030602,33.435377367188615,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_36_45,sex_male,135.0,31.0,1,136.06952088511113
136,53.28124714561781,49683.61919099394,28.79454351157628,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_2,age_36_45,sex_male,136.0,1.0,1,182.76134168590409
137,82.69077666316663,183870.18080699095,125.30994996220984,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_female,137.0,81.0,1,114.75455152363256
138,79.86971405400112,200229.44038486737,138.23530005859556,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_5,age_36_45,sex_female,138.0,51.0,1,34.44710115103017
141,90.58501720329905,202084.29635910687,157.529076669727,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Graduate,Size_2,age_46_55,sex_male,141.0,81.0,1,66.86727934423044
143,74.00211919498216,140370.70211106652,104.41350502030005,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_High_School,Size_2,age_46_55,sex_male,143.0,1.0,1,199.3050011487815
144,90.86511424820223,252995.1815477502,179.70160848674354,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_6,age_36_45,sex_male,144.0,81.0,1,13.5626589115735
145,95.03438224046042,272046.51342772326,189.9714853329473,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_8,age_26_35,sex_female,145.0,81.0,1,45.736804350944865
146,100.0041095156725,251961.14905957386,190.55618438558315,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_8,age_66_75,sex_female,146.0,51.0,1,12.096634647828466
147,92.99081556350315,225170.50799322,153.05068616642146,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_8,age_26_35,sex_male,147.0,81.0,1,27.840403128814486
148,73.83000761431595,167688.37233470278,124.10013409732107,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_High_School,Size_5,age_36_45,sex_female,148.0,1.0,1,47.981950850812225
149,92.78682098317672,239586.34671062915,170.3964500148847,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_female,149.0,81.0,1,34.182146611387864
151,86.94995504947326,195632.7357165405,140.22218537119278,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_46_55,sex_male,151.0,81.0,1,31.28760205640861
152,73.99679906029152,158819.73458197378,114.12461070327234,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_High_School,Size_4,age_46_55,sex_male,152.0,1.0,1,39.49914931606949
153,68.70143697019975,132106.2939915669,96.5918052431402,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_5,age_46_55,sex_male,153.0,31.0,1,30.303696632182458
156,84.9137935742664,210460.7538461249,152.55292206147982,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_86_100,sex_male,156.0,81.0,1,96.376927338722
158,90.71497169646713,201524.7668650947,135.517780375612,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_male,158.0,81.0,1,26.76404810696802
162,71.01784710918913,127567.36872966088,94.72304617701323,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_5,age_36_45,sex_male,162.0,1.0,1,28.762070512508718
163,94.96136712361759,218176.94040376836,157.10898086324778,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_46_55,sex_male,163.0,81.0,1,131.09159722196893
165,64.98868307750969,106027.56075113443,72.64250492236836,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_High_School,Size_4,age_36_45,sex_male,165.0,1.0,1,26.278968969365412
167,91.30115169034649,239454.2278594291,175.6726119259684,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_male,167.0,81.0,1,23.76404810696802
168,64.543582612479,99583.36940756332,74.71257440180626,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_36_45,sex_male,168.0,31.0,1,143.06952088511113
171,88.43212685797171,209261.77475202762,149.7927822038337,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_36_45,sex_male,171.0,81.0,1,109.87141687526488
172,80.51460129439096,166847.13710184814,121.96467566760464,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_36_45,sex_male,172.0,21.0,1,181.5518277694463
173,96.90095860968405,230765.5735921058,168.57463709057515,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,173.0,81.0,1,16.065565042553004
175,83.62101481617619,177177.29222589586,111.58445849802837,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,175.0,51.0,1,128.85815030150175
176,92.59217544393536,229366.42492971604,166.8579308259599,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_46_55,sex_male,176.0,81.0,1,112.0783306482063
178,86.03373632091234,194305.2209444468,145.6344874172132,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_4,age_36_45,sex_female,178.0,81.0,1,27.963822931834905
179,63.69670113202106,125394.77448159494,95.58133250022254,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Elementary_School,Size_5,age_36_45,sex_male,179.0,1.0,1,27.762070512508718
180,59.79949911563904,93896.10115027627,58.790716397023964,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_36_45,sex_male,180.0,31.0,1,142.39300000128384
181,64.10710784500671,104618.37698191404,80.27193430233451,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_3,age_36_45,sex_male,181.0,31.0,1,142.06952088511113
182,89.22421965293927,203456.6910608111,132.40257013101942,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_male,182.0,81.0,1,20.092326048573106
183,73.90992229874195,132566.7805332006,87.73729427903335,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_3,age_36_45,sex_male,183.0,21.0,1,158.53856119568326
184,91.35985848892629,240368.83713597246,173.29837635739509,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_4,age_46_55,sex_male,184.0,51.0,1,29.964299616287825
186,80.04854523290358,177674.53012595398,119.42183961932014,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_7,age_36_45,sex_female,186.0,51.0,1,70.86912015212002
188,93.0906283507668,225075.77744612048,159.21559506673404,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_7,age_36_45,sex_female,188.0,51.0,1,71.54767437915035
189,83.43665203917656,173794.9445700694,126.85239202993465,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_26_35,sex_male,189.0,51.0,1,89.08648537141741
190,91.46487117809515,224041.0718487511,161.83834799252537,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_36_45,sex_male,190.0,81.0,1,101.85815030150175
191,82.92927832309918,199794.83880998785,133.9841882534603,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_46_55,sex_female,191.0,81.0,1,33.182146611387864
192,90.66043934948864,233986.1268244249,163.53880312250402,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_female,192.0,81.0,1,31.961966264683788
193,89.58618573449564,229623.14447412692,163.10755868577172,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_male,193.0,81.0,1,18.065565042553004
195,98.77944960256123,279103.485921346,202.10783107421258,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_8,age_46_55,sex_male,195.0,51.0,1,87.51265929978479
196,103.38190071945351,288076.8402482252,202.54211842412047,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_9,age_46_55,sex_male,196.0,51.0,1,37.41495078234239
197,101.22412498577991,265532.1457921755,186.04438657489743,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_8,age_26_35,sex_male,197.0,81.0,1,29.840403128814486
200,95.3157066970697,231869.79901442552,168.14219121090844,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_2,age_66_75,sex_male,200.0,81.0,1,36.777314680731095
206,87.0497781805043,195205.95207600878,144.20899473452582,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_7,age_46_55,sex_female,206.0,61.0,1,67.62229353145506
207,97.50118544846634,244769.18833303105,173.62765691921814,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_female,207.0,81.0,1,39.66044932909882
208,69.29972315640903,130474.26946310172,94.93106550946268,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_3,age_26_35,sex_male,208.0,31.0,1,83.61947840404837
210,72.65440627177799,166619.74825360766,119.89904734788963,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_Post_Secondary,Size_2,age_36_45,sex_male,210.0,21.0,1,177.5518277694463
211,80.09105489602881,150166.70498459483,111.3735472394793,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_4,age_36_45,sex_male,211.0,31.0,1,18.600414742335072
214,98.91461489686122,236972.43027639,173.66414729433936,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_3,age_66_75,sex_male,214.0,81.0,1,19.76404810696802
215,90.38856963306046,248717.5086087441,174.45760450310462,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_6,age_36_45,sex_male,215.0,81.0,1,11.5626589115735
217,85.92901251090801,192269.07342208907,128.8440408561977,Cooking_no,Lighting_yes,TV_yes,Urbanity_Rural,Education_College,Size_4,age_46_55,sex_male,217.0,51.0,1,26.964299616287825
220,72.08622189939922,115341.72368468608,76.36378226805027,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_High_School,Size_2,age_76_85,sex_male,220.0,31.0,1,25.25355365517116
223,97.51458614392307,237360.0830226443,173.26193368348694,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_4,age_36_45,sex_female,223.0,81.0,1,28.961966264683788
224,76.58362214696231,143980.93039124887,110.99426304115956,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Elementary_School,Size_6,age_46_55,sex_male,224.0,31.0,1,26.99420984188692
225,101.82583602774187,253416.59663301797,178.74020562417516,Cooking_yes,Lighting_yes,TV_yes,Urbanity_Urban,Education_College,Size_5,age_46_55,sex_female,225.0,81.0,1,7.622289079324872
226,77.51788904431216,169741.15371261036,122.88451315749214,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_2,age_36_45,sex_female,226.0,51.0,1,165.76967476454632
229,78.64815299703237,179664.8523366465,129.69499049650582,Cooking_no,Lighting_yes,TV_yes,Urbanity_Urban,Education_Post_Secondary,Size_3,age_46_55,sex_male,229.0,51.0,1,136.08018731535736
