,index,i_HH_head_Sex,i_Family_Size,i_HH_head_Age,i_Education_cat,e_Cooking,e_Lighting,e_Refrigeration,e_Urban,Income,Electricity,Water,w,wf
93,133,sex_male,Size_5,age_26_35,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,230769.86741349666,98.03839633612068,167.14447746612635,68.64992826398853,0.0
94,134,sex_male,Size_5,age_26_35,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,234016.3232129451,102.15792663504995,167.81786729961667,68.64992826398853,0.0
95,135,sex_male,Size_4,age_56_65,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,198977.76312704937,87.70463488700426,143.93650336479487,68.64992826398853,0.0
96,136,sex_male,Size_2,age_26_35,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,200310.53310184123,88.25506026964283,142.2269958517826,68.64992826398853,0.0
97,138,sex_female,Size_3,age_46_55,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,230121.8553609752,97.31877936744077,165.99174735882315,68.64992826398853,318.42052596895314
98,139,sex_female,Size_2,age_36_45,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Rural,174150.5056443937,84.99190513018502,126.19835479200839,68.64992826398853,308.97514297476886
99,140,sex_female,Size_5,age_56_65,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,254008.27593929518,92.62883003110345,183.3725769035096,68.64992826398853,0.0
100,141,sex_male,Size_5,age_19_25,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,186114.9662457825,82.73444795613531,133.2246214111426,68.64992826398853,0.0
101,142,sex_male,Size_2,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,167998.81347917786,80.04477562293745,120.23903507464112,68.64992826398853,167.7150483247022
102,143,sex_male,Size_2,age_26_35,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,158049.03951010975,79.55699332075095,113.34843646858565,68.64992826398853,14.542362596545265
103,145,sex_male,Size_6,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,208184.07154110208,93.08227634959518,148.39132508078566,68.64992826398853,0.0
104,146,sex_male,Size_6,age_26_35,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,240678.74150243582,100.71280572700468,166.01738127911975,68.64992826398853,0.0
105,147,sex_male,Size_6,age_19_25,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,193942.16690264788,88.7009533344312,143.49601655857415,68.64992826398853,0.0
106,148,sex_female,Size_4,age_19_25,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,180404.78408817117,82.47645887358489,133.61853090798212,68.64992826398853,0.0
107,149,sex_male,Size_6,age_46_55,Education_Post_Graduate,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,242879.28981203437,102.71498764862811,185.9327868703948,68.64992826398853,59.78829149233342
108,152,sex_male,Size_6,age_46_55,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,214986.367702721,97.32751681090787,160.2741921147956,68.64992826398853,25.03855868254569
109,153,sex_male,Size_6,age_56_65,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,217520.727820813,95.55985665231869,161.73622227746094,68.64992826398853,0.0
110,154,sex_female,Size_6,age_26_35,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,253021.25459786187,98.65673623061623,179.97545050916636,68.64992826398853,0.0
111,156,sex_female,Size_5,age_26_35,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,198901.39071467664,93.30066766510994,145.09559178132727,68.64992826398853,0.0
112,157,sex_female,Size_2,age_46_55,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,225754.4302656326,95.642641007369,165.32760582666123,68.64992826398853,181.63675052859395
113,158,sex_male,Size_3,age_46_55,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,229956.08309973057,96.39817653341908,166.4977624705092,68.64992826398853,343.3526212113646
114,159,sex_male,Size_5,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,207884.7704726663,87.2972392098707,148.56887334894589,68.64992826398853,65.5971004790593
115,160,sex_male,Size_8,age_46_55,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,232819.10214250395,92.19365589994607,170.63709995011865,68.64992826398853,87.7887207407756
116,163,sex_male,Size_5,age_56_65,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,212192.6116941577,95.97577131163041,152.01416449539096,68.64992826398853,0.0
117,164,sex_male,Size_5,age_36_45,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,194986.35537840615,87.93505995163179,142.3413486995105,68.64992826398853,11.68885873553909
118,165,sex_male,Size_4,age_36_45,Education_Post_Secondary,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,190033.40833481555,94.67835045215067,143.0446755870536,68.64992826398853,2.4559364207765655
119,167,sex_female,Size_4,age_26_35,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,228776.28415688267,100.455373821382,165.87004648373738,68.64992826398853,0.0
120,170,sex_female,Size_8,age_56_65,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,245375.69763825045,98.43151814941096,166.75017732577516,68.64992826398853,0.0
121,171,sex_female,Size_6,age_26_35,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,253573.2500017904,99.32712709273227,183.2137996770223,68.64992826398853,0.0
122,172,sex_male,Size_3,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,216292.55825070036,91.47494810363966,156.08255850894184,68.64992826398853,290.0398521833893
123,175,sex_male,Size_5,age_46_55,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,245460.78559141932,101.09112417898056,168.92166079395443,68.64992826398853,50.542656181842325
124,176,sex_male,Size_6,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,254599.89093161558,100.31461034702956,179.07636634937197,68.64992826398853,0.0
125,177,sex_male,Size_3,age_56_65,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,239013.3672410359,96.52995410565991,169.19218190384836,68.64992826398853,0.0
126,178,sex_female,Size_2,age_36_45,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,210813.01466540116,87.03472514279386,150.2539674536125,68.64992826398853,128.32398150061871
127,179,sex_male,Size_2,age_56_65,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,225663.1134972797,89.22879788226805,161.38445647237668,68.64992826398853,0.0
128,181,sex_male,Size_6,age_56_65,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,265073.6554055534,103.17878436056978,184.60901100884166,68.64992826398853,0.0
129,182,sex_female,Size_5,age_46_55,Education_College,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,251171.63664530625,102.25983953510061,176.56724883735868,68.64992826398853,25.610560939430837
130,184,sex_male,Size_6,age_19_25,Education_College,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,238150.037354679,98.5359382979134,163.38932297139849,68.64992826398853,0.0
131,185,sex_female,Size_6,age_26_35,Education_Post_Graduate,Cooking_yes,Lighting_yes,Refrigeration_yes,Urbanity_Urban,237702.65266732615,98.06196907670396,180.4548789343504,68.64992826398853,0.0
132,186,sex_female,Size_4,age_56_65,Education_Elementary_School,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,136077.73947267103,74.29750526365494,103.71174368170355,68.64992826398853,0.0
133,188,sex_male,Size_4,age_26_35,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_no,Urbanity_Urban,176385.07842495793,74.01775570442443,126.2442426451519,68.64992826398853,0.0
134,189,sex_female,Size_3,age_19_25,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,123021.06419883746,72.28565493462261,79.52036303679338,68.64992826398853,0.0
135,190,sex_female,Size_3,age_66_75,Education_Post_Secondary,Cooking_no,Lighting_yes,Refrigeration_yes,Urbanity_Urban,207116.01726515096,86.64281564291088,152.2101090991203,68.64992826398853,0.0
