,Lighting,TV,Cooking,Refrigeration,AC,Urban,Income,Electricity
97,1,1,0,1,0,1,5500.0,70.0
98,1,1,0,0,0,1,8000.0,36.0
99,1,1,0,1,0,1,2400.0,75.0
100,1,1,0,1,0,1,7175.0,91.0
101,1,1,0,1,0,1,35600.0,120.0
102,1,1,0,1,0,1,13250.0,230.0
103,1,0,0,0,0,1,17257.0,45.0
104,1,1,0,1,0,1,5616.0,30.0
105,1,1,0,1,0,1,18025.0,120.0
106,1,1,1,1,1,1,43669.0,360.0
107,1,0,0,0,0,0,3550.0,13.0
108,1,1,0,0,0,0,2030.0,13.0
109,1,0,0,0,0,0,2550.0,11.0
110,1,1,0,1,0,0,2700.0,44.0
111,1,1,0,1,0,0,7500.0,100.0
113,1,0,0,1,0,0,4200.0,67.0
115,1,1,0,1,0,0,6583.0,70.0
116,1,0,0,0,0,0,1333.0,9.0
117,1,0,0,0,0,0,2500.0,10.0
118,1,1,0,0,0,0,1168.0,20.0
119,1,0,0,0,0,0,1350.0,10.0
120,1,1,0,0,0,0,4000.0,20.0
121,1,1,0,0,0,0,2120.0,30.0
122,1,1,1,0,0,0,3000.0,26.0
123,1,0,0,0,0,0,1800.0,9.0
124,1,1,0,1,0,0,50000.0,165.0
125,1,1,0,1,1,0,11000.0,200.0
126,1,1,0,0,0,0,3500.0,20.0
127,1,0,0,0,0,0,700.0,4.0
128,1,0,0,0,0,0,5000.0,22.0
130,1,1,0,0,0,0,2500.0,50.0
131,1,0,0,0,0,0,4100.0,10.0
132,1,1,0,0,0,0,4100.0,22.0
133,1,1,0,0,0,0,4200.0,14.0
134,1,1,0,1,0,0,7400.0,96.0
135,1,1,0,0,0,0,8450.0,10.0
136,1,1,0,1,0,0,4000.0,80.0
137,1,1,0,0,0,0,8500.0,20.0
138,1,1,0,0,0,0,11400.0,18.0
139,1,1,1,1,0,0,13000.0,89.0
140,1,1,0,1,0,0,9000.0,69.0
141,1,1,0,1,0,0,8876.0,73.0
142,1,1,0,0,0,0,7750.0,50.0
143,1,1,0,0,0,0,5500.0,30.0
144,1,1,0,0,0,0,6416.0,42.0
145,1,1,0,0,0,0,3333.0,20.0
146,1,0,0,0,0,0,7667.0,16.0
147,1,0,0,0,0,0,2583.0,10.0
148,1,0,0,0,0,0,425.0,8.0
149,1,0,0,0,0,0,41.0,8.0
150,1,1,0,0,0,0,6300.0,18.0
151,1,1,0,0,0,0,2543.0,19.0
152,1,1,0,1,0,0,6500.0,64.0
153,1,1,1,1,0,0,10500.0,100.0
154,1,1,1,1,0,0,7500.0,64.0
156,1,1,1,1,0,0,12850.0,98.0
157,1,1,0,1,0,0,4166.0,69.0
158,1,1,0,1,0,0,5000.0,30.0
159,1,1,0,1,0,0,5200.0,22.0
160,1,1,0,0,0,0,5833.0,17.0
161,1,1,1,1,0,0,5000.0,187.0
162,1,1,0,0,0,0,3750.0,36.0
163,1,0,0,0,0,0,4250.0,30.0
164,1,1,0,0,0,0,4041.0,8.0
165,1,1,0,0,0,0,7450.0,10.0
166,1,1,0,0,0,0,6250.0,24.0
167,1,0,0,0,0,0,1250.0,10.0
168,1,0,0,0,0,0,1000.0,18.0
169,1,0,0,0,0,0,1667.0,14.0
170,1,0,0,0,0,0,3500.0,10.0
171,1,1,0,0,0,0,6000.0,20.0
172,1,1,0,1,0,0,14500.0,164.0
173,1,1,1,1,0,0,9000.0,175.0
174,1,1,1,1,0,0,27000.0,180.0
175,1,1,0,0,0,0,5200.0,95.0
176,1,0,0,0,0,0,4700.0,10.0
177,1,1,1,1,0,0,19500.0,200.0
178,1,0,0,0,0,0,6500.0,40.0
179,1,1,0,0,0,0,7500.0,15.0
180,1,1,0,1,0,0,14000.0,136.0
181,1,1,0,0,0,0,32050.0,30.0
182,1,1,0,1,0,0,76333.0,185.0
184,1,0,0,0,0,0,7050.0,14.0
186,1,1,0,0,0,0,2550.0,24.0
187,1,0,0,0,0,0,8050.0,11.0
188,1,1,0,0,0,0,4950.0,11.0
189,1,1,0,0,0,0,5850.0,40.0
190,1,0,0,1,0,0,2900.0,60.0
191,1,1,0,1,0,0,18500.0,130.0
192,1,1,0,1,0,0,3550.0,63.0
193,1,1,0,1,0,0,4300.0,50.0
194,1,0,0,0,0,0,1800.0,10.0
195,1,1,0,0,0,0,4300.0,18.0
196,1,1,0,1,0,0,6000.0,80.0
197,1,0,0,1,0,0,17230.0,120.0
198,1,1,0,1,0,0,7000.0,200.0
199,1,1,0,0,0,0,4900.0,24.0
200,1,1,0,0,0,0,4780.0,12.0
201,1,1,1,0,0,0,8500.0,70.0
202,1,0,0,0,0,0,2260.0,40.0
203,1,1,0,1,0,0,13200.0,150.0
204,1,1,0,0,0,0,2800.0,50.0
205,1,1,0,0,0,0,4650.0,50.0
206,1,1,0,1,0,0,20750.0,140.0
207,1,1,0,1,0,0,4800.0,90.0
208,1,1,0,1,0,0,25000.0,150.0
210,1,1,1,1,0,0,12200.0,155.0
211,1,1,1,1,0,0,12500.0,91.0
212,1,1,0,0,0,0,10700.0,55.0
213,1,1,0,0,0,0,6250.0,36.0
214,1,0,0,0,0,0,12500.0,90.0
215,1,1,1,1,0,0,9500.0,90.0
216,1,1,1,1,0,1,14500.0,45.0
217,1,0,0,0,0,1,7000.0,79.0
218,1,1,0,1,0,1,12500.0,200.0
219,1,1,1,1,0,1,16000.0,110.0
220,1,0,0,0,0,1,7200.0,35.0
221,1,1,0,0,0,1,6200.0,70.0
222,1,1,0,1,0,1,16600.0,90.0
223,1,1,0,0,0,1,6250.0,24.0
224,1,0,0,0,0,0,2690.0,12.0
225,1,0,0,1,0,0,7000.0,60.0
226,1,0,0,0,0,0,3000.0,16.0
227,1,0,0,1,0,0,2900.0,50.0
230,1,0,0,0,0,0,2050.0,12.0
231,1,0,0,0,0,0,10600.0,12.0
234,1,0,0,0,0,0,3800.0,17.0
235,1,0,0,0,0,0,3100.0,10.0
236,1,0,0,0,0,0,3800.0,30.0
237,1,1,0,1,0,0,4000.0,60.0
238,1,1,0,1,0,0,5000.0,65.0
239,1,1,0,0,0,0,5500.0,36.0
240,1,1,0,0,0,0,3000.0,20.0
241,1,0,0,0,0,0,1200.0,25.0
242,1,1,0,0,0,0,3750.0,42.0
243,1,1,0,1,0,0,8000.0,120.0
244,1,1,0,0,0,0,2500.0,40.0
246,1,1,0,1,0,0,5000.0,43.0
247,1,1,0,1,0,0,3750.0,170.0
248,1,1,0,0,0,1,3500.0,16.0
250,1,0,0,0,0,1,3000.0,14.0
251,1,1,0,1,0,1,17100.0,100.0
252,1,1,0,0,0,1,15000.0,26.0
253,1,1,0,1,0,1,26082.0,60.0
254,1,0,0,0,0,1,3950.0,12.0
255,1,0,0,0,0,1,1800.0,13.0
257,1,0,0,0,0,0,1600.0,10.0
258,1,1,0,0,0,0,4050.0,20.0
260,1,0,0,0,0,0,3800.0,12.0
262,1,0,0,0,0,0,3350.0,8.0
263,1,1,0,0,0,0,5500.0,18.0
264,1,1,0,1,0,1,7000.0,79.0
265,1,1,0,1,0,1,15000.0,160.0
266,1,1,0,1,0,1,5500.0,60.0
267,1,1,0,1,0,1,9000.0,108.0
268,1,1,0,0,0,1,4000.0,28.0
269,1,1,0,1,0,1,11000.0,120.0
270,1,1,0,0,0,1,2500.0,43.0
272,1,0,0,1,0,1,3000.0,40.0
273,1,0,0,0,0,1,2500.0,40.0
274,1,1,1,1,0,1,5900.0,150.0
275,1,1,0,1,0,1,7750.0,105.0
276,1,1,0,1,1,1,9500.0,156.0
277,1,1,0,1,0,1,11000.0,90.0
278,1,1,1,1,0,1,7500.0,100.0
279,1,1,0,1,0,1,4500.0,100.0
280,1,1,1,1,0,1,6500.0,190.0
281,1,1,0,1,0,1,7000.0,209.0
282,1,1,0,1,0,1,2750.0,65.0
283,1,1,0,1,0,0,10000.0,170.0
284,1,0,0,0,0,0,1100.0,8.0
285,1,1,0,0,0,0,2720.0,36.0
286,1,1,0,1,0,0,10000.0,60.0
287,1,1,0,0,0,0,4200.0,41.0
288,1,1,0,0,0,0,2661.0,53.0
289,1,1,0,1,0,0,15300.0,60.0
290,1,1,0,1,0,0,3600.0,33.0
291,1,0,0,0,0,0,2730.0,15.0
292,1,0,0,0,0,0,1550.0,10.0
293,1,1,0,1,0,0,3700.0,45.0
294,1,1,0,1,0,0,6500.0,70.0
295,1,0,0,0,0,0,3700.0,10.0
296,1,0,0,0,0,0,4200.0,11.0
297,1,0,0,0,0,0,8207.0,11.0
298,1,1,0,1,0,0,3250.0,11.0
299,1,1,0,1,0,0,4333.0,56.0
300,1,1,0,0,0,0,7542.0,23.0
301,1,1,0,1,0,0,17670.0,72.0
302,1,0,0,0,0,0,8550.0,8.0
303,1,1,0,0,0,0,1503.0,10.0
304,1,0,0,0,0,0,2080.0,11.0
306,1,1,0,0,0,0,3625.0,38.0
307,1,1,0,1,0,0,7600.0,100.0
308,1,1,0,1,0,0,4470.0,81.0
310,1,1,0,1,0,0,4000.0,69.0
311,1,1,0,1,0,0,3000.0,65.0
313,1,1,0,0,0,0,4200.0,60.0
314,1,0,0,0,0,0,2280.0,14.0
316,1,1,0,1,0,0,7000.0,15.0
317,1,1,1,0,0,0,8200.0,40.0
318,1,1,0,0,0,0,6000.0,20.0
319,1,0,0,0,0,0,5300.0,15.0
320,1,1,0,0,0,0,5300.0,20.0
321,1,1,0,1,0,0,12000.0,175.0
322,1,1,0,1,0,1,5490.0,50.0
324,1,1,0,1,0,1,21800.0,230.0
326,1,1,1,1,0,1,22200.0,200.0
328,1,1,0,0,0,0,2930.0,18.0
330,1,1,0,1,0,0,16500.0,139.0
331,1,1,0,1,0,0,14000.0,65.0
332,1,1,0,1,0,0,12000.0,65.0
333,1,1,0,1,0,0,14500.0,222.0
334,1,1,0,1,0,0,6166.0,90.0
335,1,1,0,1,0,0,3000.0,60.0
336,1,1,0,1,0,0,4600.0,154.0
337,1,1,0,0,0,0,14800.0,63.0
338,1,1,0,0,0,0,8120.0,13.0
340,1,0,0,0,0,0,9120.0,19.0
341,1,1,1,1,0,0,51072.0,150.0
342,1,1,0,0,0,0,12500.0,48.0
343,1,1,0,0,0,0,3967.0,28.0
344,1,0,1,1,0,0,7600.0,111.0
345,1,1,0,0,0,0,5917.0,9.0
346,1,1,1,1,0,0,10550.0,138.0
348,1,1,1,1,0,0,16967.0,60.0
349,1,1,1,1,0,0,21215.0,97.0
350,1,1,0,1,0,0,7263.0,88.0
351,1,1,0,1,0,0,6983.0,37.0
352,1,0,0,0,0,0,3750.0,9.0
353,1,1,1,1,0,0,29623.0,176.0
354,1,1,0,1,0,1,21950.0,116.0
355,1,1,0,1,0,1,41800.0,60.0
356,1,0,0,0,0,1,4367.0,40.0
358,1,1,0,1,0,1,31500.0,300.0
359,1,1,1,1,1,1,229000.0,449.0
360,1,1,1,1,0,1,36500.0,120.0
361,1,1,0,1,0,1,13400.0,100.0
362,1,1,1,1,0,1,9000.0,69.0
363,1,1,0,0,0,0,4500.0,31.0
364,1,1,1,1,0,0,12967.0,166.0
365,1,1,1,1,0,0,6900.0,93.0
366,1,1,0,1,0,0,5100.0,54.0
367,1,1,0,0,0,0,4525.0,29.0
368,1,1,0,0,0,0,11800.0,35.0
369,1,1,0,0,0,0,4800.0,23.0
370,1,0,0,0,0,0,6100.0,28.0
371,1,0,0,0,0,0,5175.0,14.0
372,1,1,0,1,0,0,9083.0,98.0
374,1,1,0,1,0,0,8457.0,125.0
375,1,1,0,0,0,0,3050.0,18.0
377,1,1,1,0,0,0,3874.0,111.0
378,1,1,1,0,0,0,4983.0,109.0
379,1,1,0,1,0,0,10766.0,69.0
380,1,1,0,0,0,0,4900.0,22.0
381,1,1,0,1,0,0,19500.0,74.0
382,1,1,0,0,0,0,12568.0,60.0
383,1,1,0,0,0,0,16300.0,44.0
384,1,1,0,1,0,0,22798.0,81.0
385,1,1,0,0,0,0,4500.0,62.0
386,1,1,0,1,0,0,5000.0,20.0
389,1,1,0,0,0,0,5000.0,12.0
391,1,1,1,0,0,0,8500.0,19.0
392,1,0,0,0,0,0,9300.0,9.0
394,1,1,0,1,0,1,3333.0,65.0
395,1,1,0,1,0,1,37617.0,300.0
396,1,1,0,1,0,1,6500.0,41.0
397,1,1,0,1,0,1,9167.0,93.0
398,1,1,0,1,0,1,18495.0,155.0
399,1,0,0,0,0,1,6300.0,17.0
400,1,1,0,0,0,0,4750.0,75.0
401,1,1,0,0,0,0,5600.0,20.0
402,1,1,0,0,0,0,13300.0,83.0
403,1,1,0,1,0,0,29313.0,100.0
404,1,1,0,0,0,0,10000.0,100.0
405,1,1,0,1,0,0,15859.0,78.0
406,1,1,0,0,0,0,5800.0,10.0
407,1,1,0,1,0,0,24966.0,77.0
408,1,1,0,0,0,0,8417.0,32.0
409,1,1,0,0,0,1,12500.0,43.0
410,1,1,0,1,0,1,24000.0,126.0
411,1,0,0,0,1,1,35000.0,200.0
412,1,1,1,1,1,1,60000.0,1020.0
413,1,1,0,1,0,1,4000.0,35.0
414,1,1,0,1,0,1,19000.0,175.0
415,1,1,0,1,0,1,10000.0,225.0
416,1,1,0,0,0,0,89041.0,7.0
417,1,1,0,0,0,0,2533.0,27.0
418,1,1,0,0,0,0,12783.0,12.0
419,1,1,0,1,0,0,7500.0,42.0
420,1,1,0,1,0,0,7550.0,33.0
422,1,1,0,1,0,0,5021.0,26.0
423,1,1,0,0,0,0,2583.0,9.0
424,1,0,0,0,0,0,1333.0,37.0
425,1,1,0,0,0,0,9600.0,25.0
426,1,1,1,1,0,0,1375.0,114.0
427,1,1,1,1,1,0,21500.0,163.0
428,1,1,0,1,0,0,13500.0,300.0
429,1,1,0,0,0,0,14017.0,36.0
430,1,1,0,0,0,0,2792.0,19.0
431,1,1,0,0,0,0,19200.0,41.0
432,1,1,0,1,0,0,17233.0,150.0
433,1,1,0,0,0,0,14900.0,68.0
434,1,0,0,0,0,0,5000.0,6.0
435,1,0,0,0,0,0,4500.0,15.0
436,1,1,0,0,0,0,15500.0,30.0
437,1,0,0,0,0,0,645.0,10.0
439,1,0,0,0,0,0,3600.0,8.0
440,1,1,0,0,0,0,3600.0,30.0
441,1,1,0,0,0,0,4000.0,20.0
442,1,0,0,0,0,0,7500.0,32.0
443,1,1,0,1,0,1,29133.0,179.0
444,1,1,0,1,0,1,9800.0,93.0
445,1,1,0,1,0,1,12000.0,113.0
446,1,1,1,1,1,1,62969.0,927.0
447,1,1,0,1,0,1,4900.0,75.0
448,1,1,0,0,0,1,3800.0,49.0
449,1,1,0,1,0,1,8080.0,144.0
450,1,1,1,1,1,1,97000.0,389.0
452,1,1,0,0,0,0,2500.0,9.0
453,1,0,0,0,0,0,2550.0,14.0
454,1,0,0,0,0,0,6100.0,8.0
455,1,0,0,0,0,0,2100.0,8.0
456,1,1,0,0,0,0,9400.0,7.0
457,1,1,0,0,0,0,9000.0,52.0
458,1,1,0,1,0,0,7500.0,110.0
459,1,1,0,0,0,0,6800.0,9.0
461,1,1,0,0,0,0,4583.0,49.0
462,1,0,0,0,0,0,3200.0,9.0
463,1,1,0,1,0,0,5167.0,56.0
464,1,1,0,0,0,0,6500.0,47.0
465,1,1,0,1,0,0,13667.0,56.0
466,1,1,0,0,0,0,5700.0,23.0
467,1,1,0,1,0,0,10000.0,34.0
468,1,0,0,0,0,0,3750.0,18.0
469,1,0,0,0,0,0,2650.0,18.0
470,1,1,0,0,0,0,3375.0,22.0
471,1,1,1,1,0,0,12000.0,76.0
474,1,1,0,0,0,1,5657.0,10.0
475,1,1,0,0,0,1,9520.0,18.0
476,1,1,0,0,0,1,7600.0,18.0
477,1,1,0,0,0,1,7700.0,54.0
478,1,1,0,0,0,1,11000.0,85.0
479,1,0,0,0,0,1,3425.0,10.0
480,1,1,0,0,0,1,7500.0,91.0
481,1,1,0,1,0,1,18083.0,50.0
482,1,0,0,0,0,0,6200.0,13.0
483,1,1,1,1,0,0,9600.0,85.0
484,1,1,1,1,0,0,5500.0,123.0
485,1,1,1,1,1,0,20400.0,176.0
487,1,1,0,1,0,0,6500.0,81.0
488,1,1,0,1,0,0,12500.0,65.0
489,1,1,0,1,0,0,18680.0,125.0
490,1,1,0,1,0,0,6100.0,115.0
491,1,1,0,0,0,0,3250.0,9.0
493,1,1,0,0,0,0,6000.0,16.0
494,1,1,1,1,0,0,15000.0,130.0
495,1,1,0,1,0,0,9426.0,75.0
496,1,1,0,1,0,0,3500.0,74.0
498,1,1,0,1,0,0,6680.0,47.0
500,1,1,0,0,0,0,6870.0,18.0
501,1,1,0,0,0,0,14930.0,25.0
502,1,1,0,0,0,0,5950.0,19.0
503,1,1,0,0,0,0,18767.0,53.0
504,1,1,0,1,0,0,5200.0,14.0
505,1,1,0,0,0,0,6235.0,32.0
509,1,1,1,1,0,0,8000.0,20.0
510,1,1,1,1,0,0,14000.0,24.0
511,1,0,0,1,0,0,3640.0,10.0
512,1,1,0,0,0,0,4000.0,22.0
513,1,1,0,0,0,0,3500.0,20.0
514,1,0,1,0,0,0,4333.0,25.0
515,1,0,0,0,0,0,5700.0,16.0
516,1,0,0,0,0,0,2842.0,8.0
517,1,1,0,0,0,0,5420.0,37.0
518,1,1,0,0,0,0,4227.0,37.0
520,1,1,0,1,0,0,23099.0,93.0
521,1,1,0,0,0,0,4500.0,21.0
522,1,0,0,0,0,0,4000.0,6.0
524,1,0,0,0,0,0,2000.0,19.0
525,1,1,0,0,0,0,6300.0,10.0
526,1,1,0,1,0,0,5200.0,39.0
527,1,1,0,0,0,0,2050.0,32.0
530,1,1,0,1,0,0,2400.0,111.0
532,1,0,0,1,0,0,2450.0,35.0
533,1,1,0,1,0,0,3000.0,159.0
534,1,1,0,0,0,0,3200.0,43.0
535,1,1,0,0,0,0,4960.0,28.0
536,1,1,0,0,0,0,3665.0,27.0
538,1,1,0,0,0,0,1028.0,11.0
539,1,1,0,0,0,0,1480.0,12.0
540,1,1,1,1,0,0,3533.0,48.0
541,1,1,0,0,0,0,1747.0,31.0
542,1,1,0,1,0,0,2000.0,13.0
543,1,0,0,0,0,0,1639.0,9.0
544,1,1,0,0,0,0,4477.0,66.0
546,1,1,0,1,0,0,8917.0,171.0
547,1,1,0,0,0,0,4762.0,91.0
548,1,1,0,1,1,0,16238.0,456.0
549,1,1,0,1,0,0,18391.0,133.0
550,1,0,0,0,0,0,5450.0,9.0
551,1,1,0,0,0,0,4322.0,31.0
552,1,1,0,1,1,0,23000.0,369.0
553,1,1,1,0,0,0,2950.0,57.0
554,1,1,0,1,0,0,15600.0,54.0
556,1,1,0,0,0,0,2200.0,53.0
557,1,1,0,1,0,0,9000.0,136.0
558,1,1,0,0,0,0,2500.0,25.0
560,1,0,0,0,0,0,4600.0,28.0
562,1,1,0,1,0,0,3833.0,80.0
563,1,1,0,1,0,0,24250.0,189.0
564,1,1,0,1,0,0,12736.0,75.0
566,1,1,0,0,0,0,5500.0,45.0
567,1,1,0,0,0,0,6000.0,23.0
569,1,1,0,1,0,0,12300.0,188.0
570,1,0,0,0,0,0,12000.0,70.0
574,1,1,0,1,0,1,12000.0,180.0
575,1,1,0,0,0,1,8500.0,28.0
576,1,1,0,0,0,1,6300.0,28.0
577,1,1,1,1,0,1,10500.0,115.0
579,1,1,1,1,0,1,14000.0,142.0
580,1,1,0,0,0,1,8200.0,21.0
581,1,1,0,0,0,1,6500.0,33.0
582,1,1,0,1,0,1,35000.0,208.0
583,1,1,0,1,0,1,35000.0,180.0
584,1,1,0,0,0,1,20000.0,83.0
585,1,1,0,1,0,1,40000.0,88.0
586,1,1,0,0,0,1,300000.0,93.0
588,1,0,0,0,0,1,4600.0,20.0
589,1,0,0,1,0,1,20700.0,55.0
590,1,0,0,0,0,1,5900.0,20.0
591,1,0,0,0,0,1,12600.0,38.0
592,1,1,0,0,0,1,14200.0,38.0
593,1,1,0,0,0,1,7800.0,19.0
594,1,1,0,0,0,1,9500.0,48.0
595,1,1,0,0,0,1,2000.0,34.0
597,1,1,1,1,0,0,7900.0,108.0
599,1,1,0,0,0,0,3857.0,20.0
600,1,0,0,0,0,0,6483.0,38.0
601,1,1,0,0,0,0,7000.0,20.0
602,1,1,0,1,0,0,8833.0,64.0
603,1,1,0,1,0,0,3500.0,50.0
605,1,0,0,0,0,0,2800.0,7.0
606,1,1,0,1,0,0,3700.0,45.0
607,1,1,0,1,0,0,9650.0,48.0
608,1,1,0,1,0,0,2900.0,38.0
609,1,1,0,0,0,0,3300.0,60.0
610,1,1,0,0,0,0,4650.0,64.0
612,1,1,0,0,0,0,20720.0,20.0
613,1,1,0,0,0,0,7500.0,133.0
614,1,1,0,0,0,1,5600.0,33.0
615,1,1,0,0,0,1,3600.0,23.0
616,1,1,0,1,0,1,6750.0,44.0
617,1,1,0,1,0,1,7583.0,122.0
619,1,0,0,0,0,1,4500.0,9.0
622,1,1,0,0,0,1,12300.0,46.0
623,1,0,0,0,0,1,4200.0,9.0
624,1,1,0,0,0,1,50250.0,14.0
625,1,1,1,1,1,1,22000.0,368.0
627,1,0,0,0,0,1,3500.0,19.0
628,1,1,1,1,0,1,13500.0,302.0
629,1,1,0,0,0,1,3500.0,23.0
630,1,1,1,1,0,1,26500.0,128.0
631,1,1,0,0,0,1,7500.0,40.0
632,1,1,0,0,0,1,15000.0,9.0
633,1,1,0,0,0,1,35500.0,50.0
634,1,1,0,0,0,1,40000.0,44.0
635,1,0,0,0,0,1,25000.0,30.0
636,1,1,0,0,0,1,65000.0,56.0
637,1,1,0,0,0,1,20000.0,25.0
638,1,1,0,0,0,1,45800.0,22.0
639,1,1,0,1,0,1,60000.0,60.0
640,1,1,0,1,0,1,65000.0,150.0
642,1,1,0,0,0,0,18500.0,25.0
643,1,1,0,1,0,0,35500.0,100.0
645,1,1,0,0,0,0,58100.0,33.0
646,1,1,0,1,0,0,60000.0,120.0
647,1,0,0,0,0,0,42500.0,19.0
649,1,1,0,1,0,1,23496.0,132.0
650,1,1,0,1,0,1,12000.0,159.0
651,1,1,0,1,0,1,5700.0,66.0
652,1,1,0,1,0,1,5500.0,66.0
653,1,1,0,0,0,1,4500.0,85.0
654,1,1,0,0,0,1,2000.0,25.0
655,1,1,0,1,1,0,5000.0,70.0
656,1,1,0,1,0,0,50000.0,179.0
657,1,1,0,0,0,0,14000.0,51.0
658,1,1,0,0,0,0,10800.0,54.0
659,1,1,0,1,0,0,38000.0,132.0
660,1,1,0,1,1,0,8000.0,245.0
661,1,1,0,0,0,0,9000.0,80.0
662,1,1,0,1,1,0,62220.0,194.0
663,1,1,0,1,0,0,3000.0,38.0
664,1,1,0,1,0,0,9500.0,70.0
666,1,1,1,1,0,0,6000.0,248.0
667,1,1,0,0,0,0,5500.0,90.0
668,1,1,0,0,0,0,3583.0,40.0
669,1,1,0,1,0,0,5000.0,132.0
670,1,1,0,1,0,1,9502.0,132.0
671,1,0,0,0,0,1,1117.0,19.0
672,1,1,0,0,0,1,14700.0,50.0
673,1,1,1,0,0,1,14200.0,11.0
674,1,1,1,1,0,1,25000.0,208.0
675,1,1,0,0,0,1,11040.0,113.0
676,1,1,0,1,0,0,7500.0,58.0
677,1,0,0,0,0,0,5400.0,19.0
680,1,1,0,0,0,0,4500.0,30.0
681,1,1,0,0,0,0,4500.0,25.0
682,1,0,0,0,0,0,6417.0,9.0
683,1,1,0,1,1,0,26000.0,130.0
684,1,1,1,1,0,0,12500.0,110.0
685,1,1,0,0,0,0,4449.0,32.0
686,1,1,1,1,0,0,16960.0,248.0
687,1,1,0,1,0,0,5120.0,188.0
688,1,1,0,0,0,0,7450.0,19.0
689,1,1,0,0,0,0,3367.0,37.0
