,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Cooking,e_Refrigeration,Income,Electricity,Water,w,wf
10,10,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_High_School,Cooking_yes,Refrigeration_yes,118102.05247131787,99.32645327302096,93.31485350510994,46.72198731501057,72.09753890575038
11,11,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,204389.97594487094,123.23249363711412,155.27469125060145,46.72198731501057,76.31953793042891
12,12,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,204894.0440038858,121.8809370459663,149.7122954497669,46.72198731501057,8.108185537467948
13,13,sex_female,Urbanity_Urban,Size_1,age_36_45,Education_High_School,Cooking_yes,Refrigeration_yes,106387.36973906712,97.39520486952586,79.46396927664598,46.72198731501057,11.413376298349823
14,14,sex_female,Urbanity_Rural,Size_1,age_56_65,Education_High_School,Cooking_yes,Refrigeration_yes,79141.82548477719,81.82149458220414,51.47854892830115,46.72198731501057,0.0
15,15,sex_female,Urbanity_Urban,Size_1,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,194021.33959187046,123.18371640291106,141.42733364926247,46.72198731501057,18.55432063482041
16,16,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,196686.14251142187,121.43199456289314,143.77976027034106,46.72198731501057,4.481761320860807
17,17,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,78061.54494051018,86.64007997107102,61.70889764532253,46.72198731501057,0.0
18,18,sex_female,Urbanity_Urban,Size_1,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,201155.253642416,121.01342800962234,149.93687400327906,46.72198731501057,0.0
19,19,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_Elementary_School,Cooking_yes,Refrigeration_yes,70038.30773174639,82.98654313173913,45.96386501079441,46.72198731501057,0.0
20,20,sex_male,Urbanity_Rural,Size_6,age_46_55,Education_Post_Graduate,Cooking_yes,Refrigeration_yes,405178.24516984256,178.15830468394054,260.7197126889414,46.72198731501057,15.8909089014765
21,21,sex_male,Urbanity_Urban,Size_8,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,135424.84437037105,99.8396994190897,102.47691027597534,46.72198731501057,80.90309349669536
22,22,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_High_School,Cooking_yes,Refrigeration_yes,150178.58659572233,101.91257169076694,118.19366980918528,46.72198731501057,6.278578175855805
23,23,sex_male,Urbanity_Urban,Size_6,age_26_35,Education_Elementary_School,Cooking_yes,Refrigeration_yes,104339.06817569981,90.535879195575,80.97585031859725,46.72198731501057,14.816364880687983
24,24,sex_male,Urbanity_Rural,Size_1,age_66_75,Education_College,Cooking_yes,Refrigeration_yes,329471.71317410964,148.06709142456452,221.064787940392,46.72198731501057,0.0
25,25,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_College,Cooking_yes,Refrigeration_yes,356777.4602199247,155.6606367686306,255.01964404107827,46.72198731501057,0.0
26,26,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_College,Cooking_yes,Refrigeration_yes,374343.07150870893,176.112551701305,266.20733429685816,46.72198731501057,38.49310085523147
27,27,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,369374.3540248053,161.11680372615209,254.90719483567244,46.72198731501057,109.6233985599845
28,28,sex_male,Urbanity_Urban,Size_5,age_76_85,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,245451.3361289668,137.75651092555415,190.90712421986046,46.72198731501057,21.193814847091392
29,29,sex_female,Urbanity_Rural,Size_4,age_36_45,Education_College,Cooking_yes,Refrigeration_yes,334933.2981707977,153.51637808008059,224.94364379002914,46.72198731501057,36.52265037114125
30,30,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,60664.10835320401,76.09466030373272,38.893540420677546,46.72198731501057,118.2381493244111
31,31,sex_male,Urbanity_Rural,Size_2,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,169280.98350050492,101.27850178638323,116.81325532728556,46.72198731501057,18.932550317610666
32,32,sex_male,Urbanity_Urban,Size_2,age_66_75,Education_College,Cooking_yes,Refrigeration_yes,368040.4224215949,163.69439290701592,259.11873221345814,46.72198731501057,19.06772293439333
33,33,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,228473.73412333138,131.2557482269525,172.33153229962642,46.72198731501057,0.0
34,34,sex_female,Urbanity_Urban,Size_4,age_36_45,Education_Post_Graduate,Cooking_yes,Refrigeration_yes,426469.98999418976,181.6857312656789,292.81762915408336,46.72198731501057,21.788041368724517
35,35,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,318665.39327314764,152.72457583482262,215.00987832277661,46.72198731501057,85.6201138536451
36,36,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_College,Cooking_yes,Refrigeration_yes,362320.6620926322,168.52976777634086,254.65327630597648,46.72198731501057,3.6654513687493506
37,37,sex_female,Urbanity_Urban,Size_5,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,221792.3833220313,128.6512637984126,165.20993526632637,46.72198731501057,37.23683666627556
38,38,sex_female,Urbanity_Urban,Size_3,age_26_35,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,203266.99106213983,124.6001306676614,152.93062637279237,46.72198731501057,125.03426859329144
39,39,sex_female,Urbanity_Rural,Size_5,age_66_75,Education_Post_Secondary,Cooking_no,Refrigeration_yes,204802.0242793868,111.61461749940264,141.46296835225866,46.72198731501057,0.0
40,40,sex_female,Urbanity_Urban,Size_6,age_76_85,Education_College,Cooking_yes,Refrigeration_yes,410174.979961736,182.77064090211903,296.3759086154205,46.72198731501057,4.087380526591171
41,41,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,237915.8498186495,130.22552041016414,181.5603249390511,46.72198731501057,0.0
42,42,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,227091.48887794212,120.19105660759337,161.53603734506316,46.72198731501057,0.0
43,43,sex_male,Urbanity_Urban,Size_7,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,124149.590594473,100.78355814829278,93.10761479726163,46.72198731501057,55.052556432179294
44,44,sex_male,Urbanity_Urban,Size_6,age_36_45,Education_High_School,Cooking_yes,Refrigeration_yes,140264.13768115733,107.32510868822438,109.63964485112736,46.72198731501057,23.270082801607472
45,45,sex_male,Urbanity_Rural,Size_5,age_56_65,Education_College,Cooking_yes,Refrigeration_yes,348305.14660424873,154.61522718717015,230.47936465507772,46.72198731501057,0.0
46,46,sex_female,Urbanity_Urban,Size_3,age_36_45,Education_College,Cooking_yes,Refrigeration_yes,362481.02882118296,166.1469496855886,259.8076161024551,46.72198731501057,126.61490318573617
47,47,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Post_Graduate,Cooking_yes,Refrigeration_yes,402662.84896751115,182.7386771111063,281.0917559708246,46.72198731501057,87.87700947698002
48,48,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_College,Cooking_yes,Refrigeration_yes,360382.7605762551,164.80120579124494,253.84303323561028,46.72198731501057,3.6654513687493506
49,49,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_College,Cooking_no,Refrigeration_yes,362917.3153387545,156.58383052289832,256.271142572369,46.72198731501057,145.31667189385712
50,50,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,342842.27770484105,155.83249879233009,222.2946596816236,46.72198731501057,19.53114574538958
51,51,sex_male,Urbanity_Urban,Size_4,age_26_35,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,206420.0312516598,122.81139078851595,156.7611547112079,46.72198731501057,27.03659631034587
52,52,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,371711.6814202815,167.83527320674426,263.57349106280566,46.72198731501057,11.625726277038925
53,53,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,207421.22661945608,120.24288071506255,154.74819313319847,46.72198731501057,8.108185537467948
54,54,sex_female,Urbanity_Urban,Size_2,age_36_45,Education_College,Cooking_yes,Refrigeration_yes,355195.16477135755,162.49548177566984,253.38201313028188,46.72198731501057,88.86830838746198
55,55,sex_female,Urbanity_Urban,Size_4,age_76_85,Education_High_School,Cooking_yes,Refrigeration_yes,152452.60929187445,115.04847432660476,117.2292949501594,46.72198731501057,4.0381082922703095
56,56,sex_male,Urbanity_Rural,Size_4,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,176622.3931525189,105.27736233567512,123.31471868923731,46.72198731501057,43.88432985165191
57,57,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_High_School,Cooking_yes,Refrigeration_yes,132501.16414612302,100.79295593055572,101.71209588693807,46.72198731501057,8.927516109286934
58,58,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_High_School,Cooking_yes,Refrigeration_yes,106506.61358991092,93.20066436963933,81.07338233752533,46.72198731501057,89.08904353150204
59,59,sex_female,Urbanity_Urban,Size_2,age_56_65,Education_Post_Graduate,Cooking_yes,Refrigeration_yes,419079.3989518759,184.08197068738963,286.2110253572239,46.72198731501057,0.0
60,60,sex_male,Urbanity_Urban,Size_1,age_36_45,Education_College,Cooking_yes,Refrigeration_yes,344030.16070755624,163.6496122102276,241.55834623233943,46.72198731501057,17.030531777893877
61,61,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,198299.64330966,125.75255192910495,148.79107201973304,46.72198731501057,0.0
62,62,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,356236.79212453146,167.27888831151546,250.02921199062774,46.72198731501057,74.79574907350236
63,63,sex_male,Urbanity_Rural,Size_1,age_56_65,Education_College,Cooking_yes,Refrigeration_yes,317512.89420764963,151.82427203588747,206.69223919251263,46.72198731501057,0.0
64,64,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,199008.71102914237,119.83862483740884,143.3925623159983,46.72198731501057,0.0
65,65,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_High_School,Cooking_yes,Refrigeration_yes,118116.67433153227,101.32435688449199,92.06691969313587,46.72198731501057,126.83563832977622
66,66,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,367213.79580128385,165.34912092934283,259.47135137544785,46.72198731501057,109.6233985599845
67,67,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,348763.212546428,161.46939609372308,239.43180007711064,46.72198731501057,0.039027152142209795
68,68,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_High_School,Cooking_no,Refrigeration_yes,130775.38431445506,94.60011357840271,102.37992299947643,46.72198731501057,24.71033950561584
69,69,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_Elementary_School,Cooking_no,Refrigeration_yes,121888.80216947234,92.81470603092275,94.6944238999111,46.72198731501057,0.0
70,70,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,109748.12169164198,98.64190608962923,84.33671066659467,46.72198731501057,13.592983856089194
71,71,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,221019.07291282198,128.34751263266782,164.7527205765703,46.72198731501057,13.149515133965462
72,72,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_Post_Graduate,Cooking_yes,Refrigeration_yes,431946.98491561954,183.87263780040942,302.331711153137,46.72198731501057,4.796536742972851
73,73,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_College,Cooking_yes,Refrigeration_yes,357604.54185368214,168.63720624710982,256.23396100259345,46.72198731501057,129.53384849752823
74,74,sex_male,Urbanity_Rural,Size_1,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,163902.1897342005,100.94092420725012,110.3344637066206,46.72198731501057,0.0
75,75,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,347589.29487203684,159.8773245225666,242.86140395055398,46.72198731501057,0.039027152142209795
76,76,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,203613.8095467916,116.25061772125495,153.89372473667757,46.72198731501057,79.23848324222097
77,77,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,87905.8598366281,85.12663428960659,68.77199139212368,46.72198731501057,69.66718974599421
78,78,sex_male,Urbanity_Rural,Size_2,age_36_45,Education_High_School,Cooking_yes,Refrigeration_yes,74770.01749385818,82.15729490007786,49.923407157750795,46.72198731501057,99.91340831164476
79,79,sex_male,Urbanity_Urban,Size_7,age_36_45,Education_Elementary_School,Cooking_no,Refrigeration_yes,118238.70615943676,97.74300826927592,92.2400189941072,46.72198731501057,87.82688445425987
80,80,sex_female,Urbanity_Urban,Size_4,age_36_45,Education_High_School,Cooking_yes,Refrigeration_yes,128121.97002340725,106.55033374002369,101.06852318354102,46.72198731501057,23.00007542324654
81,81,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,103424.93047056934,99.52396964313836,83.09273685769558,46.72198731501057,3.5782216377387006
82,82,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,370297.11521893344,174.36793234918446,257.73595016510444,46.72198731501057,11.625726277038925
83,83,sex_male,Urbanity_Urban,Size_4,age_26_35,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,203629.7957958971,116.41607973173878,151.3426618947739,46.72198731501057,27.03659631034587
84,84,sex_male,Urbanity_Rural,Size_4,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,181785.60460900105,108.42205181288419,127.68277258523143,46.72198731501057,26.892825225900243
85,85,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_High_School,Cooking_yes,Refrigeration_yes,127876.0955271693,99.29531861126176,97.42913475156813,46.72198731501057,8.927516109286934
86,86,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,385781.25667086896,171.30929711591145,268.46997003395643,46.72198731501057,15.802597871805293
87,87,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_High_School,Cooking_yes,Refrigeration_yes,115902.34779326698,92.12308556836172,88.78947006853758,46.72198731501057,72.09753890575038
88,88,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,Cooking_no,Refrigeration_yes,357050.47833198454,161.0084418246882,248.09779774897632,46.72198731501057,90.57857246983127
89,89,sex_male,Urbanity_Urban,Size_5,age_76_85,Education_Post_Secondary,Cooking_no,Refrigeration_yes,240933.0906938306,117.48266311890205,183.59990909058826,46.72198731501057,36.976638243420304
90,90,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,211852.57671365427,134.81106236006667,155.4085858495685,46.72198731501057,33.05996507150919
91,91,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_College,Cooking_yes,Refrigeration_yes,368787.9387725615,170.88585278403872,259.5127139459355,46.72198731501057,28.617230902790595
92,92,sex_male,Urbanity_Urban,Size_5,age_36_45,Education_High_School,Cooking_yes,Refrigeration_yes,132477.76578965667,96.86428147500445,99.63413609666028,46.72198731501057,33.01483764159704
93,93,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,105222.07443738343,101.13533219063109,81.04646738911623,46.72198731501057,13.592983856089194
94,94,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_Elementary_School,Cooking_no,Refrigeration_yes,78345.87009769361,82.10050490967815,62.02929841878706,46.72198731501057,10.693291220962953
95,95,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,210696.38486979454,126.80381852130662,158.50910432477934,46.72198731501057,114.0661327287031
96,96,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_Post_Graduate,Cooking_yes,Refrigeration_yes,386029.36868756404,172.65838315833543,250.1464779575949,46.72198731501057,119.45646442964525
97,97,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,198211.04175320675,112.70393593580256,147.7701313591339,46.72198731501057,79.23848324222097
98,98,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Post_Secondary,Cooking_no,Refrigeration_yes,196728.1668604881,113.32352824393091,144.64519673792566,46.72198731501057,112.01281126430153
99,99,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,201437.96480770872,121.66162680304909,150.64134799189372,46.72198731501057,79.23848324222097
100,100,sex_female,Urbanity_Urban,Size_4,age_66_75,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,228645.17504041234,124.91195321246694,172.65253786604055,46.72198731501057,0.0
101,101,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_Post_Graduate,Cooking_yes,Refrigeration_yes,424739.52240851533,182.98769863853775,293.4677083379645,46.72198731501057,34.58285663295746
102,102,sex_female,Urbanity_Urban,Size_3,age_36_45,Education_Elementary_School,Cooking_no,Refrigeration_yes,90421.50235733564,85.03717531736181,72.56532139550522,46.72198731501057,137.26916725455692
103,103,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_High_School,Cooking_yes,Refrigeration_yes,119484.82495723302,96.12392287002622,92.16073701806229,46.72198731501057,69.17859359395831
104,104,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,54284.51227790637,83.91342853018381,33.26473652132993,46.72198731501057,80.49155452613692
105,105,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,220677.8502443791,125.79414046536324,164.9798179180757,46.72198731501057,58.71865842027897
106,106,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_College,Cooking_no,Refrigeration_yes,376967.28831728094,165.48914208571134,271.7470832314431,46.72198731501057,54.275924251560376
107,107,sex_male,Urbanity_Urban,Size_1,age_26_35,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,182189.8954294871,115.78355431997886,129.99135832457551,46.72198731501057,15.449897185449156
108,108,sex_female,Urbanity_Rural,Size_4,age_56_65,Education_College,Cooking_yes,Refrigeration_yes,345985.3749349529,162.7548718675269,231.43667002251385,46.72198731501057,0.0
109,109,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_College,Cooking_no,Refrigeration_yes,379718.8494049433,175.04223990724725,266.63748766058063,46.72198731501057,0.0
110,110,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_High_School,Cooking_yes,Refrigeration_yes,117148.35667335698,102.051326937686,92.15518046475201,46.72198731501057,69.17859359395831
111,111,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,71659.79956795384,79.82717915137516,48.048647803487576,46.72198731501057,14.40258641788142
112,112,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,323406.20046907326,143.4211038704245,215.08487093860387,46.72198731501057,85.6201138536451
113,113,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,205437.1247885653,127.23913549996988,152.91868342374798,46.72198731501057,8.108185537467948
114,114,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,Cooking_no,Refrigeration_yes,93336.35715484688,87.15886873238512,72.7507722062291,46.72198731501057,123.19660794059729
115,115,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,111055.003929243,95.77649581899965,86.64648211782337,46.72198731501057,10.674038544297131
116,116,sex_female,Urbanity_Urban,Size_5,age_56_65,Education_Post_Secondary,Cooking_yes,Refrigeration_yes,231057.8778390222,132.71517602536198,168.39619038290266,46.72198731501057,0.0
117,117,sex_female,Urbanity_Urban,Size_5,age_56_65,Education_College,Cooking_yes,Refrigeration_yes,388928.26748839853,175.9661899614055,277.50201306227126,46.72198731501057,0.0
118,118,sex_female,Urbanity_Urban,Size_1,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,354479.83426618116,160.9922117942089,240.99677075444515,46.72198731501057,0.0
119,119,sex_female,Urbanity_Urban,Size_1,age_46_55,Education_High_School,Cooking_no,Refrigeration_yes,109649.81899550123,85.24442726825755,84.7851266882077,46.72198731501057,10.20469506892706
120,120,sex_female,Urbanity_Urban,Size_2,age_66_75,Education_Elementary_School,Cooking_yes,Refrigeration_yes,104440.76529097883,89.51738434269069,85.4112904396955,46.72198731501057,11.020218295093105
121,121,sex_female,Urbanity_Rural,Size_3,age_66_75,Education_Elementary_School,Cooking_yes,Refrigeration_yes,76452.77048424188,79.48805895476582,51.861758013758134,46.72198731501057,59.591177873510006
122,122,sex_female,Urbanity_Urban,Size_4,age_66_75,Education_College,Cooking_yes,Refrigeration_yes,390428.5629409778,168.48237761824575,273.97406144957733,46.72198731501057,0.0
123,123,sex_female,Urbanity_Urban,Size_1,age_56_65,Education_High_School,Cooking_yes,Refrigeration_yes,115631.03238240676,93.9070303503943,90.39006078566149,46.72198731501057,0.0
124,124,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,370931.50233025104,165.9774623272179,264.0323078449333,46.72198731501057,109.6233985599845
125,125,sex_male,Urbanity_Urban,Size_1,age_36_45,Education_College,Cooking_yes,Refrigeration_yes,345305.9516140635,156.96469711854962,247.93009310194438,46.72198731501057,17.030531777893877
126,126,sex_female,Urbanity_Urban,Size_2,age_36_45,Education_College,Cooking_yes,Refrigeration_yes,355772.94656026445,162.37399941334752,253.83208767554981,46.72198731501057,88.86830838746198
127,127,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Elementary_School,Cooking_yes,Refrigeration_yes,79322.5412129274,85.27874675862614,60.755646380126564,46.72198731501057,86.65869437174587
128,128,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,53480.01185851283,77.76429074657936,33.780919812976244,46.72198731501057,80.49155452613692
129,129,sex_female,Urbanity_Urban,Size_2,age_56_65,Education_High_School,Cooking_yes,Refrigeration_yes,126593.27555734276,97.13679108970899,97.49526010746716,46.72198731501057,0.0
130,130,sex_male,Urbanity_Urban,Size_2,age_76_85,Education_High_School,Cooking_yes,Refrigeration_yes,131026.96075945662,103.54938991083748,101.86521613839243,46.72198731501057,70.12707640052582
131,131,sex_male,Urbanity_Rural,Size_1,age_26_35,Education_Elementary_School,Cooking_yes,Refrigeration_yes,32852.95421028791,62.232186849144675,16.71643112931568,46.72198731501057,16.702968469365114
132,132,sex_male,Urbanity_Rural,Size_1,age_26_35,Education_Elementary_School,Cooking_yes,Refrigeration_yes,31591.97692173666,72.30557277734133,17.03830488567458,46.72198731501057,16.702968469365114
133,133,sex_male,Urbanity_Urban,Size_1,age_76_85,Education_College,Cooking_yes,Refrigeration_yes,366356.92894252436,162.72795388388505,268.80781754886056,46.72198731501057,0.0
134,134,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,201040.46268044066,123.45911361037027,155.70617132699056,46.72198731501057,0.0
135,135,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_Elementary_School,Cooking_yes,Refrigeration_yes,76545.84565005972,81.80940774980009,59.200929366423885,46.72198731501057,0.0
136,136,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_Elementary_School,Cooking_no,Refrigeration_yes,77629.58549373574,78.81534060606252,60.07453363268968,46.72198731501057,10.693291220962953
137,137,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_High_School,Cooking_yes,Refrigeration_yes,104716.85202014293,94.64648442151224,84.42918827818792,46.72198731501057,0.0
138,138,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_Post_Secondary,Cooking_no,Refrigeration_yes,197761.18190323567,112.36566727107065,151.66081515458245,46.72198731501057,0.0
139,139,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,Cooking_no,Refrigeration_yes,359110.8864318981,160.86367398551633,256.14301348243424,46.72198731501057,90.57857246983127
140,140,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,Cooking_no,Refrigeration_yes,357190.1369514378,151.94647865599106,254.99157732131127,46.72198731501057,90.57857246983127
141,141,sex_male,Urbanity_Urban,Size_2,age_66_75,Education_College,Cooking_yes,Refrigeration_yes,364381.8032290535,169.60704203670676,248.38188592527013,46.72198731501057,19.06772293439333
142,142,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_College,Cooking_yes,Refrigeration_yes,372620.25643749634,165.77838645219282,252.9728086497997,46.72198731501057,11.625726277038925
143,143,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_College,Cooking_yes,Refrigeration_yes,374641.2911294279,167.55808117809852,262.58872623488804,46.72198731501057,38.49310085523147
144,144,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_High_School,Cooking_yes,Refrigeration_yes,117452.74079657895,96.67286450805936,91.59747757800743,46.72198731501057,126.83563832977622
