,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Cooking,Income,Electricity,Water,w,wf
25,25,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,221828.44648785007,124.00405047153434,164.8573496624692,45.552879581151835,0.0
26,26,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_yes,363499.57385054854,164.00899780100602,250.80462003622705,45.552879581151835,15.888975090949042
27,27,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_yes,354018.2970632485,166.66207431620143,254.4602946998157,45.552879581151835,30.118578016261814
28,28,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_yes,101887.42626272928,99.22875968732731,79.71336090145938,45.552879581151835,11.395896264784458
29,29,sex_female,Urbanity_Urban,Size_7,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,238330.52825674298,138.62167087722636,182.60220227601863,45.552879581151835,24.0687072166489
30,30,sex_female,Urbanity_Urban,Size_8,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,162913.22313551896,109.28101527176592,126.28099085426314,45.552879581151835,8.50369609242206
31,31,sex_female,Urbanity_Urban,Size_10,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_yes,420769.8640836767,171.11431627863644,299.40032103087367,45.552879581151835,413.2342969815959
32,32,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,230460.0002016986,120.27532616943242,173.73968064132814,45.552879581151835,0.0
33,33,sex_male,Urbanity_Urban,Size_2,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_yes,362272.7173868958,168.75920218234322,255.08560777195515,45.552879581151835,56.84982164117416
34,34,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_yes,411645.98771600006,184.5805942444122,284.374990028426,45.552879581151835,40.705100324563624
35,35,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,125274.5117660633,97.75515978834412,100.16575671980543,45.552879581151835,0.0
36,36,sex_female,Urbanity_Rural,Size_3,age_66_75,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,182482.11491840886,109.19309230319355,130.5312589488192,45.552879581151835,34.26680089135439
37,37,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_yes,83391.16428246122,92.46281761690877,63.30737970675444,45.552879581151835,116.67338495996643
38,38,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,194651.39106956398,127.73250358751919,147.01837802117154,45.552879581151835,33.121665368385514
39,39,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,207001.97778280155,128.36436118916635,158.93126511284981,45.552879581151835,18.892062443072902
40,40,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,362711.12871912343,160.09368372886044,255.15453713373157,45.552879581151835,22.94146987117107
41,41,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_no,408680.1104444511,172.09980258394347,282.63665810030614,45.552879581151835,126.3170918306401
42,42,sex_male,Urbanity_Urban,Size_3,age_76_85,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,218537.16950216566,126.40007103804821,164.69763205901668,45.552879581151835,45.170613165419624
43,43,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_yes,344731.4659773489,150.50597519489392,241.818262936522,45.552879581151835,126.54454417757407
44,44,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,101167.85912437928,83.24910294836678,78.53264087492127,45.552879581151835,136.04132913301623
45,45,sex_male,Urbanity_Urban,Size_2,age_26_35,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,181860.3127339895,114.55669600477741,133.449126591701,45.552879581151835,151.52749611428763
46,46,sex_male,Urbanity_Urban,Size_8,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,237454.96113767585,131.46453661263965,172.89474646745626,45.552879581151835,34.84928235365094
47,47,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,216203.2132226669,120.00292966208944,162.1577492616786,45.552879581151835,14.159624500937664
48,48,sex_female,Urbanity_Urban,Size_4,age_66_75,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,222888.0944378125,123.74111015393572,165.34035370762584,45.552879581151835,0.0
49,49,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_no,391493.32273643615,159.53086131119773,254.8803903476999,45.552879581151835,22.171487002842508
50,50,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,364543.118185688,160.36921181612956,250.8496504112796,45.552879581151835,22.94146987117107
51,51,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,214178.9582983423,128.6130030172317,157.05469793481132,45.552879581151835,14.159624500937664
52,52,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,204656.53304955177,115.83116872007571,153.23357329743703,45.552879581151835,34.09262343550683
53,53,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_yes,379502.2481276721,172.67333690557427,265.7780286583313,45.552879581151835,0.0
54,54,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_yes,375415.0832821693,173.35611288673286,270.18387537032163,45.552879581151835,0.0
55,55,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,220661.32921960246,122.26234362361893,162.1834504128969,45.552879581151835,0.0
56,56,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,190196.3619968612,118.3062413157886,140.70289665585742,45.552879581151835,129.54763152969795
57,57,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,195163.4258039748,122.08217690171897,145.04631193912402,45.552879581151835,125.84520417548019
58,58,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,125037.53822888895,97.35939362387458,97.56089540633587,45.552879581151835,6.710518263084272
59,59,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_yes,357279.05413968174,169.96585770140257,251.749709071418,45.552879581151835,18.268084449832028
60,60,sex_female,Urbanity_Urban,Size_4,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,364692.0370930329,169.83479839864611,259.75962327165456,45.552879581151835,21.683712719908687
61,61,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,115908.59889658644,88.79340329007258,92.2112178225486,45.552879581151835,126.48511162904266
62,62,sex_male,Urbanity_Urban,Size_9,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_yes,404884.34826653573,179.71998585640708,295.2252002908238,45.552879581151835,14.897537495251258
63,63,sex_female,Urbanity_Urban,Size_6,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,145829.86114516392,107.73017134882315,114.6756582926208,45.552879581151835,0.0
64,64,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_yes,84940.01701390653,84.31570258061335,66.00817860722013,45.552879581151835,116.67338495996643
65,65,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,114464.06289436,97.9545139325076,89.1514671200502,45.552879581151835,99.49961791425116
66,66,sex_female,Urbanity_Urban,Size_3,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_yes,82296.52845898527,89.54224517167215,65.38181972059351,45.552879581151835,115.41562780870389
67,67,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_yes,87288.64647838398,86.74006282803059,69.00384870386485,45.552879581151835,22.62652815753699
68,68,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,180521.4320992282,104.3231586655534,129.86237802076195,45.552879581151835,0.0
69,69,sex_male,Urbanity_Rural,Size_3,age_36_45,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_yes,371956.73700819456,169.69196993099996,236.67798028563047,45.552879581151835,133.8570666773849
70,70,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,204972.41784508066,113.63473164300173,153.81774292513006,45.552879581151835,18.892062443072902
71,71,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,119768.59845226274,102.03916807730921,92.22496817641144,45.552879581151835,99.49961791425116
72,72,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_yes,360001.2214966153,162.28982644393744,257.01755230971173,45.552879581151835,100.53000852990404
73,73,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_yes,427527.6094107289,189.57839424370144,296.1978083548882,45.552879581151835,0.0
74,74,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,225398.32566073624,132.59558135342843,166.76596315026825,45.552879581151835,0.0
75,75,sex_male,Urbanity_Urban,Size_10,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_yes,422284.8292530027,182.4959209793156,298.18976576949103,45.552879581151835,425.0192297039532
76,76,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,227948.47906350862,125.9078024536892,164.61612533145524,45.552879581151835,2.271938803255694
77,77,sex_male,Urbanity_Urban,Size_6,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,377866.0282787336,162.1387046036216,271.2379454393354,45.552879581151835,24.9965880146608
78,78,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_yes,100916.47702040445,96.81602498323313,79.56548624676144,45.552879581151835,11.395896264784458
79,79,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,165481.7177856146,105.32407148223614,110.25811689163768,45.552879581151835,115.74645615011174
80,80,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,109396.94925382774,93.71217226325209,87.19992176572457,45.552879581151835,137.01228720013754
81,81,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,199594.70263297204,108.29336384510836,141.45835009624074,45.552879581151835,130.51858959681923
82,82,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,194196.44511803574,116.13617972484829,147.13608263287938,45.552879581151835,141.04576516791414
83,83,sex_female,Urbanity_Urban,Size_4,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,131073.98374457273,103.56019460538737,100.23302776219951,45.552879581151835,0.0
84,84,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_College,Lighting_yes,TV_yes,Cooking_no,371604.15928128635,163.60517959520803,260.34024327921026,45.552879581151835,0.0
85,85,sex_male,Urbanity_Urban,Size_5,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_no,377671.13987122185,164.46375061551785,265.73488444264154,45.552879581151835,0.0
86,86,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,134551.6264538749,89.34459976084247,105.02115301753986,45.552879581151835,9.422690211503443
87,87,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,215146.6965900636,126.31088340855815,158.8753585570939,45.552879581151835,25.24110090163728
88,88,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,223938.65916873468,117.559283289924,164.59477860332828,45.552879581151835,0.0
89,89,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,358140.9359440697,157.63327779165888,255.5088351808493,45.552879581151835,127.51550224469538
90,90,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,115855.67383213135,90.04922534282534,88.99523869555378,45.552879581151835,32.43825482661324
91,91,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,378708.59066782455,160.5188280949902,270.72962924386434,45.552879581151835,14.469412443565917
92,92,sex_male,Urbanity_Urban,Size_7,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,145602.36059817663,102.35202155385349,109.10429224701694,45.552879581151835,31.820161971229595
93,93,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_yes,100540.87785556946,96.13091473597858,78.17595182557291,45.552879581151835,11.395896264784458
94,94,sex_male,Urbanity_Urban,Size_3,age_26_35,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,104271.9383634874,97.96160942445545,78.98213597550253,45.552879581151835,133.26441522119828
95,95,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,113140.70400787535,101.48073900250994,89.74403148794607,45.552879581151835,137.01228720013754
96,96,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_yes,345796.6967470306,162.82855344367815,240.7216567386775,45.552879581151835,126.54454417757407
97,97,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_yes,91631.02467910768,97.29919268282468,72.88474771892446,45.552879581151835,8.462486076296582
98,98,sex_female,Urbanity_Rural,Size_3,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_yes,336819.5415543437,159.52707974831645,227.50057775804882,45.552879581151835,31.263713539230693
99,99,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_no,369033.3801511536,157.91805952928897,261.7447416933444,45.552879581151835,22.23801354951358
100,100,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,123316.34713034742,92.03656336617121,96.11628304478957,45.552879581151835,21.91107925551836
101,101,sex_male,Urbanity_Rural,Size_4,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,176695.3759750837,116.0199437551928,120.44246205697493,45.552879581151835,11.172423776587415
102,102,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,81908.69496871001,86.45516593554967,64.31847017796622,45.552879581151835,49.6775827164007
103,103,sex_male,Urbanity_Rural,Size_3,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,318504.37238561537,148.87286200796632,214.27100616937503,45.552879581151835,138.471105361517
104,104,sex_male,Urbanity_Urban,Size_4,age_26_35,Education_High_School,Lighting_yes,TV_yes,Cooking_no,111628.80365168802,92.31860480763207,83.84568922407941,45.552879581151835,43.89094384010805
105,105,sex_male,Urbanity_Urban,Size_4,age_26_35,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,196999.18276907507,119.05456650659373,146.6653187835059,45.552879581151835,32.7238608154507
106,106,sex_female,Urbanity_Urban,Size_3,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_no,369222.23227994354,156.02347336975143,257.09733888421744,45.552879581151835,46.03584698593804
107,107,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,114881.78094155175,96.36754989756204,89.15878516622995,45.552879581151835,32.43825482661324
108,108,sex_female,Urbanity_Urban,Size_5,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,115014.51325061948,93.46108300804069,89.91657376621691,45.552879581151835,0.0
109,109,sex_female,Urbanity_Urban,Size_3,age_66_75,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,127002.16066735386,103.01072979313648,99.09396951180905,45.552879581151835,29.80489537785125
110,110,sex_male,Urbanity_Rural,Size_3,age_66_75,Education_College,Lighting_yes,TV_yes,Cooking_yes,334919.0623323719,152.54468468687875,231.87312632220662,45.552879581151835,43.048646261587955
111,111,sex_female,Urbanity_Rural,Size_5,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,182544.75515183198,115.91842712786342,127.27020174144279,45.552879581151835,9.211210303667546
112,112,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,183457.50350995487,116.48306457103271,136.78299269545496,45.552879581151835,140.0748071007928
113,113,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,194329.0766162507,128.81392898570985,145.9405687971659,45.552879581151835,125.84520417548019
114,114,sex_male,Urbanity_Urban,Size_4,age_26_35,Education_College,Lighting_yes,TV_yes,Cooking_yes,351750.60338280303,171.46953933426394,246.45196013312145,45.552879581151835,29.720773463326836
115,115,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,111908.45644201842,97.84864479692764,87.6650986845207,45.552879581151835,29.08818740060894
116,116,sex_male,Urbanity_Rural,Size_2,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_yes,53291.084843893084,74.23156054021365,34.819181167013056,45.552879581151835,61.63669289460569
117,117,sex_male,Urbanity_Rural,Size_3,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_yes,318008.5610216936,152.2060908691275,207.2687102726166,45.552879581151835,123.27054436908293
118,118,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,214289.7792240534,123.20424861396015,158.12197174447797,45.552879581151835,0.0
119,119,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_yes,381558.961599996,171.44560998364844,274.0530786355185,45.552879581151835,0.0
120,120,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,165505.3788206811,101.04317808141992,111.00048033851179,45.552879581151835,115.74645615011174
121,121,sex_male,Urbanity_Urban,Size_6,age_36_45,Education_Post_Graduate,Lighting_yes,TV_yes,Cooking_yes,428542.0662098989,179.07375358074222,288.336265991255,45.552879581151835,20.382549330528846
122,122,sex_male,Urbanity_Urban,Size_6,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_yes,103600.84400163898,96.36707025245327,78.51596414099069,45.552879581151835,14.15447072993184
123,123,sex_female,Urbanity_Urban,Size_3,age_36_45,Education_High_School,Lighting_yes,TV_yes,Cooking_no,113624.72853803502,90.68846984615864,85.08642092027179,45.552879581151835,125.22735447778012
124,124,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,199078.21217950218,122.17101185258312,146.57701856663203,45.552879581151835,115.31802860438515
125,125,sex_female,Urbanity_Urban,Size_3,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_no,357286.9732682715,160.97181046460273,248.6144865708424,45.552879581151835,126.257745093433
126,126,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_High_School,Lighting_yes,TV_yes,Cooking_no,132485.94468387257,91.528842367977,104.94507021534866,45.552879581151835,9.422690211503443
127,127,sex_female,Urbanity_Urban,Size_4,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,210007.23427885206,115.04613336455044,156.3877945064099,45.552879581151835,9.48623907959846
128,128,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_yes,216764.9669471102,131.49653696593322,161.8940356674581,45.552879581151835,0.0
129,129,sex_male,Urbanity_Rural,Size_4,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_yes,327172.68172198354,148.13105401453566,219.61499203791217,45.552879581151835,18.6965119955586
130,130,sex_female,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,195565.03134126327,119.12174815511536,146.96213759907567,45.552879581151835,129.26083244555687
131,131,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_College,Lighting_yes,TV_yes,Cooking_yes,377896.68305835966,172.5597217494594,267.3487830262972,45.552879581151835,0.0
132,132,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_High_School,Lighting_yes,TV_yes,Cooking_yes,138308.0065405113,106.91263149192216,109.31055928369229,45.552879581151835,0.0
133,133,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,105348.20185129727,86.96382470526666,82.7489796259325,45.552879581151835,0.0
134,134,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,196355.9698515557,110.91417930471664,143.5738132869602,45.552879581151835,130.51858959681923
135,135,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,65002.45840874533,75.72523444525865,41.98474230906736,45.552879581151835,0.0
136,136,sex_female,Urbanity_Urban,Size_4,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_no,93415.50310238288,85.4232152937231,73.71472755283844,45.552879581151835,26.042156427613644
137,137,sex_male,Urbanity_Rural,Size_4,age_26_35,Education_Post_Secondary,Lighting_yes,TV_yes,Cooking_no,164036.78081049313,103.82636145427472,115.2154415665877,45.552879581151835,48.35284935361119
138,138,sex_male,Urbanity_Rural,Size_4,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Cooking_yes,50937.393625646895,72.47002847719251,30.486705439213452,45.552879581151835,23.05495570326356
139,139,sex_female,Urbanity_Rural,Size_5,age_36_45,Education_College,Lighting_yes,TV_yes,Cooking_yes,334618.7337746812,149.60280849020594,222.99302902332244,45.552879581151835,6.2081229515435234
