,Electricity,Income,Water,e_Cooking,e_Refrigeration,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
25,163.360607032224,363859.5732101732,258.86061199623265,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,25.0,81.0,1,81.66424663941018
26,168.7147556973151,362129.08425516327,247.0754828800025,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,26.0,81.0,1,82.66424663941018
27,171.88276804606411,367353.4971112336,252.8265989518424,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,27.0,81.0,1,78.66424663941018
28,123.6831279303598,203249.6558929445,152.25180375058457,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,28.0,81.0,1,72.8984646060612
29,163.41200053649231,342284.1005578653,237.936813696156,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_1,sex_male,Urbanity_Urban,29.0,81.0,1,7.541750960125402
30,153.3489533373045,317227.53966899106,213.51789450579074,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Rural,30.0,51.0,1,52.99699779051919
31,88.32222327935852,95997.08543638984,63.47394027368056,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Rural,31.0,1.0,1,26.63193418736775
32,104.6083932321871,126691.83787514633,96.78688888786648,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_4,sex_male,Urbanity_Urban,32.0,31.0,1,27.201666219134808
33,145.09828760515362,323213.1575911921,212.9627842418593,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Rural,33.0,51.0,1,105.20040123767708
34,121.22401615200559,193333.30980062802,142.20558387381766,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,34.0,81.0,1,4.670082296742468
37,166.36210540167502,368930.4928091328,257.7735919583577,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,37.0,81.0,1,80.66424663941018
38,128.0512676676433,203353.2332485708,156.62587058472138,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,38.0,81.0,1,91.8984646060612
39,96.88526956174915,95515.01534377162,72.21884700287494,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,39.0,31.0,1,120.57410831504248
40,169.49777636471305,373446.9538504961,256.2275515226314,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,40.0,81.0,1,9.613317641275007
43,164.5949233090649,365765.6650416908,262.30497437195635,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,43.0,81.0,1,13.666260956291989
45,86.73671244750925,92054.5052968517,69.52294261005996,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,45.0,31.0,1,24.576122631924306
47,105.51812007816977,131427.98026402743,101.10327809940195,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Urban,47.0,31.0,1,42.94086491975026
48,108.57941926572352,167381.52936597672,117.94389182656003,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,48.0,21.0,1,124.38167588931117
49,119.19223560319216,204364.51205677984,156.7734534174351,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,49.0,81.0,1,41.54833162262807
50,154.52257260414916,348194.70574114955,236.13122040113282,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Rural,50.0,51.0,1,15.9627250227085
51,91.49362675589106,86166.13322761602,68.26803989524502,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,51.0,31.0,1,120.6270516300595
52,80.53426247656755,70403.04380961052,46.504213950516146,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_female,Urbanity_Rural,52.0,1.0,1,17.912604378898966
53,82.17617963608448,74073.45318280894,48.8242155364806,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_female,Urbanity_Rural,53.0,1.0,1,17.912604378898966
54,100.41323406185404,125641.93365772387,95.45058061200704,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_female,Urbanity_Urban,54.0,31.0,1,110.1058656809947
55,89.9752578218589,91266.58543849684,70.66411986434127,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,55.0,31.0,1,108.57410831504248
56,166.01928482168404,367352.27345136396,260.3324253650344,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,56.0,81.0,1,14.666260956291989
57,130.2175876047021,210478.923069024,153.25346727451847,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,57.0,81.0,1,11.847535607926027
59,128.99740488054962,218433.9426791532,163.14335065533638,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,59.0,81.0,1,8.794592292909048
60,153.15949339025326,341938.0692281267,234.33011004477845,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_4,sex_female,Urbanity_Rural,60.0,51.0,1,12.00274270326666
62,188.3972333768333,431775.5919670982,302.6243370754438,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_4,sex_female,Urbanity_Urban,62.0,81.0,1,22.106892872364945
64,168.57081163432915,380106.94138593454,261.2167122456889,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,64.0,81.0,1,14.479513739458586
66,129.00945238550645,218827.35126683488,164.2301110519073,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,66.0,81.0,1,27.5867343085415
67,155.84046488591002,364800.1247061481,260.59433128514,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_female,Urbanity_Urban,67.0,81.0,1,79.62340373316891
68,155.90754714526128,362457.623099104,257.88863492935667,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,68.0,81.0,1,77.66424663941018
69,120.55448145961016,208792.4427934093,159.1016097002959,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,69.0,81.0,1,23.5867343085415
70,171.49109216947897,363563.4226472651,247.2856573269511,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,70.0,81.0,1,81.66424663941018
71,174.8532857880867,365096.77118274366,249.28593096983917,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,71.0,81.0,1,84.66424663941018
72,148.38879502451343,328394.65359456395,218.5312746321201,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Rural,72.0,51.0,1,98.14745792266012
73,159.8032168686574,343899.0900049703,240.90486765279945,Cooking_yes,Refrigeration_yes,TV_yes,age_26_35,Education_College,Size_2,sex_male,Urbanity_Urban,73.0,81.0,1,51.3513718852613
74,164.95388865046533,390703.39636558696,278.36779367665537,Cooking_yes,Refrigeration_yes,TV_no,age_46_55,Education_College,Size_6,sex_female,Urbanity_Urban,74.0,81.0,1,23.999999041539823
77,121.77880167907524,199591.70476897247,153.83692280546273,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,77.0,81.0,1,45.64211784388635
78,156.06934557929355,347023.306970048,238.6435898060844,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_1,sex_male,Urbanity_Urban,78.0,81.0,1,5.48880764510842
80,123.95047589993092,215062.3428131668,163.92772849155696,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,80.0,81.0,1,79.75173506978595
81,124.05704807709273,206244.9905299702,154.17148201776212,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,81.0,81.0,1,75.80467838480294
82,121.60005774008741,201749.24357640065,152.9762409909001,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,82.0,81.0,1,86.8984646060612
83,162.6798137121851,362074.599595189,261.9607685789108,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,83.0,81.0,1,79.66424663941018
85,164.39372306283528,353675.3401047244,247.30624547294298,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,85.0,81.0,1,48.51378650726927
86,116.83145683278549,200154.76660774273,152.1178878855483,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,86.0,81.0,1,43.64211784388635
88,98.94023404264341,122336.95771030032,91.04912438729531,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_4,sex_male,Urbanity_Urban,88.0,31.0,1,28.201666219134808
90,121.83558473045557,202611.18926686762,149.6419352468869,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,90.0,81.0,1,50.601274937645044
91,167.00932800507647,375381.0621560522,261.14300684941867,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_3,sex_female,Urbanity_Urban,91.0,81.0,1,24.311673435649183
92,119.60595424941124,216992.61083504785,165.17313269433689,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,92.0,81.0,1,21.492948087283224
93,103.69878710656654,120142.88083375787,94.68041099195324,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,93.0,31.0,1,110.19965190225298
94,189.0456449808424,422586.16599377897,296.28512002360617,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_4,sex_male,Urbanity_Urban,94.0,81.0,1,20.200679093623208
95,92.81179440989307,97761.57379576175,76.62944137853555,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,95.0,31.0,1,37.31532133253976
96,103.1826397625256,130228.88659962582,101.12927226314982,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_7,sex_female,Urbanity_Urban,96.0,31.0,1,53.97489213449319
97,165.37803209388002,404105.30524809024,283.21748252789394,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_1,sex_male,Urbanity_Urban,97.0,81.0,1,16.07616909745665
98,163.70099540682423,363051.3949680076,238.9134410190398,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Graduate,Size_1,sex_male,Urbanity_Rural,98.0,51.0,1,24.612323695723546
99,119.81280055736715,217819.89679146366,160.00920138890254,Cooking_yes,Refrigeration_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,99.0,81.0,1,49.51365223553117
100,169.34051509961392,370095.68038544094,255.73064561640896,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,100.0,81.0,1,22.405459656907453
101,127.90123532012736,212208.7797358096,160.25967585568094,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,101.0,81.0,1,16.847535607926027
102,108.2571660027162,186080.02752563008,129.16911617133852,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,102.0,51.0,1,15.277803576158973
103,129.5757293979374,222312.118619327,168.9308049840141,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,103.0,81.0,1,4.70080607165078
104,130.9701555697629,221100.97201942364,167.86626955106306,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,104.0,81.0,1,8.70080607165078
105,136.71003949010046,214149.2845524088,162.76721943766162,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,105.0,81.0,1,8.794592292909048
106,100.2088364897778,106316.43865266338,81.86615907773425,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_1,sex_male,Urbanity_Urban,106.0,31.0,1,18.024212907951227
108,89.28372146455295,115824.7097133266,80.70711904839682,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_7,sex_male,Urbanity_Rural,108.0,1.0,1,85.23037654122885
109,87.70548651067847,76103.69008724754,50.24342036838512,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_5,sex_female,Urbanity_Rural,109.0,1.0,1,26.778800477082534
110,93.27984186051552,80185.16981448048,63.48761879425514,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,110.0,31.0,1,66.42364818290156
111,85.17339116434884,87059.03711085365,67.61719115894161,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,111.0,31.0,1,59.3707048678846
112,127.88386768794187,202584.89852460386,149.1610782133269,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,112.0,81.0,1,45.54833162262807
113,115.9757294737774,192977.5032358237,144.4450181271752,Cooking_yes,Refrigeration_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,113.0,81.0,1,40.43886031563703
114,116.96934282309476,191642.02666365745,139.1030973980665,Cooking_yes,Refrigeration_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,114.0,81.0,1,43.53264653689527
115,94.32002447884524,100078.79155827557,77.03729244368152,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_4,sex_female,Urbanity_Urban,115.0,31.0,1,21.48233641066604
116,105.10663316302357,128182.78201282033,99.41160638961374,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_4,sex_female,Urbanity_Urban,116.0,31.0,1,25.107879997876534
117,180.06528825653382,382110.3242384118,269.5708078316422,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,117.0,81.0,1,16.479513739458586
120,124.90374784865057,207142.5407763504,155.71784291917876,Cooking_yes,Refrigeration_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,120.0,81.0,1,7.685120985918001
122,163.85481173733518,375666.09122885735,267.2091921672192,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_3,sex_female,Urbanity_Urban,122.0,81.0,1,24.311673435649183
123,171.78168433163725,358533.23650730326,248.20086723052242,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,123.0,81.0,1,43.4608431922523
124,168.70666506803602,362120.2884313822,259.68544284017696,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_female,Urbanity_Urban,124.0,81.0,1,39.36705697099403
125,113.47298085295576,201733.28687555587,151.47228266200034,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,125.0,81.0,1,34.54833162262807
128,121.68551886855008,206678.60216608425,155.4636741975003,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,128.0,81.0,1,80.80467838480294
129,148.44719487061667,332664.15809168026,226.6433700502539,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_female,Urbanity_Rural,129.0,51.0,1,108.10661501641889
130,79.15073263915032,59184.665786946935,36.91344550814315,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Rural,130.0,1.0,1,132.05731959829242
132,125.24623483656076,221944.80546132207,158.87773363270688,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,132.0,81.0,1,6.70080607165078
133,73.43057341416628,76283.21396642314,52.850514140961344,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_1,sex_female,Urbanity_Rural,133.0,1.0,1,17.413637969942883
134,97.87979195069063,99074.12013710996,75.78849370448471,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_1,sex_male,Urbanity_Urban,134.0,31.0,1,23.07715622296821
137,176.33173652923352,361983.9146316975,255.71961808640805,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,137.0,81.0,1,77.7171899544272
138,175.289687736371,365210.214408739,256.79253972961794,Cooking_yes,Refrigeration_yes,TV_yes,age_26_35,Education_College,Size_5,sex_male,Urbanity_Urban,138.0,81.0,1,18.37004243246756
139,126.2263848440133,220613.939956121,167.7782928575951,Cooking_yes,Refrigeration_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_5,sex_female,Urbanity_Urban,139.0,81.0,1,15.457530862843328
140,171.13310767621593,360823.0077331857,255.3022691900035,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_female,Urbanity_Urban,140.0,81.0,1,80.62340373316891
141,164.42172791832581,352282.3193262118,249.1636609177694,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,141.0,81.0,1,42.51378650726927
143,129.91693881074485,240006.5745281277,177.48393627127518,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_7,sex_female,Urbanity_Urban,143.0,81.0,1,43.299248425511905
144,132.4263119047433,246543.31682840266,182.44570680636804,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_8,sex_male,Urbanity_Urban,144.0,81.0,1,76.09883283850954
145,190.3680563166421,457364.6936561604,313.8342668170756,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_8,sex_male,Urbanity_Urban,145.0,81.0,1,85.50491963922366
146,172.04057397973088,407842.5885521579,287.51722546306763,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_8,sex_male,Urbanity_Urban,146.0,81.0,1,24.658771204372762
148,171.78190950354244,366799.70832449174,258.9056361709816,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,148.0,81.0,1,88.66424663941018
149,85.2120463044194,74886.47967227112,59.8121985899518,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_1,sex_male,Urbanity_Urban,149.0,31.0,1,11.398669320740723
150,171.66784107900352,351641.74906505155,246.02871874363728,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_1,sex_female,Urbanity_Urban,150.0,81.0,1,9.447964738867128
151,163.5860884047007,332066.81599071785,229.81037926642207,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Rural,151.0,51.0,1,18.14947223954191
152,79.2461670103922,64793.74280141328,40.35420904545108,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_4,sex_male,Urbanity_Rural,152.0,1.0,1,27.05933391517423
153,78.39641178907517,57554.04355518178,33.523223303045356,Cooking_yes,Refrigeration_yes,TV_yes,age_26_35,Education_Elementary_School,Size_4,sex_male,Urbanity_Rural,153.0,1.0,1,22.896919293166185
155,125.07136439664794,217254.241681942,165.22253889970509,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,155.0,81.0,1,19.71373170610961
157,122.20955324393242,198206.66449082817,148.27835476595732,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,157.0,81.0,1,38.601274937645044
158,125.5626060963525,202339.80959320802,150.24021567361325,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,158.0,81.0,1,75.8984646060612
159,108.22426400293078,182344.86443122328,128.44722171159216,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Rural,159.0,51.0,1,26.976159370533146
160,125.19365804529156,218677.8782220805,160.61146650631687,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,160.0,81.0,1,27.492948087283224
161,125.64453068016009,198217.57648467226,144.80072922874115,Cooking_yes,Refrigeration_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,161.0,81.0,1,85.73604998405318
162,119.88182928685787,185985.97122506824,136.85511992384485,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,162.0,81.0,1,10.72302561175944
163,163.74763169543147,351568.46860145783,239.63457845220344,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_1,sex_female,Urbanity_Urban,163.0,81.0,1,5.395021423850152
165,176.50296918479043,369966.4790566303,267.1588787622321,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,165.0,81.0,1,25.405459656907453
166,145.29433378143258,310849.8845938516,209.30863262238773,Cooking_yes,Refrigeration_yes,TV_yes,age_26_35,Education_College,Size_2,sex_male,Urbanity_Rural,166.0,51.0,1,56.83458316851119
167,126.71100355371333,212631.29288862945,160.10741371216722,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,167.0,81.0,1,6.794592292909048
168,96.2943083350347,99051.88120577742,74.90557574161892,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_1,sex_male,Urbanity_Urban,168.0,31.0,1,20.07715622296821
169,134.9337920695167,219695.87088220406,163.1375842201493,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,169.0,81.0,1,10.70080607165078
