,Electricity,Income,Water,e_Cooking,e_Lighting,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
96,162.82855344367815,345796.6967470306,240.7216567386775,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,96.0,81.0,1,33.54454417757408
97,97.29919268282468,91631.02467910768,72.88474771892446,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_female,Urbanity_Urban,97.0,31.0,1,6.462486076296582
98,159.52707974831645,336819.5415543437,227.50057775804882,Cooking_yes,Lighting_yes,TV_yes,age_66_75,Education_College,Size_3,sex_female,Urbanity_Rural,98.0,51.0,1,10.26371353923069
99,157.91805952928897,369033.3801511536,261.7447416933444,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,99.0,81.0,1,10.238013549513578
100,92.03656336617121,123316.34713034742,96.11628304478957,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Urban,100.0,31.0,1,12.91107925551836
101,116.0199437551928,176695.3759750837,120.44246205697493,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,101.0,21.0,1,9.172423776587417
102,86.45516593554967,81908.69496871001,64.31847017796622,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,102.0,31.0,1,33.6775827164007
103,148.87286200796632,318504.37238561537,214.27100616937503,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Rural,103.0,51.0,1,79.471105361517
104,92.31860480763208,111628.80365168802,83.84568922407941,Cooking_no,Lighting_yes,TV_yes,age_26_35,Education_High_School,Size_4,sex_male,Urbanity_Urban,104.0,31.0,1,24.89094384010805
105,119.05456650659373,196999.18276907507,146.6653187835059,Cooking_yes,Lighting_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,105.0,81.0,1,11.7238608154507
106,156.02347336975143,369222.23227994354,257.09733888421744,Cooking_no,Lighting_yes,TV_yes,age_66_75,Education_College,Size_3,sex_female,Urbanity_Urban,106.0,81.0,1,19.035846985938043
107,96.36754989756204,114881.78094155175,89.15878516622995,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_4,sex_male,Urbanity_Urban,107.0,31.0,1,26.43825482661324
109,103.01072979313648,127002.16066735385,99.09396951180905,Cooking_yes,Lighting_yes,TV_yes,age_66_75,Education_High_School,Size_3,sex_female,Urbanity_Urban,109.0,31.0,1,16.80489537785125
110,152.54468468687875,334919.0623323719,231.87312632220662,Cooking_yes,Lighting_yes,TV_yes,age_66_75,Education_College,Size_3,sex_male,Urbanity_Rural,110.0,51.0,1,18.04864626158796
111,115.91842712786342,182544.75515183198,127.27020174144279,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_5,sex_female,Urbanity_Rural,111.0,51.0,1,5.211210303667546
112,116.48306457103271,183457.50350995487,136.78299269545496,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,112.0,81.0,1,49.07480710079278
113,128.81392898570985,194329.0766162507,145.9405687971659,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,113.0,81.0,1,40.84520417548019
114,171.46953933426394,351750.60338280303,246.45196013312145,Cooking_yes,Lighting_yes,TV_yes,age_26_35,Education_College,Size_4,sex_male,Urbanity_Urban,114.0,81.0,1,13.72077346332684
115,97.84864479692764,111908.45644201842,87.6650986845207,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_High_School,Size_2,sex_male,Urbanity_Urban,115.0,31.0,1,17.08818740060894
116,74.23156054021365,53291.084843893084,34.819181167013056,Cooking_yes,Lighting_yes,TV_yes,age_66_75,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,116.0,1.0,1,59.63669289460569
117,152.2060908691275,318008.5610216936,207.26871027261657,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Rural,117.0,51.0,1,49.27054436908293
120,101.04317808141992,165505.3788206811,111.00048033851179,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,120.0,21.0,1,90.74645615011173
121,179.07375358074222,428542.0662098989,288.336265991255,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Graduate,Size_6,sex_male,Urbanity_Urban,121.0,81.0,1,3.3825493305288497
122,96.36707025245329,103600.84400163898,78.51596414099069,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_6,sex_male,Urbanity_Urban,122.0,31.0,1,9.154470729931841
123,90.68846984615864,113624.72853803502,85.08642092027179,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_High_School,Size_3,sex_female,Urbanity_Urban,123.0,31.0,1,78.22735447778014
124,122.17101185258312,199078.21217950215,146.57701856663203,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,124.0,81.0,1,37.31802860438515
125,160.97181046460273,357286.9732682715,248.6144865708424,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_female,Urbanity_Urban,125.0,81.0,1,32.257745093433
126,91.528842367977,132485.94468387257,104.94507021534866,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_5,sex_female,Urbanity_Urban,126.0,31.0,1,6.422690211503443
127,115.04613336455044,210007.23427885206,156.3877945064099,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,127.0,81.0,1,2.4862390795984606
129,148.13105401453566,327172.68172198354,219.61499203791215,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Rural,129.0,51.0,1,5.696511995558602
130,119.12174815511536,195565.03134126327,146.96213759907567,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,130.0,81.0,1,46.26083244555687
134,110.91417930471664,196355.9698515557,143.5738132869602,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,134.0,81.0,1,48.518589596819226
136,85.4232152937231,93415.50310238288,73.71472755283844,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_4,sex_female,Urbanity_Urban,136.0,31.0,1,16.042156427613644
137,103.82636145427472,164036.78081049313,115.2154415665877,Cooking_no,Lighting_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,137.0,21.0,1,36.352849353611184
138,72.47002847719251,50937.393625646895,30.48670543921345,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_4,sex_male,Urbanity_Rural,138.0,1.0,1,22.05495570326356
139,149.60280849020594,334618.7337746812,222.99302902332244,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_5,sex_female,Urbanity_Rural,139.0,51.0,1,5.2081229515435234
140,169.865246057165,397706.7900738214,269.0148037441438,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_5,sex_female,Urbanity_Rural,140.0,51.0,1,4.267469688750772
141,166.09925307120568,371754.9352785713,262.55685438190847,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,141.0,81.0,1,2.0374525570794955
145,90.1282295430526,100690.94855726264,67.36954364356168,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_5,sex_female,Urbanity_Rural,145.0,1.0,1,9.851117757230016
147,113.64728182347044,179094.38236712274,123.4699201934088,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_5,sex_male,Urbanity_Rural,147.0,21.0,1,16.996143026024807
148,170.51888331386206,350300.5879018951,244.88478561723946,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,148.0,81.0,1,28.842116823356363
149,130.1689357354865,211203.09375976198,152.91710592105082,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,149.0,81.0,1,2.1071297207154807
150,172.71838360842617,371049.9620191458,256.7843498660206,Cooking_yes,Lighting_yes,TV_yes,age_66_75,Education_College,Size_3,sex_male,Urbanity_Urban,150.0,81.0,1,13.62021871586137
151,117.69050457438,194405.36167437874,145.7032881120478,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,151.0,81.0,1,39.84520417548019
152,120.49628033622595,194953.41097028472,146.62169968005526,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,152.0,81.0,1,43.84520417548019
153,119.87034493435095,204621.2086289805,156.55945066505424,Cooking_no,Lighting_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,153.0,81.0,1,10.139489085527359
154,110.64843603822816,191548.19469619953,139.82774027098105,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,154.0,81.0,1,50.748192522132
155,97.46725282695398,118212.34705177734,88.55351085118573,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_High_School,Size_2,sex_female,Urbanity_Urban,155.0,31.0,1,12.30325467825168
156,91.1787938857708,113550.55395069008,88.37792056607981,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,156.0,31.0,1,64.2845506366086
157,166.0866560052915,360917.6669305464,251.79699518928658,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,157.0,81.0,1,7.888975090949042
158,108.98257220307444,169219.75652416292,120.90160604695387,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Rural,158.0,21.0,1,83.96152342775447
160,94.96187816014401,123837.72123989815,87.64100821535038,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_High_School,Size_8,sex_male,Urbanity_Rural,160.0,1.0,1,19.717056360506056
161,90.68376752057648,83776.71709160133,65.60241474046431,Cooking_yes,Lighting_yes,TV_yes,age_26_35,Education_Elementary_School,Size_4,sex_female,Urbanity_Urban,161.0,31.0,1,16.29428444867453
162,119.83636471087456,210542.5506403746,161.52310145146708,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,162.0,81.0,1,8.307690713149558
163,162.49533873158967,386338.0425257639,262.35991228180063,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Post_Graduate,Size_3,sex_female,Urbanity_Rural,163.0,51.0,1,13.319553215054245
165,71.25312931792891,63846.3311538021,39.52391794912275,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Rural,165.0,1.0,1,27.024884802945124
166,177.96282086408402,413166.4549134568,286.4573554528173,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_Post_Graduate,Size_3,sex_male,Urbanity_Urban,166.0,81.0,1,7.475497399251012
167,93.2641138128202,121951.52867189805,95.80388249811045,Cooking_yes,Lighting_yes,TV_yes,age_56_65,Education_High_School,Size_3,sex_female,Urbanity_Urban,167.0,31.0,1,2.0736517529389085
168,120.91656906292238,206575.30066680678,156.91570043287763,Cooking_no,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,168.0,81.0,1,39.73365687446196
169,113.39976376076444,198856.0240289955,149.02757001920932,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,169.0,81.0,1,37.31802860438515
170,173.35178590716114,375332.9065835286,264.55803795943456,Cooking_yes,Lighting_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,170.0,81.0,1,3.0374525570794955
171,93.62554354045037,102620.52797328918,78.9080381728899,Cooking_yes,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_5,sex_female,Urbanity_Urban,171.0,31.0,1,7.138139113521914
172,74.47674710296046,61640.8216559399,37.07843266509924,Cooking_no,Lighting_yes,TV_yes,age_36_45,Education_Elementary_School,Size_5,sex_male,Urbanity_Rural,172.0,1.0,1,37.552060374039996
173,116.06403300342285,202592.35712758466,151.505685183917,Cooking_no,Lighting_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,173.0,81.0,1,20.3222263608196
174,116.14815650787004,206801.12369153067,156.5710345159185,Cooking_no,Lighting_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,174.0,81.0,1,27.053469985731937
