,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_TV,e_Cooking,e_Refrigeration,Income,Electricity,Water,w,wf
55,55,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,91266.58543849684,89.9752578218589,70.66411986434127,47.021989528795814,131.57410831504248
56,56,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,367352.27345136396,166.01928482168404,260.3324253650344,47.021989528795814,23.66626095629199
57,57,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,210478.923069024,130.2175876047021,153.25346727451847,47.021989528795814,21.847535607926027
58,58,sex_female,Urbanity_Urban,Size_4,age_56_65,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,131809.72165641913,97.31089632260333,103.85186536242712,47.021989528795814,0.0
59,59,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,218433.9426791532,128.99740488054962,163.14335065533638,47.021989528795814,14.794592292909048
60,60,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,341938.0692281267,153.15949339025326,234.33011004477845,47.021989528795814,15.002742703266662
61,61,sex_female,Urbanity_Urban,Size_4,age_66_75,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,389142.65798792656,176.90880969983445,276.35814241715457,47.021989528795814,0.0
62,62,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_Post_Graduate,TV_yes,Cooking_yes,Refrigeration_yes,431775.5919670982,188.3972333768333,302.6243370754438,47.021989528795814,30.106892872364945
63,63,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,135962.47214305788,104.62573001510685,102.89736785240713,47.021989528795814,0.0
64,64,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,380106.94138593454,168.57081163432915,261.2167122456889,47.021989528795814,25.479513739458586
65,65,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,118170.6819584467,102.46091474207964,91.0383362101174,47.021989528795814,0.0
66,66,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,218827.35126683488,129.00945238550645,164.2301110519073,47.021989528795814,39.5867343085415
67,67,sex_female,Urbanity_Urban,Size_3,age_36_45,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,364800.1247061481,155.84046488591002,260.59433128514,47.021989528795814,133.6234037331689
68,68,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,362457.623099104,155.90754714526128,257.88863492935667,47.021989528795814,128.66424663941018
69,69,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,208792.4427934093,120.55448145961016,159.1016097002959,47.021989528795814,39.5867343085415
70,70,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,363563.4226472651,171.49109216947897,247.2856573269511,47.021989528795814,128.66424663941018
71,71,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,365096.77118274366,174.8532857880867,249.28593096983917,47.021989528795814,128.66424663941018
72,72,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,328394.65359456395,148.38879502451343,218.5312746321201,47.021989528795814,129.14745792266012
73,73,sex_male,Urbanity_Urban,Size_2,age_26_35,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,343899.0900049703,159.8032168686574,240.90486765279945,47.021989528795814,73.35137188526129
74,74,sex_female,Urbanity_Urban,Size_6,age_46_55,Education_College,TV_no,Cooking_yes,Refrigeration_yes,390703.39636558696,164.95388865046533,278.36779367665537,47.021989528795814,44.99999904153982
75,75,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,383918.31881412904,163.9504828280219,275.56674877952963,47.021989528795814,0.0
76,76,sex_female,Urbanity_Rural,Size_2,age_56_65,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,88018.59897056533,80.00104693038705,62.409367508903074,47.021989528795814,0.0
77,77,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,199591.70476897247,121.77880167907524,153.83692280546273,47.021989528795814,68.64211784388634
78,78,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,347023.306970048,156.06934557929355,238.6435898060844,47.021989528795814,9.488807645108421
79,79,sex_female,Urbanity_Urban,Size_1,age_56_65,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,201743.4017256039,129.2688666742449,151.82584964325017,47.021989528795814,0.0
80,80,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,215062.3428131668,123.95047589993092,163.92772849155696,47.021989528795814,124.75173506978597
81,81,sex_female,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,206244.9905299702,124.05704807709273,154.17148201776212,47.021989528795814,131.80467838480297
82,82,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,201749.24357640065,121.60005774008741,152.9762409909001,47.021989528795814,133.89846460606122
83,83,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,362074.59959518904,162.6798137121851,261.9607685789108,47.021989528795814,128.66424663941018
84,84,sex_male,Urbanity_Rural,Size_2,age_56_65,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,325845.9871437204,147.99249093532924,223.83641378860625,47.021989528795814,0.0
85,85,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,353675.3401047244,164.39372306283528,247.30624547294298,47.021989528795814,77.51378650726927
86,86,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,200154.76660774273,116.8314568327855,152.1178878855483,47.021989528795814,68.64211784388634
87,87,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,231208.6367158875,123.38431031891777,170.31903222899743,47.021989528795814,0.0
88,88,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,122336.95771030032,98.94023404264341,91.04912438729531,47.021989528795814,33.20166621913481
89,89,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,207500.96371174796,125.57794763531227,164.04759540348275,47.021989528795814,0.0
90,90,sex_female,Urbanity_Urban,Size_2,age_36_45,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,202611.18926686762,121.83558473045555,149.6419352468869,47.021989528795814,73.60127493764504
91,91,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,375381.0621560522,167.00932800507647,261.14300684941867,47.021989528795814,39.31167343564918
92,92,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,216992.61083504785,119.60595424941124,165.17313269433689,47.021989528795814,37.49294808728323
93,93,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,120142.88083375787,103.69878710656654,94.68041099195324,47.021989528795814,138.19965190225298
94,94,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_Post_Graduate,TV_yes,Cooking_yes,Refrigeration_yes,422586.16599377897,189.0456449808424,296.28512002360617,47.021989528795814,32.200679093623215
95,95,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,97761.57379576175,92.81179440989307,76.62944137853555,47.021989528795814,44.31532133253976
96,96,sex_female,Urbanity_Urban,Size_7,age_46_55,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,130228.88659962582,103.1826397625256,101.12927226314982,47.021989528795814,68.97489213449319
97,97,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_Post_Graduate,TV_yes,Cooking_yes,Refrigeration_yes,404105.30524809024,165.37803209388002,283.21748252789394,47.021989528795814,25.07616909745665
98,98,sex_male,Urbanity_Rural,Size_1,age_36_45,Education_Post_Graduate,TV_yes,Cooking_yes,Refrigeration_yes,363051.3949680076,163.70099540682423,238.9134410190398,47.021989528795814,32.612323695723546
99,99,sex_male,Urbanity_Urban,Size_3,age_66_75,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,217819.89679146366,119.81280055736715,160.00920138890254,47.021989528795814,78.51365223553117
100,100,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,370095.68038544094,169.34051509961392,255.73064561640896,47.021989528795814,41.40545965690745
101,101,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,212208.7797358096,127.90123532012737,160.25967585568094,47.021989528795814,21.847535607926027
102,102,sex_male,Urbanity_Rural,Size_4,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,186080.02752563008,108.2571660027162,129.16911617133852,47.021989528795814,15.277803576158975
103,103,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,222312.118619327,129.5757293979374,168.9308049840141,47.021989528795814,12.70080607165078
104,104,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,221100.97201942364,130.9701555697629,167.86626955106306,47.021989528795814,12.70080607165078
105,105,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,214149.28455240876,136.71003949010046,162.76721943766162,47.021989528795814,14.794592292909048
106,106,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,106316.43865266338,100.2088364897778,81.86615907773425,47.021989528795814,19.024212907951224
107,107,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,82101.33180666759,98.43502753907335,65.24442306258364,47.021989528795814,0.0
108,108,sex_male,Urbanity_Rural,Size_7,age_36_45,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,115824.7097133266,89.28372146455295,80.70711904839682,47.021989528795814,85.23037654122885
109,109,sex_female,Urbanity_Rural,Size_5,age_46_55,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,76103.69008724754,87.70548651067847,50.24342036838512,47.021989528795814,26.778800477082537
110,110,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,80185.16981448048,93.27984186051552,63.48761879425514,47.021989528795814,80.42364818290157
111,111,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,87059.03711085365,85.17339116434884,67.61719115894161,47.021989528795814,73.3707048678846
112,112,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,202584.89852460386,127.88386768794187,149.1610782133269,47.021989528795814,66.54833162262807
113,113,sex_female,Urbanity_Urban,Size_2,age_26_35,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,192977.5032358237,115.9757294737774,144.4450181271752,47.021989528795814,69.43886031563702
114,114,sex_male,Urbanity_Urban,Size_2,age_26_35,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,191642.02666365745,116.96934282309476,139.1030973980665,47.021989528795814,71.53264653689527
115,115,sex_female,Urbanity_Urban,Size_4,age_36_45,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,100078.79155827555,94.32002447884524,77.03729244368152,47.021989528795814,24.48233641066604
116,116,sex_female,Urbanity_Urban,Size_4,age_36_45,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,128182.78201282033,105.10663316302357,99.41160638961374,47.021989528795814,31.107879997876537
117,117,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,382110.3242384118,180.06528825653382,269.5708078316422,47.021989528795814,25.479513739458586
118,118,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,396134.3717492952,167.68021462760228,272.36322148880197,47.021989528795814,0.0
119,119,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,238594.04579650925,133.15315012959422,175.2658444806963,47.021989528795814,0.0
120,120,sex_male,Urbanity_Urban,Size_4,age_26_35,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,207142.5407763504,124.90374784865057,155.71784291917876,47.021989528795814,17.685120985918
121,121,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,138938.94410816926,100.0368547821862,109.46044573105776,47.021989528795814,0.0
122,122,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,375666.09122885735,163.85481173733518,267.2091921672192,47.021989528795814,39.31167343564918
123,123,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,358533.23650730326,171.78168433163725,248.20086723052245,47.021989528795814,70.4608431922523
124,124,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,362120.2884313822,168.70666506803602,259.68544284017696,47.021989528795814,68.36705697099403
125,125,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,201733.28687555587,113.47298085295576,151.47228266200034,47.021989528795814,66.54833162262807
126,126,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,204734.23677802144,122.42217733222222,156.358952222173,47.021989528795814,0.0
127,127,sex_female,Urbanity_Urban,Size_2,age_56_65,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,365459.67633735103,162.0094453803961,261.38206113927805,47.021989528795814,0.0
128,128,sex_female,Urbanity_Urban,Size_3,age_36_45,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,206678.60216608422,121.68551886855008,155.4636741975003,47.021989528795814,131.80467838480297
129,129,sex_female,Urbanity_Rural,Size_3,age_36_45,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,332664.15809168026,148.44719487061667,226.6433700502539,47.021989528795814,134.10661501641889
130,130,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_Elementary_School,TV_yes,Cooking_yes,Refrigeration_yes,59184.665786946935,79.15073263915032,36.91344550814315,47.021989528795814,132.05731959829242
131,131,sex_female,Urbanity_Urban,Size_1,age_66_75,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,364777.8813103296,163.1698778538177,252.61036982928158,47.021989528795814,0.0
132,132,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_Post_Secondary,TV_yes,Cooking_yes,Refrigeration_yes,221944.80546132207,125.24623483656076,158.87773363270688,47.021989528795814,12.70080607165078
133,133,sex_female,Urbanity_Rural,Size_1,age_46_55,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,76283.21396642314,73.43057341416628,52.850514140961344,47.021989528795814,17.413637969942886
134,134,sex_male,Urbanity_Urban,Size_1,age_36_45,Education_High_School,TV_yes,Cooking_yes,Refrigeration_yes,99074.12013710996,97.87979195069063,75.7884937044847,47.021989528795814,26.077156222968206
135,135,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,391967.475676127,178.63533562925412,276.0786522240036,47.021989528795814,0.0
136,136,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_College,TV_yes,Cooking_yes,Refrigeration_yes,391719.4826235003,169.333501722225,269.5964834451933,47.021989528795814,0.0
