,Electricity,Income,Water,e_AC,e_Cooking,e_Refrigeration,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
31,157.53521610383146,359766.90321695275,255.5272319779868,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,31.0,81.0,1,6.073252577329397
32,145.47799751248462,338441.9509195597,228.7674439894933,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_3,sex_female,Urbanity_Rural,32.0,51.0,1,32.86317800574842
33,124.05868804498691,206089.85570218007,156.21725793457884,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,33.0,81.0,1,11.241718410076125
34,108.96092945669872,164659.78115651276,114.7082699926701,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_female,Urbanity_Rural,34.0,21.0,1,78.47444796496323
36,90.35917030990835,104143.645291098,82.22215292868538,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_66_75,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,36.0,31.0,1,50.82054350591651
37,160.94957741324382,370251.1082481821,257.1597252347342,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,37.0,81.0,1,25.193827443860002
38,120.80657431263303,213023.61420299576,157.0909839249204,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,38.0,81.0,1,31.266032935009683
39,97.76613297644494,98261.9130839028,75.11530191819865,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,39.0,31.0,1,38.479786244059326
40,165.50866068706003,365175.4692997525,252.0951314132525,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_female,Urbanity_Urban,40.0,81.0,1,79.0180583126235
41,117.9351862397988,195674.02128270804,140.3841208052779,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,41.0,81.0,1,64.82943668780572
42,157.02196572007398,368980.9306335274,266.2660486656576,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_2,sex_female,Urbanity_Urban,42.0,81.0,1,1.092905200438174
43,144.5406645045407,320827.1658372472,216.09135213285663,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_female,Urbanity_Rural,43.0,51.0,1,61.40224247381356
44,112.68058771188649,200016.3574619273,151.1652410231341,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,44.0,81.0,1,39.175411928630936
45,108.19425820485365,175001.12457958635,125.54400993012936,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_2,sex_female,Urbanity_Rural,45.0,21.0,1,12.790469345636527
46,127.21680361230688,203926.14415744945,155.83086944494787,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,46.0,81.0,1,46.271672270228
47,114.32948426045601,199630.69661929016,147.2014859688268,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,47.0,81.0,1,51.84908931091455
48,114.45266652946104,206478.18522137112,157.33725770160328,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,48.0,81.0,1,38.175411928630936
49,155.35093178377412,349224.84484421945,246.53314201453904,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_1,sex_female,Urbanity_Urban,49.0,81.0,1,15.497422248774622
50,74.03303023198423,58647.45700837584,38.18222101613369,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Rural,50.0,1.0,1,111.13978541988207
51,118.60088980639428,202374.21941350464,150.46942383123258,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,51.0,81.0,1,92.0706111806644
52,162.02592177894414,363960.1050306449,261.2937180091811,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_2,sex_female,Urbanity_Urban,52.0,81.0,1,1.1891655420352376
53,166.00494974005537,369377.2417080336,259.39087085612204,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,53.0,81.0,1,9.52015006157639
54,109.33835876338448,183464.6745488061,132.02729319011672,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_4,sex_female,Urbanity_Rural,54.0,51.0,1,30.81478387057006
56,154.88394494266961,371511.23354340455,253.8986834652447,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_4,sex_female,Urbanity_Urban,56.0,81.0,1,24.21348006696877
57,117.32069430208851,216639.22102535327,165.82609308578648,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,57.0,81.0,1,68.41658642148957
58,181.56610162105343,421152.8173185412,287.50730825231193,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_3,sex_male,Urbanity_Urban,58.0,81.0,1,86.01420257794649
59,175.29663082159317,414844.8625290172,292.9325050259706,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_3,sex_male,Urbanity_Urban,59.0,81.0,1,78.11046291954356
60,81.43277669050731,84638.53252009343,66.5051918115851,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,60.0,31.0,1,117.18810414811702
61,75.76402162638598,64105.011224423564,42.96424410922039,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_female,Urbanity_Rural,61.0,1.0,1,100.15943804299086
62,87.57467597280714,81063.56478028945,61.69355855869252,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,62.0,31.0,1,57.36951261457182
63,121.499133705172,350608.1094410422,250.42991197701355,AC_no,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,63.0,81.0,1,26.28029295451877
64,156.47276121520446,335542.7475380126,229.7817945355676,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_66_75,Education_College,Size_2,sex_male,Urbanity_Rural,64.0,51.0,1,15.918768866907222
65,157.95168260532753,364565.7222885708,255.51440213475502,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,65.0,81.0,1,65.3247283072311
66,89.39323626276216,101424.79840611498,80.25498509977585,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,66.0,31.0,1,48.50412552879029
67,151.15438067285882,332729.87696510594,221.69951409815044,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Rural,67.0,51.0,1,90.8538266196827
68,145.46512067027837,328125.5805612381,224.728014718722,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Rural,68.0,51.0,1,83.8538266196827
69,82.12418490462531,100642.21103433052,67.6825863318318,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Rural,69.0,1.0,1,18.742739274834573
70,160.6458295862979,361350.7153832552,250.45031397706524,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,70.0,81.0,1,8.073252577329397
71,82.93623685827785,77445.46220178566,63.78680813045994,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_1,sex_female,Urbanity_Urban,71.0,31.0,1,22.59086036577983
72,95.11881736831656,133535.42313312812,102.44279153432093,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Urban,72.0,31.0,1,14.213640962382955
73,110.1890866769782,207725.2789417964,160.4499821811179,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,73.0,81.0,1,16.649867017335783
74,90.6006716231315,101240.50444967355,75.78758221813034,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,74.0,31.0,1,18.709848520178657
75,119.648031138487,217094.81521349816,163.0513901633561,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,75.0,81.0,1,16.592355552726065
76,162.93678225099967,370969.2588284939,267.2066674381863,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,76.0,81.0,1,10.52015006157639
77,180.68910076890296,413263.05880774953,298.49735126879506,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,77.0,81.0,1,22.7627268480448
78,86.18713992095421,90801.35907336284,69.52519559175848,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,78.0,31.0,1,107.18810414811702
79,84.63919981182005,87925.80520828684,69.21306432387556,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,79.0,31.0,1,12.262951035931653
81,101.74829014589054,151272.41427018092,117.87866809944856,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_7,sex_male,Urbanity_Urban,81.0,31.0,1,75.36048004950705
82,122.235938697773,215749.95626918005,163.482614379057,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,82.0,81.0,1,16.688615894323128
83,177.46234802021198,388147.15570364095,280.8677299785492,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_6,sex_male,Urbanity_Urban,83.0,81.0,1,15.192744085277244
84,169.80472234330819,378249.2695498279,264.81372534459217,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_5,sex_female,Urbanity_Urban,84.0,81.0,1,26.315714557167354
85,160.7309405260747,380227.3703708832,267.9324000019532,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,85.0,81.0,1,11.526124210177898
86,161.6163318630772,357575.86049825826,239.2888697993121,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_7,sex_male,Urbanity_Rural,86.0,51.0,1,79.9660251850327
87,129.31900907736244,248653.5126513805,180.12755259981648,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_7,sex_female,Urbanity_Urban,87.0,81.0,1,21.748546025915843
88,127.71562716647968,233603.3959500759,172.724426819945,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,88.0,81.0,1,21.16868923482985
91,88.2458511581296,98481.0286258314,74.73331234388698,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,91.0,31.0,1,17.709848520178657
93,162.89017563800812,369237.00120786,258.89535149041126,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,93.0,81.0,1,28.314427070188025
94,87.36213813254896,100860.27892771855,77.19556462284713,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,94.0,31.0,1,44.50412552879029
95,93.0097849669549,99160.13701735408,76.41576651815055,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,95.0,31.0,1,18.806108861775733
96,98.35253448607791,131097.69659192275,102.08337819766552,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_4,sex_male,Urbanity_Urban,96.0,31.0,1,12.213640962382955
97,155.38813034741062,347956.6641825355,246.81809418063492,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_1,sex_male,Urbanity_Urban,97.0,81.0,1,4.707831901785178
99,128.90136798641885,248865.1670560856,189.34059166252442,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_7,sex_male,Urbanity_Urban,99.0,81.0,1,25.949051038336208
100,174.922582462601,402596.3506316833,281.5236997440314,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_1,sex_male,Urbanity_Urban,100.0,81.0,1,15.39730617250057
101,89.12927184036045,107405.24273195572,84.02561462499,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_2,sex_male,Urbanity_Urban,101.0,31.0,1,74.45072209746267
102,79.12761098480368,80003.47928294571,63.54608241066578,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,102.0,31.0,1,77.94692965525832
103,155.1971734403998,357026.3872638621,254.7916418161854,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,103.0,81.0,1,34.08355381437247
104,88.14706403738856,115729.26376231485,91.12101676949824,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_female,Urbanity_Urban,104.0,31.0,1,45.79669733828783
105,123.02018040385956,212164.4175258441,161.11827612178047,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,105.0,81.0,1,37.38663256133771
106,87.33676561926428,99496.66541611364,79.31289562773374,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,106.0,31.0,1,17.709848520178657
107,83.66223810857434,105304.0421494,78.96586811275263,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_5,sex_female,Urbanity_Urban,107.0,31.0,1,36.409152674172546
108,78.61165891323238,77072.05365122847,51.5172864810387,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Rural,108.0,1.0,1,27.24492098123179
109,166.12860942547053,370809.2005989186,260.5433344889114,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_26_35,Education_College,Size_5,sex_male,Urbanity_Urban,109.0,81.0,1,13.583635674787612
111,125.22838812465632,235444.4723114452,175.49674900730903,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,111.0,81.0,1,15.168689234829849
112,94.73944601323284,102038.41470455207,80.15396458151771,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_66_75,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,112.0,31.0,1,52.82054350591651
113,83.58859950327536,80846.83134591693,54.082825748677024,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Rural,113.0,1.0,1,132.31725524436993
114,97.6275283039818,108127.21891938646,84.20636018206541,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_female,Urbanity_Urban,114.0,31.0,1,40.62003849349615
115,120.03130944224823,207313.5111934952,157.58387155880044,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,115.0,81.0,1,92.18652414537024
116,162.92003873836055,379106.59835227573,266.3908441205827,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_4,sex_female,Urbanity_Urban,116.0,81.0,1,3.539802684685167
117,93.62065651068389,111253.9097576296,87.17351759176563,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_2,sex_female,Urbanity_Urban,117.0,31.0,1,74.5666350621685
118,106.10476660600484,176083.48474475078,126.31579630817845,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,118.0,21.0,1,21.990974358056892
119,111.17084135914698,216138.7995219964,161.4257098997809,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,119.0,81.0,1,9.385268327116993
121,90.99252439770521,107617.23090734142,84.54311239503286,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_1,sex_male,Urbanity_Urban,121.0,31.0,1,6.4013228025917455
123,156.91374925183226,378389.2744522018,262.1945989843787,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,123.0,81.0,1,8.526124210177898
124,155.2232833500386,403865.41497349436,266.7303758436749,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_5,sex_female,Urbanity_Rural,124.0,51.0,1,21.764349416453694
125,78.9944337317348,106438.01896612524,81.29331088668309,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,125.0,31.0,1,17.715822668780174
126,153.17898868561267,352933.81276754674,240.5578585249669,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,126.0,81.0,1,46.179814155969545
127,118.10669904529169,199145.5485218784,146.12070669249457,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,127.0,81.0,1,46.15575930552215
128,92.41496058666449,117756.5288628919,93.36511938693005,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_male,Urbanity_Urban,128.0,31.0,1,54.777044715179045
129,170.01096556808207,360587.8675464945,255.2458060814485,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,129.0,81.0,1,6.169512918926456
130,164.31505977246846,385603.9546784172,266.5706657808432,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_5,sex_female,Urbanity_Urban,130.0,81.0,1,8.545776833286675
132,145.49871459172581,333563.0526680298,222.76854821328186,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Rural,132.0,51.0,1,33.72292575631161
133,160.41140625262506,371683.5434457081,259.9971335166259,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,133.0,81.0,1,8.616410403173461
134,81.9033665766528,72952.97228918584,50.56027824018218,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_1,sex_male,Urbanity_Rural,134.0,1.0,1,11.026681456640437
135,141.43846574907238,314846.75542856875,215.68095777213432,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_1,sex_female,Urbanity_Rural,135.0,51.0,1,0.2565828373455758
136,121.71072945966087,230647.80567168051,170.5512121661618,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_female,Urbanity_Urban,136.0,81.0,1,9.617982324436348
138,103.0087707702385,198261.6198814325,141.017147318418,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_7,sex_female,Urbanity_Rural,138.0,51.0,1,70.34545704002028
139,99.89616802727468,123663.18046692113,95.136009954424,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_7,sex_male,Urbanity_Urban,139.0,31.0,1,81.85668760730275
141,112.88637201074812,187000.36418115554,130.95914639539956,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Rural,141.0,51.0,1,9.141106488286463
142,94.50507869084379,102185.07646899574,79.68824162968963,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_4,sex_female,Urbanity_Urban,142.0,31.0,1,29.403178525571043
143,162.97506472468115,372015.913331229,266.107395631027,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,143.0,81.0,1,5.520150061576389
144,83.87606122866694,86015.1411459848,66.96210055756505,AC_yes,Cooking_no,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,144.0,31.0,1,57.273252272974744
145,87.77993354236594,93828.19522953717,61.807942618720006,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Rural,145.0,1.0,1,56.633276625043294
146,128.93841339342137,205253.31375872536,149.4641780457447,AC_yes,Cooking_yes,Refrigeration_yes,TV_yes,age_26_35,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,146.0,81.0,1,16.74612735893284
