,Family_Size,HH_head_Sex,HH_head_Age,Education,Electricity_expenditure,Water_expenditure,Total_Family_Income,Urbanity
665,4.0,1,34,2.0,3750,30,17081.333333333332,0
666,4.0,1,67,1.0,1932,30,11850.833333333334,0
678,3.0,2,39,3.0,15600,3000,48032.666666666664,1
679,5.0,1,50,1.0,2160,2448,25742.666666666668,1
680,3.0,1,40,2.0,3600,3000,30209.0,1
683,7.0,1,45,1.0,4800,3900,29180.333333333332,1
684,7.0,1,59,3.0,4800,5700,56505.166666666664,1
685,5.5,1,45,4.0,4260,3990,32026.166666666668,1
687,5.0,1,33,5.0,13200,6000,51852.5,1
689,7.0,1,64,1.0,2916,4350,36002.333333333336,1
691,8.0,1,52,2.0,3414,2460,16795.666666666668,1
693,4.0,1,30,2.0,7230,2448,17052.833333333332,1
696,5.0,1,52,2.0,4212,888,35987.0,1
697,7.0,1,66,2.0,1440,3060,13984.333333333334,1
698,5.5,1,53,2.0,16800,2940,29650.0,1
700,5.0,1,34,1.0,600,60,6829.0,0
702,8.5,1,33,1.0,1914,60,9367.833333333334,0
705,4.0,1,51,1.0,900,30,31323.666666666668,0
707,7.0,1,32,1.0,540,30,6052.166666666667,0
708,9.0,1,66,1.0,240,30,18692.0,0
709,6.0,1,32,1.0,3300,30,12964.833333333334,0
710,3.0,1,69,2.0,0,60,2865.8333333333335,0
711,5.5,2,71,2.0,10200,3060,26424.666666666668,0
712,5.0,1,42,2.0,1800,2760,15704.0,0
714,6.5,1,55,1.0,4572,900,11476.666666666666,0
727,4.0,1,70,1.0,1512,60,8436.166666666666,0
728,5.5,1,50,1.0,480,120,10301.0,0
729,7.5,1,37,1.0,456,120,9633.833333333334,0
730,4.0,1,33,2.0,4380,120,52916.666666666664,0
731,4.0,1,36,3.0,3120,132,34751.833333333336,0
733,6.5,1,70,1.0,2700,180,17958.666666666668,0
734,6.5,1,45,1.0,9534,120,13919.833333333334,0
735,5.0,1,40,1.0,1500,630,12996.833333333334,0
736,4.0,2,58,2.0,0,180,14507.5,0
739,4.0,1,60,2.0,3900,360,15766.666666666666,0
740,3.5,1,47,1.0,0,480,11496.833333333334,0
741,7.0,1,52,2.0,5700,1200,18869.666666666668,0
742,4.0,1,33,3.0,4500,1200,57602.166666666664,0
745,5.5,1,53,1.0,1104,96,18055.5,0
746,5.5,1,61,1.0,1374,1500,14797.833333333334,0
747,5.5,1,58,1.0,0,480,7420.0,0
748,3.5,1,26,2.0,474,462,7016.5,0
750,7.0,1,63,1.0,7200,1464,27440.833333333332,0
751,1.0,1,62,1.0,330,120,2702.3333333333335,0
752,3.5,2,45,1.0,0,240,10822.333333333334,0
753,7.0,1,38,1.0,2700,780,17600.5,0
754,4.0,1,53,1.0,2160,180,12171.666666666666,0
765,5.0,1,44,1.0,8484,2400,15523.333333333334,0
776,7.0,1,39,1.0,600,450,17709.5,0
817,4.5,2,54,2.0,900,120,9889.666666666666,0
819,4.0,1,39,2.0,4308,120,11345.666666666666,0
826,5.5,1,59,4.0,5100,1200,29545.0,0
834,7.0,1,45,1.0,1380,270,13153.333333333334,1
835,3.0,1,59,2.0,2136,300,15571.333333333334,1
837,6.0,1,56,1.0,3600,1440,17130.0,1
839,7.0,1,44,2.0,3960,300,25356.333333333332,1
840,3.0,1,85,4.0,15000,4200,24027.166666666668,1
841,3.5,1,62,1.0,1200,120,6272.333333333333,1
845,8.5,1,48,3.0,10368,1392,36266.833333333336,1
849,5.5,1,44,1.0,3498,900,23591.333333333332,1
850,4.5,2,64,1.0,0,1380,12946.5,1
852,7.5,1,30,2.0,300,636,14737.0,1
853,4.0,1,29,2.0,3600,1332,20448.166666666668,1
854,6.5,1,37,2.0,4230,3228,17784.0,1
857,11.0,1,47,5.0,5838,1170,57543.0,1
864,7.0,1,68,1.0,1704,1554,16831.0,0
865,3.5,1,45,3.0,3174,240,35508.666666666664,0
867,6.0,1,33,1.0,0,240,7241.0,0
868,6.5,1,43,1.0,0,240,8840.0,0
870,3.0,2,52,5.0,7074,1350,35226.333333333336,0
871,3.0,1,49,3.0,10500,2046,29593.333333333332,0
872,6.0,1,54,1.0,1200,660,9766.333333333334,0
873,2.0,1,78,1.0,240,180,5652.333333333333,0
874,4.0,1,58,1.0,0,120,10860.166666666666,0
876,4.0,1,46,2.0,0,1260,16275.666666666666,0
878,4.0,1,48,1.0,0,660,19713.666666666668,0
880,7.0,1,36,1.0,0,690,16873.166666666668,0
881,8.0,1,38,2.0,0,552,15961.0,0
882,4.0,1,69,1.0,0,690,14980.5,0
883,4.0,1,46,2.0,0,450,15675.833333333334,0
884,5.0,1,46,2.0,2400,1500,23070.333333333332,0
885,4.0,1,49,2.0,2508,1032,20178.0,0
887,2.0,1,22,2.0,1500,1260,9682.333333333334,0
888,4.0,1,49,2.0,3432,642,26573.0,0
889,6.0,1,42,1.0,15918,1296,35638.333333333336,0
890,9.0,1,53,1.0,4668,294,38635.833333333336,0
892,7.0,1,27,1.0,3936,432,38893.333333333336,0
894,4.0,1,26,1.0,0,468,17929.166666666668,0
895,11.0,1,51,1.0,0,960,25796.166666666668,0
896,3.0,1,57,2.0,2196,1194,12518.0,0
897,4.0,1,42,1.0,8400,1980,21961.666666666668,0
898,7.0,1,50,1.0,2400,930,24729.833333333332,0
899,2.5,1,39,2.0,1500,900,19751.166666666668,0
909,3.0,1,67,1.0,3234,648,12576.333333333334,0
910,5.0,1,32,2.0,2322,900,13191.333333333334,0
911,4.5,1,57,1.0,7128,960,41178.833333333336,0
915,4.0,1,28,2.0,72,1440,14685.0,0
916,4.0,1,37,3.0,7512,3924,37316.666666666664,0
917,4.0,1,44,2.0,2028,750,17416.666666666668,0
918,5.0,1,43,2.0,2100,1212,46717.833333333336,0
919,7.5,1,50,2.0,1920,570,30439.333333333332,0
920,3.5,1,41,2.0,3060,1806,17514.166666666668,0
921,3.0,1,46,1.0,4920,2106,22633.333333333332,0
922,5.5,1,54,3.0,240,1452,14726.666666666666,0
924,7.0,1,59,4.0,8400,5544,51236.0,1
926,5.5,1,53,2.0,7800,3480,26451.0,1
927,5.0,1,33,2.0,3144,3000,17893.333333333332,1
928,11.0,1,59,3.0,3018,6582,34262.0,1
929,5.0,1,35,3.0,8400,2310,38425.833333333336,1
931,6.0,1,51,4.0,7200,4758,43918.333333333336,1
933,5.0,1,34,3.0,6000,1806,17271.0,1
934,4.0,2,46,2.0,600,1200,10369.5,1
935,6.0,1,50,3.0,11400,3600,48062.166666666664,1
936,5.0,2,68,2.0,8628,3018,24615.166666666668,1
938,2.0,1,69,2.0,792,1830,13239.333333333334,1
939,4.0,1,45,3.0,7800,3120,25223.0,1
941,5.0,2,56,1.0,4800,3564,25848.333333333332,1
942,4.0,2,29,4.0,5340,2106,24480.0,1
943,2.5,2,62,2.0,1800,1500,17597.666666666668,1
944,4.0,2,77,1.0,4476,360,23643.166666666668,1
945,5.0,1,32,2.0,4548,1350,13056.666666666666,0
946,7.0,1,46,1.0,0,1020,10864.166666666666,0
947,10.0,1,40,1.0,1440,840,11600.0,0
953,6.0,1,43,1.0,2700,660,17266.666666666668,0
957,5.0,1,29,2.0,2244,900,10189.0,1
958,2.0,2,67,1.0,642,1800,15941.666666666666,1
959,2.0,1,68,1.0,0,450,3499.0,1
964,6.0,1,73,1.0,6654,2100,40963.666666666664,1
965,8.0,1,44,3.0,1710,1800,12620.833333333334,1
966,7.0,1,51,1.0,5190,900,16020.0,1
967,3.0,1,45,3.0,3900,90,10975.166666666666,0
974,6.5,1,56,1.0,6000,120,17699.666666666668,0
978,5.0,2,43,2.0,4320,120,16038.666666666666,0
979,4.0,2,50,3.0,2172,480,12039.666666666666,0
981,5.0,1,31,2.0,0,330,10959.166666666666,0
984,9.0,1,55,1.0,9540,3000,29809.666666666668,0
989,10.5,1,40,1.0,11472,2760,52520.833333333336,0
990,4.0,1,39,2.0,1500,1560,12354.166666666666,0
991,4.0,1,43,1.0,3360,1068,11990.833333333334,0
994,7.0,1,64,1.0,4200,840,24039.5,0
995,8.5,1,32,1.0,2346,384,9550.0,0
996,11.0,1,62,2.0,2298,2010,24716.0,1
1000,3.5,1,33,1.0,0,480,7150.5,1
1002,9.0,1,40,2.0,9600,510,14353.5,1
1003,5.0,1,42,3.0,7200,1200,13052.5,1
1006,3.0,1,52,1.0,2400,930,17493.0,1
1025,3.0,1,62,1.0,2760,900,14575.833333333334,0
1026,2.0,1,61,1.0,6000,1140,17786.333333333332,0
1032,3.5,2,60,4.0,10800,1614,37106.5,1
1033,5.0,2,37,2.0,5100,3780,16039.166666666666,1
1034,6.5,1,44,1.0,3300,1668,28465.833333333332,1
1035,9.0,1,54,1.0,3030,1044,24726.666666666668,1
1036,4.0,1,56,1.0,2628,480,17560.333333333332,1
1038,6.0,1,42,2.0,2700,366,14969.666666666666,1
1039,5.0,1,45,3.0,8400,1452,27099.666666666668,1
1040,2.0,1,68,2.0,1500,516,6518.166666666667,1
1052,13.5,1,51,1.0,1200,1200,15309.833333333334,1
1054,5.5,1,47,2.0,3300,120,20922.666666666668,1
1056,2.0,2,46,2.0,1800,600,8916.0,1
1067,2.0,2,57,4.0,9060,9078,35315.0,1
1070,5.5,2,67,1.0,2196,1866,18808.0,1
1082,5.5,1,57,1.0,480,30,10580.0,0
1149,2.0,1,33,2.0,4398,1386,14217.5,1
1151,2.0,2,83,1.0,5796,2430,26601.666666666668,1
1152,2.0,1,76,2.0,6066,3852,25380.833333333332,1
1154,4.5,2,49,3.0,6330,4818,36965.0,1
1156,6.0,2,60,1.0,270,600,26261.5,1
1157,8.0,1,45,1.0,11808,2178,55449.666666666664,1
1160,1.5,1,30,2.0,4362,900,11813.0,1
1168,4.0,1,45,3.0,13200,2400,40593.666666666664,1
1169,5.0,1,41,4.0,4140,1200,18580.833333333332,1
1193,4.0,2,33,1.0,840,600,16123.666666666666,0
1195,6.0,1,47,2.0,6300,1500,13248.5,0
1196,8.0,1,34,1.0,1500,1800,10781.333333333334,0
1197,5.5,2,80,1.0,360,1500,11674.333333333334,0
1224,2.0,2,59,4.0,4410,2700,18577.0,0
1228,4.5,1,31,3.0,8592,2700,13423.0,0
1246,1.0,2,61,1.0,0,240,2917.3333333333335,0
1253,7.5,1,49,2.0,13218,522,20057.166666666668,0
1262,3.5,2,49,1.0,2208,1200,6914.333333333333,0
1272,6.5,1,48,1.0,2070,300,31384.666666666668,0
1273,5.0,1,57,2.0,1590,60,15198.666666666666,0
1274,5.0,1,39,1.0,600,120,12000.5,0
1275,5.0,2,38,2.0,1782,120,15207.5,0
1276,5.0,2,53,2.0,1854,120,18803.833333333332,0
1286,3.5,2,59,2.0,5346,1200,28587.333333333332,0
1289,4.0,1,58,1.0,2232,720,13602.333333333334,0
1334,5.5,1,45,2.0,3666,3210,45546.5,1
1335,12.5,2,54,1.0,7170,2880,52159.5,1
1343,2.5,2,53,4.0,9654,3192,27780.5,0
1346,5.0,1,55,1.0,6120,900,23996.833333333332,1
1361,5.0,1,55,1.0,1722,258,28759.333333333332,0
1362,3.0,1,34,2.0,3030,522,13685.833333333334,0
1365,2.0,2,28,2.0,2652,1440,22277.5,0
1367,5.0,2,54,2.0,4854,2622,21922.166666666668,1
1368,3.5,1,28,3.0,11952,2640,21001.333333333332,1
1369,2.0,2,73,2.0,756,2160,10600.166666666666,1
1370,5.0,1,42,4.0,19200,4200,47657.666666666664,1
1371,6.0,1,40,4.0,10584,6888,46245.833333333336,1
1373,5.0,2,41,3.0,6810,3480,17854.666666666668,1
1376,2.0,1,56,4.0,10200,4800,47018.5,1
1377,3.0,1,63,2.0,2400,2160,18210.666666666668,1
1381,6.5,1,49,1.0,300,90,14803.333333333334,0
1382,7.0,2,39,4.0,6174,2280,37448.166666666664,0
1385,6.0,1,45,1.0,1926,2214,15902.0,0
1387,2.0,1,68,1.0,4680,2268,16146.333333333334,0
1392,4.0,1,62,2.0,6600,3120,30233.5,0
1395,2.0,2,72,1.0,8424,3714,28871.333333333332,1
1396,2.0,1,65,1.0,4584,2088,14291.666666666666,1
1397,8.0,1,53,2.0,6732,450,23731.0,1
1398,4.0,1,48,3.0,1704,2160,13498.0,1
1400,2.0,1,81,4.0,17100,2988,46753.333333333336,1
1401,10.0,1,58,1.0,3318,3636,51351.0,1
1402,3.0,2,72,1.0,4494,2394,29020.333333333332,1
1403,7.0,1,59,1.0,4518,3948,30345.5,1
1405,4.5,2,39,2.0,5292,2160,32443.333333333332,1
1406,5.0,2,60,1.0,11400,2670,46618.333333333336,1
1408,7.5,2,61,1.0,4800,1650,39095.833333333336,1
1409,9.5,1,61,3.0,6696,4200,29820.0,1
1410,3.5,1,60,3.0,14418,3534,56250.0,1
1411,8.0,1,60,3.0,1800,2268,23814.166666666668,1
1412,5.5,1,46,1.0,0,546,12073.333333333334,1
1414,3.0,1,55,2.0,11874,3000,47619.666666666664,1
1415,5.5,1,40,2.0,3276,1080,19281.333333333332,1
1418,6.0,1,40,4.0,5178,600,30374.666666666668,0
1426,4.0,1,67,4.0,8700,780,32872.333333333336,0
1427,5.5,1,56,1.0,0,180,8617.666666666666,0
1442,5.0,2,78,1.0,2646,2640,31434.5,1
1444,10.0,1,37,2.0,3900,2580,21727.0,1
1445,7.0,1,44,1.0,1470,1788,20246.333333333332,1
1447,5.0,1,60,2.0,4500,3636,39192.0,1
1448,7.0,1,37,1.0,2400,120,11116.0,1
1451,6.0,1,56,2.0,6000,4200,20892.333333333332,1
1452,3.5,1,50,1.0,2700,2376,39002.166666666664,1
1453,3.0,1,45,3.0,7200,720,19090.0,1
1454,7.0,1,53,1.0,4200,2532,27651.833333333332,1
1455,3.0,1,45,1.0,2598,54,13091.5,1
1456,4.0,2,53,2.0,3408,2388,23030.833333333332,1
1459,2.0,2,80,1.0,11400,2376,18186.666666666668,1
1460,6.5,1,49,1.0,1632,120,16990.0,1
1461,7.0,1,42,2.0,4752,5130,47204.833333333336,1
1462,6.5,1,59,2.0,6000,1320,24442.5,1
1463,5.0,2,78,1.0,20400,5748,42799.333333333336,1
1464,12.5,1,47,3.0,4314,2790,43285.0,1
1465,6.0,2,62,1.0,810,2220,15296.666666666666,1
1471,3.5,2,54,2.0,5760,6000,56024.333333333336,1
1474,7.0,1,33,3.0,9450,3852,39590.833333333336,1
1487,4.5,2,27,2.0,3252,3360,16239.5,1
1489,3.5,1,69,1.0,1920,2460,24832.166666666668,1
1490,10.0,1,55,2.0,6840,8250,47136.5,1
1491,6.0,1,35,2.0,1800,2088,22642.666666666668,1
1492,3.0,1,40,1.0,2400,2388,15885.5,1
1493,6.0,1,58,3.0,14400,5400,39809.0,1
1503,3.0,2,75,1.0,12600,270,26053.833333333332,0
1506,2.5,1,24,2.0,1200,300,30510.833333333332,0
1507,5.0,1,63,1.0,1800,240,10266.5,0
1511,4.0,1,57,1.0,2760,240,15928.0,0
1514,6.0,1,48,2.0,2820,660,11273.833333333334,0
1516,3.5,2,44,2.0,4368,120,23112.166666666668,0
1517,4.0,1,67,1.0,4212,480,29226.666666666668,0
1527,7.5,1,69,1.0,6150,360,34346.833333333336,0
1528,2.0,2,55,1.0,180,120,7587.833333333333,0
1529,8.5,1,38,1.0,4050,690,12607.166666666666,0
1530,10.5,1,46,2.0,402,240,16512.833333333332,0
1531,4.5,1,51,1.0,900,30,9658.333333333334,0
1532,8.0,1,38,1.0,0,60,12133.166666666666,0
1533,6.0,2,46,1.0,0,30,8194.666666666666,0
1534,5.5,2,53,1.0,936,120,11342.5,0
1535,6.0,1,36,1.0,1818,360,12181.666666666666,0
1536,2.0,1,57,2.0,1500,360,5791.333333333333,0
1537,5.0,2,30,1.0,228,60,4490.0,0
1538,9.0,1,43,1.0,0,60,15125.0,0
1539,4.0,1,73,1.0,1548,60,7987.166666666667,0
1540,5.0,1,56,1.0,7500,360,46213.333333333336,0
1541,7.5,2,49,2.0,1368,60,23646.166666666668,0
1542,3.5,2,37,2.0,2088,60,23102.333333333332,0
1544,5.0,1,43,2.0,1200,720,9782.0,0
1545,3.5,1,73,1.0,6720,600,18911.166666666668,0
1547,6.0,2,66,1.0,2580,240,14428.833333333334,0
1549,1.0,1,63,1.0,390,240,9025.0,0
1550,7.5,1,45,1.0,1200,240,13563.333333333334,0
1551,3.0,1,48,3.0,3270,240,37060.666666666664,0
1553,7.0,1,58,1.0,0,240,9610.0,0
1554,6.0,2,33,2.0,4320,840,35036.0,0
1555,4.5,1,26,3.0,300,120,12206.5,0
1556,3.5,2,58,2.0,2790,486,15931.833333333334,0
1559,7.0,1,66,1.0,942,330,17408.833333333332,0
1560,4.0,2,45,2.0,5400,600,50101.833333333336,0
1562,6.5,1,50,2.0,3120,282,18670.666666666668,0
