,index,dutyp,sex,ban,connectio,sqm,hhsize,edu,age,w
41,41,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,107.8829792036292,hhsize_3,edu_primary,age_45a49,403.4970187777844
42,42,dutyp_Casa,sex_Homens,ban_1,connectio_Poço,62.465807785814036,hhsize_2,edu_master,age_45a49,403.4970187777844
43,43,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,101.53075806500144,hhsize_4,edu_master,age_60a64,403.4970187777844
44,44,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,126.69098568746892,hhsize_1,edu_master,age_45a49,403.4970187777844
45,45,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,67.0547776588619,hhsize_7,edu_primary,age_60a64,403.4970187777844
46,46,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,141.42931689268224,hhsize_6,edu_master,age_55a59,403.4970187777844
47,47,dutyp_Casa,sex_Homens,ban_2,connectio_Outra,139.61230485090186,hhsize_1,edu_master,age_35a39,403.4970187777844
48,48,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,80.88418719178182,hhsize_3,edu_primary,age_45a49,403.4970187777844
49,49,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,88.05756308682864,hhsize_5,edu_master,age_55a59,403.4970187777844
50,50,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,58.962585087326566,hhsize_4,edu_master,age_40a44,403.4970187777844
51,51,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,128.99591489797533,hhsize_5,edu_master,age_45a49,403.4970187777844
52,52,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,88.9560995486027,hhsize_5,edu_master,age_50a54,403.4970187777844
53,53,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,82.03039037731162,hhsize_6,edu_primary,age_25a29,403.4970187777844
54,54,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,114.78430458501494,hhsize_4,edu_master,age_55a59,403.4970187777844
55,55,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,107.39663072891236,hhsize_4,edu_master,age_45a49,403.4970187777844
56,56,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,165.1455678762151,hhsize_3,edu_primary,age_35a39,403.4970187777844
57,57,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,149.50424047567068,hhsize_5,edu_primary,age_50a54,403.4970187777844
58,58,dutyp_Casa,sex_Homens,ban_3,connectio_Rede,88.12227211777159,hhsize_2,edu_master,age_35a39,403.4970187777844
59,59,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,84.12986798526333,hhsize_1,edu_collage,age_25a29,403.4970187777844
60,60,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,118.76829215602099,hhsize_5,edu_master,age_30a34,403.4970187777844
61,61,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,48.929659029631175,hhsize_2,edu_master,age_55a59,403.4970187777844
62,62,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,61.49197331184266,hhsize_5,edu_master,age_60a64,403.4970187777844
63,63,dutyp_Casa,sex_Mulheres,ban_4,connectio_Rede,115.58432437504078,hhsize_4,edu_primary,age_55a59,403.4970187777844
64,64,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,126.87594439292856,hhsize_4,edu_master,age_35a39,403.4970187777844
65,65,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,132.9768420117934,hhsize_3,edu_master,age_30a34,403.4970187777844
66,66,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,129.62515508649753,hhsize_3,edu_master,age_30a34,403.4970187777844
67,67,dutyp_Casa,sex_Mulheres,ban_3,connectio_Rede,108.6977772571832,hhsize_5,edu_primary,age_35a39,403.4970187777844
68,68,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,126.81754693930216,hhsize_5,edu_primary,age_50a54,403.4970187777844
69,69,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,120.68828443192601,hhsize_4,edu_master,age_25a29,403.4970187777844
70,70,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,152.14974514175964,hhsize_3,edu_master,age_30a34,403.4970187777844
71,71,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,118.12624725636782,hhsize_3,edu_primary,age_50a54,403.4970187777844
72,72,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,147.01564961580146,hhsize_3,edu_master,age_25a29,403.4970187777844
73,73,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,138.86846267036702,hhsize_3,edu_master,age_30a34,403.4970187777844
74,74,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,163.80024251802232,hhsize_2,edu_master,age_80anosou,403.4970187777844
75,75,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,151.67520341046745,hhsize_2,edu_primary,age_20a24,403.4970187777844
76,76,dutyp_Casa,sex_Mulheres,ban_1,connectio_Outra,78.67886820545715,hhsize_6,edu_master,age_40a44,403.4970187777844
77,77,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,147.56792252023575,hhsize_3,edu_master,age_50a54,403.4970187777844
78,78,dutyp_Casa,sex_Mulheres,ban_3,connectio_Rede,127.69530406681645,hhsize_4,edu_primary,age_30a34,403.4970187777844
79,79,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,167.3150942879407,hhsize_4,edu_collage,age_35a39,403.4970187777844
80,80,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,106.48685965324027,hhsize_4,edu_collage,age_55a59,403.4970187777844
81,81,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,129.00895061724648,hhsize_4,edu_master,age_55a59,403.4970187777844
82,82,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,116.82805928306291,hhsize_1,edu_master,age_30a34,403.4970187777844
83,83,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,117.30238746089212,hhsize_3,edu_master,age_65a69,403.4970187777844
84,84,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,121.97386433916859,hhsize_2,edu_master,age_50a54,403.4970187777844
85,85,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,147.91090566555945,hhsize_1,edu_master,age_20a24,403.4970187777844
86,86,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,78.3045474288418,hhsize_2,edu_master,age_45a49,403.4970187777844
87,87,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,99.7912662242038,hhsize_3,edu_primary,age_40a44,403.4970187777844
88,88,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,111.31362618269928,hhsize_3,edu_primary,age_45a49,403.4970187777844
89,89,dutyp_Apartamento,sex_Homens,ban_no,connectio_Rede,124.53110396963051,hhsize_4,edu_primary,age_45a49,403.4970187777844
90,90,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,187.8641835667713,hhsize_5,edu_master,age_40a44,403.4970187777844
91,91,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,187.20681797889745,hhsize_3,edu_master,age_30a34,403.4970187777844
92,92,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,54.50180250458499,hhsize_2,edu_primary,age_60a64,403.4970187777844
93,93,dutyp_Casa,sex_Homens,ban_3,connectio_Rede,168.136570418434,hhsize_5,edu_primary,age_20a24,403.4970187777844
94,94,dutyp_Casa,sex_Homens,ban_3,connectio_Rede,95.68295783220994,hhsize_2,edu_master,age_30a34,403.4970187777844
95,95,dutyp_Casa,sex_Homens,ban_2,connectio_Poço,143.51660914184419,hhsize_4,edu_primary,age_60a64,403.4970187777844
96,96,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,40.99504136808466,hhsize_4,edu_primary,age_40a44,403.4970187777844
97,97,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,22.586722986667837,hhsize_3,edu_master,age_45a49,403.4970187777844
98,98,dutyp_Casa,sex_Homens,ban_2,connectio_Poço,25.200715980826057,hhsize_4,edu_master,age_55a59,403.4970187777844
99,99,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,80.74459417089133,hhsize_4,edu_master,age_50a54,403.4970187777844
100,100,dutyp_Casa,sex_Homens,ban_1,connectio_Outra,39.90041643407663,hhsize_1,edu_master,age_25a29,403.4970187777844
101,101,dutyp_Apartamento,sex_Homens,ban_4,connectio_Poço,64.31997125558591,hhsize_3,edu_master,age_25a29,403.4970187777844
102,102,dutyp_Casa,sex_Homens,ban_no,connectio_Outra,61.580093476041796,hhsize_3,edu_master,age_25a29,403.4970187777844
103,103,dutyp_Casa,sex_Homens,ban_1,connectio_Poço,110.35783346020192,hhsize_4,edu_primary,age_30a34,403.4970187777844
104,104,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,154.68706994355372,hhsize_3,edu_master,age_55a59,403.4970187777844
105,105,dutyp_Casa,sex_Homens,ban_2,connectio_Poço,95.01897338388716,hhsize_7,edu_master,age_65a69,403.4970187777844
106,106,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,71.83150977417819,hhsize_2,edu_master,age_45a49,403.4970187777844
107,107,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,143.30235321721517,hhsize_3,edu_master,age_50a54,403.4970187777844
108,108,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,70.36283868584712,hhsize_3,edu_master,age_55a59,403.4970187777844
109,109,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,97.96282936901586,hhsize_4,edu_master,age_35a39,403.4970187777844
110,110,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,103.51944562769316,hhsize_1,edu_primary,age_35a39,403.4970187777844
111,111,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,36.048623258489904,hhsize_4,edu_primary,age_70a74,403.4970187777844
112,112,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,69.94177168577613,hhsize_5,edu_master,age_80anosou,403.4970187777844
113,113,dutyp_Apartamento,sex_Homens,ban_3,connectio_Rede,130.9981900162851,hhsize_4,edu_master,age_20a24,403.4970187777844
114,114,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,101.43846751744871,hhsize_3,edu_master,age_40a44,403.4970187777844
115,115,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,120.78130198331101,hhsize_3,edu_primary,age_55a59,403.4970187777844
116,116,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,123.12169545395493,hhsize_4,edu_master,age_50a54,403.4970187777844
117,117,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,124.78432334238757,hhsize_7,edu_master,age_45a49,403.4970187777844
118,118,dutyp_Apartamento,sex_Homens,ban_no,connectio_Rede,95.37915832513552,hhsize_1,edu_master,age_50a54,403.4970187777844
119,119,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,195.81246543411976,hhsize_5,edu_master,age_25a29,403.4970187777844
120,120,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,169.6621313335184,hhsize_4,edu_master,age_30a34,403.4970187777844
121,121,dutyp_Apartamento,sex_Mulheres,ban_no,connectio_Rede,165.19235642757468,hhsize_4,edu_master,age_40a44,403.4970187777844
122,122,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,117.47742867821188,hhsize_5,edu_master,age_30a34,403.4970187777844
123,123,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,178.64609650834348,hhsize_6,edu_primary,age_40a44,403.4970187777844
124,124,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,70.21861997346183,hhsize_3,edu_master,age_25a29,403.4970187777844
125,125,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,106.05537054789718,hhsize_4,edu_master,age_35a39,403.4970187777844
126,126,dutyp_Apartamento,sex_Homens,ban_3,connectio_Rede,149.80769493188185,hhsize_5,edu_master,age_50a54,403.4970187777844
127,127,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,48.69321598040476,hhsize_3,edu_master,age_45a49,403.4970187777844
128,128,dutyp_Apartamento,sex_Homens,ban_4,connectio_Rede,106.7651421647524,hhsize_4,edu_primary,age_45a49,403.4970187777844
129,129,dutyp_Apartamento,sex_Homens,ban_3,connectio_Rede,128.26459572572284,hhsize_1,edu_primary,age_40a44,403.4970187777844
130,130,dutyp_Apartamento,sex_Homens,ban_no,connectio_Rede,102.72297529681477,hhsize_5,edu_primary,age_50a54,403.4970187777844
131,131,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,113.46707374833231,hhsize_2,edu_master,age_80anosou,403.4970187777844
132,132,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,82.23583109416094,hhsize_4,edu_master,age_65a69,403.4970187777844
133,133,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,90.99329848844248,hhsize_5,edu_master,age_55a59,403.4970187777844
134,134,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,100.04157417248548,hhsize_5,edu_primary,age_45a49,403.4970187777844
135,135,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,109.53559568453586,hhsize_2,edu_master,age_50a54,403.4970187777844
136,136,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,118.5246981241142,hhsize_4,edu_master,age_45a49,403.4970187777844
137,137,dutyp_Casa,sex_Mulheres,ban_3,connectio_Rede,75.57313915462308,hhsize_3,edu_primary,age_55a59,403.4970187777844
138,138,dutyp_Casa,sex_Mulheres,ban_3,connectio_Rede,64.79360798802132,hhsize_4,edu_master,age_50a54,403.4970187777844
139,139,dutyp_Casa,sex_Mulheres,ban_2,connectio_Poço,96.98317302891537,hhsize_4,edu_primary,age_55a59,403.4970187777844
140,140,dutyp_Apartamento,sex_Mulheres,ban_2,connectio_Rede,115.32243422312072,hhsize_4,edu_primary,age_45a49,403.4970187777844
141,141,dutyp_Apartamento,sex_Mulheres,ban_3,connectio_Rede,106.42134052971248,hhsize_5,edu_primary,age_45a49,403.4970187777844
142,142,dutyp_Casa,sex_Mulheres,ban_3,connectio_Rede,153.59485507063457,hhsize_5,edu_primary,age_70a74,403.4970187777844
143,143,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,115.40718148820605,hhsize_3,edu_primary,age_25a29,403.4970187777844
144,144,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,134.90634631738766,hhsize_2,edu_master,age_35a39,403.4970187777844
145,145,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,141.48591025761837,hhsize_4,edu_master,age_35a39,403.4970187777844
146,146,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,83.17368671327301,hhsize_3,edu_master,age_60a64,403.4970187777844
147,147,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,114.99328782316488,hhsize_5,edu_master,age_55a59,403.4970187777844
148,148,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,163.91764790798587,hhsize_5,edu_master,age_70a74,403.4970187777844
149,149,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,90.1291910369424,hhsize_1,edu_master,age_20a24,403.4970187777844
150,150,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,116.02058091353636,hhsize_3,edu_master,age_55a59,403.4970187777844
151,151,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,148.22280239969558,hhsize_3,edu_primary,age_45a49,403.4970187777844
152,152,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,104.78376753132628,hhsize_2,edu_primary,age_30a34,403.4970187777844
153,153,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,57.89353646536787,hhsize_1,edu_primary,age_35a39,403.4970187777844
154,154,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,11.299516384956426,hhsize_3,edu_master,age_30a34,403.4970187777844
155,155,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,124.1342860485524,hhsize_4,edu_primary,age_75a79,403.4970187777844
156,156,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,144.41903210121708,hhsize_3,edu_master,age_35a39,403.4970187777844
157,157,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,101.24150680840587,hhsize_5,edu_primary,age_55a59,403.4970187777844
158,158,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,124.46261575302914,hhsize_2,edu_primary,age_30a34,403.4970187777844
159,159,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,127.56297114481771,hhsize_1,edu_master,age_55a59,403.4970187777844
160,160,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,63.72392727253433,hhsize_3,edu_master,age_40a44,403.4970187777844
161,161,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,139.79952514748868,hhsize_2,edu_primary,age_80anosou,403.4970187777844
162,162,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,112.13708389516974,hhsize_4,edu_master,age_50a54,403.4970187777844
163,163,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,111.41007378377304,hhsize_2,edu_primary,age_40a44,403.4970187777844
164,164,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,110.29345520549197,hhsize_2,edu_master,age_45a49,403.4970187777844
165,165,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,178.39111849635987,hhsize_4,edu_primary,age_50a54,403.4970187777844
166,166,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,101.80630537811098,hhsize_3,edu_master,age_65a69,403.4970187777844
167,167,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,177.67258922954846,hhsize_3,edu_primary,age_50a54,403.4970187777844
168,168,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,122.53963721197135,hhsize_2,edu_collage,age_35a39,403.4970187777844
169,169,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,102.45685968141079,hhsize_1,edu_master,age_40a44,403.4970187777844
170,170,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,72.24650092651244,hhsize_5,edu_master,age_55a59,403.4970187777844
171,171,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,39.46174137859505,hhsize_2,edu_master,age_50a54,403.4970187777844
172,172,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,139.2661265298737,hhsize_3,edu_master,age_45a49,403.4970187777844
173,173,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,139.35453150160092,hhsize_3,edu_master,age_55a59,403.4970187777844
174,174,dutyp_Apartamento,sex_Mulheres,ban_3,connectio_Rede,115.98679024881342,hhsize_1,edu_master,age_45a49,403.4970187777844
175,175,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,75.33755972118381,hhsize_4,edu_master,age_35a39,403.4970187777844
176,176,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,130.52552074013528,hhsize_6,edu_master,age_55a59,403.4970187777844
177,177,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,108.7208101951182,hhsize_2,edu_master,age_55a59,403.4970187777844
178,178,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,100.04380515964277,hhsize_6,edu_master,age_30a34,403.4970187777844
179,179,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,76.09206750335159,hhsize_3,edu_master,age_60a64,403.4970187777844
180,180,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,136.087396485151,hhsize_7,edu_master,age_25a29,403.4970187777844
181,181,dutyp_Casa,sex_Mulheres,ban_3,connectio_Rede,167.02975901714183,hhsize_5,edu_master,age_40a44,403.4970187777844
182,182,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,159.24485008436125,hhsize_5,edu_master,age_55a59,403.4970187777844
183,183,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,106.71951778560444,hhsize_6,edu_master,age_45a49,403.4970187777844
184,184,dutyp_Casa,sex_Mulheres,ban_2,connectio_Poço,108.10319591506149,hhsize_6,edu_master,age_20a24,403.4970187777844
185,185,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,145.90643017375436,hhsize_6,edu_master,age_40a44,403.4970187777844
186,186,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,124.19233870094942,hhsize_4,edu_primary,age_80anosou,403.4970187777844
187,187,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Outra,138.1187253582045,hhsize_1,edu_master,age_35a39,403.4970187777844
188,188,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,127.60962219456354,hhsize_3,edu_primary,age_70a74,403.4970187777844
189,189,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,129.59104996738282,hhsize_4,edu_master,age_35a39,403.4970187777844
190,190,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,133.76560857775814,hhsize_4,edu_primary,age_50a54,403.4970187777844
191,191,dutyp_Casa,sex_Mulheres,ban_2,connectio_Poço,98.80795967402163,hhsize_2,edu_primary,age_65a69,403.4970187777844
192,192,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,218.62561849091233,hhsize_4,edu_master,age_40a44,403.4970187777844
193,193,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,160.45236689178248,hhsize_5,edu_master,age_60a64,403.4970187777844
194,194,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,122.03064375938374,hhsize_3,edu_master,age_30a34,403.4970187777844
195,195,dutyp_Apartamento,sex_Mulheres,ban_2,connectio_Poço,120.59294322577671,hhsize_4,edu_primary,age_50a54,403.4970187777844
196,196,dutyp_Casa,sex_Mulheres,ban_no,connectio_Poço,116.08811455197407,hhsize_3,edu_primary,age_60a64,403.4970187777844
197,197,dutyp_Casa,sex_Homens,ban_3,connectio_Rede,165.42187588330958,hhsize_3,edu_master,age_45a49,403.4970187777844
198,198,dutyp_Casa,sex_Homens,ban_no,connectio_Poço,49.61493051556739,hhsize_2,edu_primary,age_65a69,403.4970187777844
199,199,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,100.31343695522986,hhsize_6,edu_master,age_65a69,403.4970187777844
200,200,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,136.13362180084647,hhsize_6,edu_master,age_35a39,403.4970187777844
201,201,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,107.657181142862,hhsize_4,edu_primary,age_80anosou,403.4970187777844
