,index,i_Sex,i_Urbanity,i_FamilySize,i_Age,i_Education,e_Lighting,e_TV,e_Refrigeration,e_AC,Income,Electricity,Water,w,wf
17,17,sex_male,Urbanity_Urban,Size_1,age_36_45,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,235415.053822,128.86259021200001,164.97831991799998,47.56991525423729,38.10584357381781
18,18,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,240827.01241300002,136.500624916,170.796197432,47.56991525423729,6.4503899784863945
19,19,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,256859.364304,138.547616868,184.76914113599997,47.56991525423729,171.280673665041
20,20,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,224180.370004,132.50023365299998,166.273229221,47.56991525423729,136.88747349152862
21,21,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Post_Graduate,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,250772.045395,134.284621454,184.28213567900002,47.56991525423729,0.0
22,22,sex_female,Urbanity_Urban,Size_7,age_36_45,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,229536.46453000003,129.544489215,161.209035945,47.56991525423729,55.68946526854362
23,23,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,186332.82315799998,117.901146576,139.85378046399998,47.56991525423729,119.22105758475615
24,24,sex_female,Urbanity_Urban,Size_5,age_36_45,Education_Post_Graduate,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,273130.856202,142.780390035,199.60311042900003,47.56991525423729,32.18930556808373
25,25,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,174250.71293900002,110.091051991,133.314757805,47.56991525423729,150.3774182180706
26,26,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,266180.104733,137.201508142,194.762986167,47.56991525423729,139.62522006970966
27,27,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,232759.23481300002,132.452544012,175.990649483,47.56991525423729,45.22564943327935
28,28,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,145297.024637,107.454871953,110.305118035,47.56991525423729,32.85294822043807
29,29,sex_female,Urbanity_Urban,Size_1,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,108191.019788,94.740557771,81.7781314615,47.56991525423729,23.993581706829225
30,30,sex_male,Urbanity_Urban,Size_5,age_36_45,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,285736.246421,156.099769696,211.30840431,47.56991525423729,54.26170057277077
31,31,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,270315.664646,154.81572064,193.89589126,47.56991525423729,139.62522006970966
32,32,sex_male,Urbanity_Rural,Size_2,age_36_45,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,203372.545638,120.50072289200001,135.248046829,47.56991525423729,105.54134645744979
33,33,sex_male,Urbanity_Rural,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,110541.433632,91.6487637802,71.0814561874,47.56991525423729,4.156775342205345
34,34,sex_male,Urbanity_Rural,Size_5,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,184337.61582,114.982414763,129.820281678,47.56991525423729,47.68583718836099
35,35,sex_male,Urbanity_Rural,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,187642.968011,117.245820259,134.026229669,47.56991525423729,0.0
36,36,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,204984.242623,127.431558883,151.813144955,47.56991525423729,74.98626309016605
37,37,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,258389.893166,134.735310464,182.798159828,47.56991525423729,77.7240096683471
38,38,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,225948.47745700003,127.332172316,169.009090672,47.56991525423729,44.726556471262484
39,39,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,253369.331904,142.477657433,176.65749892,47.56991525423729,117.05373210300576
40,40,sex_male,Urbanity_Urban,Size_6,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,264705.525652,137.963516183,195.628752411,47.56991525423729,0.0
41,41,sex_male,Urbanity_Urban,Size_5,age_26_35,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,274191.460848,139.81518747799998,194.37272304,47.56991525423729,22.13649064547993
42,42,sex_female,Urbanity_Urban,Size_1,age_66_75,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,262297.088748,141.936509189,187.860548587,47.56991525423729,0.0
43,43,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,195245.822134,118.30260474299999,138.28321020299998,47.56991525423729,16.285897138319605
44,44,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,133648.130409,102.263831959,101.09848283,47.56991525423729,125.01386524070425
45,45,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,271145.980173,138.711373249,196.73647797,47.56991525423729,139.62522006970966
46,46,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,282786.41591599997,145.727084577,204.76724125,47.56991525423729,47.9633960114604
47,47,sex_female,Urbanity_Urban,Size_4,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,155938.826364,114.90103238,114.352704913,47.56991525423729,8.25040569372384
48,48,sex_male,Urbanity_Urban,Size_3,age_26_35,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,116502.27688199999,107.60261467299999,84.7321332246,47.56991525423729,124.54410890874478
49,49,sex_male,Urbanity_Urban,Size_3,age_26_35,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,247783.996315,145.706403617,175.710607164,47.56991525423729,139.15546373775018
50,50,sex_female,Urbanity_Urban,Size_3,age_66_75,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,290545.09545100003,149.441405381,210.842201868,47.56991525423729,123.58347145585077
51,51,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,166315.913788,114.01742471700001,121.565805991,47.56991525423729,56.82075422137664
52,52,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,122174.884846,104.70541835200001,91.91744108959999,47.56991525423729,63.112654839341644
53,53,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,120179.252897,97.73495094280001,88.38153520649999,47.56991525423729,94.76810843467297
54,54,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,256076.841561,138.370083226,179.552285549,47.56991525423729,77.7240096683471
55,55,sex_female,Urbanity_Urban,Size_6,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,300839.340587,141.025485278,220.345636189,47.56991525423729,0.0
56,56,sex_female,Urbanity_Urban,Size_6,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,313187.44045,144.41571089,229.690782703,47.56991525423729,13.859248812909303
57,57,sex_male,Urbanity_Rural,Size_3,age_36_45,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,213925.56578499998,116.6836878,144.889874193,47.56991525423729,167.44255685881237
58,58,sex_female,Urbanity_Urban,Size_5,age_36_45,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,295046.936758,143.24105721,214.73016505599998,47.56991525423729,54.76079353478768
59,59,sex_male,Urbanity_Urban,Size_6,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,308986.38828899997,151.97985316700002,220.72222536,47.56991525423729,13.360155850892436
60,60,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,229284.444168,126.03995864,152.881716617,47.56991525423729,0.0
61,61,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,185059.016458,112.54834560299999,136.80357590100002,47.56991525423729,119.22105758475615
62,62,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,276012.150475,144.098050905,196.88142131700002,47.56991525423729,140.12431303172656
63,63,sex_female,Urbanity_Rural,Size_2,age_56_65,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,224386.039856,119.67068532299999,152.83041517,47.56991525423729,0.0
64,64,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,242474.529198,138.729103906,176.555907254,47.56991525423729,19.86850039925831
65,65,sex_male,Urbanity_Urban,Size_5,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,259064.076504,135.27421404,193.656005538,47.56991525423729,0.0
66,66,sex_male,Urbanity_Rural,Size_7,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,223301.855034,123.55811886299999,158.128792957,47.56991525423729,0.0
67,67,sex_male,Urbanity_Rural,Size_5,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,185581.641047,111.245478943,131.228926595,47.56991525423729,47.68583718836099
68,68,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,260620.607177,140.343562127,182.976964847,47.56991525423729,78.22310263036397
69,69,sex_female,Urbanity_Rural,Size_3,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,227647.634365,126.64917470799999,153.7119502,47.56991525423729,136.28619622549792
70,70,sex_female,Urbanity_Urban,Size_1,age_56_65,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,260957.74606,142.327243788,185.67366826,47.56991525423729,0.0
71,71,sex_male,Urbanity_Urban,Size_1,age_66_75,Education_Post_Graduate,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,245100.16029200002,140.478997773,173.848103169,47.56991525423729,0.0
72,72,sex_male,Urbanity_Rural,Size_3,age_56_65,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,139969.891458,104.264983236,96.802482824,47.56991525423729,22.722930796244427
73,73,sex_female,Urbanity_Urban,Size_2,age_56_65,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,184732.989962,114.14572721200001,136.33756984,47.56991525423729,0.0
74,74,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,274217.433192,150.192471592,195.882579472,47.56991525423729,139.62522006970966
75,75,sex_female,Urbanity_Urban,Size_3,age_56_65,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,197118.658193,126.48168943700001,145.381526468,47.56991525423729,27.060140564490023
76,76,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,213643.73466800002,126.57625996,159.83978671,47.56991525423729,74.98626309016605
77,77,sex_male,Urbanity_Urban,Size_4,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,245965.339208,135.03598801799998,182.825988693,47.56991525423729,0.0
78,78,sex_male,Urbanity_Urban,Size_4,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,280729.640888,145.752660291,200.0907892,47.56991525423729,22.36266756071234
79,79,sex_male,Urbanity_Urban,Size_1,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,194957.24989500002,123.054730928,143.29380297,47.56991525423729,3.7126434003053483
80,80,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,266131.624506,136.093384027,193.655345597,47.56991525423729,0.0
81,81,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,202009.601997,125.13457522799999,147.954171864,47.56991525423729,106.64171668549739
82,82,sex_female,Urbanity_Urban,Size_3,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,136988.118752,104.288834175,101.145163093,47.56991525423729,125.51295820272117
83,83,sex_female,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,225263.428766,124.74219519,169.296757569,47.56991525423729,0.0
84,84,sex_male,Urbanity_Urban,Size_1,age_66_75,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,261763.55810999998,131.261015048,185.57795915,47.56991525423729,0.0
85,85,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,232660.292945,124.00604437,172.432173791,47.56991525423729,44.726556471262484
86,86,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,213041.674424,116.65939147899999,157.634942964,47.56991525423729,74.98626309016605
87,87,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,187757.671254,119.724408827,141.53373834299998,47.56991525423729,26.56104760247307
88,88,sex_female,Urbanity_Urban,Size_3,age_36_45,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,267657.632062,140.081214485,191.02274376,47.56991525423729,171.7797666270579
89,89,sex_male,Urbanity_Rural,Size_2,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,200883.56155399999,105.777316822,138.47209862100001,47.56991525423729,73.88589286211845
90,90,sex_female,Urbanity_Rural,Size_4,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,104319.274741,92.9465487086,70.79236571109999,47.56991525423729,4.4122888874951975
91,91,sex_male,Urbanity_Rural,Size_3,age_46_55,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,127640.61604600001,94.77023080629999,87.4020619865,47.56991525423729,114.88384781651061
92,92,sex_male,Urbanity_Urban,Size_3,age_76_85,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,291902.75036199996,144.64861667,213.82926609999998,47.56991525423729,111.80070427349266
93,93,sex_male,Urbanity_Rural,Size_2,age_26_35,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,98324.3494585,86.20047996,62.7744871724,47.56991525423729,52.51288108318858
94,94,sex_male,Urbanity_Urban,Size_2,age_36_45,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,245035.305554,131.719726431,169.04352352700002,47.56991525423729,109.37946326367845
95,95,sex_male,Urbanity_Urban,Size_3,age_56_65,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,187362.509339,121.431591184,137.78271261,47.56991525423729,26.56104760247307
96,96,sex_female,Urbanity_Rural,Size_3,age_36_45,Education_Post_Graduate,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,205735.395288,110.62577752899999,134.946395755,47.56991525423729,145.3701618541254
97,97,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,213162.855801,118.383572354,162.99901227,47.56991525423729,136.88747349152862
98,98,sex_female,Urbanity_Urban,Size_5,age_46_55,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,169951.660778,114.88762131600001,122.51415138600001,47.56991525423729,8.493985110450858
99,99,sex_female,Urbanity_Urban,Size_2,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,264064.476785,139.036080562,186.72041236200002,47.56991525423729,78.22310263036397
100,100,sex_male,Urbanity_Urban,Size_3,age_36_45,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,129837.16726700001,104.167357376,94.10824718149999,47.56991525423729,156.66931883603556
101,101,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,212379.226383,123.40836181,160.38388757299998,47.56991525423729,74.98626309016605
102,102,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,238312.391875,129.835117818,168.446514458,47.56991525423729,55.1525217016432
103,103,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,172709.626355,116.797741408,129.22560745200002,47.56991525423729,56.82075422137664
104,104,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,124971.74612899999,103.958504783,93.5948869677,47.56991525423729,0.0
105,105,sex_male,Urbanity_Urban,Size_6,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,249422.99287199997,135.166285597,178.62012744700002,47.56991525423729,42.27786286804272
106,106,sex_female,Urbanity_Urban,Size_4,age_36_45,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,194533.912122,118.21977216,143.317633436,47.56991525423729,33.613958671090245
107,107,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,160707.10510699998,111.33530714,121.237148089,47.56991525423729,0.0
108,108,sex_female,Urbanity_Rural,Size_1,age_36_45,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,195630.69879000002,119.32879836299999,130.67765966,47.56991525423729,34.76681972960603
109,109,sex_female,Urbanity_Urban,Size_1,age_56_65,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,260005.255648,136.499021236,187.587854612,47.56991525423729,0.0
110,110,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,251461.175964,136.580113852,178.717839693,47.56991525423729,0.0
111,111,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,266604.283964,142.468848655,188.08725659599997,47.56991525423729,139.62522006970966
112,112,sex_male,Urbanity_Urban,Size_3,age_46_55,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,175419.065246,116.843556374,130.306837103,47.56991525423729,118.72196462273925
113,113,sex_male,Urbanity_Rural,Size_2,age_56_65,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,214964.45723000003,120.677800796,142.63954584799998,47.56991525423729,0.0
114,114,sex_male,Urbanity_Urban,Size_1,age_26_35,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,98575.0806228,93.1722071782,74.2788918449,47.56991525423729,0.0
115,115,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,208984.671241,115.791115415,154.660802373,47.56991525423729,0.0
116,116,sex_female,Urbanity_Urban,Size_5,age_36_45,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,194702.642811,122.558809203,144.258496739,47.56991525423729,33.85753808781726
117,117,sex_female,Urbanity_Urban,Size_2,age_66_75,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,234662.63600300002,129.339613472,173.96646602200002,47.56991525423729,58.94451447630713
118,118,sex_female,Urbanity_Rural,Size_4,age_66_75,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,119530.02116500001,92.79375281860001,80.15337751130001,47.56991525423729,0.0
119,119,sex_male,Urbanity_Urban,Size_7,age_56_65,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,326583.765046,161.085641716,244.97631992599997,47.56991525423729,0.0
120,120,sex_female,Urbanity_Rural,Size_3,age_56_65,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,146456.565245,106.931345546,100.77806403,47.56991525423729,23.222023758261383
121,121,sex_male,Urbanity_Urban,Size_4,age_36_45,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,227400.54202399997,139.967956466,168.27749498,47.56991525423729,51.28037457786262
122,122,sex_male,Urbanity_Urban,Size_4,age_66_75,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,249335.875957,132.09729498299998,183.03505795700002,47.56991525423729,3.084079406655498
123,123,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_Post_Graduate,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,240754.66605,136.580720733,170.79766113600002,47.56991525423729,55.1525217016432
124,124,sex_male,Urbanity_Urban,Size_5,age_46_55,Education_High_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,202623.51174000002,127.696223645,140.647234609,47.56991525423729,1.702991530468984
125,125,sex_female,Urbanity_Urban,Size_2,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,139716.3151,101.47723422700001,105.74111507399999,47.56991525423729,0.0
126,126,sex_female,Urbanity_Rural,Size_1,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,77713.3196,79.0770579504,51.890692800699995,47.56991525423729,0.0
127,127,sex_female,Urbanity_Urban,Size_1,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,212894.959794,119.698905382,165.596177176,47.56991525423729,0.0
128,128,sex_male,Urbanity_Urban,Size_2,age_26_35,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,236620.89192199998,133.786859442,167.304617586,47.56991525423729,77.25425333638759
129,129,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,215511.78300700002,129.216527401,160.947352033,47.56991525423729,0.0
130,130,sex_male,Urbanity_Urban,Size_2,age_46_55,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,255138.978691,138.222196718,188.469237187,47.56991525423729,77.7240096683471
131,131,sex_male,Urbanity_Urban,Size_2,age_56_65,Education_Post_Secondary,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,220145.15394699998,128.151995551,162.613603668,47.56991525423729,0.0
132,132,sex_male,Urbanity_Urban,Size_1,age_66_75,Education_College,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,265941.888719,129.946589476,190.258591288,47.56991525423729,0.0
133,133,sex_male,Urbanity_Urban,Size_1,age_56_65,Education_Elementary_School,Lighting_yes,TV_yes,Refrigeration_yes,AC_yes,129339.087374,109.51831233200001,93.2210189676,47.56991525423729,0.0
