,Electricity,Income,Water,e_Cooking,e_Lighting,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
81,102.137168711,151407.241402,111.79640089799999,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,81.0,101.0,1,0.24313824894373326
85,134.294458714,270395.180417,197.908218237,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,85.0,1.0,1,23.158084960699576
87,116.517990224,208883.63257,145.013336982,Cooking_no,Lighting_yes,age_56_65,Education_College,Size_2,sex_female,Urbanity_Rural,87.0,1.0,1,14.526055323899609
88,107.42412719100001,181300.850634,133.782223202,Cooking_no,Lighting_yes,age_36_45,Education_High_School,Size_5,sex_male,Urbanity_Urban,88.0,1.0,1,23.879775967409593
89,107.600594448,171915.593236,132.10327047299998,Cooking_no,Lighting_yes,age_36_45,Education_High_School,Size_4,sex_male,Urbanity_Urban,89.0,1.0,1,25.8542440722239
91,121.14487825200001,210918.421386,164.15928127799998,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,91.0,1.0,1,89.08856599602781
92,119.575589245,216405.532848,167.075643465,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,92.0,1.0,1,8.90030715636096
93,109.947253213,192279.18901,137.275212549,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,93.0,1.0,1,76.82076224428332
94,126.558634891,221840.532838,165.348213697,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,94.0,1.0,1,22.0515655591625
96,119.73336662,192355.811906,143.87137666299998,Cooking_yes,Lighting_yes,age_26_35,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,96.0,1.0,1,73.31140365257866
97,80.1436644953,107450.30978,69.3663164242,Cooking_no,Lighting_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Rural,97.0,1.0,1,102.62053820504104
98,96.1655918916,141427.554,94.3164866068,Cooking_yes,Lighting_yes,age_36_45,Education_High_School,Size_5,sex_female,Urbanity_Rural,98.0,1.0,1,18.65986570271416
100,112.29845847700001,168880.644747,125.600724021,Cooking_yes,Lighting_yes,age_46_55,Education_Elementary_School,Size_7,sex_male,Urbanity_Urban,100.0,101.0,1,0.3970911694004897
101,116.63460709700001,216651.302874,144.63101983,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_4,sex_female,Urbanity_Rural,101.0,1.0,1,28.49453301637042
102,126.37623896,251935.529304,165.09676009700001,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_6,sex_female,Urbanity_Rural,102.0,1.0,1,14.594148916460775
105,134.266133961,230078.583506,166.08458583200002,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Graduate,Size_2,sex_female,Urbanity_Urban,105.0,1.0,1,90.34537765080358
106,132.553261473,225282.43605,157.953617445,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,106.0,1.0,1,73.95340532195057
107,104.308639405,188489.410223,128.879913646,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_5,sex_female,Urbanity_Rural,107.0,1.0,1,13.287819002403133
110,117.033827661,188788.397481,136.436307125,Cooking_yes,Lighting_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Urban,110.0,1.0,1,12.538599677909197
111,95.8134315767,152367.66931199998,104.62834051600001,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,111.0,1.0,1,71.84399714757471
112,123.30644541,222367.268384,171.49832907799998,Cooking_yes,Lighting_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,112.0,1.0,1,11.744342819126771
113,112.24983424700001,149243.353192,101.81014553899999,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,113.0,1.0,1,67.84399714757471
114,137.11710762799999,260840.114606,186.786951943,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,114.0,1.0,1,21.132553065513868
115,126.074158671,264925.348856,190.55089918,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_3,sex_female,Urbanity_Urban,115.0,1.0,1,85.56152583123225
116,99.96674285370001,155760.302944,105.888814951,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,116.0,1.0,1,86.42588736312663
117,108.732551303,165928.860216,118.824275435,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,117.0,1.0,1,94.89124450908916
118,152.04933131299998,303572.517293,224.911144852,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_7,sex_male,Urbanity_Urban,118.0,1.0,1,14.55275180720784
119,146.745412636,302232.842137,207.677193148,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_7,sex_male,Urbanity_Urban,119.0,1.0,1,14.55275180720784
120,79.3564871219,79395.01067619999,51.0693503381,Cooking_yes,Lighting_yes,age_36_45,Education_Elementary_School,Size_4,sex_male,Urbanity_Rural,120.0,101.0,1,0.36500983415803745
121,106.37806901299999,162860.678148,123.864481625,Cooking_yes,Lighting_yes,age_46_55,Education_High_School,Size_2,sex_female,Urbanity_Urban,121.0,1.0,1,71.0662091255504
122,114.07237897,210448.09125,159.096628212,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,122.0,1.0,1,87.6965936671747
123,115.083132686,210310.865402,144.541049541,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Rural,123.0,1.0,1,77.55767090883072
124,113.538910704,215137.068632,147.25291296,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Rural,124.0,1.0,1,25.10256068751729
126,134.743671685,272826.06963600003,196.184142711,Cooking_no,Lighting_yes,age_66_75,Education_College,Size_3,sex_male,Urbanity_Urban,126.0,1.0,1,44.77020592301669
127,118.066029999,206457.500686,154.989723056,Cooking_no,Lighting_yes,age_56_65,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,127.0,1.0,1,8.691115537838721
128,143.03951393399998,267694.808351,196.45106027900002,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_3,sex_female,Urbanity_Urban,128.0,1.0,1,86.97963561568031
130,91.71736893399999,125837.69874,93.7937719468,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,130.0,101.0,1,0.0138928645718579
131,142.34309250200002,276938.812026,203.40902855,Cooking_yes,Lighting_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,131.0,1.0,1,14.576194745147664
132,148.20688286799998,286749.93733600003,204.135927334,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,132.0,1.0,1,13.816908671199172
134,129.312410384,231791.87213000003,165.957323592,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Graduate,Size_2,sex_female,Urbanity_Urban,134.0,1.0,1,87.34537765080358
136,123.36209485799999,194612.424991,146.103184919,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,136.0,1.0,1,68.63084435758444
137,107.243858466,160823.259478,118.74400229,Cooking_no,Lighting_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Urban,137.0,1.0,1,93.65053058303758
138,127.92142049799999,237210.746325,176.258095635,Cooking_no,Lighting_yes,age_26_35,Education_Post_Secondary,Size_6,sex_female,Urbanity_Urban,138.0,1.0,1,10.347881660208714
139,110.839644836,217753.122038,147.230084952,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Rural,139.0,1.0,1,24.343274613568802
140,106.63388665,196640.646986,132.219167002,Cooking_yes,Lighting_yes,age_56_65,Education_Post_Graduate,Size_3,sex_male,Urbanity_Rural,140.0,1.0,1,24.428883734349363
141,95.56213578799999,145925.813875,109.29714854,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,141.0,101.0,1,0.24313824894373326
144,111.582163292,188822.731965,138.357532251,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,144.0,1.0,1,74.82076224428332
145,97.76368813139999,143922.347106,97.8794799314,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,145.0,1.0,1,73.03148379233824
146,102.49697448399999,161706.14339,112.199249436,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Rural,146.0,1.0,1,21.62960085231288
147,129.863524111,266889.687411,188.689766772,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,147.0,1.0,1,22.37326699156538
149,131.81775683200001,254174.544972,186.524391128,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,149.0,1.0,1,88.1695535023792
150,103.782047776,123058.502335,95.2095999515,Cooking_yes,Lighting_yes,age_56_65,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,150.0,101.0,1,0.42652451968396354
152,106.774855985,170549.532895,121.48451862200001,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,152.0,1.0,1,85.89124450908916
153,141.848332866,304338.776798,224.178477563,Cooking_no,Lighting_yes,age_46_55,Education_College,Size_7,sex_male,Urbanity_Urban,153.0,1.0,1,26.134642022759735
154,107.284832205,190502.754856,140.930891468,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Urban,154.0,1.0,1,22.120489893461105
155,120.232739294,207900.599339,155.469015553,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,155.0,1.0,1,77.6965936671747
156,135.181108235,255160.892146,180.511338829,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Urban,156.0,1.0,1,82.92883957632762
157,97.09007471940001,127682.701928,95.54421261579999,Cooking_no,Lighting_yes,age_36_45,Education_Elementary_School,Size_3,sex_female,Urbanity_Urban,157.0,101.0,1,0.16515126737340324
158,111.643531691,178451.125741,124.13804199799999,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_5,sex_female,Urbanity_Rural,158.0,1.0,1,19.047105076351706
159,113.48858257200001,175225.14144500002,121.171324071,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_5,sex_male,Urbanity_Rural,159.0,1.0,1,17.655132747498573
160,95.3381321584,146503.972155,100.394915189,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,160.0,1.0,1,69.03148379233824
161,110.10579694,159335.096269,117.71292750799999,Cooking_no,Lighting_yes,age_36_45,Education_High_School,Size_3,sex_male,Urbanity_Urban,161.0,1.0,1,91.65053058303758
162,126.87983324,240959.262221,181.471815875,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,162.0,1.0,1,7.518495204348293
163,117.27829474299999,204229.541577,155.762489351,Cooking_no,Lighting_yes,age_36_45,Education_High_School,Size_6,sex_female,Urbanity_Urban,163.0,1.0,1,16.105118375115786
164,71.9696007495,69004.9985016,44.863826878599994,Cooking_no,Lighting_yes,age_36_45,Education_Elementary_School,Size_3,sex_female,Urbanity_Rural,164.0,101.0,1,0.13515888937679676
165,132.793760429,252326.981778,183.129700902,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_9,sex_female,Urbanity_Urban,165.0,1.0,1,20.20710545431048
166,119.08004492200001,219077.216291,161.278843214,Cooking_no,Lighting_yes,age_26_35,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,166.0,1.0,1,23.122539252502452
167,129.760890432,229393.713388,176.262764428,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,167.0,1.0,1,15.292279485214085
168,112.455365732,205757.859029,154.585630353,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_6,sex_male,Urbanity_Urban,168.0,1.0,1,8.953859972314243
169,127.496810625,240514.829635,179.298399014,Cooking_no,Lighting_yes,age_76_85,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,169.0,1.0,1,37.37745598051124
172,101.40070137100001,134557.75853599998,92.346255467,Cooking_yes,Lighting_yes,age_26_35,Education_High_School,Size_6,sex_male,Urbanity_Rural,172.0,1.0,1,10.538677579721627
173,133.473430358,304597.518123,214.679683316,Cooking_no,Lighting_yes,age_46_55,Education_Post_Graduate,Size_8,sex_male,Urbanity_Urban,173.0,1.0,1,26.45361912504675
175,116.75111959,218985.187471,149.874333664,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,175.0,1.0,1,14.90030715636096
178,111.825875023,144532.234402,105.596425626,Cooking_yes,Lighting_yes,age_36_45,Education_Elementary_School,Size_6,sex_male,Urbanity_Urban,178.0,101.0,1,0.25390418619345834
180,125.23802688200001,238931.212525,171.87921929799995,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,180.0,1.0,1,78.29372207948772
181,102.963577191,137644.985093,102.038306193,Cooking_no,Lighting_yes,age_46_55,Education_Elementary_School,Size_4,sex_male,Urbanity_Urban,181.0,101.0,1,0.21760635375803616
182,139.86866796,261207.755485,192.15158962400002,Cooking_yes,Lighting_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,182.0,1.0,1,18.550662849961963
183,125.949196003,251261.018769,181.49612002599997,Cooking_no,Lighting_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,183.0,1.0,1,17.16407537304314
184,85.11202776399999,133542.478705,89.2426232049,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,184.0,1.0,1,70.79076986628674
185,118.951008324,237982.470392,161.313000307,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_6,sex_male,Urbanity_Rural,185.0,1.0,1,9.961462661556137
186,125.912450274,236986.472281,175.91672388700005,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,186.0,1.0,1,5.518495204348293
187,124.377845434,224526.01847600003,167.24163816700002,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,187.0,1.0,1,12.90030715636096
188,113.194653125,225172.94205,152.162366469,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Rural,188.0,1.0,1,26.128092582702998
189,116.636872859,215273.923284,143.266139923,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Rural,189.0,1.0,1,27.10256068751729
190,128.88925405,255400.576289,182.230742357,Cooking_no,Lighting_yes,age_26_35,Education_College,Size_4,sex_male,Urbanity_Urban,190.0,1.0,1,33.56996719252117
191,116.81917867,193280.051826,145.201537278,Cooking_no,Lighting_yes,age_76_85,Education_High_School,Size_3,sex_female,Urbanity_Urban,191.0,1.0,1,41.96407915127881
192,110.76210983899999,185659.544747,134.69757969399998,Cooking_no,Lighting_yes,age_36_45,Education_High_School,Size_5,sex_female,Urbanity_Urban,192.0,1.0,1,23.271748296262643
194,130.393385184,251905.946049,190.537399472,Cooking_no,Lighting_yes,age_36_45,Education_Post_Secondary,Size_7,sex_male,Urbanity_Urban,194.0,1.0,1,19.420968261503816
195,112.87563639700001,189072.335642,143.731084924,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Urban,195.0,1.0,1,21.120489893461105
196,137.38030888,270102.541634,192.88486946900002,Cooking_no,Lighting_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,196.0,1.0,1,24.158084960699576
198,125.72149251100001,223242.641227,161.26927117,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,198.0,1.0,1,15.90030715636096
199,114.31085928,198464.578517,143.175592508,Cooking_no,Lighting_yes,age_46_55,Education_High_School,Size_6,sex_male,Urbanity_Urban,199.0,1.0,1,9.953859972314243
201,141.86272663100002,280500.594133,200.197292221,Cooking_yes,Lighting_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,201.0,1.0,1,13.816908671199172
202,129.480233887,242968.436003,177.405054788,Cooking_yes,Lighting_yes,age_46_55,Education_Post_Secondary,Size_5,sex_female,Urbanity_Urban,202.0,1.0,1,5.735921164847801
203,117.963523431,195669.392601,148.071871507,Cooking_yes,Lighting_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,203.0,1.0,1,61.479585954782905
204,104.38023413,132401.814351,99.7435514129,Cooking_yes,Lighting_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,204.0,101.0,1,0.06164201652384449
205,123.97735025799999,231228.006842,170.354565116,Cooking_no,Lighting_yes,age_26_35,Education_College,Size_2,sex_male,Urbanity_Urban,205.0,1.0,1,78.73113620649505
206,131.710130759,255257.871196,181.98851323099998,Cooking_no,Lighting_yes,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,206.0,1.0,1,18.16407537304314
207,114.70364155700001,223456.116523,151.367940451,Cooking_no,Lighting_yes,age_66_75,Education_College,Size_3,sex_male,Urbanity_Rural,207.0,1.0,1,41.74021354502011
208,102.570824494,161518.464114,112.838256321,Cooking_no,Lighting_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,208.0,1.0,1,84.66660128917812
209,134.23530762299998,260061.989696,187.06598217099997,Cooking_no,Lighting_yes,age_56_65,Education_Post_Graduate,Size_3,sex_female,Urbanity_Urban,209.0,1.0,1,29.432738656750814
210,122.36374695299999,227819.582943,149.399004651,Cooking_yes,Lighting_yes,age_36_45,Education_Post_Graduate,Size_6,sex_female,Urbanity_Rural,210.0,1.0,1,16.013118232872017
212,106.328424489,144073.635417,106.471942223,Cooking_no,Lighting_yes,age_26_35,Education_Elementary_School,Size_6,sex_male,Urbanity_Urban,212.0,101.0,1,0.2732085287527397
