,Electricity,Income,Water,e_AC,e_Lighting,e_Refrigeration,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
53,97.73495094280001,120179.252897,88.38153520649998,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,53.0,31.0,1,40.76810843467295
54,138.370083226,256076.841561,179.552285549,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,54.0,81.0,1,6.724009668347094
56,144.41571089,313187.44045,229.690782703,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_6,sex_female,Urbanity_Urban,56.0,81.0,1,0.8592488129093052
57,116.6836878,213925.565785,144.889874193,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Rural,57.0,51.0,1,37.44255685881237
58,143.24105721,295046.936758,214.73016505599998,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_5,sex_female,Urbanity_Urban,58.0,81.0,1,7.76079353478768
59,151.97985316700002,308986.388289,220.72222536,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_6,sex_male,Urbanity_Urban,59.0,81.0,1,0.3601558508924363
61,112.54834560299999,185059.016458,136.80357590100002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_female,Urbanity_Urban,61.0,61.0,1,18.221057584756167
62,144.098050905,276012.150475,196.88142131700002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_female,Urbanity_Urban,62.0,81.0,1,12.124313031726558
64,138.729103906,242474.529198,176.555907254,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_5,sex_male,Urbanity_Urban,64.0,81.0,1,1.8685003992583091
67,111.245478943,185581.641047,131.228926595,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_5,sex_male,Urbanity_Rural,67.0,51.0,1,10.685837188360999
68,140.343562127,260620.607177,182.976964847,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_female,Urbanity_Urban,68.0,81.0,1,9.223102630363968
69,126.64917470799999,227647.634365,153.7119502,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_female,Urbanity_Rural,69.0,51.0,1,34.28619622549792
72,104.264983236,139969.891458,96.802482824,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Rural,72.0,1.0,1,22.72293079624443
74,150.192471592,274217.433192,195.882579472,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,74.0,81.0,1,7.6252200697096555
75,126.48168943700001,197118.658193,145.381526468,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_High_School,Size_3,sex_female,Urbanity_Urban,75.0,61.0,1,6.060140564490023
76,126.57625996,213643.734668,159.83978671,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,76.0,81.0,1,9.986263090166048
78,145.752660291,280729.640888,200.0907892,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,78.0,81.0,1,1.3626675607123389
79,123.054730928,194957.249895,143.29380297,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,79.0,81.0,1,-0.2873565996946521
81,125.13457522799999,202009.601997,147.954171864,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,81.0,81.0,1,9.6417166854974
82,104.288834175,136988.118752,101.145163093,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_female,Urbanity_Urban,82.0,31.0,1,47.51295820272115
85,124.00604437,232660.292945,172.432173791,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,85.0,81.0,1,0.7265564712624766
86,116.65939147899999,213041.674424,157.634942964,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,86.0,81.0,1,12.986263090166048
87,119.724408827,187757.671254,141.53373834299998,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Urban,87.0,61.0,1,3.5610476024730673
88,140.081214485,267657.632062,191.02274376,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_3,sex_female,Urbanity_Urban,88.0,81.0,1,13.77976662705791
89,105.777316822,200883.561554,138.47209862100001,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Rural,89.0,51.0,1,17.885892862118453
90,92.9465487086,104319.274741,70.79236571109999,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_4,sex_female,Urbanity_Rural,90.0,1.0,1,4.4122888874951975
91,94.77023080629999,127640.616046,87.4020619865,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Rural,91.0,1.0,1,113.8838478165106
92,144.64861667,291902.750362,213.8292661,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_76_85,Education_College,Size_3,sex_male,Urbanity_Urban,92.0,81.0,1,11.800704273492656
93,86.20047996,98324.3494585,62.7744871724,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_26_35,Education_High_School,Size_2,sex_male,Urbanity_Rural,93.0,1.0,1,51.51288108318858
94,131.719726431,245035.305554,169.04352352700002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,94.0,81.0,1,8.379463263678431
95,121.431591184,187362.509339,137.78271261,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_High_School,Size_3,sex_male,Urbanity_Urban,95.0,61.0,1,1.5610476024730673
96,110.62577752899999,205735.395288,134.946395755,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Graduate,Size_3,sex_female,Urbanity_Rural,96.0,51.0,1,28.3701618541254
97,118.383572354,213162.855801,162.99901227,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,97.0,81.0,1,13.887473491528624
98,114.88762131600001,169951.660778,122.51415138600001,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_5,sex_female,Urbanity_Urban,98.0,31.0,1,4.493985110450858
99,139.036080562,264064.476785,186.72041236200002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_female,Urbanity_Urban,99.0,81.0,1,3.223102630363968
100,104.167357376,129837.167267,94.10824718149999,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,100.0,31.0,1,67.66931883603556
101,123.40836181,212379.226383,160.38388757299998,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,101.0,81.0,1,8.986263090166048
102,129.835117818,238312.391875,168.446514458,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,102.0,81.0,1,4.152521701643202
103,116.797741408,172709.626355,129.22560745200002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_2,sex_male,Urbanity_Urban,103.0,31.0,1,22.82075422137664
105,135.166285597,249422.992872,178.62012744700004,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_6,sex_male,Urbanity_Urban,105.0,81.0,1,5.2778628680427175
106,118.21977216,194533.912122,143.317633436,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_4,sex_female,Urbanity_Urban,106.0,61.0,1,3.613958671090245
108,119.32879836299999,195630.69879,130.67765966,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_1,sex_female,Urbanity_Rural,108.0,51.0,1,5.766819729606034
111,142.468848655,266604.283964,188.08725659599997,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,111.0,81.0,1,13.625220069709655
112,116.843556374,175419.065246,130.306837103,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,112.0,31.0,1,48.721964622739236
116,122.558809203,194702.642811,144.258496739,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_5,sex_female,Urbanity_Urban,116.0,61.0,1,4.857538087817261
117,129.339613472,234662.636003,173.96646602200005,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,117.0,81.0,1,4.944514476307134
120,106.931345546,146456.565245,100.77806403,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_High_School,Size_3,sex_female,Urbanity_Rural,120.0,1.0,1,23.222023758261386
121,139.967956466,227400.542024,168.27749498,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,121.0,81.0,1,3.2803745778626165
122,132.09729498299998,249335.875957,183.03505795700002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_4,sex_male,Urbanity_Urban,122.0,81.0,1,0.08407940665549818
123,136.580720733,240754.66605,170.79766113600002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_2,sex_male,Urbanity_Urban,123.0,81.0,1,8.152521701643202
124,127.696223645,202623.51174,140.647234609,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_5,sex_male,Urbanity_Urban,124.0,61.0,1,0.7029915304689842
128,133.786859442,236620.891922,167.304617586,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_26_35,Education_College,Size_2,sex_male,Urbanity_Urban,128.0,81.0,1,7.254253336387592
130,138.222196718,255138.978691,188.469237187,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,130.0,81.0,1,10.724009668347094
134,110.343922009,181150.618896,129.192233327,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,134.0,61.0,1,31.721964622739236
135,139.12976938,255708.259736,186.79213290599998,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_female,Urbanity_Urban,135.0,81.0,1,8.878556225695405
136,97.68365144629999,131813.038633,98.5356235197,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,136.0,31.0,1,71.66931883603556
137,144.413877883,275216.124112,202.725356781,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,137.0,81.0,1,6.018121156043762
138,121.98151962700001,197484.595412,146.616269577,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_High_School,Size_5,sex_male,Urbanity_Urban,138.0,61.0,1,3.3584451258003085
139,121.603738674,202484.058233,150.66577236700002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,139.0,81.0,1,13.6417166854974
140,100.92895810600001,127497.55726400002,94.9399711452,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,140.0,31.0,1,27.11265483934165
141,140.402355194,275630.723972,202.9071169,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_3,sex_female,Urbanity_Urban,141.0,81.0,1,15.124313031726558
142,120.366310413,183860.900177,140.24301037700002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_female,Urbanity_Urban,142.0,61.0,1,19.221057584756167
143,101.297692861,153344.443237,113.97579299,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_female,Urbanity_Urban,143.0,31.0,1,14.352041182455025
145,86.60537792299999,90980.4128438,56.7852357512,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Rural,145.0,1.0,1,117.1757484344756
146,146.976087102,280948.92158200004,199.90415741200002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_5,sex_male,Urbanity_Urban,146.0,81.0,1,6.261700572770778
148,127.76049741799999,208874.240794,139.36635786600002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Graduate,Size_3,sex_female,Urbanity_Rural,148.0,51.0,1,31.71470825879402
149,142.676654798,280872.850179,203.59720088900002,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_College,Size_3,sex_female,Urbanity_Urban,149.0,81.0,1,4.9633960114603966
150,128.566078076,210888.873609,155.849686709,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,150.0,81.0,1,16.14080964751423
151,134.104147206,232524.313637,173.103307679,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,151.0,81.0,1,14.386566453545527
153,136.487776246,272861.856379,195.3897114,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,153.0,81.0,1,0.36266756071233885
154,141.875948445,276366.415767,200.641244013,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,154.0,81.0,1,1.3626675607123389
155,147.739618589,298968.74177,211.46964849,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Graduate,Size_7,sex_male,Urbanity_Urban,155.0,81.0,1,6.522139786793225
157,134.296014505,291913.818059,204.673619356,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,157.0,81.0,1,0.6062469774393549
160,141.350550144,263354.879051,202.27082881400003,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_5,sex_female,Urbanity_Urban,160.0,81.0,1,-0.1732482146005312
161,120.273947546,208856.338379,152.522065714,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,161.0,81.0,1,14.542927086859976
163,126.041293704,267380.591528,186.74697882400002,AC_yes,Lighting_yes,Refrigeration_yes,TV_no,age_56_65,Education_College,Size_2,sex_male,Urbanity_Urban,163.0,81.0,1,5.999999051664226
165,135.833879722,269128.859868,189.38593619,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Graduate,Size_3,sex_female,Urbanity_Urban,165.0,81.0,1,2.391908044756498
167,144.778311787,295329.550437,211.50094319599998,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,167.0,81.0,1,3.606246977439355
168,152.199631931,302835.49312600004,216.833444234,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_College,Size_6,sex_male,Urbanity_Urban,168.0,81.0,1,3.3601558508924363
169,128.627802222,227400.148013,170.786885914,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,169.0,81.0,1,3.7265564712624766
171,116.085297606,144734.725669,106.972063571,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_56_65,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,171.0,31.0,1,14.852948220438073
172,108.070610715,162175.934079,121.034239021,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Elementary_School,Size_5,sex_female,Urbanity_Urban,172.0,31.0,1,22.149438705782188
174,114.717596203,183391.590485,136.31843850799999,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_female,Urbanity_Urban,174.0,61.0,1,29.221057584756167
175,114.617428492,179979.515588,130.634584886,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,175.0,31.0,1,53.721964622739236
176,105.67803009100001,140185.341596,102.068311941,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_46_55,Education_Elementary_School,Size_3,sex_male,Urbanity_Urban,176.0,31.0,1,55.013865240704234
177,115.75026926299999,199797.853707,130.53230312899998,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Rural,177.0,51.0,1,21.541346457449805
178,117.144596134,184832.874939,137.029920544,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,178.0,81.0,1,4.3680969956366695
179,125.318583851,210887.253183,157.419826188,AC_yes,Lighting_yes,Refrigeration_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_female,Urbanity_Urban,179.0,81.0,1,14.140809647514232
