,index,c_w_age,w_dutyp,c_w_dutyp,w_urban,c_w_urban,w_sex,c_w_sex,w_ban,w_connectio,e_sqm,c_e_sqm,c_e_income,e_hhsize,c_e_hhsize,c_e_sex,c_e_urban,c_e_dutyp,e_edu,w_age,w_Intercept,c_w_ban,c_w_connectio,Water,e_cdd,e_income,e_Intercept,c_e_edu,Electricity,w
10,10,0.4502155006304955,1,-27.730502610467124,1,123.5339226203487,0,-3.436428106637813,0,2,61.327680172119024,15.028061106050632,0.045301422168872126,4.058341470582236,999.6423721933344,20.351049728437133,-3155.2087094877625,2199.2870780122075,2,48.931720253026754,367.537176956256,1.0,151.172192043,286.73276401530137,6394.0,740.8724792799068,3329.17321052453,-625.98194077,3030.5789905294077,403.4970187777844
11,11,0.27399469985635194,0,2.297181949983732,1,126.11032983554968,0,7.363662234876598,0,2,104.05821391473252,16.34864927410753,0.04678159253227969,4.825635664721351,918.3878923366026,-236.13944015848443,-3806.998839371881,2156.2576765352387,0,35.64598860345049,367.537176956256,1.0,151.172192043,293.30084949004373,6394.0,724.9846874528412,3329.17321052453,1.0,2923.1028530729213,403.4970187777844
12,12,0.268271086487346,0,-10.169672889688467,1,127.41210274899977,1,4.573142852196969,0,2,122.18757129796192,16.30307985905858,0.0424136577157264,5.141274288992457,960.9632637724544,-242.23309450350337,-3728.046597331785,2127.914909060113,2,30.931087006343642,367.537176956256,1.0,151.172192043,294.90466641912195,6394.0,736.2094237707089,3329.17321052453,-625.98194077,2773.515605068225,403.4970187777844
13,13,0.3254647922983897,1,5.636289945814358,1,127.03742939184895,1,3.6921366536615734,0,2,91.77613493220905,15.590604721093042,0.04325062260484912,3.0321540179310573,969.446589899969,-240.59852364252475,-3611.608250433889,2218.7483314819,2,38.163420465893786,367.537176956256,1.0,151.172192043,298.0000057656989,6394.0,724.6116462113063,3329.17321052453,-625.98194077,2719.0077504817473,403.4970187777844
14,14,0.4983681504375111,1,-29.42674920080172,1,125.64220571616201,1,-5.383517243902049,0,2,97.48636620179235,15.895110054551996,0.03734736349875725,3.8504860017660536,1062.455642551575,-43.642153860550906,-3378.6162908695733,2113.795130922956,2,52.219920776214856,367.537176956256,1.0,151.172192043,286.3772925631104,6394.0,745.7639815446094,3329.17321052453,-625.98194077,3104.060868426146,403.4970187777844
15,15,0.3412857151988708,0,-1.1856064229548533,1,129.91899553231062,1,-2.65135344739786,0,0,51.78684191270439,16.198584832017826,0.045107560596160584,5.032002547757712,963.7906045845704,-71.17567402736573,-3493.941513321229,1947.7025853233374,0,52.05645724520689,367.537176956256,1.0,1.0,186.57880188540142,6394.0,730.3496804533321,3329.17321052453,1.0,2873.8882628932383,403.4970187777844
16,16,0.3847791225438737,0,-21.755275897527266,1,120.93622275377052,1,-1.2822314743072316,3,0,127.55002264006524,16.38478361416538,0.04225843847723335,3.6247121048815067,1031.5941758425772,-275.4034158767962,-3247.5479446920235,2103.3435360375206,0,32.72972396955953,367.537176956256,145.15303581,1.0,340.43424641289096,6394.0,744.0272245692348,3329.17321052453,1.0,2917.7003197595927,403.4970187777844
17,17,0.31486145687273626,1,0.8683348881913702,1,130.65937851145642,1,3.1044655704486828,5,1,70.02119235280597,16.542930403871487,0.04616112130698508,2.5199173449862737,929.1804905467419,-209.65547902974288,-3286.1272712695286,1980.914141800135,2,47.42909376921121,367.537176956256,-124.911760486,27.358894639899997,-29.155758205244897,6394.0,726.1556166781818,3329.17321052453,-625.98194077,2537.6253000056963,403.4970187777844
18,18,0.4252546732682247,1,-21.084156862004672,1,131.145919294184,1,-0.9454041991268812,0,2,149.04132872911626,15.833450916860393,0.04209785473505531,3.761875763292622,1003.987476596322,-168.06177730629102,-3725.849914933206,2130.262122162816,2,41.52342256566303,367.537176956256,1.0,151.172192043,289.98739412478415,6394.0,740.3168129185955,3329.17321052453,-625.98194077,3114.781347990121,403.4970187777844
19,19,0.3716123243139893,1,-5.867085305666852,1,120.8574583621176,1,-1.894543315816656,0,2,82.07788649110499,16.262123137837825,0.04492233331356908,4.103130357177385,955.3298728905544,-298.3480649895497,-3440.917509295269,1779.2403918629645,2,24.56478456076343,367.537176956256,1.0,151.172192043,288.331174494441,6394.0,736.737900520336,3329.17321052453,-625.98194077,2854.344600240355,403.4970187777844
20,20,0.3577004380780381,0,1.1401367269687557,1,122.4677892088725,1,-0.07411078786925085,0,2,148.11268565344568,15.64791203210161,0.04381614327947676,5.3183505050686986,955.3445558016956,-189.21621431531884,-3471.2734077753084,1829.6732986150726,2,70.8757763059594,367.537176956256,1.0,151.172192043,297.62117361590214,6394.0,729.7135443751055,3329.17321052453,-625.98194077,2961.3492450898634,403.4970187777844
21,21,0.3123702639863315,0,-5.756843887105898,1,120.51217024150705,0,3.0184029712360267,0,2,137.74956491486176,15.724814238846823,0.045217643142888786,4.954297070027129,951.6361213895126,-145.02149304435392,-3345.062905714513,1879.7992294295807,2,51.80716381661231,367.537176956256,1.0,151.172192043,293.59862294896783,6394.0,734.4523655381547,3329.17321052453,-625.98194077,2912.7062682123383,403.4970187777844
22,22,0.3943482617121646,1,-26.708139185766807,1,130.64531346373826,0,-3.241422417151204,2,2,92.14169177103331,16.219861393183827,0.04588442504028628,0.7381317452223222,965.9557363315934,-370.21550697231766,-3541.327510335272,1842.7272560193521,0,34.8480268676234,367.537176956256,105.833817796,151.172192043,363.7250269926346,6394.0,736.3083556259807,3329.17321052453,1.0,2483.4871659440187,403.4970187777844
23,23,0.35376796358763596,1,6.891493344400103,1,119.07036556630251,1,5.2673840908048986,1,2,97.05307098790972,15.27117376437032,0.04354088147441496,4.7846945370166365,969.6261034917948,-101.61376946346627,-3474.3538846680603,2113.4257943820685,2,60.056059449734725,367.537176956256,67.5373352024,151.172192043,323.9266043808155,6394.0,730.3109903556121,3329.17321052453,-625.98194077,3184.0915503385468,403.4970187777844
24,24,0.4385944316655652,1,-22.25122506905071,1,122.06688656394844,1,1.3082585785748728,0,2,47.4347000659819,14.660483780220545,0.0403411235801674,1.4889404250354965,922.1135676485402,-166.97532169437315,-3458.9793779771367,1851.872431951022,2,41.02079811336928,367.537176956256,1.0,151.172192043,287.199483080672,6394.0,734.9115604505009,3329.17321052453,-625.98194077,2127.69475727276,403.4970187777844
25,25,0.4834607344090421,1,16.02675082877436,1,127.79868107215059,1,-0.2433785725938691,0,1,160.05618576926452,16.617601911758243,0.03989496740805757,4.2483361313290695,961.6386866808424,-189.86057236745626,-3559.126772763574,2171.594938004234,2,55.336859631300705,367.537176956256,1.0,27.358894639899997,205.747485971249,6394.0,746.537066213514,3329.17321052453,-625.98194077,3306.6874421888037,403.4970187777844
26,26,0.5792795060471939,0,-6.646088762087139,1,123.47587518883364,1,2.4214499616740333,0,2,114.26293313772881,16.642613101082095,0.03614874146627448,3.1131771911374346,944.3509509983743,46.26295593187139,-3612.108922519186,2050.573836916999,2,77.50896028009988,367.537176956256,1.0,151.172192043,306.01176333675295,6394.0,739.0795801928633,3329.17321052453,-625.98194077,2364.40611485233,403.4970187777844
27,27,0.3429205892990692,1,-10.085685722402992,1,129.98654347276778,0,1.285825163757508,0,2,112.15854123040073,16.276036622251393,0.043080128137699895,4.704533266689691,956.5226304459096,-166.3254890420867,-3673.5377341399017,2097.8070569938814,2,58.98395762712627,367.537176956256,1.0,151.172192043,294.8480669155975,6394.0,713.407405524245,3329.17321052453,-625.98194077,3205.805130205768,403.4970187777844
28,28,0.4223301687734059,1,-11.288963158177731,1,122.8883008854458,1,0.145362180667711,0,2,111.3889181651596,15.415636920241369,0.04433415565720805,3.97586829091612,997.064191345656,-256.7099243878968,-3580.452657772661,1757.1450251068356,2,35.31129338855981,367.537176956256,1.0,151.172192043,289.9449279966923,6394.0,753.8639474094612,3329.17321052453,-625.98194077,2928.626724731333,403.4970187777844
29,29,0.35226677021359915,1,13.40411989836135,1,132.57283779141122,1,-0.8825564891513997,0,2,69.95539259312113,16.285296803359493,0.0403040634018566,2.177035291165581,980.3922476339434,-308.0565981125877,-3531.2577031913206,1930.0330714136464,2,47.03148939087694,367.537176956256,1.0,151.172192043,302.68669936964216,6394.0,737.3463115962927,3329.17321052453,-625.98194077,2386.564024733385,403.4970187777844
30,30,0.3762421092606973,1,-19.869212130939992,1,121.87338513050449,1,4.843585198758276,0,2,130.50879150425786,15.360981455827774,0.049030656426162736,1.7520862954944176,955.6611866013676,-203.0476753400549,-3573.3852715547546,2028.152279451967,2,55.367086081807976,367.537176956256,1.0,151.172192043,290.31674648004014,6394.0,725.9841354265236,3329.17321052453,-625.98194077,2525.0440723022252,403.4970187777844
31,31,0.4179725305032605,0,2.8829112779962887,1,124.79059424751793,0,-1.6239463061081771,0,2,66.71067529666355,16.0625663410958,0.043726128901480636,3.9548711628125535,1005.3494681800688,-249.32530861580716,-3712.316738575088,2065.3395917876364,0,35.237294299449346,367.537176956256,1.0,151.172192043,294.62643981397326,6394.0,733.9427198489218,3329.17321052453,1.0,2682.9799998056224,403.4970187777844
32,32,0.3795161521393512,0,-0.09272127915609828,1,125.14730735446881,0,-2.78974087700758,2,2,46.74482206899985,15.849841186783935,0.042073759778387766,3.560004766281768,1000.0865812852933,-285.1241747771025,-3755.432659211269,2061.717791716604,0,31.03825176337966,367.537176956256,105.833817796,151.172192043,370.7311895621669,6394.0,733.6648712574513,3329.17321052453,1.0,2491.696236544029,403.4970187777844
33,33,0.4073537687000417,1,-13.185946601548649,1,123.89287805061328,0,1.4116343338425634,0,2,139.89600574506431,16.163674206084398,0.04155845403605942,4.4132548981939745,963.4220896351312,-27.11142338803285,-3425.632794357987,1891.763503917576,0,35.153859538106644,367.537176956256,1.0,151.172192043,289.3513306948488,6394.0,737.4999021447978,3329.17321052453,1.0,3564.159079115475,403.4970187777844
34,34,0.4737320812659962,1,15.002609689908075,1,117.72200096067972,0,2.503961228701884,0,2,89.59378143183608,15.20453075443918,0.039405945492121286,4.503099390089792,976.0495775918978,41.59219528355521,-3711.853738784394,2022.0700034104373,2,37.24744974408336,367.537176956256,1.0,151.172192043,298.5763058918181,6394.0,735.573852421505,3329.17321052453,-625.98194077,3040.380175580713,403.4970187777844
35,35,0.35291095775208703,1,2.0598163357528474,1,124.29275859876715,0,-0.7206015482596434,0,2,80.94345951337097,15.98867783807901,0.04553458964539089,2.926408270287194,999.5071425787256,-149.84503886746418,-3554.9074614444444,1933.2775018286175,0,61.32864390658966,367.537176956256,1.0,151.172192043,297.71222993814234,6394.0,738.5785634699823,3329.17321052453,1.0,2988.7135255125872,403.4970187777844
36,36,0.43903665753806603,1,-8.197839300428562,1,118.24305899585433,0,-3.449311507799801,0,2,98.92116207961249,16.448922427316425,0.04474608440059952,3.5785273162817712,974.8548229094807,-261.33700804169706,-3509.9003695023107,1967.9783988552772,2,59.158888518150064,367.537176956256,1.0,151.172192043,293.35217379606536,6394.0,729.3538168176628,3329.17321052453,-625.98194077,2921.7740784372904,403.4970187777844
37,37,0.5466639436170493,0,-21.664287820051783,1,131.63222569613984,0,-0.3615608046408969,1,2,89.59751227913941,15.837506900574413,0.044527032810047926,5.2079882451476704,956.7953030596697,-212.64172571816326,-3795.486955692773,2073.807981391396,0,50.2187338867014,367.537176956256,67.5373352024,151.172192043,326.33262598418963,6394.0,730.5313248969251,3329.17321052453,1.0,2990.6187555995393,403.4970187777844
38,38,0.4866119267931239,1,-7.968168384257763,1,128.5429021631052,0,-2.3181758235559444,5,2,135.440540708902,16.120561830784812,0.04392369630156135,5.414558814701956,1000.2086032675653,-176.40286940637677,-3744.2634038792216,2100.9479411242405,2,54.67112502526994,367.537176956256,-124.911760486,151.172192043,70.07152393219357,6394.0,732.886122216531,3329.17321052453,-625.98194077,3497.907069242196,403.4970187777844
39,39,0.390939526901722,1,-1.8771373748503917,1,126.24566598774528,0,-2.3308053337706656,0,2,98.52701140952318,15.273624199081135,0.04992942780153367,1.4752903382220344,1030.4451769281093,-105.50442938850568,-3502.1531832369888,2008.5492284445104,2,26.782719483217374,367.537176956256,1.0,151.172192043,292.92294248454937,6394.0,734.1468704377581,3329.17321052453,-625.98194077,2428.679814111325,403.4970187777844
40,40,0.3807080174263717,1,1.2067006691205666,1,124.64128426303229,0,-3.8385247089459833,0,2,83.88999981641864,15.39373545717855,0.038316190772805916,1.8217369784682065,998.7011830247812,-110.12913552296322,-3588.6611469383124,1821.023723152936,2,21.306800616225928,367.537176956256,1.0,151.172192043,292.60287306946543,6394.0,739.33898705349,3329.17321052453,-625.98194077,2381.0998312247,403.4970187777844
41,41,0.29848704213323485,0,-7.442146508295128,1,125.54378765835506,0,5.005067712459246,0,2,107.8829792036292,16.441662678792227,0.043722258519624906,2.885366471361042,1047.1923475786637,-417.83101957117066,-3433.0284218041334,2062.0314014539817,0,45.3050984288119,367.537176956256,1.0,151.172192043,294.46189359663487,6394.0,725.6177726848953,3329.17321052453,1.0,2689.4291220255927,403.4970187777844
42,42,0.22643338146303066,1,-13.100042185599454,1,121.87757539350436,0,1.099269154335654,0,1,62.465807785814036,15.410442129294186,0.038705363879624886,1.9272044041561496,1029.7062881529353,-303.8762785097124,-3548.6247037630096,1704.2279110920358,2,44.07610311586328,367.537176956256,1.0,27.358894639899997,186.97300619698024,6394.0,726.3093302878877,3329.17321052453,-625.98194077,2322.883331980095,403.4970187777844
43,43,0.3267219597309345,1,-9.489261772964221,1,120.28213860845877,0,-0.6274825177720871,0,2,101.53075806500144,15.519776126833055,0.04897942160406192,3.6135707994027717,948.5954556768168,-430.02263429763235,-3560.606951624859,1897.8998191198425,2,62.99283785465885,367.537176956256,1.0,151.172192043,291.66168709407424,6394.0,735.3326688684816,3329.17321052453,-625.98194077,2866.2435067719216,403.4970187777844
44,44,0.4537941445438515,1,-33.42820291299313,1,122.88017822697115,0,10.141986017287925,0,2,126.69098568746892,16.295456788502566,0.04699118285854653,1.3062737784048173,1021.2151053110176,-240.586984354877,-3440.15751116204,1924.23772187011,2,44.59210833277714,367.537176956256,1.0,151.172192043,283.7677088333333,6394.0,745.2107676528574,3329.17321052453,-625.98194077,2513.217679119552,403.4970187777844
45,46,0.256998012465209,1,-30.41017680279913,1,125.78113995561738,0,2.8110957663313734,1,2,67.0547776588619,16.56519129938022,0.04440618120716339,7.897520347718463,901.0518354541147,-323.49280333352,-3523.114472843245,2164.010875060389,0,63.52742133576174,367.537176956256,67.5373352024,151.172192043,309.0832596518153,6394.0,740.6636110977391,3329.17321052453,1.0,4021.573838081323,403.4970187777844
46,47,0.3900452494591663,1,-34.91901093067859,1,124.91999656001192,0,3.6204000576941433,1,2,141.42931689268224,16.246149877834746,0.047428553347280016,6.25511987812783,959.1918043654435,-272.1060463881265,-3484.6141858783476,2180.492928368708,2,57.78197738438442,367.537176956256,67.5373352024,151.172192043,309.389456694438,6394.0,741.2307846670861,3329.17321052453,-625.98194077,3749.6536753975397,403.4970187777844
47,48,0.3144294535282528,1,-17.837675286517392,1,131.63407876013414,0,-1.6856566180193695,1,0,139.61230485090186,15.708333009881038,0.046256234575477374,1.0969029620111517,955.0935325553447,-284.8265056785534,-3378.4908062161744,2003.9132475208212,2,35.95807361573185,367.537176956256,67.5373352024,1.0,203.90775304795446,6394.0,738.46546749399,3329.17321052453,-625.98194077,2509.039788981442,403.4970187777844
48,49,0.35475512682271293,1,-1.8311339683950612,1,119.19569258259492,0,0.3685609744030645,1,2,80.88418719178182,16.335378730177965,0.04482181481119691,3.219528358097895,1022.5477395057517,24.121795315815376,-3434.5184040241465,2291.450341347353,0,45.273335136628816,367.537176956256,67.5373352024,151.172192043,316.9924223745294,6394.0,736.170792174771,3329.17321052453,1.0,3199.707755762742,403.4970187777844
49,50,0.4322430399866136,1,-34.35702624688222,1,130.10568693613834,0,0.3328579754525807,1,2,88.05756308682864,15.727015898675461,0.04456649585897477,5.2716152140379835,994.375503695053,-191.03252022731147,-3478.9697856792595,1753.5832246051666,2,54.99522463516165,367.537176956256,67.5373352024,151.172192043,311.93072407634037,6394.0,721.9828961236357,3329.17321052453,-625.98194077,3242.8535162156304,403.4970187777844
50,51,0.4383252848792246,0,-15.545794074046766,1,130.8679103854318,0,-0.4216465769887627,0,2,58.962585087326566,15.716341083806538,0.04329918077857668,4.534201736226598,1017.1468424554024,-169.83186922142283,-3625.7721243920587,1948.668457387002,2,43.95439801962586,367.537176956256,1.0,151.172192043,298.4905140465036,6394.0,721.4589343608478,3329.17321052453,-625.98194077,2519.633060378213,403.4970187777844
51,52,0.3719854863653055,1,-32.9626936339974,1,123.85515310988949,0,2.589213047406025,0,2,128.99591489797533,15.81646132927789,0.0457568799477911,5.1320442639881625,963.8390377782408,-318.53006228200377,-3696.3443328763233,1971.9982606020599,2,47.19656226023292,367.537176956256,1.0,151.172192043,283.31680852969237,6394.0,748.0837730637115,3329.17321052453,-625.98194077,3330.661945000269,403.4970187777844
52,53,0.285876024977938,1,-21.849985673453787,1,122.1166291807393,0,0.7222353532099166,1,2,88.9560995486027,14.85823497765968,0.0459273080591765,4.881213962302866,1039.7535022663626,-1.7567813601871052,-3400.9751529807427,2012.031534633924,2,49.50984830118806,367.537176956256,67.5373352024,151.172192043,310.07442489157324,6394.0,735.5020343103702,3329.17321052453,-625.98194077,3269.0261078071,403.4970187777844
53,54,0.28128749180844725,1,-23.43692871077971,1,128.3976224544483,0,-2.6512232207766893,0,2,82.03039037731162,15.21621957581832,0.04368325460397364,5.919223148455332,962.0939500892397,-230.71599207316456,-3649.0253626636245,1851.03254150726,0,28.291017246707693,367.537176956256,1.0,151.172192043,284.9438079871112,6394.0,739.0451914330173,3329.17321052453,1.0,3604.6780376819397,403.4970187777844
54,55,0.48465657984656,1,-7.895515884381157,1,127.34546021491312,0,-2.69820187892394,0,2,114.78430458501494,15.270768235135927,0.04550048237084044,4.275189033582123,1008.0125560667317,-155.10294582307787,-3604.151664127715,2002.7537311388198,2,58.33361243499099,367.537176956256,1.0,151.172192043,297.6123423867099,6394.0,737.5198311475528,3329.17321052453,-625.98194077,3136.606428749384,403.4970187777844
55,56,0.44200184775552576,1,-3.6091044449885823,1,124.64401424524254,0,-1.4671283728811295,0,2,107.39663072891236,15.764003100510001,0.048432687550798964,3.755260952852478,1001.4054184123238,-218.75664601763,-3587.105297404832,1940.7555713789332,2,44.625739252838095,367.537176956256,1.0,151.172192043,295.07808136750566,6394.0,734.9261541986521,3329.17321052453,-625.98194077,2978.958133834907,403.4970187777844
56,57,0.3419598290069967,1,1.760061983512505,1,132.9423254657984,0,-1.9263270283171976,0,2,165.1455678762151,15.442527362688526,0.029928514656099126,3.449575319405893,928.9039168806456,-36.29857446817982,-3281.2957416491217,1902.7994338575643,0,36.1381521735053,367.537176956256,1.0,151.172192043,297.37154175548716,6394.0,750.6922841246374,3329.17321052453,1.0,3416.280121472183,403.4970187777844
57,58,0.468369246952485,1,-8.865827880976614,1,121.60271093397076,0,3.1742881173091613,1,2,149.50424047567068,15.903653922872286,0.046777624565152026,4.835516043981894,1057.1982931480413,-297.95941488974466,-3746.980028394974,2221.413516342457,0,53.54721851164479,367.537176956256,67.5373352024,151.172192043,318.59086183369635,6394.0,731.7059991052984,3329.17321052453,1.0,3803.313656257059,403.4970187777844
58,59,0.37579219429445415,1,-12.690753319738064,1,125.99785358602527,0,-6.533644264662937,2,2,88.12227211777159,15.725931223662224,0.04309364489156168,1.9234307802091808,963.5213114727968,-123.46661222303058,-3512.989967571637,2068.3783879811353,2,34.86004131719964,367.537176956256,105.833817796,151.172192043,366.9019963896525,6394.0,728.8574693944669,3329.17321052453,-625.98194077,2491.0330514583793,403.4970187777844
59,60,0.4602920111733751,0,-19.02608625744143,1,131.6608647256883,0,-2.7327127822135004,1,2,84.12986798526333,14.512864658949432,0.040551854457263135,0.9617409359660052,902.7042600563389,-275.1230355633574,-3573.5590150889925,2234.426329016329,1,26.08898094773295,367.537176956256,67.5373352024,151.172192043,320.72126436009967,6394.0,733.3300499963701,3329.17321052453,-705.469135987,1829.618304074388,403.4970187777844
60,61,0.4099704576785492,1,-2.1913058735792763,1,123.51584646145436,0,0.4213993095977608,1,2,118.76829215602099,14.96350789377813,0.04029259044508332,4.6315186249761675,997.0980847970387,-267.14016191429226,-3386.4265054535854,2134.7887101600386,2,33.38373400630641,367.537176956256,67.5373352024,151.172192043,317.56950951838553,6394.0,722.6130862754594,3329.17321052453,-625.98194077,3300.6980166492745,403.4970187777844
61,62,0.3430427670175243,1,-1.579770252871267,1,120.37068103762829,1,0.7673067591561802,1,2,48.929659029631175,16.639181619260338,0.04393440396345853,1.6781197256072666,1023.2321980669914,-328.2855305950463,-3559.5331405755296,1761.7074727299826,2,55.379188690772246,367.537176956256,67.5373352024,151.172192043,318.8598236170732,6394.0,723.7582471677962,3329.17321052453,-625.98194077,2155.0288047668287,403.4970187777844
62,63,0.41894980637152907,1,-0.8362642598699939,1,121.65966472177523,1,0.3488307105878181,1,2,61.49197331184266,16.109546895893185,0.0486549726477172,4.7865361812305345,1006.5614658140544,-234.47665782774257,-3638.684410011907,1811.9094762046786,2,62.40688605878702,367.537176956256,67.5373352024,151.172192043,322.0492193522516,6394.0,725.2678565558422,3329.17321052453,-625.98194077,2964.395435968828,403.4970187777844
63,64,0.3293878052532918,1,-8.185723614955917,1,120.91388123884451,1,-3.2711479678686857,3,2,115.58432437504078,16.654963343125207,0.041518393121080674,3.6383267014294827,978.4661381204677,-271.2001747639106,-3553.019630125756,1995.8778281246928,0,57.60991954815852,367.537176956256,145.15303581,151.172192043,449.10078918067217,6394.0,738.8957844664695,3329.17321052453,1.0,3244.231089756486,403.4970187777844
64,65,0.3186562830493937,1,-17.906705932064618,1,125.91802898555176,1,-5.741189162430649,0,2,126.87594439292856,16.328922429316112,0.04103186730104074,3.68233913663663,1011.8257551290552,-360.11697239098214,-3695.102634109081,1929.9957206132485,2,38.34900145980411,367.537176956256,1.0,151.172192043,285.5159090499997,6394.0,735.1092690210602,3329.17321052453,-625.98194077,2945.0385006282927,403.4970187777844
65,66,0.34817195106508986,1,-26.613694221110624,1,127.13620847743003,1,-1.5122348666601118,0,2,132.9768420117934,16.700704626150753,0.0422264471245003,3.0039466895553835,1001.8291659738582,-432.4795781335897,-3649.308325836391,1882.6895537990736,2,29.86656356229821,367.537176956256,1.0,151.172192043,283.6662844851731,6394.0,731.4207583814009,3329.17321052453,-625.98194077,2790.0820999781126,403.4970187777844
66,67,0.37668939414544944,1,0.06980991447515272,1,126.61293394771616,1,3.965181987981511,0,2,129.62515508649753,15.430647602042697,0.041005047957117007,3.412449397369142,992.6852587624735,-120.5965181981999,-3112.264002304359,2177.4741450835572,2,31.931571211101726,367.537176956256,1.0,151.172192043,295.7757498481778,6394.0,735.6711316217229,3329.17321052453,-625.98194077,3104.6782520708784,403.4970187777844
67,68,0.1865235179768811,1,-7.013318544320454,1,126.81270997148977,1,0.8893096798999439,2,2,108.6977772571832,15.979345004055851,0.04081930237135044,5.1472392744937965,979.3769852686056,-321.24397635737176,-3480.825823563901,1960.5610098593438,0,38.29370418683101,367.537176956256,105.833817796,151.172192043,367.42039375089263,6394.0,752.2995536089521,3329.17321052453,1.0,3553.8451481839343,403.4970187777844
68,69,0.4181545939358374,1,-6.77575540409055,1,120.30019238033435,1,0.11226553010495532,0,2,126.81754693930216,16.291765453447727,0.04520257291475605,4.690280004403096,1031.9468929532864,-368.3388724053822,-3438.1853170836303,1801.1681124286429,0,52.469535858585346,367.537176956256,1.0,151.172192043,293.1916252453164,6394.0,739.4728750544297,3329.17321052453,1.0,3545.8776495917186,403.4970187777844
