,index,w_dutyp,w_sex,w_ban,w_connectio,e_sqm,e_hhsize,e_edu,w_age,Water,Electricity,w,wf
26,26,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,114.26293313772881,hhsize_3,edu_master,age_75a79,840.6782384180513,9773.645788147729,403.4970187777844,0.0
27,27,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,112.15854123040073,hhsize_5,edu_master,age_55a59,810.0092323013063,13251.701394121486,403.4970187777844,0.0
28,28,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,111.3889181651596,hhsize_4,edu_master,age_35a39,796.5392854465895,12105.94071527131,403.4970187777844,0.0
29,29,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,69.95539259312113,hhsize_2,edu_master,age_45a49,831.5435931089364,9865.239005244726,403.4970187777844,0.0
30,30,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,130.50879150425786,hhsize_2,edu_master,age_55a59,797.5607484916168,10437.668134556221,403.4970187777844,0.0
31,31,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,66.71067529666355,hhsize_4,edu_primary,age_35a39,809.4003763562029,11090.521213790109,403.4970187777844,704.0053163722099
32,32,dutyp_Apartamento,sex_Homens,ban_3,connectio_Rede,46.74482206899985,hhsize_4,edu_primary,age_30a34,1018.4760218670951,10299.819593032591,403.4970187777844,1090.4732877890124
33,33,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,139.89600574506431,hhsize_4,edu_primary,age_35a39,794.9085496585202,14733.01399157525,403.4970187777844,451.39297253145145
34,34,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,89.59378143183608,hhsize_4,edu_master,age_35a39,820.2514835819591,12567.891239482857,403.4970187777844,0.0
35,35,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,80.94345951337097,hhsize_3,edu_primary,age_60a64,817.8776864354872,12354.318988229576,403.4970187777844,261.6676059034528
36,36,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,98.92116207961249,hhsize_4,edu_master,age_60a64,805.8997014163574,12077.614220440866,403.4970187777844,0.0
37,37,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,89.59751227913941,hhsize_5,edu_primary,age_50a54,896.5038930507553,12362.194557446643,403.4970187777844,0.0
38,38,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,135.440540708902,hhsize_5,edu_master,age_55a59,192.50111387959785,14459.150853941323,403.4970187777844,0.0
39,39,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,98.52701140952318,hhsize_1,edu_master,age_25a29,804.7205133390614,10039.331266672469,403.4970187777844,0.0
40,40,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,83.88999981641864,hhsize_2,edu_master,age_20a24,803.8412157947113,9842.65189910576,403.4970187777844,1145.290109020368
41,41,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,107.8829792036292,hhsize_3,edu_primary,age_45a49,808.9483335241823,11117.179678182722,403.4970187777844,784.4176718342073
42,42,dutyp_Casa,sex_Homens,ban_1,connectio_Poço,62.465807785814036,hhsize_2,edu_master,age_45a49,513.6539058742991,9602.004812690035,403.4970187777844,0.0
43,43,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,101.53075806500144,hhsize_4,edu_master,age_60a64,801.2555813106377,11848.069839523647,403.4970187777844,0.0
44,44,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,126.69098568746892,hhsize_1,edu_master,age_45a49,779.5691740105133,10388.781872085176,403.4970187777844,0.0
45,45,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,67.0547776588619,hhsize_7,edu_primary,age_60a64,849.116280417805,16623.810079574032,403.4970187777844,3207.508060058153
46,46,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,141.42931689268224,hhsize_6,edu_master,age_55a59,849.9574676571254,15499.785177070007,403.4970187777844,0.0
47,47,dutyp_Casa,sex_Homens,ban_2,connectio_Outra,139.61230485090186,hhsize_1,edu_master,age_35a39,560.177193069196,10371.511903912118,403.4970187777844,0.0
48,48,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,80.88418719178182,hhsize_3,edu_primary,age_45a49,870.8444026069377,13226.496934672035,403.4970187777844,710.1215308399276
49,49,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,88.05756308682864,hhsize_5,edu_master,age_55a59,856.9388600149609,13404.84674407148,403.4970187777844,0.0
50,50,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,58.962585087326566,hhsize_4,edu_master,age_40a44,820.0157954613352,10415.300862889759,403.4970187777844,0.0
51,51,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,128.99591489797533,hhsize_5,edu_master,age_45a49,778.3304566852911,13767.816740961569,403.4970187777844,0.0
52,52,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,88.9560995486027,hhsize_5,edu_master,age_50a54,851.8392183815457,13513.035281550732,403.4970187777844,0.0
53,53,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,82.03039037731162,hhsize_6,edu_primary,age_25a29,782.8001640679605,14900.505500857698,403.4970187777844,1853.1986815196672
54,54,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,114.78430458501494,hhsize_4,edu_master,age_55a59,817.6032744656253,12965.657641829499,403.4970187777844,0.0
55,55,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,107.39663072891236,hhsize_4,edu_master,age_45a49,810.6411300497208,12313.993537291442,403.4970187777844,0.0
56,56,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,165.1455678762151,hhsize_3,edu_primary,age_35a39,816.9417448294474,14121.732984286744,403.4970187777844,759.416958479164
57,57,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,149.50424047567068,hhsize_5,edu_primary,age_50a54,875.2356497083493,15721.597175704805,403.4970187777844,0.0
58,58,dutyp_Casa,sex_Homens,ban_3,connectio_Rede,88.12227211777159,hhsize_2,edu_master,age_35a39,1007.9564283203293,10297.078212827895,403.4970187777844,0.0
59,59,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,84.12986798526333,hhsize_1,edu_collage,age_25a29,881.0883104802401,7563.015980717621,403.4970187777844,5571.5224652327
60,60,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,118.76829215602099,hhsize_5,edu_master,age_30a34,872.4297815421155,13643.956114699253,403.4970187777844,0.0
61,61,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,48.929659029631175,hhsize_2,edu_master,age_55a59,875.9745439122372,8908.151636362107,403.4970187777844,0.0
62,62,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,61.49197331184266,hhsize_5,edu_master,age_60a64,884.736480247728,12253.796327612106,403.4970187777844,0.0
63,63,dutyp_Casa,sex_Mulheres,ban_4,connectio_Rede,115.58432437504078,hhsize_4,edu_primary,age_55a59,1233.7736830890624,13410.541161689029,403.4970187777844,625.3430810588378
64,64,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,126.87594439292856,hhsize_4,edu_master,age_35a39,784.3718451971495,12173.781380782939,403.4970187777844,0.0
65,65,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,132.9768420117934,hhsize_3,edu_master,age_30a34,779.2905401390102,11533.244645977657,403.4970187777844,0.0
66,66,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,129.62515508649753,hhsize_3,edu_master,age_30a34,812.5577711060512,12833.677485139455,403.4970187777844,0.0
67,67,dutyp_Casa,sex_Mulheres,ban_3,connectio_Rede,108.6977772571832,hhsize_5,edu_primary,age_35a39,1009.380574162619,14690.37973049164,403.4970187777844,228.44303266473315
68,68,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,126.81754693930216,hhsize_5,edu_primary,age_50a54,805.4586410095534,14657.444817758706,403.4970187777844,0.0
69,69,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,120.68828443192601,hhsize_4,edu_master,age_25a29,806.3123181332937,12166.576639417322,403.4970187777844,0.0
70,70,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,152.14974514175964,hhsize_3,edu_master,age_30a34,779.5421124185553,12260.684961563114,403.4970187777844,0.0
71,71,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,118.12624725636782,hhsize_3,edu_primary,age_50a54,831.2123404359561,13361.687193516596,403.4970187777844,331.48058371140263
72,72,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,147.01564961580146,hhsize_3,edu_master,age_25a29,791.8833055453229,9413.994254334311,403.4970187777844,0.0
73,73,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,138.86846267036702,hhsize_3,edu_master,age_30a34,806.3586933347177,11428.275362375623,403.4970187777844,0.0
74,74,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,163.80024251802232,hhsize_2,edu_master,age_80anosou,836.1636583735916,11712.57622959175,403.4970187777844,0.0
75,75,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,151.67520341046745,hhsize_2,edu_primary,age_20a24,509.7867089790081,12485.565597024588,403.4970187777844,4559.634079691422
76,76,dutyp_Casa,sex_Mulheres,ban_1,connectio_Outra,78.67886820545715,hhsize_6,edu_master,age_40a44,477.94190920950996,13507.156809488433,403.4970187777844,0.0
77,77,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,147.56792252023575,hhsize_3,edu_master,age_50a54,198.50780724420719,12460.425305575889,403.4970187777844,0.0
78,78,dutyp_Casa,sex_Mulheres,ban_3,connectio_Rede,127.69530406681645,hhsize_4,edu_primary,age_30a34,1027.5125882357356,13886.556451487217,403.4970187777844,947.3421466103033
79,79,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,167.3150942879407,hhsize_4,edu_collage,age_35a39,813.7157347834642,13589.512851893867,403.4970187777844,5933.133176331307
80,80,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,106.48685965324027,hhsize_4,edu_collage,age_55a59,516.880392680943,12795.653267941858,403.4970187777844,5630.904146084578
81,81,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,129.00895061724648,hhsize_4,edu_master,age_55a59,802.7504121933403,12867.714643461479,403.4970187777844,0.0
82,82,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,116.82805928306291,hhsize_1,edu_master,age_30a34,798.5830781957233,9853.34922495701,403.4970187777844,0.0
83,83,dutyp_Apartamento,sex_Mulheres,ban_1,connectio_Rede,117.30238746089212,hhsize_3,edu_master,age_65a69,815.8064985620509,9113.433673812215,403.4970187777844,0.0
84,84,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,121.97386433916859,hhsize_2,edu_master,age_50a54,790.0450978607595,10518.591571906796,403.4970187777844,0.0
85,85,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,147.91090566555945,hhsize_1,edu_master,age_20a24,796.7218924770128,8492.816899745363,403.4970187777844,0.0
86,86,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,78.3045474288418,hhsize_2,edu_master,age_45a49,796.1956987366808,10084.572704522814,403.4970187777844,0.0
87,87,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,99.7912662242038,hhsize_3,edu_primary,age_40a44,799.8619942310754,12651.475625977173,403.4970187777844,747.0965688405087
88,88,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,111.31362618269928,hhsize_3,edu_primary,age_45a49,820.8696889029235,13028.871926974143,403.4970187777844,794.1660356134286
89,89,dutyp_Apartamento,sex_Homens,ban_no,connectio_Rede,124.53110396963051,hhsize_4,edu_primary,age_45a49,190.27552850134444,11874.726967785342,403.4970187777844,797.9806718216101
90,90,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,187.8641835667713,hhsize_5,edu_master,age_40a44,785.6204387981148,14296.153075244292,403.4970187777844,0.0
91,91,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,187.20681797889745,hhsize_3,edu_master,age_30a34,786.4605631544741,12739.691060787727,403.4970187777844,0.0
92,92,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,54.50180250458499,hhsize_2,edu_primary,age_60a64,187.22196644398852,10543.7068529653,403.4970187777844,954.3329953583678
93,93,dutyp_Casa,sex_Homens,ban_3,connectio_Rede,168.136570418434,hhsize_5,edu_primary,age_20a24,1004.9783026636773,15576.337017005388,403.4970187777844,3700.1263319336363
94,94,dutyp_Casa,sex_Homens,ban_3,connectio_Rede,95.68295783220994,hhsize_2,edu_master,age_30a34,1019.6525062184379,10389.99508521017,403.4970187777844,0.0
95,95,dutyp_Casa,sex_Homens,ban_2,connectio_Poço,143.51660914184419,hhsize_4,edu_primary,age_60a64,581.5461522525299,14762.638475315369,403.4970187777844,0.0
96,96,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,40.99504136808466,hhsize_4,edu_primary,age_40a44,878.0899425594487,12312.305450518403,403.4970187777844,366.7525528642042
97,97,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,22.586722986667837,hhsize_3,edu_master,age_45a49,869.7257354880742,10485.931978489305,403.4970187777844,0.0
98,98,dutyp_Casa,sex_Homens,ban_2,connectio_Poço,25.200715980826057,hhsize_4,edu_master,age_55a59,589.8803330722851,11249.344090113756,403.4970187777844,0.0
99,99,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,80.74459417089133,hhsize_4,edu_master,age_50a54,811.8854809086617,12458.948249667845,403.4970187777844,0.0
100,100,dutyp_Casa,sex_Homens,ban_1,connectio_Outra,39.90041643407663,hhsize_1,edu_master,age_25a29,491.5152394496725,8385.99061154311,403.4970187777844,0.0
101,101,dutyp_Apartamento,sex_Homens,ban_4,connectio_Poço,64.31997125558591,hhsize_3,edu_master,age_25a29,960.8054437206276,8586.331905771598,403.4970187777844,0.0
102,102,dutyp_Casa,sex_Homens,ban_no,connectio_Outra,61.580093476041796,hhsize_3,edu_master,age_25a29,-117.1613477365732,10481.516088022054,403.4970187777844,0.0
103,103,dutyp_Casa,sex_Homens,ban_1,connectio_Poço,110.35783346020192,hhsize_4,edu_primary,age_30a34,534.3750458483263,13747.250124691203,403.4970187777844,927.8769084653618
104,104,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,154.68706994355372,hhsize_3,edu_master,age_55a59,804.3546354476341,12605.916115664151,403.4970187777844,0.0
105,105,dutyp_Casa,sex_Homens,ban_2,connectio_Poço,95.01897338388716,hhsize_7,edu_master,age_65a69,616.8778268940519,14705.73306413589,403.4970187777844,0.0
106,106,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,71.83150977417819,hhsize_2,edu_master,age_45a49,904.6541879371064,10006.292133541,403.4970187777844,0.0
107,107,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,143.30235321721517,hhsize_3,edu_master,age_50a54,870.9821388967098,12477.74142143115,403.4970187777844,0.0
108,108,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,70.36283868584712,hhsize_3,edu_master,age_55a59,808.7478629151218,10855.68831680458,403.4970187777844,0.0
109,109,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,97.96282936901586,hhsize_4,edu_master,age_35a39,194.44311183480403,12305.51061747022,403.4970187777844,0.0
110,110,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,103.51944562769316,hhsize_1,edu_primary,age_35a39,173.3989925978392,11061.775506735163,403.4970187777844,42.21761320932202
111,111,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,36.048623258489904,hhsize_4,edu_primary,age_70a74,881.9734739365117,11164.66213870115,403.4970187777844,845.7662289027373
112,112,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,69.94177168577613,hhsize_5,edu_master,age_80anosou,886.703368961935,10896.0322173967,403.4970187777844,0.0
113,113,dutyp_Apartamento,sex_Homens,ban_3,connectio_Rede,130.9981900162851,hhsize_4,edu_master,age_20a24,1019.047209831687,10780.589073821664,403.4970187777844,37.3020208758151
114,114,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,101.43846751744871,hhsize_3,edu_master,age_40a44,881.2704571403312,10069.835594285823,403.4970187777844,0.0
115,115,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,120.78130198331101,hhsize_3,edu_primary,age_55a59,852.5416133108197,13263.47931709248,403.4970187777844,533.8757180558897
116,116,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,123.12169545395493,hhsize_4,edu_master,age_50a54,789.0795718023646,13182.551898505695,403.4970187777844,0.0
117,117,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,124.78432334238757,hhsize_7,edu_master,age_45a49,854.2493272464737,16987.392438080155,403.4970187777844,0.0
118,118,dutyp_Apartamento,sex_Homens,ban_no,connectio_Rede,95.37915832513552,hhsize_1,edu_master,age_50a54,192.1308447104631,7279.515569400691,403.4970187777844,0.0
119,119,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,195.81246543411976,hhsize_5,edu_master,age_25a29,807.4835924742295,13125.691038902707,403.4970187777844,0.0
120,120,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,169.6621313335184,hhsize_4,edu_master,age_30a34,835.2928798551277,13175.664401814642,403.4970187777844,0.0
121,121,dutyp_Apartamento,sex_Mulheres,ban_no,connectio_Rede,165.19235642757468,hhsize_4,edu_master,age_40a44,185.06042899043823,11651.00620980928,403.4970187777844,0.0
122,122,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,117.47742867821188,hhsize_5,edu_master,age_30a34,167.45625539029717,13376.998189443799,403.4970187777844,0.0
123,123,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,178.64609650834348,hhsize_6,edu_primary,age_40a44,810.3395262232393,16921.06629907188,403.4970187777844,521.1630565166168
124,124,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,70.21861997346183,hhsize_3,edu_master,age_25a29,774.0171825037386,10582.118183540484,403.4970187777844,0.0
125,125,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,106.05537054789718,hhsize_4,edu_master,age_35a39,813.9269278695142,12098.135080356966,403.4970187777844,0.0
126,126,dutyp_Apartamento,sex_Homens,ban_3,connectio_Rede,149.80769493188185,hhsize_5,edu_master,age_50a54,1018.215614743518,13148.710929633564,403.4970187777844,0.0
127,127,dutyp_Casa,sex_Homens,ban_no,connectio_Rede,48.69321598040476,hhsize_3,edu_master,age_45a49,197.65184140444188,10663.796867329207,403.4970187777844,0.0
128,128,dutyp_Apartamento,sex_Homens,ban_4,connectio_Rede,106.7651421647524,hhsize_4,edu_primary,age_45a49,1250.84466850148,11123.02066287518,403.4970187777844,523.3597383265422
129,129,dutyp_Apartamento,sex_Homens,ban_3,connectio_Rede,128.26459572572284,hhsize_1,edu_primary,age_40a44,1026.8472693123458,9096.09364111056,403.4970187777844,0.0
130,130,dutyp_Apartamento,sex_Homens,ban_no,connectio_Rede,102.72297529681477,hhsize_5,edu_primary,age_50a54,191.9718410906313,12131.329135989617,403.4970187777844,216.3960560862497
131,131,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,113.46707374833231,hhsize_2,edu_master,age_80anosou,812.3904253842725,9183.156399972751,403.4970187777844,0.0
132,132,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,82.23583109416094,hhsize_4,edu_master,age_65a69,834.9063054236133,11995.600213901887,403.4970187777844,0.0
133,133,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,90.99329848844248,hhsize_5,edu_master,age_55a59,809.7223251589019,13482.320887357144,403.4970187777844,0.0
134,134,dutyp_Apartamento,sex_Homens,ban_1,connectio_Rede,100.04157417248548,hhsize_5,edu_primary,age_45a49,811.1010779563147,13282.725936945784,403.4970187777844,323.05842172361423
135,135,dutyp_Casa,sex_Homens,ban_2,connectio_Rede,109.53559568453586,hhsize_2,edu_master,age_50a54,895.0859388646379,10390.032233153188,403.4970187777844,0.0
136,136,dutyp_Apartamento,sex_Homens,ban_2,connectio_Rede,118.5246981241142,hhsize_4,edu_master,age_45a49,876.2330649696181,10484.335127593211,403.4970187777844,0.0
137,137,dutyp_Casa,sex_Mulheres,ban_3,connectio_Rede,75.57313915462308,hhsize_3,edu_primary,age_55a59,1027.3800185401342,12195.084937623424,403.4970187777844,649.9751220652797
138,138,dutyp_Casa,sex_Mulheres,ban_3,connectio_Rede,64.79360798802132,hhsize_4,edu_master,age_50a54,1035.783128845495,10787.039659590764,403.4970187777844,0.0
139,139,dutyp_Casa,sex_Mulheres,ban_2,connectio_Poço,96.98317302891537,hhsize_4,edu_primary,age_55a59,612.1550043676108,12726.249760721003,403.4970187777844,21.972666165138794
140,140,dutyp_Apartamento,sex_Mulheres,ban_2,connectio_Rede,115.32243422312072,hhsize_4,edu_primary,age_45a49,888.7887482957309,11926.695122853242,403.4970187777844,293.63601689379584
141,141,dutyp_Apartamento,sex_Mulheres,ban_3,connectio_Rede,106.42134052971248,hhsize_5,edu_primary,age_45a49,1025.9537685359908,12304.492017493072,403.4970187777844,46.63031047515122
142,142,dutyp_Casa,sex_Mulheres,ban_3,connectio_Rede,153.59485507063457,hhsize_5,edu_primary,age_70a74,1041.0281516716473,14832.430323573999,403.4970187777844,284.5070499652488
143,143,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,115.40718148820605,hhsize_3,edu_primary,age_25a29,536.1215901197068,12279.46352572,403.4970187777844,1458.5876493165479
144,144,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,134.90634631738766,hhsize_2,edu_master,age_35a39,516.6120898055577,10399.85974651352,403.4970187777844,0.0
145,145,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,141.48591025761837,hhsize_4,edu_master,age_35a39,162.541827244167,12783.234093642694,403.4970187777844,0.0
146,146,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,83.17368671327301,hhsize_3,edu_master,age_60a64,197.08990173498856,10569.643116747759,403.4970187777844,0.0
147,147,dutyp_Casa,sex_Mulheres,ban_1,connectio_Poço,114.99328782316488,hhsize_5,edu_master,age_55a59,537.6598234848799,13096.54802887361,403.4970187777844,0.0
148,148,dutyp_Casa,sex_Homens,ban_1,connectio_Rede,163.91764790798587,hhsize_5,edu_master,age_70a74,816.7576362416307,14190.549027827485,403.4970187777844,0.0
149,149,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,90.1291910369424,hhsize_1,edu_master,age_20a24,792.6907231120745,9645.906507788979,403.4970187777844,0.0
150,150,dutyp_Casa,sex_Mulheres,ban_2,connectio_Rede,116.02058091353636,hhsize_3,edu_master,age_55a59,842.0928095739293,11293.1756072651,403.4970187777844,0.0
151,151,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,148.22280239969558,hhsize_3,edu_primary,age_45a49,810.583924194205,13468.473359339592,403.4970187777844,794.0309866578725
152,152,dutyp_Casa,sex_Mulheres,ban_no,connectio_Rede,104.78376753132628,hhsize_2,edu_primary,age_30a34,168.19905432570826,11736.17369622211,403.4970187777844,2420.8425093355227
153,153,dutyp_Casa,sex_Mulheres,ban_1,connectio_Rede,57.89353646536787,hhsize_1,edu_primary,age_35a39,787.9631065647612,9243.705610996974,403.4970187777844,0.0
