DOEID,TYPEHUQ,NWEIGHT,HDD65,CDD65,HDD30YR,CDD30YR,Climate_Region_Pub,UR,KOWNRENT,YEARMADE,NUMFLRS,NUMAPTS,WALLTYPE,ROOFTYPE,STORIES,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,AIRCOND,COOLTYPE,USEEL,ELWARM,ELECAUX,ELCOOL,ELWATER,ELFOOD,ELOTHER,HHSEX,EMPLOYHH,EDUCATION,NHSLDMEM,HHAGE,MONEYPY,TOTSQFT_EN,KWH,DOLLAREL,CUFEETNG,DOLLARNG,GALLONLP,DOLLARLP,GALLONFO,DOLLARFO,GALLONKER,BTUKER,DOLLARKER,BTUWOOD,TOTALBTU,TOTALDOL,TOTSQMT_EN
14,Apartment,7118.12,2395.0,2139.0,2180.0,2252.0,4,U,Rented,1980,2,8,3,-2,-2,2,2,0,2,4,1,1,1,1,0,1,1,1,1,Female,1,collage,1,62,12517.764328942685,809.0,6335.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21615.0,718.0,75.237
15,Apartment,14249.9,5789.0,1122.0,4876.0,1328.0,1,U,Rented,1985,3,90,1,-2,-2,-2,1,0,1,1,1,1,1,0,0,1,0,1,1,Male,0,collage,1,85,21906.087575649697,411.0,4031.0,342.0,383.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53012.0,684.0,38.223
16,House,37518.83,4801.0,946.0,5222.0,895.0,4,U,Owned,1993,-2,-2,3,5,20,4,2,1,5,9,1,1,1,0,0,1,1,1,1,Male,1,master,2,57,75106.58597365611,4340.0,13020.0,1327.0,563.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102132.0,2112.0,403.62
17,House,15622.34,3423.0,1604.0,3400.0,1641.0,4,R,Owned,1963,-2,-2,3,5,10,3,1,0,3,6,1,2,1,0,0,1,0,0,1,Male,0,primary,1,46,1251.7764328942685,1482.0,2079.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7094.0,271.0,137.826
18,Apartment,7553.73,4860.0,845.0,4764.0,1130.0,4,U,Rented,1940,-2,-2,6,8,-2,1,1,0,2,3,0,-2,1,0,0,0,0,0,1,Male,1,master,2,48,43812.175151299394,592.0,2477.0,425.0,701.0,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80305.0,1474.0,55.056
20,House,4132.53,8059.0,471.0,7783.0,651.0,1,U,Owned,1988,-2,-2,3,6,20,3,3,1,9,12,1,1,1,0,0,1,0,1,1,Female,0,collage,2,60,56329.93948024208,3213.0,12497.0,1429.0,793.0,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123923.0,2194.0,298.809
21,House,7169.31,1135.0,1578.0,1299.0,1390.0,2,U,Owned,1958,-2,-2,4,5,10,4,3,0,2,6,1,1,1,0,0,1,0,0,1,Female,0,master,4,57,59459.38056247775,2768.0,12200.0,2234.0,799.0,851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123524.0,3085.0,257.424
22,House,17230.62,6225.0,673.0,6115.0,828.0,1,U,Rented,1972,-2,-2,3,5,10,3,2,0,3,6,1,2,1,1,1,1,0,0,1,Female,0,collage,2,47,50071.05731577074,1584.0,9187.0,1090.0,670.0,782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100021.0,1872.0,147.312
23,House,10487.26,5534.0,607.0,5461.0,777.0,4,U,Rented,1950,-2,-2,5,5,20,2,1,0,2,4,0,-2,1,0,0,0,0,0,1,Male,1,collage,1,35,75106.58597365611,3042.0,13984.0,2872.0,0.0,0.0,0.0,0.0,700.0,1924.0,0.0,0.0,0.0,0.0,144796.0,4796.0,282.906
24,House,7495.46,454.0,3748.0,454.0,3477.0,3,R,Owned,2000,-2,-2,4,1,10,4,2,1,4,8,1,1,1,1,0,1,0,0,1,Female,0,master,1,80,6258.882164471343,3184.0,4413.0,551.0,239.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39555.0,1074.0,296.112
25,House,1137.56,8510.0,238.0,8057.0,442.0,1,U,Owned,1975,-2,-2,3,6,20,5,2,0,4,9,1,1,1,0,0,1,1,1,1,Male,0,collage,2,67,18776.646493414028,4055.0,19041.0,2385.0,1221.0,1259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,190121.0,3644.0,377.115
26,Apartment,4812.84,6486.0,550.0,6782.0,573.0,1,U,Rented,1920,-2,-2,3,6,-2,3,1,0,2,5,0,-2,1,1,1,0,0,0,1,Female,1,collage,3,27,12517.764328942685,995.0,3125.0,549.0,1388.0,2060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152933.0,2609.0,92.535
27,Apartment,8884.94,8166.0,305.0,8226.0,364.0,1,R,Owned,1991,3,5,1,-2,-2,2,1,1,3,5,1,2,1,1,1,1,1,1,1,Male,0,collage,2,70,40682.73406906373,2781.0,11688.0,1435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39879.0,1435.0,258.633
28,House,8324.53,871.0,1364.0,1070.0,1260.0,2,U,Rented,1928,-2,-2,2,5,10,2,1,1,2,4,0,-2,1,0,0,0,0,0,1,Female,0,collage,1,60,1251.7764328942685,1090.0,2170.0,50.0,318.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39999.0,322.0,101.37
30,House,8101.63,1924.0,2935.0,2126.0,2596.0,3,U,Owned,2000,-2,-2,1,5,10,3,2,0,4,7,0,-2,1,1,0,0,1,1,1,Male,1,collage,3,26,37553.292986828055,2010.0,13137.0,1627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,44823.0,1627.0,186.93
31,House,3912.87,6510.0,424.0,6661.0,482.0,1,U,Owned,1978,-2,-2,3,5,10,3,1,1,4,7,1,1,1,0,0,1,0,1,1,Female,1,collage,2,59,62588.821644713425,1638.0,11009.0,1331.0,0.0,0.0,0.0,0.0,502.0,1233.0,0.0,0.0,0.0,0.0,107185.0,2564.0,152.334
32,House,4993.18,1215.0,792.0,1284.0,714.0,2,U,Rented,1970,-2,-2,4,2,10,2,1,0,2,4,0,-2,1,0,0,0,1,1,1,Female,2,collage,3,45,6258.882164471343,840.0,6925.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23628.0,1030.0,78.12
33,House,2711.43,5205.0,941.0,5290.0,1234.0,4,R,Owned,1976,-2,-2,4,5,10,3,1,1,4,7,1,1,1,1,1,1,1,1,1,Female,1,collage,2,56,21906.087575649697,1400.0,32493.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,110866.0,2022.0,130.2
34,House,6449.75,5563.0,655.0,5303.0,799.0,1,U,Owned,1980,-2,-2,2,5,20,2,1,1,3,5,1,1,1,0,0,1,1,1,1,Male,2,collage,1,65,18776.646493414028,2013.0,3222.0,768.0,414.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53428.0,1534.0,187.209
35,House,5634.24,1836.0,2966.0,1911.0,2613.0,3,U,Owned,1980,-2,-2,6,5,10,3,2,0,4,7,1,1,1,1,1,1,1,1,1,Female,0,doctorate,2,58,21906.087575649697,1598.0,20250.0,2562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69093.0,2562.0,148.614
36,House,15141.21,5339.0,809.0,5279.0,884.0,4,U,Owned,1964,-2,-2,3,5,20,4,1,1,4,8,1,1,1,1,1,1,1,1,1,Female,1,master,1,59,50071.05731577074,1941.0,19950.0,1727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68069.0,1727.0,180.513
37,House,12153.0,3981.0,1573.0,5443.0,806.0,4,U,Owned,1983,-2,-2,3,6,40,3,1,1,5,8,1,1,1,1,1,1,1,0,1,Male,1,collage,5,52,40682.73406906373,3422.0,36967.0,5647.0,0.0,0.0,90.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,134350.0,6176.0,318.246
38,House,3512.47,5456.0,872.0,4976.0,1335.0,4,U,Rented,1970,-2,-2,2,5,20,3,1,1,4,7,1,1,1,0,0,1,0,1,1,Female,1,collage,1,64,18776.646493414028,3120.0,7435.0,922.0,904.0,1045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118028.0,1967.0,290.16
40,Apartment,11407.15,1727.0,2542.0,1711.0,2452.0,3,U,Rented,1995,2,5,1,-2,-2,3,2,1,4,7,1,1,1,1,0,1,1,1,1,Male,1,master,4,32,34423.85190459238,1260.0,23414.0,2595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79889.0,2595.0,117.17999999999999
41,House,4702.48,7164.0,461.0,6665.0,775.0,1,U,Rented,1970,-2,-2,1,5,10,3,1,1,2,5,1,1,1,0,0,1,0,0,1,Female,0,master,3,40,4694.161623353507,1800.0,10143.0,903.0,517.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87601.0,1525.0,167.4
42,House,8393.98,2527.0,1833.0,2558.0,1567.0,2,U,Owned,1997,-2,-2,4,7,10,4,2,0,3,7,1,1,1,0,0,1,0,0,1,Female,2,collage,6,46,18776.646493414028,1719.0,15219.0,2738.0,545.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,107790.0,3323.0,159.867
43,Apartment,8491.42,3071.0,1645.0,3225.0,1526.0,4,R,Rented,2000,2,5,1,-2,-2,4,2,1,3,7,1,1,1,0,0,1,0,1,1,Female,0,master,4,35,1251.7764328942685,2831.0,12634.0,1165.0,517.0,757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96100.0,1922.0,263.283
44,Apartment,7959.39,5989.0,466.0,5826.0,643.0,1,U,Rented,1980,2,8,1,-2,-2,-2,1,0,1,1,1,1,1,0,0,1,0,1,1,Female,2,collage,1,22,6258.882164471343,527.0,4818.0,555.0,392.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56619.0,968.0,49.011
45,House,7960.93,7458.0,388.0,7306.0,441.0,1,R,Owned,1984,-2,-2,1,5,20,4,2,0,4,8,0,-2,1,0,0,0,0,0,1,Male,2,doctorate,2,66,75106.58597365611,3344.0,8429.0,1096.0,1014.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,132695.0,2207.0,310.992
46,House,5535.93,1228.0,1250.0,1452.0,903.0,2,U,Rented,1968,-2,-2,4,5,10,3,2,0,2,5,0,-2,1,0,0,0,0,0,1,Female,0,primary,4,43,12517.764328942685,1131.0,2840.0,367.0,383.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48948.0,779.0,105.18299999999999
47,Apartment,37665.4,4537.0,904.0,4371.0,1176.0,4,U,Rented,1970,9,135,1,-2,-2,2,1,0,2,4,1,1,1,0,0,1,0,1,1,Female,0,primary,3,20,1251.7764328942685,834.0,4369.0,345.0,369.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52730.0,889.0,77.562
49,House,6861.29,3158.0,1685.0,2991.0,1632.0,4,U,Owned,1985,-2,-2,3,5,10,3,2,0,3,6,1,1,1,1,1,1,0,0,1,Male,1,master,3,42,40682.73406906373,1420.0,14517.0,1663.0,785.0,1581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129995.0,3244.0,132.06
50,Apartment,10252.69,4740.0,1035.0,4604.0,1229.0,4,U,Rented,1999,6,316,7,-2,-2,-2,1,0,1,1,0,-2,1,0,0,0,0,0,1,Female,1,primary,1,65,1564.7205411178356,1188.0,1634.0,280.0,35.0,52.0,0.0,0.0,403.0,1025.0,0.0,0.0,0.0,0.0,65043.0,1357.0,110.484
51,House,5137.6,4660.0,1352.0,4539.0,1684.0,4,U,Rented,1946,-2,-2,2,5,10,2,1,0,3,5,1,1,1,1,0,1,0,1,1,Female,0,collage,1,76,12517.764328942685,846.0,1572.0,249.0,328.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38984.0,721.0,78.678
52,House,5524.68,2261.0,2620.0,2386.0,2747.0,3,U,Owned,1979,-2,-2,1,5,20,3,2,1,2,5,1,1,1,1,0,1,1,1,1,Female,2,master,2,37,40682.73406906373,1564.0,12914.0,1599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44063.0,1599.0,145.452
53,Apartment,10037.59,4755.0,877.0,4616.0,1178.0,4,U,Rented,1920,-2,-2,1,6,-2,2,1,0,5,7,1,2,1,0,0,1,1,0,1,Female,1,master,1,42,28164.96974012104,806.0,3685.0,900.0,4.0,142.0,0.0,0.0,344.0,875.0,0.0,0.0,0.0,0.0,60733.0,1917.0,74.958
54,House,7489.17,1398.0,2844.0,1290.0,2937.0,3,U,Owned,1971,-2,-2,1,3,10,4,2,0,6,10,1,1,1,1,0,1,1,1,1,Female,0,master,5,47,75106.58597365611,2403.0,17752.0,2467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,60570.0,2467.0,223.47899999999998
55,House,18613.77,2750.0,2069.0,2892.0,1905.0,2,U,Owned,1999,-2,-2,3,5,10,3,2,0,2,5,1,1,1,0,0,1,0,0,1,Male,1,collage,2,46,21906.087575649697,1372.0,7151.0,943.0,458.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71344.0,1389.0,127.596
56,House,7535.95,2409.0,2322.0,2414.0,2553.0,3,U,Owned,2005,-2,-2,1,5,20,4,2,1,5,9,1,1,1,1,1,1,0,0,1,Female,1,master,5,40,59459.38056247775,3191.0,20079.0,2565.0,452.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114840.0,3003.0,296.763
57,House,7535.95,2472.0,2264.0,2327.0,2645.0,3,U,Owned,2000,-2,-2,1,5,20,4,2,1,3,7,1,1,1,0,0,1,0,1,1,Male,1,master,4,47,37553.292986828055,2400.0,14668.0,2046.0,276.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78337.0,2349.0,223.2
58,House,5629.1,5966.0,579.0,6367.0,559.0,1,U,Owned,1972,-2,-2,2,6,20,3,1,1,4,7,1,2,1,1,1,1,0,1,1,Male,1,master,3,44,75106.58597365611,1348.0,16129.0,3077.0,0.0,0.0,0.0,0.0,568.0,1430.0,0.0,0.0,0.0,0.0,133808.0,4507.0,125.364
59,House,14563.97,5734.0,698.0,5697.0,863.0,1,U,Owned,1955,-2,-2,3,5,10,2,1,0,4,6,0,-2,1,0,0,0,0,1,1,Female,1,collage,2,49,43812.175151299394,2304.0,4468.0,560.0,512.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67725.0,1349.0,214.272
60,House,5862.85,6233.0,514.0,6839.0,434.0,1,U,Occupied,1976,-2,-2,3,5,10,3,1,1,2,5,1,2,1,1,1,1,1,1,1,Female,1,primary,7,52,62588.821644713425,1716.0,42687.0,8112.0,25.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,148211.0,8148.0,159.588
61,Apartment,18388.42,5229.0,896.0,5252.0,1033.0,4,U,Rented,1970,-2,-2,1,5,-2,3,1,0,2,5,1,2,1,1,1,1,1,1,1,Male,1,collage,7,27,21906.087575649697,1770.0,22657.0,2408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77306.0,2408.0,164.60999999999999
62,House,6905.03,2243.0,2618.0,2260.0,2731.0,3,U,Rented,1960,-2,-2,2,2,10,2,1,0,2,4,1,1,1,1,0,1,1,1,1,Female,0,primary,4,42,9388.323246707014,1323.0,14287.0,1769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48747.0,1769.0,123.039
63,Apartment,11749.93,3220.0,1939.0,3349.0,1931.0,4,U,Rented,1940,6,36,7,-2,-2,2,2,0,2,4,1,2,1,1,0,1,1,1,1,Male,2,primary,1,66,6258.882164471343,1209.0,8490.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28968.0,792.0,112.437
64,House,9737.42,5829.0,905.0,5354.0,951.0,1,U,Owned,1920,-2,-2,7,5,10,3,1,0,2,5,1,2,1,0,0,1,0,1,1,Male,1,master,2,57,31294.410822356713,1518.0,3305.0,297.0,780.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91227.0,949.0,141.174
65,House,6466.42,1131.0,1203.0,1187.0,1156.0,2,U,Owned,1966,-2,-2,4,7,10,3,2,0,2,5,1,1,1,1,0,1,0,0,1,Female,1,collage,9,43,25035.52865788537,1155.0,8532.0,1541.0,494.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79746.0,2007.0,107.415
66,House,7180.05,138.0,4528.0,183.0,3984.0,3,U,Owned,1992,-2,-2,7,1,20,3,2,1,3,6,1,1,1,1,0,1,1,1,1,Female,1,doctorate,1,48,28164.96974012104,1640.0,11649.0,1435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39746.0,1435.0,152.52
67,Apartment,10168.07,2824.0,115.0,2903.0,116.0,5,U,Rented,1970,4,11,4,-2,-2,1,1,0,1,2,0,-2,1,1,0,0,0,1,1,Male,1,doctorate,1,46,75106.58597365611,693.0,4381.0,588.0,100.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25198.0,690.0,64.449
68,Apartment,5303.53,9328.0,357.0,8879.0,538.0,1,U,Rented,2005,3,33,3,-2,-2,2,2,0,2,4,1,2,1,1,0,1,0,1,1,Female,2,master,2,24,15647.205411178356,1069.0,3070.0,374.0,237.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34768.0,574.0,99.417
69,Apartment,5403.9,1077.0,3731.0,1227.0,3662.0,2,U,Rented,1992,2,12,4,-2,-2,2,2,0,2,4,1,1,1,0,0,1,0,1,1,Male,1,master,3,28,56329.93948024208,947.0,9398.0,1196.0,222.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54821.0,1588.0,88.071
70,House,15075.45,3407.0,1772.0,3286.0,2152.0,4,U,Rented,1960,-2,-2,1,6,10,4,1,0,2,6,1,3,1,0,0,1,0,1,1,Female,0,collage,5,32,56329.93948024208,1200.0,16186.0,1612.0,685.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125440.0,2672.0,111.6
71,House,16368.08,827.0,4851.0,1413.0,3264.0,2,U,Rented,1985,-2,-2,7,1,20,3,2,1,3,6,1,1,1,1,0,1,1,1,1,Male,0,master,1,73,3129.4410822356713,1814.0,6618.0,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22581.0,866.0,168.702
72,Apartment,10024.98,4589.0,930.0,4729.0,1112.0,4,U,Rented,1946,5,10,1,-2,-2,-2,1,0,1,1,1,2,1,1,0,1,0,0,1,Female,1,master,2,23,4694.161623353507,517.0,4230.0,726.0,62.0,92.0,0.0,0.0,117.0,298.0,0.0,0.0,0.0,0.0,36952.0,1116.0,48.081
73,House,30067.83,2803.0,1929.0,2744.0,2092.0,3,R,Owned,1963,-2,-2,1,3,10,3,2,0,2,5,1,1,1,0,0,1,0,1,1,Male,0,collage,2,75,31294.410822356713,1842.0,9728.0,1210.0,454.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79727.0,1936.0,171.306
74,Apartment,9815.47,4796.0,865.0,4713.0,1146.0,4,U,Rented,1930,5,70,1,-2,-2,1,1,0,2,3,1,2,1,0,0,1,0,0,1,Male,1,master,1,31,21906.087575649697,452.0,2058.0,669.0,764.0,1142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85332.0,1811.0,42.036
75,House,6506.7,3131.0,1674.0,3091.0,1726.0,4,U,Rented,1960,-2,-2,9,5,20,4,2,1,4,8,1,1,1,1,1,1,0,1,1,Male,1,collage,4,56,1251.7764328942685,4620.0,27067.0,2928.0,449.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138376.0,3418.0,429.66
76,House,15220.06,6185.0,665.0,6107.0,828.0,1,U,Owned,1920,-2,-2,3,6,20,3,1,0,7,10,1,2,1,0,0,1,1,1,1,Male,1,master,2,57,40682.73406906373,3604.0,11226.0,995.0,1202.0,1392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161508.0,2387.0,335.172
78,Apartment,4646.98,5928.0,630.0,6143.0,695.0,1,U,Rented,1920,-2,-2,3,6,-2,1,1,0,2,3,0,-2,1,0,0,0,0,0,1,Male,0,primary,2,49,6258.882164471343,694.0,3223.0,537.0,1265.0,1878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140660.0,2415.0,64.542
79,House,20603.47,5852.0,657.0,5922.0,829.0,1,R,Owned,1995,-2,-2,3,5,10,3,2,0,3,6,1,1,1,0,0,1,0,1,1,Male,0,master,2,79,21906.087575649697,2626.0,6842.0,472.0,1033.0,1096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129228.0,1568.0,244.218
80,Apartment,10207.48,6576.0,441.0,6078.0,818.0,1,U,Rented,1970,2,5,1,-2,-2,1,1,0,2,3,1,2,1,0,0,1,0,0,1,Female,0,primary,1,85,4694.161623353507,375.0,2729.0,468.0,550.0,823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65686.0,1291.0,34.875
81,Apartment,6583.36,125.0,4865.0,134.0,4341.0,3,U,Rented,1920,3,10,7,-2,-2,1,1,0,2,3,1,1,1,1,0,1,0,1,1,Female,1,collage,2,32,15647.205411178356,680.0,3303.0,458.0,86.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20085.0,631.0,63.24
82,Apartment,4739.7,5688.0,582.0,5646.0,756.0,1,U,Rented,1939,-2,-2,2,5,-2,3,1,0,3,6,0,-2,1,0,0,0,1,0,1,Male,1,collage,3,25,75106.58597365611,1125.0,7376.0,1342.0,79.0,118.0,0.0,0.0,963.0,3570.0,0.0,0.0,0.0,0.0,166823.0,5030.0,104.625
83,Apartment,22756.57,5511.0,791.0,5794.0,1023.0,1,U,Rented,1931,21,313,1,-2,-2,-2,0,1,1,1,0,-2,1,0,0,0,0,0,1,Male,0,collage,1,44,1564.7205411178356,100.0,1525.0,172.0,636.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70393.0,742.0,9.3
