,Age,ConstructionType,ConstructionYear,Energy,Gender,HHSize,Income,Waste,Water,w
46,50,"ouvert, fermes, châteaux",1973,49,femme,2.61,28150.0,147.0,79,71.45
47,13,demi-fermé,1900,49,femme,2.61,28150.0,147.0,79,71.45
48,5,demi-fermé,1900,49,femme,2.61,28150.0,147.0,79,71.45
49,17,"ouvert, fermes, châteaux",1966,49,femme,2.61,28150.0,147.0,79,71.45
50,42,fermé,1966,49,femme,2.61,28150.0,147.0,79,71.45
51,48,"ouvert, fermes, châteaux",1900,49,femme,2.61,28150.0,147.0,79,71.45
52,65,"ouvert, fermes, châteaux",1900,49,homme,2.61,28150.0,147.0,79,71.45
53,72,"ouvert, fermes, châteaux",1981,49,femme,2.61,28150.0,147.0,79,71.45
54,5,fermé,1951,49,homme,2.61,28150.0,147.0,79,71.45
55,17,"ouvert, fermes, châteaux",1913,49,homme,2.61,28150.0,147.0,79,71.45
56,26,demi-fermé,1965,49,homme,2.61,28150.0,147.0,79,71.45
57,11,demi-fermé,1950,49,homme,2.61,28150.0,147.0,79,71.45
58,38,"ouvert, fermes, châteaux",1900,49,homme,2.61,28150.0,147.0,79,71.45
59,58,demi-fermé,1900,49,homme,2.61,28150.0,147.0,79,71.45
60,7,appartements,1962,49,homme,2.61,28150.0,147.0,79,71.45
61,75,demi-fermé,1963,49,femme,2.61,28150.0,147.0,79,71.45
62,75,demi-fermé,1900,49,homme,2.61,28150.0,147.0,79,71.45
63,11,"ouvert, fermes, châteaux",1900,49,homme,2.61,28150.0,147.0,79,71.45
64,8,"ouvert, fermes, châteaux",1907,49,homme,2.61,28150.0,147.0,79,71.45
65,42,"ouvert, fermes, châteaux",1900,49,femme,2.61,28150.0,147.0,79,71.45
66,7,demi-fermé,1900,49,femme,2.61,28150.0,147.0,79,71.45
67,21,"ouvert, fermes, châteaux",1981,49,homme,2.61,28150.0,147.0,79,71.45
68,53,demi-fermé,1968,49,femme,2.61,28150.0,147.0,79,71.45
69,51,fermé,1900,49,femme,2.61,28150.0,147.0,79,71.45
70,55,"ouvert, fermes, châteaux",1968,49,femme,2.61,28150.0,147.0,79,71.45
71,12,"ouvert, fermes, châteaux",1908,49,homme,2.61,28150.0,147.0,79,71.45
72,25,"ouvert, fermes, châteaux",1977,49,homme,2.61,28150.0,147.0,79,71.45
73,60,fermé,1981,49,femme,2.61,28150.0,147.0,79,71.45
74,56,"ouvert, fermes, châteaux",1965,49,homme,2.61,28150.0,147.0,79,71.45
75,47,appartements,1900,49,homme,2.61,28150.0,147.0,79,71.45
76,61,"ouvert, fermes, châteaux",1965,49,femme,2.61,28150.0,147.0,79,71.45
77,22,"ouvert, fermes, châteaux",1981,49,femme,2.61,28150.0,147.0,79,71.45
78,17,demi-fermé,1980,49,homme,2.61,28150.0,147.0,79,71.45
79,72,appartements,1965,49,homme,2.61,28150.0,147.0,79,71.45
80,47,"ouvert, fermes, châteaux",1981,49,homme,2.61,28150.0,147.0,79,71.45
81,28,"ouvert, fermes, châteaux",1900,49,femme,2.61,28150.0,147.0,79,71.45
82,3,fermé,1900,49,homme,2.61,28150.0,147.0,79,71.45
83,66,"ouvert, fermes, châteaux",1981,49,homme,2.61,28150.0,147.0,79,71.45
84,23,"ouvert, fermes, châteaux",1963,49,homme,2.61,28150.0,147.0,79,71.45
85,42,"ouvert, fermes, châteaux",1958,49,femme,2.61,28150.0,147.0,79,71.45
86,23,demi-fermé,1957,49,homme,2.61,28150.0,147.0,79,71.45
87,17,"ouvert, fermes, châteaux",1900,49,femme,2.61,28150.0,147.0,79,71.45
88,52,demi-fermé,1981,49,femme,2.61,28150.0,147.0,79,71.45
89,75,demi-fermé,1900,49,femme,2.61,28150.0,147.0,79,71.45
90,5,fermé,1946,49,homme,2.61,28150.0,147.0,79,71.45
91,68,fermé,1900,49,homme,2.61,28150.0,147.0,79,71.45
92,12,demi-fermé,1981,49,homme,2.61,28150.0,147.0,79,71.45
93,22,"ouvert, fermes, châteaux",1968,49,homme,2.61,28150.0,147.0,79,71.45
94,52,"ouvert, fermes, châteaux",1900,49,femme,2.61,28150.0,147.0,79,71.45
95,2,"ouvert, fermes, châteaux",1981,49,femme,2.61,28150.0,147.0,79,71.45
96,57,"ouvert, fermes, châteaux",1981,49,homme,2.61,28150.0,147.0,79,71.45
97,47,"ouvert, fermes, châteaux",1951,49,femme,2.61,28150.0,147.0,79,71.45
98,18,demi-fermé,1905,49,femme,2.61,28150.0,147.0,79,71.45
99,31,appartements,1900,49,homme,2.61,28150.0,147.0,79,71.45
100,11,appartements,1900,257,femme,2.42,28150.0,158.4,78,397.59
101,37,demi-fermé,1934,257,homme,2.42,28150.0,158.4,78,397.59
102,20,"ouvert, fermes, châteaux",1979,257,homme,2.42,28150.0,158.4,78,397.59
103,25,"ouvert, fermes, châteaux",1900,257,homme,2.42,28150.0,158.4,78,397.59
104,62,appartements,1981,257,femme,2.42,28150.0,158.4,78,397.59
105,63,"ouvert, fermes, châteaux",1972,257,femme,2.42,28150.0,158.4,78,397.59
106,0,"ouvert, fermes, châteaux",1981,257,homme,2.42,28150.0,158.4,78,397.59
107,38,"ouvert, fermes, châteaux",1981,257,femme,2.42,28150.0,158.4,78,397.59
108,66,"ouvert, fermes, châteaux",1900,257,femme,2.42,28150.0,158.4,78,397.59
109,50,demi-fermé,1971,257,femme,2.42,28150.0,158.4,78,397.59
110,8,appartements,1900,257,femme,2.42,28150.0,158.4,78,397.59
111,45,fermé,1981,257,femme,2.42,28150.0,158.4,78,397.59
112,48,"ouvert, fermes, châteaux",1900,257,femme,2.42,28150.0,158.4,78,397.59
113,32,"ouvert, fermes, châteaux",1965,257,femme,2.42,28150.0,158.4,78,397.59
114,57,appartements,1981,257,homme,2.42,28150.0,158.4,78,397.59
115,27,"ouvert, fermes, châteaux",1981,257,homme,2.42,28150.0,158.4,78,397.59
116,63,fermé,1900,257,homme,2.42,28150.0,158.4,78,397.59
117,0,"ouvert, fermes, châteaux",1900,257,femme,2.42,28150.0,158.4,78,397.59
118,45,appartements,1971,257,homme,2.42,28150.0,158.4,78,397.59
119,25,fermé,1908,257,homme,2.42,28150.0,158.4,78,397.59
120,63,"ouvert, fermes, châteaux",1980,257,homme,2.42,28150.0,158.4,78,397.59
121,15,appartements,1976,257,homme,2.42,28150.0,158.4,78,397.59
122,62,"ouvert, fermes, châteaux",1966,257,homme,2.42,28150.0,158.4,78,397.59
123,48,fermé,1981,257,femme,2.42,28150.0,158.4,78,397.59
124,25,appartements,1942,257,homme,2.42,28150.0,158.4,78,397.59
125,2,appartements,1978,257,homme,2.42,28150.0,158.4,78,397.59
126,23,"ouvert, fermes, châteaux",1978,257,femme,2.42,28150.0,158.4,78,397.59
128,11,demi-fermé,1904,257,femme,2.42,28150.0,158.4,78,397.59
129,6,"ouvert, fermes, châteaux",1981,257,femme,2.42,28150.0,158.4,78,397.59
130,75,demi-fermé,1904,257,femme,2.42,28150.0,158.4,78,397.59
131,1,"ouvert, fermes, châteaux",1978,257,homme,2.42,28150.0,158.4,78,397.59
132,71,fermé,1948,257,femme,2.42,28150.0,158.4,78,397.59
133,23,"ouvert, fermes, châteaux",1953,257,homme,2.42,28150.0,158.4,78,397.59
134,72,fermé,1952,257,femme,2.42,28150.0,158.4,78,397.59
135,23,appartements,1977,257,homme,2.42,28150.0,158.4,78,397.59
136,12,fermé,1971,257,femme,2.42,28150.0,158.4,78,397.59
137,3,"ouvert, fermes, châteaux",1949,257,homme,2.42,28150.0,158.4,78,397.59
138,73,demi-fermé,1981,257,femme,2.42,28150.0,158.4,78,397.59
139,42,"ouvert, fermes, châteaux",1900,257,femme,2.42,28150.0,158.4,78,397.59
140,17,fermé,1923,257,femme,2.42,28150.0,158.4,78,397.59
141,0,"ouvert, fermes, châteaux",1981,257,femme,2.42,28150.0,158.4,78,397.59
142,16,fermé,1976,257,homme,2.42,28150.0,158.4,78,397.59
143,25,appartements,1981,257,homme,2.42,28150.0,158.4,78,397.59
144,1,demi-fermé,1981,257,femme,2.42,28150.0,158.4,78,397.59
145,61,fermé,1981,257,homme,2.42,28150.0,158.4,78,397.59
146,43,appartements,1981,257,homme,2.42,28150.0,158.4,78,397.59
147,22,demi-fermé,1908,257,homme,2.42,28150.0,158.4,78,397.59
148,17,appartements,1962,257,femme,2.42,28150.0,158.4,78,397.59
149,41,"ouvert, fermes, châteaux",1965,257,femme,2.42,28150.0,158.4,78,397.59
150,73,demi-fermé,1978,257,femme,2.42,28150.0,158.4,78,397.59
151,35,"ouvert, fermes, châteaux",1974,257,homme,2.42,28150.0,158.4,78,397.59
152,31,demi-fermé,1981,257,femme,2.42,28150.0,158.4,78,397.59
153,13,"ouvert, fermes, châteaux",1981,257,homme,2.42,28150.0,158.4,78,397.59
154,11,"ouvert, fermes, châteaux",1900,257,homme,2.42,28150.0,158.4,78,397.59
155,33,"ouvert, fermes, châteaux",1980,257,homme,2.42,28150.0,158.4,78,397.59
156,60,"ouvert, fermes, châteaux",1963,257,femme,2.42,28150.0,158.4,78,397.59
157,27,"ouvert, fermes, châteaux",1977,257,femme,2.42,28150.0,158.4,78,397.59
158,55,fermé,1960,257,homme,2.42,28150.0,158.4,78,397.59
159,18,demi-fermé,1969,257,femme,2.42,28150.0,158.4,78,397.59
160,10,appartements,1976,257,femme,2.42,28150.0,158.4,78,397.59
161,23,demi-fermé,1938,257,femme,2.42,28150.0,158.4,78,397.59
162,27,appartements,1981,257,femme,2.42,28150.0,158.4,78,397.59
163,48,demi-fermé,1981,257,femme,2.42,28150.0,158.4,78,397.59
164,41,demi-fermé,1900,257,femme,2.42,28150.0,158.4,78,397.59
165,71,demi-fermé,1915,257,femme,2.42,28150.0,158.4,78,397.59
166,20,"ouvert, fermes, châteaux",1981,257,homme,2.42,28150.0,158.4,78,397.59
167,53,demi-fermé,1981,257,femme,2.42,28150.0,158.4,78,397.59
168,40,"ouvert, fermes, châteaux",1900,257,femme,2.42,28150.0,158.4,78,397.59
169,27,demi-fermé,1979,257,homme,2.42,28150.0,158.4,78,397.59
170,70,fermé,1979,257,homme,2.42,28150.0,158.4,78,397.59
171,36,demi-fermé,1900,257,homme,2.42,28150.0,158.4,78,397.59
172,51,demi-fermé,1953,257,femme,2.42,28150.0,158.4,78,397.59
174,53,"ouvert, fermes, châteaux",1900,257,homme,2.42,28150.0,158.4,78,397.59
175,47,appartements,1981,257,femme,2.42,28150.0,158.4,78,397.59
176,62,"ouvert, fermes, châteaux",1976,257,femme,2.42,28150.0,158.4,78,397.59
177,10,appartements,1942,257,homme,2.42,28150.0,158.4,78,397.59
178,55,"ouvert, fermes, châteaux",1900,257,homme,2.42,28150.0,158.4,78,397.59
179,27,fermé,1981,257,femme,2.42,28150.0,158.4,78,397.59
180,42,fermé,1938,257,homme,2.42,28150.0,158.4,78,397.59
181,62,"ouvert, fermes, châteaux",1973,257,homme,2.42,28150.0,158.4,78,397.59
182,7,fermé,1981,257,femme,2.42,28150.0,158.4,78,397.59
183,56,appartements,1981,257,femme,2.42,28150.0,158.4,78,397.59
184,60,fermé,1978,257,homme,2.42,28150.0,158.4,78,397.59
185,25,"ouvert, fermes, châteaux",1981,257,femme,2.42,28150.0,158.4,78,397.59
186,2,appartements,1974,257,femme,2.42,28150.0,158.4,78,397.59
187,13,"ouvert, fermes, châteaux",1972,257,homme,2.42,28150.0,158.4,78,397.59
188,52,demi-fermé,1977,257,femme,2.42,28150.0,158.4,78,397.59
189,11,fermé,1964,257,homme,2.42,28150.0,158.4,78,397.59
190,25,demi-fermé,1978,257,homme,2.42,28150.0,158.4,78,397.59
192,12,"ouvert, fermes, châteaux",1900,257,femme,2.42,28150.0,158.4,78,397.59
193,65,"ouvert, fermes, châteaux",1904,257,femme,2.42,28150.0,158.4,78,397.59
194,57,appartements,1900,257,femme,2.42,28150.0,158.4,78,397.59
195,65,"ouvert, fermes, châteaux",1967,257,femme,2.42,28150.0,158.4,78,397.59
196,67,"ouvert, fermes, châteaux",1972,257,homme,2.42,28150.0,158.4,78,397.59
197,16,"ouvert, fermes, châteaux",1934,257,femme,2.42,28150.0,158.4,78,397.59
198,17,appartements,1943,257,femme,2.42,28150.0,158.4,78,397.59
199,40,fermé,1981,257,homme,2.42,28150.0,158.4,78,397.59
200,47,demi-fermé,1900,75,femme,2.51,28150.0,165.2,73,103.45
201,12,demi-fermé,1900,75,homme,2.51,28150.0,165.2,73,103.45
202,7,demi-fermé,1981,75,femme,2.51,28150.0,165.2,73,103.45
203,20,demi-fermé,1926,75,homme,2.51,28150.0,165.2,73,103.45
204,0,demi-fermé,1981,75,homme,2.51,28150.0,165.2,73,103.45
205,20,"ouvert, fermes, châteaux",1981,75,femme,2.51,28150.0,165.2,73,103.45
206,63,"ouvert, fermes, châteaux",1981,75,femme,2.51,28150.0,165.2,73,103.45
207,46,demi-fermé,1974,75,homme,2.51,28150.0,165.2,73,103.45
208,31,"ouvert, fermes, châteaux",1954,75,homme,2.51,28150.0,165.2,73,103.45
209,65,"ouvert, fermes, châteaux",1922,75,homme,2.51,28150.0,165.2,73,103.45
210,56,appartements,1902,75,femme,2.51,28150.0,165.2,73,103.45
211,32,"ouvert, fermes, châteaux",1900,75,femme,2.51,28150.0,165.2,73,103.45
212,32,demi-fermé,1981,75,homme,2.51,28150.0,165.2,73,103.45
213,32,"ouvert, fermes, châteaux",1978,75,homme,2.51,28150.0,165.2,73,103.45
214,16,fermé,1944,75,femme,2.51,28150.0,165.2,73,103.45
215,17,"ouvert, fermes, châteaux",1910,75,femme,2.51,28150.0,165.2,73,103.45
216,53,demi-fermé,1935,75,homme,2.51,28150.0,165.2,73,103.45
217,72,"ouvert, fermes, châteaux",1906,75,homme,2.51,28150.0,165.2,73,103.45
218,28,"ouvert, fermes, châteaux",1981,75,homme,2.51,28150.0,165.2,73,103.45
219,42,"ouvert, fermes, châteaux",1976,75,femme,2.51,28150.0,165.2,73,103.45
220,45,demi-fermé,1981,75,homme,2.51,28150.0,165.2,73,103.45
221,75,demi-fermé,1900,75,femme,2.51,28150.0,165.2,73,103.45
222,72,fermé,1919,75,femme,2.51,28150.0,165.2,73,103.45
223,67,"ouvert, fermes, châteaux",1936,75,homme,2.51,28150.0,165.2,73,103.45
224,67,"ouvert, fermes, châteaux",1906,75,homme,2.51,28150.0,165.2,73,103.45
225,37,demi-fermé,1900,75,femme,2.51,28150.0,165.2,73,103.45
226,75,appartements,1981,75,femme,2.51,28150.0,165.2,73,103.45
227,58,demi-fermé,1951,75,homme,2.51,28150.0,165.2,73,103.45
228,2,demi-fermé,1906,75,homme,2.51,28150.0,165.2,73,103.45
229,40,"ouvert, fermes, châteaux",1972,75,homme,2.51,28150.0,165.2,73,103.45
230,17,demi-fermé,1953,75,homme,2.51,28150.0,165.2,73,103.45
231,52,demi-fermé,1981,75,femme,2.51,28150.0,165.2,73,103.45
232,52,demi-fermé,1900,75,femme,2.51,28150.0,165.2,73,103.45
233,58,demi-fermé,1909,75,homme,2.51,28150.0,165.2,73,103.45
234,37,demi-fermé,1981,75,homme,2.51,28150.0,165.2,73,103.45
235,51,"ouvert, fermes, châteaux",1978,75,femme,2.51,28150.0,165.2,73,103.45
236,75,demi-fermé,1968,75,homme,2.51,28150.0,165.2,73,103.45
237,36,"ouvert, fermes, châteaux",1971,75,femme,2.51,28150.0,165.2,73,103.45
238,52,fermé,1981,75,femme,2.51,28150.0,165.2,73,103.45
239,62,"ouvert, fermes, châteaux",1981,75,homme,2.51,28150.0,165.2,73,103.45
240,27,"ouvert, fermes, châteaux",1980,75,femme,2.51,28150.0,165.2,73,103.45
242,8,"ouvert, fermes, châteaux",1981,75,homme,2.51,28150.0,165.2,73,103.45
243,38,appartements,1972,75,homme,2.51,28150.0,165.2,73,103.45
244,53,appartements,1900,75,homme,2.51,28150.0,165.2,73,103.45
245,52,"ouvert, fermes, châteaux",1981,75,homme,2.51,28150.0,165.2,73,103.45
246,17,"ouvert, fermes, châteaux",1981,75,femme,2.51,28150.0,165.2,73,103.45
247,66,fermé,1972,75,femme,2.51,28150.0,165.2,73,103.45
249,47,fermé,1971,75,femme,2.51,28150.0,165.2,73,103.45
250,3,"ouvert, fermes, châteaux",1931,75,femme,2.51,28150.0,165.2,73,103.45
251,75,demi-fermé,1954,75,femme,2.51,28150.0,165.2,73,103.45
252,13,demi-fermé,1981,75,femme,2.51,28150.0,165.2,73,103.45
253,11,"ouvert, fermes, châteaux",1974,75,femme,2.51,28150.0,165.2,73,103.45
254,41,appartements,1900,75,femme,2.51,28150.0,165.2,73,103.45
255,37,"ouvert, fermes, châteaux",1981,75,femme,2.51,28150.0,165.2,73,103.45
256,51,demi-fermé,1966,75,homme,2.51,28150.0,165.2,73,103.45
257,51,appartements,1912,75,homme,2.51,28150.0,165.2,73,103.45
258,75,"ouvert, fermes, châteaux",1925,75,homme,2.51,28150.0,165.2,73,103.45
259,0,"ouvert, fermes, châteaux",1900,75,femme,2.51,28150.0,165.2,73,103.45
260,53,appartements,1971,75,femme,2.51,28150.0,165.2,73,103.45
261,23,"ouvert, fermes, châteaux",1900,75,homme,2.51,28150.0,165.2,73,103.45
262,46,"ouvert, fermes, châteaux",1914,75,femme,2.51,28150.0,165.2,73,103.45
263,2,demi-fermé,1900,75,femme,2.51,28150.0,165.2,73,103.45
264,42,"ouvert, fermes, châteaux",1973,75,homme,2.51,28150.0,165.2,73,103.45
265,31,appartements,1966,75,homme,2.51,28150.0,165.2,73,103.45
266,26,"ouvert, fermes, châteaux",1900,75,femme,2.51,28150.0,165.2,73,103.45
267,8,demi-fermé,1943,75,femme,2.51,28150.0,165.2,73,103.45
268,36,demi-fermé,1900,75,femme,2.51,28150.0,165.2,73,103.45
270,11,"ouvert, fermes, châteaux",1971,75,femme,2.51,28150.0,165.2,73,103.45
271,46,"ouvert, fermes, châteaux",1902,75,femme,2.51,28150.0,165.2,73,103.45
272,65,demi-fermé,1900,75,homme,2.51,28150.0,165.2,73,103.45
273,67,demi-fermé,1981,75,femme,2.51,28150.0,165.2,73,103.45
274,18,fermé,1928,75,femme,2.51,28150.0,165.2,73,103.45
275,55,demi-fermé,1981,75,homme,2.51,28150.0,165.2,73,103.45
276,12,"ouvert, fermes, châteaux",1910,75,femme,2.51,28150.0,165.2,73,103.45
277,2,"ouvert, fermes, châteaux",1900,75,homme,2.51,28150.0,165.2,73,103.45
278,5,"ouvert, fermes, châteaux",1981,75,femme,2.51,28150.0,165.2,73,103.45
279,8,demi-fermé,1975,75,femme,2.51,28150.0,165.2,73,103.45
280,6,fermé,1981,75,femme,2.51,28150.0,165.2,73,103.45
281,71,"ouvert, fermes, châteaux",1981,75,homme,2.51,28150.0,165.2,73,103.45
282,0,"ouvert, fermes, châteaux",1976,75,homme,2.51,28150.0,165.2,73,103.45
283,37,demi-fermé,1981,75,femme,2.51,28150.0,165.2,73,103.45
284,21,"ouvert, fermes, châteaux",1900,75,femme,2.51,28150.0,165.2,73,103.45
285,53,fermé,1962,75,homme,2.51,28150.0,165.2,73,103.45
286,51,"ouvert, fermes, châteaux",1971,75,femme,2.51,28150.0,165.2,73,103.45
287,26,"ouvert, fermes, châteaux",1957,75,homme,2.51,28150.0,165.2,73,103.45
288,38,appartements,1981,75,homme,2.51,28150.0,165.2,73,103.45
289,75,"ouvert, fermes, châteaux",1981,75,homme,2.51,28150.0,165.2,73,103.45
291,66,"ouvert, fermes, châteaux",1981,75,homme,2.51,28150.0,165.2,73,103.45
292,0,"ouvert, fermes, châteaux",1926,75,homme,2.51,28150.0,165.2,73,103.45
293,58,demi-fermé,1981,75,homme,2.51,28150.0,165.2,73,103.45
294,13,"ouvert, fermes, châteaux",1981,75,homme,2.51,28150.0,165.2,73,103.45
295,10,appartements,1935,75,homme,2.51,28150.0,165.2,73,103.45
296,66,"ouvert, fermes, châteaux",1973,75,homme,2.51,28150.0,165.2,73,103.45
298,40,"ouvert, fermes, châteaux",1941,75,homme,2.51,28150.0,165.2,73,103.45
299,40,demi-fermé,1907,75,homme,2.51,28150.0,165.2,73,103.45
300,52,"ouvert, fermes, châteaux",1978,84,femme,2.55,28150.0,145.2,88,117.37
301,5,demi-fermé,1980,84,homme,2.55,28150.0,145.2,88,117.37
302,7,"ouvert, fermes, châteaux",1900,84,femme,2.55,28150.0,145.2,88,117.37
303,61,demi-fermé,1981,84,homme,2.55,28150.0,145.2,88,117.37
304,25,"ouvert, fermes, châteaux",1981,84,homme,2.55,28150.0,145.2,88,117.37
305,67,"ouvert, fermes, châteaux",1981,84,homme,2.55,28150.0,145.2,88,117.37
306,13,"ouvert, fermes, châteaux",1981,84,homme,2.55,28150.0,145.2,88,117.37
307,47,"ouvert, fermes, châteaux",1976,84,femme,2.55,28150.0,145.2,88,117.37
308,12,"ouvert, fermes, châteaux",1981,84,femme,2.55,28150.0,145.2,88,117.37
309,16,"ouvert, fermes, châteaux",1900,84,femme,2.55,28150.0,145.2,88,117.37
310,67,"ouvert, fermes, châteaux",1981,84,femme,2.55,28150.0,145.2,88,117.37
311,60,"ouvert, fermes, châteaux",1912,84,femme,2.55,28150.0,145.2,88,117.37
312,15,appartements,1900,84,homme,2.55,28150.0,145.2,88,117.37
313,5,fermé,1907,84,homme,2.55,28150.0,145.2,88,117.37
314,40,appartements,1981,84,femme,2.55,28150.0,145.2,88,117.37
315,55,"ouvert, fermes, châteaux",1960,84,homme,2.55,28150.0,145.2,88,117.37
316,32,"ouvert, fermes, châteaux",1981,84,femme,2.55,28150.0,145.2,88,117.37
317,67,fermé,1972,84,homme,2.55,28150.0,145.2,88,117.37
318,65,fermé,1979,84,femme,2.55,28150.0,145.2,88,117.37
319,68,appartements,1981,84,femme,2.55,28150.0,145.2,88,117.37
320,7,"ouvert, fermes, châteaux",1981,84,femme,2.55,28150.0,145.2,88,117.37
321,65,"ouvert, fermes, châteaux",1981,84,homme,2.55,28150.0,145.2,88,117.37
322,53,"ouvert, fermes, châteaux",1977,84,homme,2.55,28150.0,145.2,88,117.37
323,75,"ouvert, fermes, châteaux",1900,84,femme,2.55,28150.0,145.2,88,117.37
324,73,demi-fermé,1937,84,femme,2.55,28150.0,145.2,88,117.37
325,17,"ouvert, fermes, châteaux",1950,84,homme,2.55,28150.0,145.2,88,117.37
326,2,demi-fermé,1900,84,femme,2.55,28150.0,145.2,88,117.37
328,48,"ouvert, fermes, châteaux",1981,84,homme,2.55,28150.0,145.2,88,117.37
329,26,appartements,1981,84,homme,2.55,28150.0,145.2,88,117.37
330,33,"ouvert, fermes, châteaux",1981,84,homme,2.55,28150.0,145.2,88,117.37
331,57,demi-fermé,1973,84,homme,2.55,28150.0,145.2,88,117.37
332,75,"ouvert, fermes, châteaux",1981,84,femme,2.55,28150.0,145.2,88,117.37
333,20,demi-fermé,1976,84,homme,2.55,28150.0,145.2,88,117.37
334,1,"ouvert, fermes, châteaux",1957,84,femme,2.55,28150.0,145.2,88,117.37
335,17,"ouvert, fermes, châteaux",1911,84,homme,2.55,28150.0,145.2,88,117.37
336,37,"ouvert, fermes, châteaux",1981,84,femme,2.55,28150.0,145.2,88,117.37
337,63,"ouvert, fermes, châteaux",1968,84,femme,2.55,28150.0,145.2,88,117.37
338,75,"ouvert, fermes, châteaux",1971,84,femme,2.55,28150.0,145.2,88,117.37
339,12,"ouvert, fermes, châteaux",1976,84,femme,2.55,28150.0,145.2,88,117.37
340,61,"ouvert, fermes, châteaux",1981,84,homme,2.55,28150.0,145.2,88,117.37
341,26,"ouvert, fermes, châteaux",1981,84,homme,2.55,28150.0,145.2,88,117.37
342,37,"ouvert, fermes, châteaux",1947,84,femme,2.55,28150.0,145.2,88,117.37
343,42,"ouvert, fermes, châteaux",1981,84,femme,2.55,28150.0,145.2,88,117.37
344,18,"ouvert, fermes, châteaux",1900,84,femme,2.55,28150.0,145.2,88,117.37
345,52,"ouvert, fermes, châteaux",1902,84,homme,2.55,28150.0,145.2,88,117.37
